energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up
-6.00000000,5.07369430,0.30020724,4.00410246,0.26916725,0.00265347,0.11195669,0.26308917
-5.99399700,5.17903324,0.29996096,4.09560122,0.27308152,0.00283049,0.11822265,0.26592942
-5.98799400,5.30057752,0.30130670,4.19761336,0.28006978,0.00302724,0.12506293,0.26941982
-5.98199100,5.43874211,0.30437884,4.31044373,0.29027202,0.00324454,0.13240709,0.27353487
-5.97598799,5.59368790,0.30930393,4.43418972,0.30382102,0.00348300,0.14017108,0.27823942
-5.96998499,5.76530015,0.31619617,4.56872710,0.32083640,0.00374301,0.14825819,0.28348888
-5.96398199,5.95317861,0.32515302,4.71370606,0.34141845,0.00402472,0.15656042,0.28922977
-5.95797899,6.15664024,0.33625148,4.86855766,0.36564188,0.00432801,0.16496042,0.29540077
-5.95197599,6.37473441,0.34954492,5.03251062,0.39354999,0.00465250,0.17333400,0.30193412
-5.94597299,6.60626967,0.36506076,5.20461743,0.42514922,0.00499753,0.18155298,0.30875738
-5.93996998,6.84985065,0.38279903,5.38378821,0.46040454,0.00536218,0.18948857,0.31579539
-5.93396698,7.10392289,0.40273187,5.56883047,0.49923581,0.00574528,0.19701501,0.32297243
-5.92796398,7.36682280,0.42480394,5.75849233,0.54151521,0.00614540,0.20401335,0.33021428
-5.92196098,7.63683003,0.44893368,5.95150675,0.58706590,0.00656090,0.21037538,0.33745026
-5.91595798,7.91221910,0.47501534,6.14663417,0.63566197,0.00698995,0.21600740,0.34461489
-5.90995498,8.19130743,0.50292161,6.34270125,0.68702972,0.00743054,0.22083374,0.35164935
-5.90395198,8.47249722,0.53250673,6.53863356,0.74085011,0.00788050,0.22479995,0.35850233
-5.89794897,8.75430901,0.56360984,6.73348059,0.79676241,0.00833757,0.22787544,0.36513056
-5.89194597,9.03540542,0.59605836,6.92643194,0.85436887,0.00879936,0.23005545,0.37149873
-5.88594297,9.31460426,0.62967137,7.11682415,0.91324022,0.00926343,0.23136237,0.37757910
-5.87993997,9.59088083,0.66426259,7.30413820,0.97292183,0.00972730,0.23184620,0.38335055
-5.87393697,9.86335991,0.69964298,7.48798837,1.03294037,0.01018844,0.23158420,0.38879748
-5.86793397,10.13129882,0.73562284,7.66810350,1.09281068,0.01064431,0.23067971,0.39390844
-5.86193097,10.39406303,0.77201331,7.84430233,1.15204272,0.01109238,0.22926013,0.39867473
-5.85592796,10.65109670,0.80862727,8.01646482,1.21014836,0.01153014,0.22747415,0.40308907
-5.84992496,10.90189039,0.84527973,8.18450136,1.26664803,0.01195512,0.22548831,0.40714439
-5.84392196,11.14594849,0.88178777,8.34832221,1.32107686,0.01236485,0.22348286,0.41083297
-5.83791896,11.38275882,0.91797020,8.50780910,1.37299048,0.01275698,0.22164722,0.41414587
-5.83191596,11.61176657,0.95364700,8.66279075,1.42197024,0.01312918,0.22017504,0.41707273
-5.82591296,11.83235451,0.98863891,8.81302398,1.46762800,0.01347923,0.21925891,0.41960201
-5.81990995,12.04383078,1.02276720,8.95818148,1.50961041,0.01380502,0.21908509,0.42172153
-5.81390695,12.24542534,1.05585382,9.09784686,1.54760262,0.01410459,0.21982808,0.42341936
-5.80790395,12.43629520,1.08772218,9.23151743,1.58133168,0.01437610,0.22164543,0.42468486
-5.80190095,12.61553839,1.11819854,9.35861426,1.61056942,0.01461793,0.22467275,0.42550997
-5.79589795,12.78221582,1.14711406,9.47849913,1.63513492,0.01482867,0.22901911,0.42589037
-5.78989495,12.93537983,1.17430764,9.59049717,1.65489658,0.01500715,0.23476296,0.42582663
-5.78389195,13.07410785,1.19962925,9.69392404,1.66977372,0.01515249,0.24194865,0.42532514
-5.77788894,13.19753929,1.22294381,9.78811614,1.67973767,0.01526412,0.25058378,0.42439876
-5.77188594,13.30491363,1.24413525,9.87246209,1.68481227,0.01534181,0.26063730,0.42306712
-5.76588294,13.39560760,1.26311064,9.94643410,1.68507373,0.01538567,0.27203869,0.42135656
-5.75987994,13.46916956,1.27980407,10.00961732,1.68064974,0.01539621,0.28467814,0.41929960
-5.75387694,13.52534912,1.29417993,10.06173593,1.67171776,0.01537430,0.29840786,0.41693413
-5.74787394,13.56412063,1.30623550,10.10267474,1.65850239,0.01532119,0.31304456,0.41430221
-5.74187094,13.58569921,1.31600242,10.13249510,1.64127185,0.01523852,0.32837309,0.41144860
-5.73586793,13.59054866,1.32354702,10.15144466,1.62033351,0.01512826,0.34415120,0.40841910
-5.72986493,13.57938087,1.32896930,10.15996053,1.59602854,0.01499270,0.36011532,0.40525886
-5.72386193,13.55314671,1.33240057,10.15866574,1.56872575,0.01483441,0.37598719,0.40201060
-5.71785893,13.51301912,1.33399977,10.14835947,1.53881470,0.01465620,0.39148129,0.39871303
-5.71185593,13.46036904,1.33394857,10.13000141,1.50669838,0.01446105,0.40631261,0.39539942
-5.70585293,13.39673554,1.33244553,10.10469132,1.47278547,0.01425204,0.42020470,0.39209644
-5.69984992,13.32379157,1.32969943,10.07364471,1.43748262,0.01403233,0.43289760,0.38882335
-5.69384692,13.24330695,1.32592225,10.03816588,1.40118681,0.01380503,0.44415530,0.38559157
-5.68784392,13.15711030,1.32132199,9.99961971,1.36427819,0.01357320,0.45377251,0.38240465
-5.68184092,13.06705172,1.31609576,9.95940346,1.32711352,0.01333976,0.46158048,0.37925859
-5.67583792,12.97496766,1.31042340,9.91891989,1.29002054,0.01310742,0.46745143,0.37614260
-5.66983492,12.88264971,1.30446203,9.87955282,1.25329341,0.01287867,0.47130166,0.37304014
-5.66383192,12.79181823,1.29834170,9.84264627,1.21718931,0.01265572,0.47309300,0.36993027
-5.65782891,12.70410201,1.29216235,9.80948770,1.18192648,0.01244048,0.47283268,0.36678918
-5.65182591,12.62102419,1.28599232,9.78129611,1.14768354,0.01223458,0.47057155,0.36359191
-5.64582291,12.54399493,1.27986828,9.75921489,1.11460019,0.01203930,0.46640090,0.36031408
-5.63981991,12.47431039,1.27379670,9.74430943,1.08277928,0.01185567,0.46044788,0.35693363
-5.63381691,12.41315743,1.26775679,9.73756908,1.05228992,0.01168442,0.45286992,0.35343241
-5.62781391,12.36162316,1.26170456,9.73991247,1.02317176,0.01152607,0.44384836,0.34979772
-5.62181091,12.32070804,1.25557811,9.75219550,0.99543992,0.01138094,0.43358160,0.34602343
-5.61580790,12.29134102,1.24930351,9.77522056,0.96909057,0.01124922,0.42227819,0.34211101
-5.60980490,12.27439520,1.24280133,9.80974589,0.94410676,0.01113101,0.41015000,0.33807007
