energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.56192914,0.01682962,0.00580616,0.93672438,0.65197332,0.00712428,0.46586651
-5.99399700,1.59373035,0.01644712,0.00582450,0.95415701,0.66592869,0.00695101,0.47152473
-5.98799400,1.63086477,0.01622502,0.00586654,0.97613654,0.68162872,0.00678093,0.47885739
-5.98199100,1.67287248,0.01616027,0.00593257,1.00245561,0.69885311,0.00661538,0.48761209
-5.97598799,1.71918369,0.01624742,0.00602260,1.03283237,0.71733819,0.00645589,0.49750256
-5.96998499,1.76913480,0.01647881,0.00613644,1.06691717,0.73678520,0.00630417,0.50821920
-5.96398199,1.82198660,0.01684478,0.00627359,1.10430046,0.75686965,0.00616201,0.51944054
-5.95797899,1.87694432,0.01733396,0.00643329,1.14452201,0.77725133,0.00603125,0.53084530
-5.95197599,1.93317879,0.01793366,0.00661440,1.18708092,0.79758471,0.00591362,0.54212438
-5.94597299,1.98984818,0.01863027,0.00681547,1.23144660,0.81752935,0.00581070,0.55299252
-5.93996998,2.04611971,0.01940966,0.00703466,1.27707033,0.83675994,0.00572378,0.56319906
-5.93396698,2.10119076,0.02025774,0.00726975,1.32339734,0.85497575,0.00565379,0.57253731
-5.92796398,2.15430892,0.02116091,0.00751816,1.36987919,0.87190906,0.00560117,0.58085231
-5.92196098,2.20479042,0.02210656,0.00777698,1.41598612,0.88733242,0.00556584,0.58804650
-5.91595798,2.25203646,0.02308361,0.00804295,1.46121930,0.90106450,0.00554715,0.59408308
-5.90995498,2.29554702,0.02408297,0.00831260,1.50512252,0.91297437,0.00554383,0.59898705
-5.90395198,2.33493183,0.02509790,0.00858227,1.54729304,0.92298404,0.00555405,0.60284361
-5.89794897,2.36991807,0.02612439,0.00884820,1.58739128,0.93106929,0.00557541,0.60579422
-5.89194597,2.40035456,0.02716140,0.00910665,1.62514893,0.93725866,0.00560501,0.60803025
-5.88594297,2.42621220,0.02821099,0.00935399,1.66037515,0.94163070,0.00563961,0.60978456
-5.87993997,2.44758074,0.02927830,0.00958683,1.69296045,0.94430953,0.00567567,0.61132126
-5.87393697,2.46466153,0.03037147,0.00980210,1.72287812,0.94545896,0.00570952,0.61292405
-5.86793397,2.47775681,0.03150138,0.00999716,1.75018282,0.94527516,0.00573750,0.61488365
-5.86193097,2.48725551,0.03268121,0.01016989,1.77500637,0.94397833,0.00575612,0.61748466
-5.85592796,2.49361611,0.03392602,0.01031877,1.79755079,0.94180354,0.00576217,0.62099255
-5.84992496,2.49734723,0.03525209,0.01044287,1.81807866,0.93899117,0.00575288,0.62564125
-5.84392196,2.49898648,0.03667626,0.01054196,1.83690124,0.93577726,0.00572601,0.63162183
-5.83791896,2.49907864,0.03821523,0.01061645,1.85436474,0.93238409,0.00567995,0.63907282
-5.83191596,2.49815385,0.03988478,0.01066734,1.87083537,0.92901162,0.00561378,0.64807259
-5.82591296,2.49670696,0.04169914,0.01069625,1.88668385,0.92582982,0.00552728,0.65863415
-5.81990995,2.49517890,0.04367027,0.01070526,1.90226999,0.92297257,0.00542097,0.67070268
-5.81390695,2.49394087,0.04580734,0.01069689,1.91792830,0.92053313,0.00529604,0.68415587
-5.80790395,2.49328230,0.04811628,0.01067394,1.93395518,0.91856161,0.00515432,0.69880715
-5.80190095,2.49340290,0.05059948,0.01063943,1.95059831,0.91706443,0.00499819,0.71441172
-5.79589795,2.49440944,0.05325564,0.01059642,1.96804894,0.91600587,0.00483048,0.73067512
-5.78989495,2.49631718,0.05607975,0.01054799,1.98643718,0.91531163,0.00465437,0.74726399
-5.78389195,2.49905603,0.05906329,0.01049704,2.00583078,0.91487421,0.00447327,0.76381856
-5.77788894,2.50248090,0.06219447,0.01044628,2.02623719,0.91455987,0.00429071,0.77996632
-5.77188594,2.50638586,0.06545864,0.01039809,2.04760878,0.91421689,0.00411020,0.79533628
-5.76588294,2.51052114,0.06883884,0.01035450,2.06985095,0.91368450,0.00393518,0.80957309
-5.75987994,2.51461218,0.07231630,0.01031716,2.09283252,0.91280240,0.00376887,0.82235048
-5.75387694,2.51837963,0.07587106,0.01028727,2.11639786,0.91142002,0.00361424,0.83338343
-5.74787394,2.52155925,0.07948255,0.01026566,2.14037990,0.90940529,0.00347392,0.84243834
-5.74187094,2.52392068,0.08313015,0.01025271,2.16461344,0.90665248,0.00335017,0.84934105
-5.73586793,2.52528391,0.08679368,0.01024848,2.18894773,0.90308858,0.00324488,0.85398216
-5.72986493,2.52553286,0.09045381,0.01025270,2.21325777,0.89867808,0.00315952,0.85631953
-5.72386193,2.52462500,0.09409241,0.01026485,2.23745345,0.89342578,0.00309517,0.85637797
-5.71785893,2.52259673,0.09769272,0.01028419,2.26148602,0.88737760,0.00305250,0.85424614
