energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.73269529,0.01578503,2.51895805,0.24655253,0.00071595,2.37342643,1.31218343
-5.99399700,3.59379368,0.01549982,2.41868717,0.24040079,0.00069337,2.31024653,1.25724524
-5.98799400,3.44714033,0.01515106,2.31410306,0.23346387,0.00066855,2.23937501,1.20068266
-5.98199100,3.29411091,0.01474200,2.20617738,0.22580436,0.00064178,2.16159242,1.14299538
-5.97598799,3.13626422,0.01427701,2.09598847,0.21750617,0.00061336,2.07784279,1.08473772
-5.96998499,2.97530634,0.01376148,1.98469813,0.20867199,0.00058363,1.98921051,1.02650743
-5.96398199,2.81305086,0.01320167,1.87352618,0.19942025,0.00055294,1.89689342,0.96893338
-5.95797899,2.65137696,0.01260457,1.76372396,0.18988169,0.00052168,1.80217328,0.91266237
-5.95197599,2.49218682,0.01197768,1.65654748,0.18019556,0.00049020,1.70638485,0.85834576
-5.94597299,2.33736385,0.01132885,1.55323136,0.17050576,0.00045889,1.61088456,0.80662615
-5.93996998,2.18873300,0.01066606,1.45496408,0.16095697,0.00042809,1.51701997,0.75812453
-5.93396698,2.04802421,0.00999726,1.36286522,0.15169095,0.00039816,1.42610076,0.71342828
-5.92796398,1.91683974,0.00933013,1.27796514,0.14284296,0.00036941,1.33937214,0.67308003
-5.92196098,1.79662608,0.00867197,1.20118738,0.13453870,0.00034213,1.25799113,0.63756771
-5.91595798,1.68865054,0.00802953,1.13333394,0.12689147,0.00031659,1.18300624,0.60731588
-5.90995498,1.59398293,0.00740886,1.07507358,0.11999994,0.00029301,1.11534061,0.58267834
-5.90395198,1.51348206,0.00681527,1.02693296,0.11394628,0.00027159,1.05577903,0.56393206
-5.89794897,1.44778712,0.00625319,0.98929083,0.10879491,0.00025248,1.00495842,0.55127258
-5.89194597,1.39731352,0.00572620,0.96237482,0.10459161,0.00023581,0.96336207,0.54481071
-5.88594297,1.36225308,0.00523696,0.94626105,0.10136332,0.00022168,0.93131711,0.54457070
-5.87993997,1.34257806,0.00478723,0.94087613,0.09911820,0.00021013,0.90899519,0.55048985
-5.87393697,1.33804888,0.00437796,0.94600165,0.09784633,0.00020120,0.89641609,0.56241955
-5.86793397,1.34822509,0.00400927,0.96128090,0.09752066,0.00019490,0.89345379,0.58012780
-5.86193097,1.37247925,0.00368057,0.98622770,0.09809844,0.00019119,0.89984498,0.60330327
-5.85592796,1.41001346,0.00339065,1.02023729,0.09952291,0.00019003,0.91519944,0.63156081
-5.84992496,1.45987812,0.00313777,1.06259893,0.10172530,0.00019136,0.93901217,0.66444836
-5.84392196,1.52099262,0.00291975,1.11251023,0.10462703,0.00019508,0.97067693,0.70145534
-5.83791896,1.59216752,0.00273413,1.16909272,0.10814206,0.00020109,1.00950079,0.74202214
-5.83191596,1.67212778,0.00257822,1.23140857,0.11217935,0.00020927,1.05471952,0.78555082
-5.82591296,1.75953675,0.00244926,1.29847807,0.11664540,0.00021950,1.10551345,0.83141652
-5.81990995,1.85302018,0.00234445,1.36929743,0.12144666,0.00023162,1.16102343,0.87897961
-5.81390695,1.95119008,0.00226114,1.44285654,0.12649194,0.00024548,1.22036677,0.92759796
-5.80790395,2.05266765,0.00219680,1.51815636,0.13169462,0.00026091,1.28265261,0.97663919
-5.80190095,2.15610500,0.00214916,1.59422540,0.13697466,0.00027774,1.34699678,1.02549260
-5.79589795,2.26020521,0.00211622,1.67013490,0.14226029,0.00029577,1.41253546,1.07358015
-5.78989495,2.36374016,0.00209631,1.74501249,0.14748947,0.00031482,1.47843793,1.12036652
-5.78389195,2.46556609,0.00208810,1.81805385,0.15261093,0.00033469,1.54391769,1.16536766
-5.77788894,2.56463632,0.00209058,1.88853219,0.15758483,0.00035517,1.60824220,1.20815775
-5.77188594,2.66001121,0.00210310,1.95580546,0.16238301,0.00037605,1.67074087,1.24837429
-5.76588294,2.75086513,0.00212530,2.01932098,0.16698887,0.00039713,1.73081136,1.28572123
-5.75987994,2.83649041,0.00215710,2.07861776,0.17139678,0.00041820,1.78792403,1.31997010
-5.75387694,2.91629840,0.00219865,2.13332628,0.17561115,0.00043906,1.84162459,1.35095907
-5.74787394,2.98981773,0.00225026,2.18316608,0.17964513,0.00045952,1.89153507,1.37859019
-5.74187094,3.05668998,0.00231236,2.22794120,0.18351891,0.00047940,1.93735295,1.40282478
-5.73586793,3.11666294,0.00238543,2.26753381,0.18725788,0.00049852,1.97884881,1.42367733
-5.72986493,3.16958180,0.00246994,2.30189629,0.19089046,0.00051674,2.01586250,1.44120808
-5.72386193,3.21537873,0.00256623,2.33104202,0.19444581,0.00053391,2.04829796,1.45551462
-5.71785893,3.25406096,0.00267454,2.35503543,0.19795151,0.00054993,2.07611713,1.46672294
-5.71185593,3.28569808,0.00279486,2.37398140,0.20143119,0.00056468,2.09933287,1.47497807
-5.70585293,3.31040886,0.00292692,2.38801471,0.20490237,0.00057810,2.11800150,1.48043496
-5.69984992,3.32834807,0.00307016,2.39728975,0.20837437,0.00059015,2.13221504,1.48324966
-5.69384692,3.33969399,0.00322365,2.40197089,0.21184659,0.00060077,2.14209353,1.48357145
-5.68784392,3.34463685,0.00338611,2.40222403,0.21530720,0.00060997,2.14777788,1.48153601
-5.68184092,3.34336900,0.00355591,2.39820949,0.21873224,0.00061776,2.14942332,1.47725998
-5.67583792,3.33607698,0.00373104,2.39007668,0.22208523,0.00062415,2.14719403,1.47083722
-5.66983492,3.32293610,0.00390919,2.37796066,0.22531747,0.00062919,2.14125895,1.46233676
-5.66383192,3.30410763,0.00408776,2.36198087,0.22836885,0.00063293,2.13178904,1.45180263
-5.65782891,3.27973881,0.00426392,2.34224187,0.23116930,0.00063545,2.11895606,1.43925559
-5.65182591,3.24996568,0.00443471,2.31883623,0.23364084,0.00063681,2.10293287,1.42469648
-5.64582291,3.21491844,0.00459710,2.29184918,0.23570014,0.00063711,2.08389500,1.40811126
-5.63981991,3.17472903,0.00474808,2.26136482,0.23726145,0.00063645,2.06202339,1.38947717
-5.63381691,3.12954042,0.00488479,2.22747343,0.23823995,0.00063491,2.03750779,1.36876992
-5.62781391,3.07951671,0.00500456,2.19027933,0.23855518,0.00063262,2.01055061,1.34597136
-5.62181091,3.02485352,0.00510507,2.14990876,0.23813444,0.00062969,1.98137041,1.32107711
-5.61580790,2.96578761,0.00518438,2.10651710,0.23691615,0.00062624,1.95020492,1.29410388
-5.60980490,2.90260487,0.00524101,2.06029493,0.23485273,0.00062238,1.91731271,1.26509582
-5.60380190,2.83564611,0.00527401,2.01147229,0.23191315,0.00061824,1.88297343,1.23412968
-5.59779890,2.76530965,0.00528299,1.96032079,0.22808472,0.00061395,1.84748612,1.20131826
-5.59179590,2.69205064,0.00526811,1.90715320,0.22337428,0.00060962,1.81116546,1.16681203
-5.58579290,2.61637650,0.00523009,1.85232041,0.21780858,0.00060537,1.77433599,1.13079877
-5.57978989,2.53883890,0.00517014,1.79620578,0.21143385,0.00060131,1.73732446,1.09350112
-5.57378689,2.46002226,0.00508996,1.73921717,0.20431463,0.00059751,1.70045063,1.05517235
-5.56778389,2.38052961,0.00499161,1.68177697,0.19653194,0.00059407,1.66401708,1.01609029
-5.56178089,2.30096648,0.00487747,1.62431070,0.18818079,0.00059102,1.62829865,0.97655014
