energy_ev,total_up,N_s_up,N_p_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,0.25972779,0.00112667,0.01227690,0.08864394,0.08995033,0.13165435,0.00000000
-5.99399700,0.28476588,0.00130994,0.01481331,0.10552536,0.09709198,0.14354494,0.00000000
-5.98799400,0.31290300,0.00151473,0.01787835,0.12532591,0.10488293,0.15682249,0.00000000
-5.98199100,0.34411815,0.00174167,0.02153078,0.14833491,0.11325945,0.17144524,0.00000000
-5.97598799,0.37837764,0.00199107,0.02583376,0.17484880,0.12215119,0.18736263,0.00000000
-5.96998499,0.41563188,0.00226285,0.03085331,0.20516323,0.13148158,0.20451440,0.00000000
-5.96398199,0.45581208,0.00255655,0.03665646,0.23956399,0.14116835,0.22282992,0.00000000
-5.95797899,0.49882710,0.00287122,0.04330920,0.27831701,0.15112427,0.24222754,0.00000000
-5.95197599,0.54456040,0.00320545,0.05087420,0.32165754,0.16125805,0.26261426,0.00000000
-5.94597299,0.59286731,0.00355731,0.05940831,0.36977885,0.17147540,0.28388562,0.00000000
-5.93996998,0.64357274,0.00392440,0.06896001,0.42282074,0.18168031,0.30592584,0.00000000
-5.93396698,0.69646960,0.00430382,0.07956680,0.48085841,0.19177642,0.32860843,0.00000000
-5.92796398,0.75131814,0.00469223,0.09125272,0.54389208,0.20166870,0.35179714,0.00000000
-5.92196098,0.80784632,0.00508589,0.10402601,0.61183811,0.21126515,0.37534738,0.00000000
-5.91595798,0.86575155,0.00548075,0.11787720,0.68452197,0.22047870,0.39910820,0.00000000
-5.90995498,0.92470392,0.00587249,0.13277765,0.76167398,0.22922923,0.42292471,0.00000000
-5.90395198,0.98435092,0.00625668,0.14867865,0.84292795,0.23744564,0.44664098,0.00000000
-5.89794897,1.04432387,0.00662882,0.16551133,0.92782349,0.24506786,0.47010342,0.00000000
-5.89194597,1.10424586,0.00698453,0.18318726,1.01581219,0.25204886,0.49316451,0.00000000
-5.88594297,1.16374097,0.00731962,0.20159999,1.10626759,0.25835654,0.51568672,0.00000000
-5.87993997,1.22244471,0.00763024,0.22062737,1.19849922,0.26397527,0.53754656,0.00000000
-5.87393697,1.28001504,0.00791299,0.24013469,1.29176997,0.26890718,0.55863848,0.00000000
-5.86793397,1.33614354,0.00816506,0.25997845,1.38531651,0.27317302,0.57887849,0.00000000
-5.86193097,1.39056624,0.00838428,0.28001069,1.47837171,0.27681248,0.59820722,0.00000000
-5.85592796,1.44307321,0.00856926,0.30008362,1.57018819,0.27988390,0.61659221,0.00000000
-5.84992496,1.49351642,0.00871940,0.32005424,1.66006166,0.28246331,0.63402919,0.00000000
-5.84392196,1.54181511,0.00883498,0.33978881,1.74735278,0.28464279,0.65054226,0.00000000
-5.83791896,1.58795807,0.00891711,0.35916676,1.83150620,0.28652802,0.66618258,0.00000000
-5.83191596,1.63200229,0.00896779,0.37808379,1.91206555,0.28823518,0.68102580,0.00000000
-5.82591296,1.67406768,0.00898980,0.39645405,1.98868317,0.28988712,0.69516791,0.00000000
-5.81990995,1.71432778,0.00898663,0.41421099,2.06112381,0.29160895,0.70871974,0.00000000
-5.81390695,1.75299646,0.00896242,0.43130694,2.12926176,0.29352313,0.72180020,0.00000000
-5.80790395,1.79031109,0.00892178,0.44771135,2.19307122,0.29574432,0.73452849,0.00000000
-5.80190095,1.82651273,0.00886969,0.46340768,2.25261040,0.29837403,0.74701560,0.00000000
-5.79589795,1.86182433,0.00881128,0.47838921,2.30799988,0.30149539,0.75935550,0.00000000
-5.78989495,1.89642793,0.00875167,0.49265397,2.35939662,0.30516827,0.77161650,0.00000000
-5.78389195,1.93044228,0.00869580,0.50619904,2.40696504,0.30942501,0.78383314,0.00000000
-5.77788894,1.96390207,0.00864823,0.51901477,2.45084712,0.31426686,0.79599926,0.00000000
-5.77188594,1.99674032,0.00861296,0.53107925,2.49113342,0.31966159,0.80806262,0.00000000
-5.76588294,2.02877502,0.00859328,0.54235336,2.52783707,0.32554223,0.81992152,0.00000000
-5.75987994,2.05970139,0.00859162,0.55277706,2.56087269,0.33180722,0.83142369,0.00000000
-5.75387694,2.08909040,0.00860948,0.56226698,2.59004192,0.33832203,0.84236778,0.00000000
-5.74787394,2.11639423,0.00864730,0.57071579,2.61502675,0.34492223,0.85250745,0.00000000
-5.74187094,2.14095878,0.00870446,0.57799336,2.63539162,0.35141795,0.86155802,0.00000000
-5.73586793,2.16204298,0.00877929,0.58394986,2.65059439,0.35759971,0.86920557,0.00000000
-5.72986493,2.17884419,0.00886909,0.58842061,2.66000602,0.36324530,0.87511799,0.00000000
-5.72386193,2.19052876,0.00897024,0.59123259,2.66293790,0.36812747,0.87895764,0.00000000
-5.71785893,2.19626613,0.00907830,0.59221210,2.65867557,0.37202217,0.88039507,0.00000000
-5.71185593,2.19526511,0.00918820,0.59119340,2.64651676,0.37471696,0.87912300,0.00000000
-5.70585293,2.18681021,0.00929437,0.58802754,2.62581180,0.37601912,0.87487006,0.00000000
-5.69984992,2.17029640,0.00939100,0.58259119,2.59600385,0.37576332,0.86741349,0.00000000
-5.69384692,2.14526039,0.00947221,0.57479467,2.55666669,0.37381818,0.85659027,0.00000000
-5.68784392,2.11140677,0.00953229,0.56458890,2.50753775,0.37009178,0.84230605,0.00000000
-5.68184092,2.06862777,0.00956587,0.55197069,2.44854455,0.36453551,0.82454151,0.00000000
-5.67583792,2.01701551,0.00956814,0.53698622,2.37982286,0.35714636,0.80335585,0.00000000
-5.66983492,1.95686618,0.00953505,0.51973234,2.30172567,0.34796746,0.77888718,0.00000000
