energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
2.83041521,1.68074309,0.00504894,0.59481006,0.01315174,0.17886702,0.29254747,0.86211762
2.83641821,1.66076501,0.00442854,0.58568395,0.01329483,0.17805859,0.29022081,0.85306352
2.84242121,1.63527631,0.00386671,0.57470560,0.01335211,0.17642603,0.28689604,0.84109435
2.84842421,1.60457508,0.00336098,0.56201268,0.01332083,0.17400256,0.28259398,0.82635671
2.85442721,1.56907558,0.00290845,0.54777847,0.01320030,0.17083652,0.27736006,0.80905995
2.86043022,1.52929233,0.00250589,0.53220585,0.01299187,0.16698972,0.27126217,0.78946767
2.86643322,1.48582035,0.00214985,0.51552010,0.01269892,0.16253540,0.26438758,0.76788720
2.87243622,1.43931252,0.00183673,0.49796091,0.01232665,0.15755570,0.25683923,0.74465754
2.87843922,1.39045502,0.00156287,0.47977398,0.01188194,0.15213893,0.24873131,0.72013627
2.88444222,1.33994206,0.00132463,0.46120250,0.01137308,0.14637664,0.24018462,0.69468611
2.89044522,1.28845114,0.00111844,0.44247903,0.01080947,0.14036069,0.23132183,0.66866177
2.89644822,1.23661991,0.00094088,0.42381801,0.01020129,0.13418045,0.22226278,0.64239763
2.90245123,1.18502584,0.00078871,0.40540942,0.00955920,0.12792019,0.21312030,0.61619691
2.90845423,1.13416948,0.00065889,0.38741366,0.00889398,0.12165687,0.20399646,0.59032282
2.91445723,1.08446210,0.00054862,0.36995805,0.00821624,0.11545828,0.19497967,0.56499196
2.92046023,1.03621814,0.00045534,0.35313495,0.00753611,0.10938179,0.18614254,0.54037029
2.92646323,0.98965264,0.00037674,0.33700157,0.00686300,0.10347357,0.17754072,0.51657174
2.93246623,0.94488353,0.00031076,0.32158140,0.00620541,0.09776830,0.16921261,0.49365943
2.93846923,0.90193847,0.00025557,0.30686715,0.00557074,0.09228948,0.16118000,0.47164920
2.94447224,0.86076548,0.00020956,0.29282487,0.00496523,0.08705020,0.15344944,0.45051526
2.95047524,0.82124679,0.00017132,0.27939908,0.00439388,0.08205419,0.14601429,0.43019743
2.95647824,0.78321476,0.00013964,0.26651860,0.00386044,0.07729731,0.13885728,0.41060953
2.96248124,0.74646900,0.00011347,0.25410254,0.00336746,0.07276918,0.13195334,0.39164837
2.96848424,0.71079362,0.00009192,0.24206639,0.00291640,0.06845487,0.12527256,0.37320286
2.97448724,0.67597365,0.00007422,0.23032767,0.00250765,0.06433665,0.11878312,0.35516256
2.98049025,0.64180984,0.00005974,0.21881097,0.00214073,0.06039564,0.11245398,0.33742553
2.98649325,0.60813110,0.00004791,0.20745212,0.00181439,0.05661322,0.10625718,0.31990476
2.99249625,0.57480406,0.00003829,0.19620135,0.00152678,0.05297232,0.10016978,0.30253323
2.99849925,0.54173949,0.00003049,0.18502534,0.00127553,0.04945831,0.09417517,0.28526722
3.00450225,0.50889555,0.00002418,0.17390811,0.00105799,0.04605970,0.08826389,0.26808798
3.01050525,0.47627784,0.00001910,0.16285090,0.00087125,0.04276846,0.08243387,0.25100171
3.01650825,0.44393661,0.00001502,0.15187103,0.00071232,0.03958013,0.07669020,0.23403806
3.02251126,0.41196166,0.00001176,0.14099993,0.00057821,0.03649362,0.07104446,0.21724739
3.02851426,0.38047520,0.00000917,0.13028060,0.00046597,0.03351083,0.06551364,0.20069698
3.03451726,0.34962354,0.00000711,0.11976457,0.00037283,0.03063612,0.06011888,0.18446662
3.04052026,0.31956802,0.00000549,0.10950871,0.00029616,0.02787565,0.05488403,0.16864382
3.04652326,0.29047584,0.00000421,0.09957196,0.00023357,0.02523672,0.04983418,0.15331894
3.05252626,0.26251133,0.00000322,0.09001228,0.00018288,0.02272703,0.04499418,0.13858061
3.05852926,0.23582801,0.00000245,0.08088384,0.00014217,0.02035405,0.04038736,0.12451152
3.06453227,0.21056193,0.00000185,0.07223473,0.00010973,0.01812447,0.03603438,0.11118494
3.07053527,0.18682641,0.00000139,0.06410509,0.00008408,0.01604367,0.03195236,0.09866189
3.07653827,0.16470826,0.00000104,0.05652585,0.00006396,0.01411541,0.02815421,0.08698925
