energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.61256206,0.54901977,0.37592390,0.01250360,0.45182593,0.29435489,0.00000000,0.81493012,0.31504332
-5.99399700,1.58464948,0.51524920,0.36658989,0.01282301,0.45213987,0.28172858,0.00000000,0.80938839,0.31325990
-5.98799400,1.55889269,0.48331585,0.35772849,0.01314763,0.45254618,0.27003953,0.00000000,0.80494202,0.31165290
-5.98199100,1.53492636,0.45336444,0.34929455,0.01346687,0.45286486,0.25929029,0.00000000,0.80131064,0.31009891
-5.97598799,1.51230088,0.42546662,0.34121989,0.01376955,0.45291152,0.24944924,0.00000000,0.79818028,0.30846931
-5.96998499,1.49050927,0.39962790,0.33341930,0.01404430,0.45250496,0.24045533,0.00000000,0.79521942,0.30663587
-5.96398199,1.46901738,0.37579672,0.32579737,0.01428005,0.45147514,0.23222404,0.00000000,0.79209647,0.30447650
-5.95797899,1.44729591,0.35387518,0.31825576,0.01446639,0.44967143,0.22465402,0.00000000,0.78849796,0.30188108
-5.95197599,1.42485274,0.33373067,0.31070048,0.01459400,0.44697047,0.21763425,0.00000000,0.78414667,0.29875699
-5.94597299,1.40126405,0.31520795,0.30304894,0.01465505,0.44328344,0.21105126,0.00000000,0.77881882,0.29503420
-5.93996998,1.37620252,0.29814095,0.29523630,0.01464345,0.43856239,0.20479614,0.00000000,0.77235945,0.29066963
-5.93396698,1.34946148,0.28236376,0.28722087,0.01455514,0.43280514,0.19877097,0.00000000,0.76469538,0.28565051
-5.92796398,1.32097370,0.26772047,0.27898831,0.01438821,0.42605873,0.19289442,0.00000000,0.75584497,0.27999674
-5.92196098,1.29082398,0.25407341,0.27055447,0.01414300,0.41842092,0.18710632,0.00000000,0.74592428,0.27376201
-5.91595798,1.25925497,0.24130957,0.26196666,0.01382204,0.41003991,0.18137097,0.00000000,0.73514916,0.26703364
-5.90995498,1.22666595,0.22934502,0.25330347,0.01342999,0.40111196,0.17567922,0.00000000,0.72383330,0.25993112
-5.90395198,1.19360473,0.21812740,0.24467307,0.01297343,0.39187725,0.17004910,0.00000000,0.71238209,0.25260355
-5.89794897,1.16075296,0.20763642,0.23621011,0.01246062,0.38261384,0.16452523,0.00000000,0.70128247,0.24522577
-5.89194597,1.12890561,0.19788265,0.22807142,0.01190119,0.37363012,0.15917698,0.00000000,0.69108925,0.23799366
-5.88594297,1.09894550,0.18890465,0.22043071,0.01130575,0.36525595,0.15409555,0.00000000,0.68240835,0.23111854
-5.87993997,1.07181391,0.18076489,0.21347252,0.01068559,0.35783284,0.14939015,0.00000000,0.67587742,0.22482099
-5.87393697,1.04847857,0.17354458,0.20738560,0.01005225,0.35170342,0.14518340,0.00000000,0.67214481,0.21932426
-5.86793397,1.02990013,0.16733785,0.20235613,0.00941714,0.34720070,0.14160633,0.00000000,0.67184730,0.21484750
-5.86193097,1.01699840,0.16224554,0.19856091,0.00879124,0.34463740,0.13879300,0.00000000,0.67558770,0.21159904
-5.85592796,1.01061960,0.15836881,0.19616083,0.00818471,0.34429570,0.13687506,0.00000000,0.68391274,0.20976985
-5.84992496,1.01150559,0.15580301,0.19529479,0.00760670,0.34641770,0.13597642,0.00000000,0.69729224,0.20952751
-5.84392196,1.02026603,0.15463181,0.19607429,0.00706508,0.35119696,0.13620824,0.00000000,0.71610006,0.21101071
-5.83791896,1.03735440,0.15492208,0.19857886,0.00656629,0.35877121,0.13766424,0.00000000,0.74059747,0.21432443
-5.83191596,1.06304828,0.15671934,0.20285236,0.00611525,0.36921659,0.14041669,0.00000000,0.77091939,0.21953601
-5.82591296,1.09743456,0.16004413,0.20890034,0.00571531,0.38254337,0.14451293,0.00000000,0.80706404,0.22667212
-5.81990995,1.14039980,0.16488939,0.21668843,0.00536828,0.39869342,0.14997274,0.00000000,0.84888605,0.23571668
-5.81390695,1.19162589,0.17121871,0.22614185,0.00507444,0.41753933,0.15678638,0.00000000,0.89609356,0.24660977
-5.80790395,1.25059112,0.17896567,0.23714595,0.00483268,0.43888531,0.16491350,0.00000000,0.94824907,0.25924764
-5.80190095,1.31657645,0.18803420,0.24954786,0.00464064,0.46246972,0.17428289,0.00000000,1.00477435,0.27348365
-5.79589795,1.38867697,0.19829989,0.26315915,0.00449485,0.48796930,0.18479305,0.00000000,1.06495908,0.28913033
-5.78989495,1.46581813,0.20961234,0.27775935,0.00439094,0.51500489,0.19631357,0.00000000,1.12797326,0.30596230
-5.78389195,1.54677651,0.22179835,0.29310049,0.00432379,0.54314861,0.20868737,0.00000000,1.19288293,0.32372029
-5.77788894,1.63020454,0.23466603,0.30891225,0.00428778,0.57193228,0.22173371,0.00000000,1.25866905,0.34211587
-5.77188594,1.71465895,0.24800957,0.32490791,0.00427696,0.60085705,0.23525185,0.00000000,1.32424899,0.36083710
-5.76588294,1.79863203,0.26161477,0.34079074,0.00428525,0.62940384,0.24902554,0.00000000,1.38850021,0.37955489
-5.75987994,1.88058537,0.27526503,0.35626083,0.00430661,0.65704459,0.26282790,0.00000000,1.45028556,0.39792989
-5.75387694,1.95898520,0.28874774,0.37102217,0.00433518,0.68325396,0.27642700,0.00000000,1.50847963,0.41561990
-5.74787394,2.03233853,0.30186091,0.38478980,0.00436546,0.70752126,0.28959162,0.00000000,1.56199541,0.43228760
-5.74187094,2.09922936,0.31441983,0.39729686,0.00439244,0.72936230,0.30209739,0.00000000,1.60981060,0.44760840
-5.73586793,2.15835386,0.32626347,0.40830140,0.00441163,0.74833096,0.31373291,0.00000000,1.65099293,0.46127822
-5.72986493,2.20855380,0.33726059,0.41759263,0.00441920,0.76403007,0.32430577,0.00000000,1.68472358,0.47302104
-5.72386193,2.24884702,0.34731512,0.42499663,0.00441202,0.77612129,0.33364829,0.00000000,1.71031817,0.48259594
-5.71785893,2.27845413,0.35637067,0.43038117,0.00438765,0.78433385,0.34162270,0.00000000,1.72724455,0.48980344
-5.71185593,2.29682051,0.36441392,0.43365952,0.00434441,0.78847165,0.34812559,0.00000000,1.73513680,0.49449095
-5.70585293,2.30363270,0.37147666,0.43479317,0.00428130,0.78841866,0.35309155,0.00000000,1.73380495,0.49655703
-5.69984992,2.29882860,0.37763629,0.43379319,0.00419804,0.78414222,0.35649553,0.00000000,1.72323996,0.49595447
-5.69384692,2.28260081,0.38301468,0.43072034,0.00409496,0.77569436,0.35835411,0.00000000,1.70361384,0.49269184
-5.68784392,2.25539295,0.38777519,0.42568376,0.00397298,0.76321072,0.35872533,0.00000000,1.67527468,0.48683353
-5.68184092,2.21788861,0.39211792,0.41883817,0.00383354,0.74690729,0.35770712,0.00000000,1.63873672,0.47849830
-5.67583792,2.17099343,0.39627326,0.41037988,0.00367849,0.72707502,0.35543433,0.00000000,1.59466576,0.46785616
-5.66983492,2.11581037,0.40049377,0.40054135,0.00351007,0.70407231,0.35207433,0.00000000,1.54386034,0.45512389
-5.66383192,2.05360921,0.40504466,0.38958486,0.00333075,0.67831569,0.34782143,0.00000000,1.48722928,0.44055910
-5.65782891,1.98579093,0.41019326,0.37779500,0.00314321,0.65026906,0.34289019,0.00000000,1.42576636,0.42445323
-5.65182591,1.91384832,0.41619771,0.36547068,0.00295024,0.62043165,0.33750791,0.00000000,1.36052303,0.40712357
-5.64582291,1.83932408,0.42329543,0.35291654,0.00275465,0.58932532,0.33190659,0.00000000,1.29258018,0.38890466
-5.63981991,1.76376789,0.43169182,0.34043428,0.00255925,0.55748140,0.32631466,0.00000000,1.22301980,0.37013935
-5.63381691,1.68869389,0.44154970,0.32831405,0.00236674,0.52542777,0.32094885,0.00000000,1.15289779,0.35116981
-5.62781391,1.61554023,0.45298007,0.31682633,0.00217970,0.49367635,0.31600650,0.00000000,1.08321867,0.33232883
-5.62181091,1.54563185,0.46603462,0.30621440,0.00200054,0.46271158,0.31165877,0.00000000,1.01491316,0.31393174
-5.61580790,1.48014813,0.48070051,0.29668788,0.00183148,0.43298014,0.30804487,0.00000000,0.94881935,0.29626911
-5.60980490,1.42009613,0.49689771,0.28841729,0.00167453,0.40488227,0.30526779,0.00000000,0.88566792,0.27960054
-5.60380190,1.36629050,0.51447922,0.28153013,0.00153150,0.37876480,0.30339153,0.00000000,0.82607196,0.26414970
-5.59779890,1.31934054,0.53323433,0.27610831,0.00140397,0.35491621,0.30244011,0.00000000,0.77052132,0.25010072
-5.59179590,1.27964468,0.55289481,0.27218716,0.00129334,0.33356357,0.30239831,0.00000000,0.71938163,0.23759597
-5.58579290,1.24739225,0.57314409,0.26975609,0.00120082,0.31487143,0.30321423,0.00000000,0.67289766,0.22673523
