energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,2.73727998,1.37916719,1.56756408,0.00174688,0.53016305,0.12845781,0.55070000,0.00000000
-5.99399700,2.73655455,1.31715782,1.57094951,0.00180290,0.50884367,0.13805816,0.57414887,0.00000000
-5.98799400,2.74339743,1.26115476,1.57764276,0.00187956,0.48919148,0.14770564,0.59938237,0.00000000
-5.98199100,2.75738346,1.21161586,1.58724499,0.00197942,0.47129448,0.15727956,0.62619562,0.00000000
-5.97598799,2.77778397,1.16879172,1.59918707,0.00210504,0.45516458,0.16665496,0.65434208,0.00000000
-5.96998499,2.80361993,1.13274158,1.61276332,0.00225903,0.44074554,0.17570614,0.68354524,0.00000000
-5.96398199,2.83372484,1.10335481,1.62717134,0.00244396,0.42792330,0.18431038,0.71351129,0.00000000
-5.95797899,2.86681365,1.08037618,1.64155567,0.00266235,0.41653800,0.19235158,0.74394222,0.00000000
-5.95197599,2.90155360,1.06343351,1.65505299,0.00291658,0.40639695,0.19972375,0.77454849,0.00000000
-5.94597299,2.93663330,1.05206588,1.66683635,0.00320884,0.39728781,0.20633411,0.80506045,0.00000000
-5.93996998,2.97082605,1.04575099,1.67615621,0.00354096,0.38899134,0.21210568,0.83523792,0.00000000
-5.93396698,3.00304431,1.04393050,1.68237606,0.00391439,0.38129313,0.21697928,0.86487731,0.00000000
-5.92796398,3.03238257,1.04603228,1.68500095,0.00432999,0.37399368,0.22091479,0.89381586,0.00000000
-5.92196098,3.05814670,1.05148895,1.68369756,0.00478794,0.36691662,0.22389174,0.92193275,0.00000000
-5.91595798,3.07986887,1.05975233,1.67830497,0.00528759,0.35991464,0.22590906,0.94914714,0.00000000
-5.90995498,3.09730778,1.07030374,1.66883586,0.00582733,0.35287324,0.22698423,0.97541321,0.00000000
-5.90395198,3.11043505,1.08266039,1.65546838,0.00640451,0.34571210,0.22715172,1.00071272,0.00000000
-5.89794897,3.11940924,1.09637824,1.63852946,0.00701528,0.33838439,0.22646099,1.02504547,0.00000000
-5.89194597,3.12453988,1.11105193,1.61847085,0.00765462,0.33087422,0.22497397,1.04841862,0.00000000
-5.88594297,3.12624415,1.12631257,1.59583940,0.00831626,0.32319257,0.22276245,1.07083533,0.00000000
-5.87993997,3.12499947,1.14182391,1.57124349,0.00899276,0.31537210,0.21990516,1.09228389,0.00000000
-5.87393697,3.12129503,1.15727792,1.54531769,0.00967556,0.30746128,0.21648503,1.11272782,0.00000000
-5.86793397,3.11558561,1.17239004,1.51868759,0.01035512,0.29951821,0.21258649,1.13209795,0.00000000
-5.86193097,3.10825040,1.18689502,1.49193680,0.01102114,0.29160462,0.20829300,1.15028686,0.00000000
-5.85592796,3.09955932,1.20054335,1.46557789,0.01166276,0.28378032,0.20368493,1.16714622,0.00000000
-5.84992496,3.08964861,1.21309888,1.44002861,0.01226886,0.27609840,0.19883779,1.18248727,0.00000000
-5.84392196,3.07850678,1.22433748,1.41559456,0.01282836,0.26860146,0.19382077,1.19608438,0.00000000
-5.83791896,3.06597151,1.23404672,1.39245881,0.01333056,0.26131888,0.18869570,1.20768162,0.00000000
-5.83191596,3.05173703,1.24202660,1.37067881,0.01376549,0.25426532,0.18351641,1.21700181,0.00000000
-5.82591296,3.03537115,1.24809085,1.35019030,0.01412417,0.24744031,0.17832831,1.22375768,0.00000000
-5.81990995,3.01634041,1.25206879,1.33081761,0.01439899,0.24082892,0.17316832,1.22766428,0.00000000
-5.81390695,2.99404150,1.25380726,1.31228934,0.01458394,0.23440330,0.16806500,1.22845208,0.00000000
-5.80790395,2.96783661,1.25317253,1.29425839,0.01467481,0.22812500,0.16303890,1.22587982,0.00000000
-5.80190095,2.93709058,1.25005187,1.27632482,0.01466936,0.22194772,0.15810304,1.21974653,0.00000000
-5.79589795,2.90120739,1.24435478,1.25806016,0.01456738,0.21582039,0.15326350,1.20990189,0.00000000
-5.78989495,2.85966402,1.23601366,1.23903182,0.01437071,0.20969041,0.14852017,1.19625456,0.00000000
-5.78389195,2.81203983,1.22498404,1.21882610,0.01408316,0.20350661,0.14386748,1.17877789,0.00000000
-5.77788894,2.75804001,1.21124441,1.19706894,0.01371039,0.19722215,0.13929531,1.15751296,0.00000000
-5.77188594,2.69751225,1.19479566,1.17344313,0.01325971,0.19079684,0.13478986,1.13256870,0.00000000
-5.76588294,2.63045597,1.17566044,1.14770174,0.01273980,0.18419907,0.13033466,1.10411939,0.00000000
-5.75987994,2.55702429,1.15388237,1.11967698,0.01216045,0.17740713,0.12591153,1.07239956,0.00000000
-5.75387694,2.47751895,1.12952543,1.08928475,0.01153220,0.17041002,0.12150164,1.03769689,0.00000000
-5.74787394,2.39237912,1.10267337,1.05652480,0.01086608,0.16320768,0.11708650,1.00034334,0.00000000
-5.74187094,2.30216495,1.07342944,1.02147699,0.01017318,0.15581068,0.11264901,0.96070527,0.00000000
-5.73586793,2.20753729,1.04191620,0.98429427,0.00946444,0.14823949,0.10817434,0.91917285,0.00000000
-5.72986493,2.10923472,1.00827553,0.94519294,0.00875028,0.14052346,0.10365080,0.87614942,0.00000000
-5.72386193,2.00804941,0.97266863,0.90444105,0.00804043,0.13269937,0.09907056,0.83204127,0.00000000
-5.71785893,1.90480285,0.93527590,0.86234575,0.00734365,0.12480991,0.09443019,0.78724812,0.00000000
-5.71185593,1.80032271,0.89629665,0.81924023,0.00666764,0.11690201,0.08973104,0.74215479,0.00000000
-5.70585293,1.69542176,0.85594832,0.77547107,0.00601891,0.10902517,0.08497936,0.69712416,0.00000000
-5.69984992,1.59087937,0.81446527,0.73138649,0.00540275,0.10122980,0.08018629,0.65249162,0.00000000
-5.69384692,1.48742630,0.77209692,0.68732597,0.00482321,0.09356573,0.07536752,0.60856095,0.00000000
-5.68784392,1.38573282,0.72910524,0.64361157,0.00428312,0.08608079,0.07054285,0.56560175,0.00000000
-5.68184092,1.28640025,0.68576161,0.60054109,0.00378423,0.07881963,0.06573552,0.52384812,0.00000000
-5.67583792,1.18995586,0.64234304,0.55838318,0.00332724,0.07182275,0.06097141,0.48349867,0.00000000
-5.66983492,1.09685068,0.59912797,0.51737430,0.00291198,0.06512569,0.05627812,0.44471734,0.00000000
-5.66383192,1.00745996,0.55639162,0.47771731,0.00253750,0.05875853,0.05168404,0.40763522,0.00000000
-5.65782891,0.92208580,0.51440129,0.43958167,0.00220224,0.05274551,0.04721740,0.37235280,0.00000000
-5.65182591,0.84096149,0.47341157,0.40310473,0.00190418,0.04710491,0.04290530,0.33894272,0.00000000
-5.64582291,0.76425701,0.43365990,0.36839406,0.00164095,0.04184907,0.03877296,0.30745274,0.00000000
-5.63981991,0.69208553,0.39536248,0.33553042,0.00140997,0.03698461,0.03484293,0.27790871,0.00000000
-5.63381691,0.62451026,0.35871082,0.30457118,0.00120855,0.03251280,0.03113463,0.25031770,0.00000000
-5.62781391,0.56155156,0.32386905,0.27555397,0.00103401,0.02842994,0.02766390,0.22467082,0.00000000
-5.62181091,0.50319403,0.29097205,0.24850037,0.00088375,0.02472799,0.02444284,0.20094613,0.00000000
-5.61580790,0.44939347,0.26012451,0.22341961,0.00075530,0.02139511,0.02147977,0.17911116,0.00000000
-5.60980490,0.40008357,0.23140096,0.20031199,0.00064639,0.01841638,0.01877942,0.15912548,0.00000000
-5.60380190,0.35518229,0.20484660,0.17917229,0.00055499,0.01577440,0.01634320,0.14094295,0.00000000
-5.59779890,0.31459807,0.18047910,0.15999283,0.00047934,0.01345004,0.01416967,0.12451395,0.00000000
-5.59179590,0.27823556,0.15829097,0.14276639,0.00041792,0.01142305,0.01225509,0.10978742,0.00000000
-5.58579290,0.24600131,0.13825274,0.12748902,0.00036954,0.00967268,0.01059402,0.09671291,0.00000000
-5.57978989,0.21780900,0.12031643,0.11416253,0.00033325,0.00817829,0.00918001,0.08524245,0.00000000
-5.57378689,0.19358449,0.10441943,0.10279694,0.00030840,0.00691984,0.00800631,0.07533237,0.00000000
-5.56778389,0.17327053,0.09048856,0.09341265,0.00029461,0.00587835,0.00706650,0.06694506,0.00000000
-5.56178089,0.15683099,0.07844412,0.08604246,0.00029176,0.00503633,0.00635519,0.06005055,0.00000000
-5.55577789,0.14425461,0.06820380,0.08073323,0.00029996,0.00437800,0.00586857,0.05462793,0.00000000
-5.54977489,0.13555811,0.05968645,0.07754723,0.00031954,0.00388962,0.00560497,0.05066663,0.00000000
-5.54377189,0.13078843,0.05281538,0.07656299,0.00035102,0.00355960,0.00556528,0.04816727,0.00000000
-5.53776888,0.13002398,0.04752135,0.07787560,0.00039511,0.00337860,0.00575325,0.04714236,0.00000000
-5.53176588,0.13337473,0.04374498,0.08159630,0.00045263,0.00333954,0.00617578,0.04761643,0.00000000
-5.52576288,0.14098100,0.04143868,0.08785134,0.00052452,0.00343758,0.00684297,0.04962579,0.00000000
-5.51975988,0.15301070,0.04056789,0.09677985,0.00061176,0.00366998,0.00776816,0.05321777,0.00000000
-5.51375688,0.16965509,0.04111185,0.10853087,0.00071534,0.00403594,0.00896778,0.05844934,0.00000000
-5.50775388,0.19112291,0.04306365,0.12325934,0.00083623,0.00453642,0.01046113,0.06538528,0.00000000
-5.50175088,0.21763295,0.04642978,0.14112117,0.00097527,0.00517381,0.01226997,0.07409565,0.00000000
-5.49574787,0.24940507,0.05122900,0.16226741,0.00113318,0.00595172,0.01441809,0.08465281,0.00000000
-5.48974487,0.28665004,0.05749074,0.18683758,0.00131044,0.00687459,0.01693070,0.09712794,0.00000000
-5.48374187,0.32955819,0.06525296,0.21495251,0.00150728,0.00794736,0.01983378,0.11158709,0.00000000
-5.47773887,0.37828743,0.07455958,0.24670668,0.00172359,0.00917513,0.02315330,0.12808704,0.00000000
-5.47173587,0.43295086,0.08545752,0.28216054,0.00195893,0.01056277,0.02691442,0.14667083,0.00000000
-5.46573287,0.49360459,0.09799338,0.32133290,0.00221245,0.01211455,0.03114067,0.16736346,0.00000000
-5.45972986,0.56023604,0.11220996,0.36419394,0.00248288,0.01383382,0.03585304,0.19016757,0.00000000
-5.45372686,0.63275346,0.12814256,0.41065899,0.00276855,0.01572267,0.04106923,0.21505952,0.00000000
-5.44772386,0.71097696,0.14581531,0.46058345,0.00306740,0.01778164,0.04680280,0.24198592,0.00000000
-5.44172086,0.79463166,0.16523751,0.51375921,0.00337703,0.02000945,0.05306260,0.27086089,0.00000000
-5.43571786,0.88334329,0.18640017,0.56991273,0.00369476,0.02240283,0.05985215,0.30156403,0.00000000
-5.42971486,0.97663656,0.20927281,0.62870503,0.00401770,0.02495635,0.06716939,0.33393937,0.00000000
-5.42371186,1.07393660,0.23380068,0.68973365,0.00434292,0.02766235,0.07500645,0.36779540,0.00000000
-5.41770885,1.17457352,0.25990250,0.75253674,0.00466753,0.03051092,0.08334980,0.40290612,0.00000000
-5.41170585,1.27779012,0.28746880,0.81659906,0.00498882,0.03348994,0.09218059,0.43901327,0.00000000
