energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.82096654,1.11441734,0.29365420,0.00251933,0.26776308,0.01263894,0.95785447,0.56648794,0.23489646
-5.99399700,1.79750143,1.09749887,0.29007419,0.00232564,0.25809900,0.01192445,0.95317714,0.55913580,0.23342735
-5.98799400,1.78296793,1.08537480,0.28752492,0.00214295,0.24984114,0.01127370,0.95340458,0.55489362,0.23313164
-5.98199100,1.77767080,1.07819649,0.28603660,0.00197280,0.24304850,0.01069729,0.95869372,0.55385810,0.23402798
-5.97598799,1.78167139,1.07596907,0.28560145,0.00181631,0.23774430,0.01020353,0.96906912,0.55603975,0.23610667
-5.96998499,1.79478725,1.07855299,0.28617503,0.00167424,0.23391555,0.00979842,0.98442234,0.56136279,0.23932951
-5.96398199,1.81660006,1.08567084,0.28767892,0.00154698,0.23151381,0.00948556,1.00451568,0.56966780,0.24363065
-5.95797899,1.84647123,1.09691898,0.29000464,0.00143458,0.23045720,0.00926618,1.02899010,0.58071699,0.24891837
-5.95197599,1.88356401,1.11178311,0.29301859,0.00133679,0.23063338,0.00913926,1.05737662,0.59420184,0.25507764
-5.94597299,1.92687088,1.12965711,0.29656770,0.00125313,0.23190341,0.00910159,1.08911070,0.60975267,0.26197339
-5.93996998,1.97524487,1.14986404,0.30048550,0.00118293,0.23410631,0.00914800,1.12354879,0.62694967,0.26945411
-5.93396698,2.02743352,1.17167850,0.30459835,0.00112539,0.23706407,0.00927150,1.15998648,0.64533511,0.27735596
-5.92796398,2.08211401,1.19434936,0.30873164,0.00107965,0.24058683,0.00946352,1.19767744,0.66442603,0.28550686
-5.92196098,2.13792836,1.21712198,0.31271551,0.00104482,0.24447825,0.00971416,1.23585267,0.68372723,0.29373074
-5.91595798,2.19351756,1.23925926,0.31639019,0.00102002,0.24854066,0.01001241,1.27373930,0.70274385,0.30185159
-5.90995498,2.24755377,1.26006080,0.31961048,0.00100447,0.25257988,0.01034646,1.31057873,0.72099342,0.30969740
-5.90395198,2.29876989,1.27887971,0.32224953,0.00099748,0.25640977,0.01070396,1.34564337,0.73801688,0.31710369
-5.89794897,2.34598603,1.29513683,0.32420170,0.00099846,0.25985610,0.01107229,1.37825212,0.75338850,0.32391687
-5.89194597,2.38813243,1.30833197,0.32538453,0.00100699,0.26275994,0.01143885,1.40778393,0.76672429,0.32999707
-5.88594297,2.42426881,1.31805240,0.32573985,0.00102274,0.26498042,0.01179139,1.43368970,0.77768901,0.33522073
-5.87993997,2.45360005,1.32397833,0.32523408,0.00104557,0.26639682,0.01211821,1.45550213,0.78600158,0.33948271
-5.87393697,2.47548814,1.32588576,0.32385781,0.00107540,0.26691014,0.01240847,1.47284370,0.79143900,0.34269801
-5.86793397,2.48946071,1.32364684,0.32162475,0.00111229,0.26644394,0.01265243,1.48543261,0.79383867,0.34480316
-5.86193097,2.49521596,1.31722797,0.31857018,0.00115635,0.26494484,0.01284164,1.49308684,0.79309942,0.34575713
-5.85592796,2.49262450,1.30668599,0.31474898,0.00120773,0.26238236,0.01296916,1.49572614,0.78918111,0.34554195
-5.84992496,2.48172787,1.29216266,0.31023342,0.00126660,0.25874842,0.01302966,1.49337218,0.78210308,0.34416284
-5.84392196,2.46273411,1.27387786,0.30511071,0.00133309,0.25405640,0.01301953,1.48614673,0.77194151,0.34164798
-5.83791896,2.43601038,1.25212155,0.29948052,0.00140728,0.24833994,0.01293696,1.47426796,0.75882581,0.33804791
-5.83191596,2.40207275,1.22724494,0.29345238,0.00148916,0.24165131,0.01278187,1.45804491,0.74293419,0.33343438
-5.82591296,2.36157335,1.19965100,0.28714318,0.00157862,0.23405966,0.01255591,1.43787013,0.72448846,0.32789893
-5.81990995,2.31528504,1.16978442,0.28067474,0.00167540,0.22564894,0.01226232,1.41421073,0.70374821,0.32155099
-5.81390695,2.26408369,1.13812137,0.27417143,0.00177913,0.21651570,0.01190579,1.38759779,0.68100449,0.31451554
-5.80790395,2.20892861,1.10515904,0.26775796,0.00188927,0.20676668,0.01149224,1.35861452,0.65657312,0.30693051
-5.80190095,2.15084119,1.07140520,0.26155723,0.00200516,0.19651632,0.01102863,1.32788319,0.63078759,0.29894377
-5.79589795,2.09088234,1.03736799,0.25568835,0.00212600,0.18588413,0.01052270,1.29605129,0.60399197,0.29070996
-5.78989495,2.03012911,1.00354586,0.25026479,0.00225089,0.17499214,0.00998268,1.26377709,0.57653365,0.28238700
-5.78389195,1.96965108,0.97041811,0.24539254,0.00237882,0.16396223,0.00941707,1.23171500,0.54875629,0.27413261
-5.77788894,1.91048696,0.93843586,0.24116852,0.00250875,0.15291364,0.00883434,1.20050103,0.52099300,0.26610079
-5.77188594,1.85362203,0.90801381,0.23767902,0.00263959,0.14196057,0.00824277,1.17073871,0.49355995,0.25843828
-5.76588294,1.79996695,0.87952282,0.23499825,0.00277024,0.13120998,0.00765015,1.14298587,0.46675056,0.25128132
-5.75987994,1.75033842,0.85328340,0.23318704,0.00289965,0.12075967,0.00706367,1.11774246,0.44083038,0.24475252
-5.75387694,1.70544218,0.82956031,0.23229166,0.00302678,0.11069661,0.00648976,1.09543984,0.41603283,0.23895815
-5.74787394,1.66585883,0.80855825,0.23234282,0.00315068,0.10109563,0.00593400,1.07643168,0.39255586,0.23398580
-5.74187094,1.63203268,0.79041885,0.23335485,0.00327046,0.09201855,0.00540104,1.06098682,0.37055964,0.22990247
-5.73586793,1.60426401,0.77521890,0.23532511,0.00338531,0.08351364,0.00489462,1.04928408,0.35016523,0.22675323
-5.72986493,1.58270494,0.76297000,0.23823362,0.00349449,0.07561544,0.00441754,1.04140933,0.33145441,0.22456038
-5.72386193,1.56735894,0.75361947,0.24204312,0.00359734,0.06834513,0.00397172,1.03735484,0.31447051,0.22332319
-5.71785893,1.55808412,0.74705285,0.24669930,0.00369322,0.06171104,0.00355831,1.03702090,0.29922021,0.22301828
-5.71185593,1.55460027,0.74309761,0.25213162,0.00378154,0.05570970,0.00317771,1.04021989,0.28567629,0.22360056
-5.70585293,1.55649935,0.74152836,0.25825438,0.00386171,0.05032698,0.00282972,1.04668252,0.27378113,0.22500475
-5.69984992,1.56325955,0.74207331,0.26496829,0.00393314,0.04553961,0.00251366,1.05606635,0.26345091,0.22714747
-5.69384692,1.57426224,0.74442195,0.27216254,0.00399519,0.04131672,0.00222843,1.06796634,0.25458033,0.22992985
-5.68784392,1.58881178,0.74823380,0.27971717,0.00404720,0.03762155,0.00197267,1.08192719,0.24704768,0.23324059
-5.68184092,1.60615740,0.75314807,0.28750591,0.00408847,0.03441317,0.00174485,1.09745724,0.24072014,0.23695942
