energy_ev,total_up,Ir_p_up,Ir_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,0.67251018,0.19085972,0.48558223,0.23300396,0.00434242,0.05381549,0.00000000
-5.99399700,0.63972016,0.17137575,0.46854304,0.22672618,0.00372537,0.04741004,0.00000000
-5.98799400,0.61356349,0.15425938,0.45598518,0.22272218,0.00318989,0.04153414,0.00000000
-5.98199100,0.59384265,0.13945690,0.44776481,0.22089466,0.00273161,0.03620613,0.00000000
-5.97598799,0.58034099,0.12689131,0.44373545,0.22114006,0.00234609,0.03143500,0.00000000
-5.96998499,0.57283403,0.11646826,0.44375418,0.22335199,0.00202897,0.02722195,0.00000000
-5.96398199,0.57109869,0.10808192,0.44768617,0.22742377,0.00177620,0.02356211,0.00000000
-5.95797899,0.57492023,0.10162051,0.45540729,0.23325014,0.00158417,0.02044621,0.00000000
-5.95197599,0.58409684,0.09697123,0.46680494,0.24072804,0.00144981,0.01786239,0.00000000
-5.94597299,0.59844191,0.09402470,0.48177720,0.24975650,0.00137072,0.01579774,0.00000000
-5.93996998,0.61778400,0.09267852,0.50023048,0.26023585,0.00134518,0.01423982,0.00000000
-5.93396698,0.64196484,0.09284000,0.52207582,0.27206619,0.00137224,0.01317787,0.00000000
-5.92796398,0.67083544,0.09442807,0.54722428,0.28514532,0.00145169,0.01260381,0.00000000
-5.92196098,0.70425083,0.09737418,0.57558148,0.29936639,0.00158404,0.01251293,0.00000000
-5.91595798,0.74206360,0.10162239,0.60704188,0.31461523,0.00177048,0.01290426,0.00000000
-5.90995498,0.78411674,0.10712858,0.64148288,0.33076787,0.00201278,0.01378064,0.00000000
-5.90395198,0.83023618,0.11385886,0.67875925,0.34768811,0.00231320,0.01514843,0.00000000
-5.89794897,0.88022332,0.12178737,0.71869809,0.36522565,0.00267435,0.01701691,0.00000000
-5.89194597,0.93384811,0.13089340,0.76109461,0.38321470,0.00309904,0.01939742,0.00000000
-5.88594297,0.99084283,0.14115823,0.80570903,0.40147347,0.00359008,0.02230221,0.00000000
-5.87993997,1.05089716,0.15256156,0.85226468,0.41980453,0.00415011,0.02574309,0.00000000
-5.87393697,1.11365449,0.16507795,0.90044756,0.43799609,0.00478139,0.02972993,0.00000000
-5.86793397,1.17870997,0.17867330,0.94990722,0.45582439,0.00548556,0.03426905,0.00000000
-5.86193097,1.24561026,0.19330158,1.00025926,0.47305704,0.00626346,0.03936160,0.00000000
-5.85592796,1.31385510,0.20890202,1.05108904,0.48945732,0.00711487,0.04500203,0.00000000
-5.84992496,1.38290080,0.22539693,1.10195677,0.50478922,0.00803836,0.05117668,0.00000000
-5.84392196,1.45216544,0.24269023,1.15240359,0.51882313,0.00903111,0.05786264,0.00000000
-5.83791896,1.52103575,0.26066692,1.20195858,0.53134183,0.01008874,0.06502686,0.00000000
-5.83191596,1.58887553,0.27919351,1.25014637,0.54214664,0.01120528,0.07262575,0.00000000
-5.82591296,1.65503527,0.29811949,1.29649506,0.55106339,0.01237307,0.08060512,0.00000000
-5.81990995,1.71886282,0.31727977,1.34054433,0.55794784,0.01358281,0.08890066,0.00000000
-5.81390695,1.77971476,0.33649821,1.38185332,0.56269049,0.01482362,0.09743892,0.00000000
-5.80790395,1.83696816,0.35559185,1.42000822,0.56522033,0.01608322,0.10613871,0.00000000
-5.80190095,1.89003236,0.37437595,1.45462917,0.56550744,0.01734809,0.11491302,0.00000000
-5.79589795,1.93836053,0.39266949,1.48537652,0.56356429,0.01860375,0.12367119,0.00000000
-5.78989495,1.98146049,0.41030076,1.51195610,0.55944561,0.01983509,0.13232153,0.00000000
-5.78389195,2.01890460,0.42711303,1.53412359,0.55324692,0.02102669,0.14077387,0.00000000
-5.77788894,2.05033820,0.44296963,1.55168770,0.54510158,0.02216326,0.14894230,0.00000000
-5.77188594,2.07548653,0.45775846,1.56451229,0.53517670,0.02322996,0.15674767,0.00000000
-5.76588294,2.09415955,0.47139537,1.57251733,0.52366790,0.02421283,0.16411986,0.00000000
-5.75987994,2.10625469,0.48382633,1.57567861,0.51079317,0.02509917,0.17099963,0.00000000
-5.75387694,2.11175718,0.49502814,1.57402642,0.49678620,0.02587781,0.17733997,0.00000000
-5.74787394,2.11073798,0.50500751,1.56764301,0.48188917,0.02653944,0.18310675,0.00000000
-5.74187094,2.10334928,0.51379863,1.55665910,0.46634566,0.02707679,0.18827886,0.00000000
