energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,5.49951479,3.44072771,1.76285276,0.00632045,2.32040087,0.01176983,1.19496225
-5.99399700,5.51066862,3.48184104,1.75833389,0.00627168,2.32246867,0.01239031,1.20088015
-5.98799400,5.51398105,3.51570572,1.75175489,0.00620344,2.32126632,0.01300637,1.20503226
-5.98199100,5.50870724,3.54150392,1.74297645,0.00611885,2.31652019,0.01361245,1.20721686
-5.97598799,5.49410656,3.55851792,1.73183783,0.00602112,2.30795710,0.01420301,1.20723293
-5.96998499,5.46948304,3.56616174,1.71816855,0.00591350,2.29532237,0.01477265,1.20488812
-5.96398199,5.43422977,3.56401149,1.70180253,0.00579906,2.27840002,0.01531621,1.20000701
-5.95797899,5.38787479,3.55183290,1.68259359,0.00568066,2.25703407,0.01582888,1.19243937
-5.95197599,5.33012573,3.52960452,1.66043156,0.00556082,2.23114944,0.01630625,1.18206795
-5.94597299,5.26091025,3.49753516,1.63525763,0.00544165,2.20077096,0.01674444,1.16881548
-5.93996998,5.18040945,3.45607416,1.60707808,0.00532484,2.16603915,0.01714014,1.15265043
-5.93396698,5.08908174,3.40591354,1.57597531,0.00521156,2.12722125,0.01749065,1.13359142
-5.92796398,4.98767506,3.34798125,1.54211514,0.00510251,2.08471665,0.01779394,1.11170980
-5.92196098,4.87722612,3.28342518,1.50575005,0.00499795,2.03905570,0.01804863,1.08713052
-5.91595798,4.75904586,3.21358815,1.46721763,0.00489769,1.99089167,0.01825406,1.06003110
-5.90995498,4.63469146,3.13997442,1.42693452,0.00480121,1.94098589,0.01841020,1.03063881
-5.90395198,4.50592570,3.06420881,1.38538564,0.00470770,1.89018646,0.01851770,0.99922623
-5.89794897,4.37466548,2.98798992,1.34310963,0.00461614,1.83940141,0.01857780,0.96610537
-5.89194597,4.24292187,2.91303920,1.30068084,0.00452542,1.78956767,0.01859230,0.93162066
-5.88594297,4.11273444,2.84104795,1.25868920,0.00443444,1.74161713,0.01856351,0.89614117
-5.87993997,3.98610328,2.77362440,1.21771872,0.00434214,1.69644171,0.01849412,0.86005225
-5.87393697,3.86492172,2.71224320,1.17832591,0.00424766,1.65485905,0.01838717,0.82374714
-5.86793397,3.75091328,2.65819921,1.14101932,0.00415036,1.61758064,0.01824592,0.78761865
-5.86193097,3.64557555,2.61256778,1.10624112,0.00404986,1.58518395,0.01807377,0.75205130
-5.85592796,3.55013380,2.57617290,1.07435162,0.00394615,1.55809005,0.01787413,0.71741412
