energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,3.57061616,0.00381682,0.67492503,0.45872112,2.33494250,1.38598301,0.03740004,1.15320817
-5.99399700,3.57580034,0.00376657,0.67409071,0.46150673,2.38535123,1.36587980,0.03827477,1.16348569
-5.98799400,3.57993641,0.00371173,0.67394164,0.46343362,2.43724019,1.34560232,0.03902777,1.17258740
-5.98199100,3.58304863,0.00365243,0.67450821,0.46445303,2.49044218,1.32531068,0.03965425,1.18043853
-5.97598799,3.58512588,0.00358893,0.67579490,0.46452391,2.54471935,1.30514578,0.04015118,1.18697013
-5.96998499,3.58611888,0.00352163,0.67778054,0.46361321,2.59976136,1.28522769,0.04051724,1.19211838
-5.96398199,3.58593687,0.00345107,0.68041856,0.46169626,2.65518387,1.26565380,0.04075275,1.19582361
-5.95797899,3.58444383,0.00337788,0.68363734,0.45875719,2.71052736,1.24649659,0.04085957,1.19802916
-5.95197599,3.58145430,0.00330279,0.68734050,0.45478935,2.76525663,1.22780111,0.04084093,1.19868004
-5.94597299,3.57672925,0.00322666,0.69140739,0.44979565,2.81876120,1.20958244,0.04070123,1.19772149
-5.93996998,3.56997255,0.00315040,0.69569365,0.44378884,2.87035706,1.19182326,0.04044587,1.19509755
-5.93396698,3.56082851,0.00307502,0.70003223,0.43679165,2.91929042,1.17447195,0.04008097,1.19074979
-5.92796398,3.54888155,0.00300158,0.70423485,0.42883678,2.96474385,1.15744141,0.03961321,1.18461639
-5.92196098,3.53365840,0.00293123,0.70809423,0.41996676,3.00584558,1.14060908,0.03904955,1.17663177
-5.91595798,3.51463381,0.00286520,0.71138701,0.41023354,3.04168220,1.12381836,0.03839707,1.16672691
-5.90995498,3.49123998,0.00280477,0.71387777,0.39969804,3.07131504,1.10688164,0.03766278,1.15483053
-5.90395198,3.46288019,0.00275133,0.71532384,0.38842950,3.09380047,1.08958511,0.03685349,1.14087131
-5.89794897,3.42894655,0.00270634,0.71548120,0.37650467,3.10821355,1.07169524,0.03597575,1.12478098
-5.89194597,3.38884144,0.00267135,0.71411113,0.36400698,3.11367485,1.05296696,0.03503577,1.10649857
-5.88594297,3.34200212,0.00264802,0.71098748,0.35102556,3.10937931,1.03315309,0.03403946,1.08597528
-5.87993997,3.28792751,0.00263813,0.70590432,0.33765428,3.09462627,1.01201478,0.03299249,1.06318020
-5.87393697,3.22620578,0.00264352,0.69868367,0.32399071,3.06884921,0.98933244,0.03190040,1.03810621
-5.86793397,3.15654158,0.00266617,0.68918286,0.31013502,3.03164384,0.96491655,0.03076871,1.01077609
-5.86193097,3.07878115,0.00270814,0.67730114,0.29618892,2.98279291,0.93861799,0.02960317,0.98124810
-5.85592796,2.99293402,0.00277152,0.66298528,0.28225454,2.92228640,0.91033703,0.02840984,0.94962097
-5.84992496,2.89918978,0.00285847,0.64623368,0.26843325,2.85033575,0.88003073,0.02719534,0.91603776
-5.84392196,2.79792879,0.00297111,0.62709885,0.25482447,2.76738104,0.84771819,0.02596702,0.88068826
-5.83791896,2.68972601,0.00311154,0.60568794,0.24152441,2.67409034,0.81348339,0.02473306,0.84380981
-5.83191596,2.57534738,0.00328171,0.58216128,0.22862476,2.57135108,0.77747530,0.02350264,0.80568621
-5.82591296,2.45573864,0.00348340,0.55672904,0.21621141,2.46025332,0.73990549,0.02228594,0.76664477
-5.81990995,2.33200700,0.00371816,0.52964593,0.20436305,2.34206559,0.70104308,0.02109418,0.72705151
-5.81390695,2.20539628,0.00398719,0.50120432,0.19314992,2.21820412,0.66120738,0.01993961,0.68730467
-5.80790395,2.07725658,0.00429134,0.47172604,0.18263255,2.09019680,0.62075864,0.01883533,0.64782671
-5.80190095,1.94900986,0.00463099,0.44155314,0.17286063,1.95964332,0.58008729,0.01779522,0.60905517
-5.79589795,1.82211285,0.00500603,0.41103825,0.16387212,1.82817319,0.53960221,0.01683366,0.57143278
-5.78989495,1.69801899,0.00541580,0.38053464,0.15569255,1.69740356,0.49971861,0.01596537,0.53539715
