energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,W_p_up,W_d_up
-6.00000000,2.54144915,0.04206567,0.45270500,0.90773479,0.00000000,1.58757790,1.03144990
-5.99399700,2.58335573,0.03896130,0.47626386,0.89222621,0.00000000,1.62257236,1.04410139
-5.98799400,2.62868713,0.03606085,0.50059158,0.87808603,0.00000000,1.65642242,1.05881530
-5.98199100,2.67704066,0.03338516,0.52541531,0.86547531,0.00000000,1.68877601,1.07552377
-5.97598799,2.72789384,0.03094850,0.55044488,0.85449668,0.00000000,1.71925493,1.09410026
-5.96998499,2.78061003,0.02875874,0.57537654,0.84519339,0.00000000,1.74746080,1.11435947
-5.96398199,2.83444754,0.02681761,0.59989723,0.83755060,0.00000000,1.77298247,1.13605887
-5.95797899,2.88857165,0.02512119,0.62368892,0.83149846,0.00000000,1.79540434,1.15890168
-5.95197599,2.94206915,0.02366052,0.64643329,0.82691669,0.00000000,1.81431540,1.18254120
-5.94597299,2.99396462,0.02242223,0.66781626,0.82364039,0.00000000,1.82931866,1.20658620
-5.93996998,3.04323828,0.02138937,0.68753273,0.82146658,0.00000000,1.84004052,1.23060732
-5.93396698,3.08884494,0.02054207,0.70529116,0.82016116,0.00000000,1.84614009,1.25414433
-5.92796398,3.12973378,0.01985838,0.72081822,0.81946621,0.00000000,1.84731802,1.27671411
-5.92196098,3.16486896,0.01931496,0.73386332,0.81910717,0.00000000,1.84332480,1.29781949
-5.91595798,3.19325076,0.01888779,0.74420312,0.81879994,0.00000000,1.83396838,1.31695873
-5.90995498,3.21393721,0.01855282,0.75164599,0.81825769,0.00000000,1.81912104,1.33363566
-5.90395198,3.22606593,0.01828650,0.75603627,0.81719748,0.00000000,1.79872532,1.34737046
-5.89794897,3.22887606,0.01806638,0.75725836,0.81534648,0.00000000,1.77279909,1.35771089
-5.89194597,3.22172970,0.01787148,0.75524048,0.81244805,0.00000000,1.74143942,1.36424379
-5.88594297,3.20413242,0.01768271,0.74995793,0.80826738,0.00000000,1.70482536,1.36660666
-5.87993997,3.17575216,0.01748318,0.74143577,0.80259699,0.00000000,1.66321927,1.36449886
-5.87393697,3.13643578,0.01725841,0.72975057,0.79526179,0.00000000,1.61696663,1.35769221
-5.86793397,3.08622231,0.01699652,0.71503124,0.78612377,0.00000000,1.56649421,1.34604036
-5.86193097,3.02535228,0.01668836,0.69745868,0.77508616,0.00000000,1.51230620,1.32948663
-5.85592796,2.95427212,0.01632749,0.67726406,0.76209697,0.00000000,1.45497853,1.30806979
-5.84992496,2.87363318,0.01591017,0.65472574,0.74715164,0.00000000,1.39515102,1.28192741
-5.84392196,2.78428487,0.01543530,0.63016485,0.73029477,0.00000000,1.33351744,1.25129648
-5.83791896,2.68726165,0.01490420,0.60393945,0.71162066,0.00000000,1.27081376,1.21651099
-5.83191596,2.58376417,0.01432047,0.57643748,0.69127267,0.00000000,1.20780453,1.17799659
-5.82591296,2.47513483,0.01368970,0.54806877,0.66944118,0.00000000,1.14526800,1.13626218
-5.81990995,2.36282860,0.01301923,0.51925628,0.64636018,0.00000000,1.08398026,1.09188884
-5.81390695,2.24838008,0.01231780,0.49042700,0.62230264,0.00000000,1.02469892,1.04551640
-5.80790395,2.13336821,0.01159526,0.46200277,0.59757457,0.00000000,0.96814715,0.99782811
-5.80190095,2.01937987,0.01086227,0.43439155,0.57250822,0.00000000,0.91499849,0.94953424
-5.79589795,1.90797413,0.01012998,0.40797941,0.54745443,0.00000000,0.86586334,0.90135501
-5.78989495,1.80064862,0.00940975,0.38312359,0.52277464,0.00000000,0.82127757,0.85400384
-5.78389195,1.69880947,0.00871294,0.36014697,0.49883279,0.00000000,0.78169402,0.80817152
-5.77788894,1.60374607,0.00805064,0.33933421,0.47598747,0.00000000,0.74747725,0.76451195
-5.77188594,1.51661176,0.00743359,0.32092954,0.45458471,0.00000000,0.71890198,0.72363008
-5.76588294,1.43841112,0.00687197,0.30513641,0.43495175,0.00000000,0.69615528,0.68607254
-5.75987994,1.36999409,0.00637539,0.29211881,0.41739186,0.00000000,0.67934258,0.65232105
-5.75387694,1.31205696,0.00595284,0.28200416,0.40218060,0.00000000,0.66849735,0.62278907
-5.74787394,1.26514979,0.00561263,0.27488754,0.38956354,0.00000000,0.66359380,0.59782127
-5.74187094,1.22968928,0.00536245,0.27083680,0.37975535,0.00000000,0.66456234,0.57769589
-5.73586793,1.20597612,0.00520938,0.26989829,0.37294024,0.00000000,0.67130671,0.56262948
-5.72986493,1.19421529,0.00515988,0.27210275,0.36927362,0.00000000,0.68372204,0.55278350
-5.72386193,1.19453788,0.00521983,0.27747079,0.36888452,0.00000000,0.70171283,0.54827223
-5.71785893,1.20702261,0.00539451,0.28601776,0.37187872,0.00000000,0.72520967,0.54917134
-5.71185593,1.23171566,0.00568852,0.29775735,0.37834196,0.00000000,0.75418388,0.55552636
-5.70585293,1.26864712,0.00610577,0.31270387,0.38834316,0.00000000,0.78865880,0.56736057
-5.69984992,1.31784299,0.00664929,0.33087271,0.40193706,0.00000000,0.82871713,0.58468155
-5.69384692,1.37933168,0.00732114,0.35227908,0.41916616,0.00000000,0.87450354,0.60748609
-5.68784392,1.45314450,0.00812216,0.37693488,0.44006166,0.00000000,0.92622206,0.63576310
-5.68184092,1.53930998,0.00905183,0.40484388,0.46464331,0.00000000,0.98412819,0.66949430
-5.67583792,1.63784231,0.01010798,0.43599550,0.49291812,0.00000000,1.04851573,0.70865282
-5.66983492,1.74872460,0.01128661,0.47035746,0.52487792,0.00000000,1.11969885,0.75319975
-5.66383192,1.87188814,0.01258164,0.50786784,0.56049603,0.00000000,1.19799003,0.80307908
-5.65782891,2.00718890,0.01398474,0.54842710,0.59972320,0.00000000,1.28367486,0.85821137
-5.65182591,2.15438310,0.01548523,0.59189057,0.64248310,0.00000000,1.37698493,0.91848674
-5.64582291,2.31310346,0.01706995,0.63806209,0.68866780,0.00000000,1.47807014,0.98375779
-5.63981991,2.48283792,0.01872332,0.68668925,0.73813338,0.00000000,1.58697183,1.05383289
-5.63381691,2.66291246,0.02042741,0.73746084,0.79069624,0.00000000,1.70359830,1.12847052
-5.62781391,2.85247942,0.02216214,0.79000677,0.84613026,0.00000000,1.82770397,1.20737503
-5.62181091,3.05051230,0.02390558,0.84390068,0.90416501,0.00000000,1.95887348,1.29019409
-5.61580790,3.25580780,0.02563434,0.89866553,0.96448534,0.00000000,2.09651180,1.37651827
-5.60980490,3.46699513,0.02732403,0.95378170,1.02673221,0.00000000,2.23984086,1.46588239
