energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-5.86793397,0.03557046,0.00986283,0.01064980,0.00017084,0.00210601,0.01888767,0.00000000
-5.86193097,0.03673922,0.01054459,0.01107558,0.00020223,0.00213971,0.01991497,0.00000000
-5.85592796,0.03901065,0.01153851,0.01182789,0.00024445,0.00223712,0.02152648,0.00000000
-5.84992496,0.04239016,0.01285226,0.01290829,0.00029933,0.00239771,0.02372974,0.00000000
-5.84392196,0.04688072,0.01449258,0.01431729,0.00036900,0.00262074,0.02653023,0.00000000
-5.83791896,0.05248125,0.01646471,0.01605376,0.00045585,0.00290524,0.02993024,0.00000000
-5.83191596,0.05918467,0.01877163,0.01811432,0.00056257,0.00324987,0.03392766,0.00000000
-5.82591296,0.06697549,0.02141332,0.02049260,0.00069205,0.00365278,0.03851457,0.00000000
-5.81990995,0.07582733,0.02438586,0.02317847,0.00084744,0.00411153,0.04367572,0.00000000
-5.81390695,0.08570037,0.02768066,0.02615728,0.00103202,0.00462291,0.04938713,0.00000000
-5.80790395,0.09653893,0.03128364,0.02940915,0.00124915,0.00518283,0.05561476,0.00000000
-5.80190095,0.10826937,0.03517454,0.03290845,0.00150221,0.00578623,0.06231342,0.00000000
-5.79589795,0.12079851,0.03932642,0.03662333,0.00179443,0.00642702,0.06942598,0.00000000
-5.78989495,0.13401263,0.04370535,0.04051559,0.00212880,0.00709801,0.07688301,0.00000000
-5.78389195,0.14777722,0.04827030,0.04454071,0.00250792,0.00779097,0.08460288,0.00000000
-5.77788894,0.16193762,0.05297330,0.04864823,0.00293382,0.00849666,0.09249238,0.00000000
-5.77188594,0.17632050,0.05775998,0.05278235,0.00340781,0.00920497,0.10044784,0.00000000
-5.76588294,0.19073632,0.06257026,0.05688288,0.00393033,0.00990508,0.10835688,0.00000000
-5.75987994,0.20498261,0.06733941,0.06088643,0.00450074,0.01058567,0.11610059,0.00000000
-5.75387694,0.21884807,0.07199938,0.06472785,0.00511725,0.01123519,0.12355618,0.00000000
-5.74787394,0.23211730,0.07648026,0.06834182,0.00577673,0.01184214,0.13059998,0.00000000
-5.74187094,0.24457609,0.08071200,0.07166463,0.00647467,0.01239541,0.13711072,0.00000000
-5.73586793,0.25601692,0.08462615,0.07463594,0.00720512,0.01288456,0.14297291,0.00000000
-5.72986493,0.26624462,0.08815775,0.07720062,0.00796069,0.01330014,0.14808013,0.00000000
-5.72386193,0.27508182,0.09124705,0.07931036,0.00873263,0.01363402,0.15233829,0.00000000
-5.71785893,0.28237400,0.09384121,0.08092523,0.00951094,0.01387961,0.15566842,0.00000000
-5.71185593,0.28799402,0.09589581,0.08201492,0.01028455,0.01403209,0.15800916,0.00000000
-5.70585293,0.29184574,0.09737611,0.08255969,0.01104155,0.01408856,0.15931860,0.00000000
-5.69984992,0.29386686,0.09825801,0.08255105,0.01176947,0.01404816,0.15957556,0.00000000
-5.69384692,0.29403055,0.09852869,0.08199195,0.01245565,0.01391205,0.15878013,0.00000001
-5.68784392,0.29234617,0.09818698,0.08089670,0.01308757,0.01368341,0.15695356,0.00000001
-5.68184092,0.28885873,0.09724325,0.07929052,0.01365323,0.01336730,0.15413744,0.00000001
-5.67583792,0.28364743,0.09571905,0.07720871,0.01414155,0.01297054,0.15039224,0.00000002
-5.66983492,0.27682325,0.09364645,0.07469558,0.01454273,0.01250142,0.14579533,0.00000002
-5.66383192,0.26852571,0.09106704,0.07180319,0.01484863,0.01196953,0.14043850,0.00000003
-5.65782891,0.25891905,0.08803081,0.06858988,0.01505298,0.01138544,0.13442522,0.00000005
-5.65182591,0.24818802,0.08459474,0.06511880,0.01515170,0.01076040,0.12786762,0.00000007
-5.64582291,0.23653345,0.08082143,0.06145639,0.01514303,0.01010608,0.12088348,0.00000009
-5.63981991,0.22416780,0.07677763,0.05767099,0.01502763,0.00943431,0.11359328,0.00000013
-5.63381691,0.21131102,0.07253279,0.05383157,0.01480856,0.00875681,0.10611743,0.00000017
-5.62781391,0.19818668,0.06815771,0.05000669,0.01449127,0.00808503,0.09857378,0.00000024
-5.62181091,0.18501877,0.06372342,0.04626370,0.01408337,0.00742995,0.09107557,0.00000032
-5.61580790,0.17202901,0.05930005,0.04266822,0.01359448,0.00680207,0.08372973,0.00000042
-5.60980490,0.15943505,0.05495613,0.03928391,0.01303594,0.00621125,0.07663577,0.00000056
-5.60380190,0.14744926,0.05075794,0.03617251,0.01242048,0.00566681,0.06988499,0.00000073
-5.59779890,0.13627836,0.04676921,0.03339418,0.01176189,0.00517756,0.06356031,0.00000096
-5.59179590,0.12612365,0.04305096,0.03100801,0.01107466,0.00475187,0.05773638,0.00000124
-5.58579290,0.11718185,0.03966160,0.02907269,0.01037363,0.00439783,0.05248008,0.00000160
-5.57978989,0.10964632,0.03665718,0.02764735,0.00967367,0.00412340,0.04785134,0.00000204
-5.57378689,0.10370851,0.03409178,0.02679237,0.00898932,0.00393657,0.04390410,0.00000260
-5.56778389,0.09955949,0.03201796,0.02657012,0.00833458,0.00384552,0.04068731,0.00000327
-5.56178089,0.09739128,0.03048723,0.02704560,0.00772264,0.00385873,0.03824607,0.00000410
-5.55577789,0.09739780,0.02955057,0.02828685,0.00716567,0.00398516,0.03662248,0.00000510
-5.54977489,0.09977519,0.02925874,0.03036502,0.00667474,0.00423426,0.03585644,0.00000630
-5.54377189,0.10472132,0.02966254,0.03335411,0.00625964,0.00461601,0.03598616,0.00000772
-5.53776888,0.11243438,0.03081282,0.03733026,0.00592883,0.00514088,0.03704826,0.00000941
-5.53176588,0.12311024,0.03276030,0.04237053,0.00568943,0.00581971,0.03907763,0.00001138
-5.52576288,0.13693880,0.03555505,0.04855130,0.00554710,0.00666349,0.04210679,0.00001367
-5.51975988,0.15409894,0.03924573,0.05594601,0.00550612,0.00768315,0.04616491,0.00001631
-5.51375688,0.17475246,0.04387851,0.06462263,0.00556929,0.00888921,0.05127647,0.00001933
-5.50775388,0.19903697,0.04949567,0.07464055,0.00573796,0.01029133,0.05745953,0.00002275
-5.50175088,0.22705790,0.05613403,0.08604732,0.00601203,0.01189792,0.06472384,0.00002660
-5.49574787,0.25888008,0.06382304,0.09887504,0.00638985,0.01371560,0.07306871,0.00003088
-5.48974487,0.29451903,0.07258279,0.11313686,0.00686828,0.01574871,0.08248086,0.00003560
-5.48374187,0.33393253,0.08242196,0.12882342,0.00744263,0.01799876,0.09293230,0.00004077
-5.47773887,0.37701278,0.09333568,0.14589966,0.00810664,0.02046394,0.10437843,0.00004638
-5.47173587,0.42357975,0.10530359,0.16430210,0.00885250,0.02313869,0.11675642,0.00005240
-5.46573287,0.47337602,0.11828805,0.18393667,0.00967089,0.02601328,0.12998407,0.00005880
-5.45972986,0.52606362,0.13223264,0.20467744,0.01055099,0.02907352,0.14395914,0.00006553
-5.45372686,0.58122326,0.14706109,0.22636621,0.01148066,0.03230063,0.15855937,0.00007255
-5.44772386,0.63835610,0.16267664,0.24881316,0.01244651,0.03567112,0.17364319,0.00007978
-5.44172086,0.69688844,0.17896200,0.27179870,0.01343414,0.03915697,0.18905111,0.00008715
-5.43571786,0.75617918,0.19577981,0.29507634,0.01442839,0.04272585,0.20460787,0.00009455
-5.42971486,0.81553009,0.21297377,0.31837672,0.01541365,0.04634154,0.22012529,0.00010191
-5.42371186,0.87419872,0.23037046,0.34141273,0.01637415,0.04996453,0.23540566,0.00010911
-5.41770885,0.93141349,0.24778159,0.36388539,0.01729443,0.05355269,0.25024578,0.00011605
-5.41170585,0.98639059,0.26500703,0.38549059,0.01815967,0.05706214,0.26444124,0.00012262
-5.40570285,1.03835216,0.28183816,0.40592628,0.01895618,0.06044818,0.27779102,0.00012872
-5.39969985,1.08654508,0.29806173,0.42489983,0.01967176,0.06366630,0.29010217,0.00013424
-5.39369685,1.13025970,0.31346408,0.44213557,0.02029615,0.06667326,0.30119432,0.00013908
-5.38769385,1.16884796,0.32783547,0.45738193,0.02082139,0.06942812,0.31090408,0.00014318
-5.38169085,1.20174008,0.34097462,0.47041810,0.02124214,0.07189331,0.31908888,0.00014646
-5.37568784,1.22845939,0.35269318,0.48105998,0.02155596,0.07403561,0.32563042,0.00014886
-5.36968484,1.24863480,0.36282005,0.48916514,0.02176347,0.07582703,0.33043743,0.00015035
-5.36368184,1.26201037,0.37120548,0.49463672,0.02186849,0.07724559,0.33344771,0.00015092
-5.35767884,1.26845186,0.37772478,0.49742608,0.02187803,0.07827596,0.33462951,0.00015057
-5.35167584,1.26795011,0.38228158,0.49753417,0.02180223,0.07890988,0.33398208,0.00014931
-5.34567284,1.26062111,0.38481050,0.49501167,0.02165424,0.07914650,0.33153553,0.00014720
-5.33966983,1.24670299,0.38527917,0.48995783,0.02144987,0.07899241,0.32735003,0.00014429
-5.33366683,1.22655010,0.38368964,0.48251813,0.02120734,0.07846161,0.32151438,0.00014067
-5.32766383,1.20062445,0.38007890,0.47288093,0.02094683,0.07757515,0.31414400,0.00013641
-5.32166083,1.16948495,0.37451876,0.46127316,0.02069000,0.07636069,0.30537856,0.00013163
-5.31565783,1.13377477,0.36711487,0.44795530,0.02045945,0.07485184,0.29537923,0.00012645
-5.30965483,1.09420736,0.35800504,0.43321577,0.02027813,0.07308738,0.28432570,0.00012100
-5.30365183,1.05155155,0.34735675,0.41736494,0.02016873,0.07111033,0.27241300,0.00011539
-5.29764882,1.00661613,0.33536408,0.40072889,0.02015302,0.06896690,0.25984832,0.00010978
-5.29164582,0.96023435,0.32224401,0.38364323,0.02025125,0.06670540,0.24684774,0.00010429
-5.28564282,0.91324872,0.30823225,0.36644684,0.02048148,0.06437511,0.23363306,0.00009907
-5.27963982,0.86649640,0.29357860,0.34947605,0.02085898,0.06202509,0.22042869,0.00009425
-5.27363682,0.82079542,0.27854218,0.33305900,0.02139569,0.05970313,0.20745865,0.00008997
-5.26763382,0.77693197,0.26338638,0.31751052,0.02209971,0.05745461,0.19494368,0.00008635
-5.26163082,0.73564891,0.24837387,0.30312746,0.02297486,0.05532159,0.18309847,0.00008351
-5.25562781,0.69763549,0.23376170,0.29018461,0.02402040,0.05334193,0.17212904,0.00008158
-5.24962481,0.66351851,0.21979656,0.27893110,0.02523076,0.05154868,0.16223016,0.00008065
-5.24362181,0.63385470,0.20671045,0.26958739,0.02659554,0.04996946,0.15358290,0.00008084
-5.23761881,0.60912447,0.19471663,0.26234285,0.02809947,0.04862624,0.14635223,0.00008222
-5.23161581,0.58972691,0.18400615,0.25735382,0.02972271,0.04753517,0.14068474,0.00008487
-5.22561281,0.57597604,0.17474482,0.25474224,0.03144112,0.04670665,0.13670639,0.00008886
-5.21960980,0.56809821,0.16707082,0.25459473,0.03322684,0.04614564,0.13452040,0.00009424
-5.21360680,0.56623073,0.16109278,0.25696224,0.03504894,0.04585212,0.13420528,0.00010103
-5.20760380,0.57042164,0.15688863,0.26186016,0.03687417,0.04582175,0.13581309,0.00010926
-5.20160080,0.58063077,0.15450491,0.26926898,0.03866790,0.04604661,0.13936790,0.00011892
-5.19559780,0.59673209,0.15395681,0.27913547,0.04039508,0.04651618,0.14486475,0.00012997
-5.18959480,0.61851746,0.15522876,0.29137456,0.04202132,0.04721831,0.15226896,0.00014237
-5.18359180,0.64570193,0.15827569,0.30587173,0.04351395,0.04814029,0.16151613,0.00015603
-5.17758879,0.67793070,0.16302488,0.32248620,0.04484303,0.04926996,0.17251277,0.00017087
-5.17158579,0.71478779,0.16937843,0.34105481,0.04598241,0.05059675,0.18513770,0.00018673
-5.16558279,0.75580649,0.17721625,0.36139667,0.04691058,0.05211273,0.19924438,0.00020349
-5.15957979,0.80048159,0.18639971,0.38331849,0.04761145,0.05381354,0.21466405,0.00022097
-5.15357679,0.84828325,0.19677564,0.40662062,0.04807498,0.05569915,0.23120979,0.00023898
-5.14757379,0.89867219,0.20818081,0.43110365,0.04829759,0.05777458,0.24868140,0.00025733
-5.14157079,0.95111601,0.22044670,0.45657528,0.04828236,0.06005024,0.26687099,0.00027580
-5.13556778,1.00510594,0.23340444,0.48285749,0.04803904,0.06254221,0.28556907,0.00029419
-5.12956478,1.06017356,0.24688969,0.50979343,0.04758387,0.06527221,0.30457100,0.00031232
-5.12356178,1.11590667,0.26074740,0.53725391,0.04693909,0.06826722,0.32368347,0.00032999
-5.11755878,1.17196354,0.27483615,0.56514300,0.04613236,0.07155893,0.34273064,0.00034705
-5.11155578,1.22808472,0.28903194,0.59340247,0.04519597,0.07518282,0.36155977,0.00036337
-5.10555278,1.28410160,0.30323114,0.62201457,0.04416589,0.07917698,0.38004589,0.00037887
-5.09954977,1.33994099,0.31735252,0.65100303,0.04308072,0.08358063,0.39809519,0.00039349
-5.09354677,1.39562511,0.33133815,0.68043177,0.04198058,0.08843242,0.41564703,0.00040723
-5.08754377,1.45126667,0.34515309,0.71040141,0.04090595,0.09376852,0.43267419,0.00042014
-5.08154077,1.50705874,0.35878388,0.74104337,0.03989648,0.09962057,0.44918133,0.00043231
-5.07553777,1.56325973,0.37223571,0.77251168,0.03898990,0.10601353,0.46520172,0.00044387
-5.06953477,1.62017369,0.38552859,0.80497278,0.03822092,0.11296357,0.48079216,0.00045500
-5.06353177,1.67812672,0.39869245,0.83859354,0.03762029,0.12047600,0.49602646,0.00046589
-5.05752876,1.73744049,0.41176154,0.87352812,0.03721393,0.12854347,0.51098767,0.00047678
-5.05152576,1.79840397,0.42476839,0.90990414,0.03702226,0.13714438,0.52575942,0.00048789
-5.04552276,1.86124482,0.43773759,0.94780887,0.03705962,0.14624166,0.54041698,0.00049946
-5.03951976,1.92610192,0.45067983,0.98727619,0.03733388,0.15578207,0.55501830,0.00051170
-5.03351676,1.99300048,0.46358644,1.02827497,0.03784629,0.16569596,0.56959576,0.00052478
-5.02751376,2.06183120,0.47642485,1.07069951,0.03859140,0.17589760,0.58414895,0.00053886
-5.02151076,2.13233472,0.48913521,1.11436281,0.03955722,0.18628614,0.59863910,0.00055402
-5.01550775,2.20409253,0.50162843,1.15899296,0.04072554,0.19674710,0.61298535,0.00057030
-5.00950475,2.27652497,0.51378585,1.20423317,0.04207242,0.20715448,0.62706332,0.00058765
-5.00350175,2.34889678,0.52546047,1.24964547,0.04356878,0.21737332,0.64070609,0.00060597
-4.99749875,2.42033032,0.53648001,1.29471823,0.04518116,0.22726275,0.65370756,0.00062509
-4.99149575,2.48982604,0.54665149,1.33887724,0.04687258,0.23667931,0.66582826,0.00064477
-4.98549275,2.55628954,0.55576722,1.38149996,0.04860350,0.24548047,0.67680323,0.00066471
-4.97948974,2.61856424,0.56361200,1.42193257,0.05033277,0.25352834,0.68635182,0.00068457
-4.97348674,2.67546819,0.56997123,1.45950898,0.05201876,0.26069319,0.69418877,0.00070397
-4.96748374,2.72583365,0.57463952,1.49357125,0.05362029,0.26685688,0.70003631,0.00072252
-4.96148074,2.76854777,0.57742938,1.52349044,0.05509777,0.27191597,0.70363647,0.00073981
-4.95547774,2.80259251,0.57817977,1.54868710,0.05641409,0.27578442,0.70476322,0.00075546
-4.94947474,2.82708225,0.57676396,1.56865076,0.05753556,0.27839579,0.70323370,0.00076911
-4.94347174,2.84129761,0.57309638,1.58295730,0.05843270,0.27970494,0.69891821,0.00078047
-4.93746873,2.84471388,0.56713831,1.59128392,0.05908090,0.27968904,0.69174825,0.00078928
-4.93146573,2.83702321,0.55890192,1.59342089,0.05946097,0.27834802,0.68172241,0.00079537
-4.92546273,2.81814958,0.54845268,1.58927985,0.05955954,0.27570446,0.66890976,0.00079866
-4.91945973,2.78825627,0.53591003,1.57889836,0.05936924,0.27180284,0.65345063,0.00079914
-4.91345673,2.74774551,0.52144618,1.56244060,0.05888880,0.26670830,0.63555470,0.00079689
-4.90745373,2.69725068,0.50528324,1.54019440,0.05812295,0.26050497,0.61549647,0.00079210
-4.90145073,2.63762148,0.48768874,1.51256478,0.05708217,0.25329392,0.59360842,0.00078501
-4.89544772,2.56990301,0.46896974,1.48006435,0.05578230,0.24519083,0.57027209,0.00077595
-4.88944472,2.49530957,0.44946586,1.44330109,0.05424408,0.23632344,0.54590744,0.00076531
-4.88344172,2.41519444,0.42954133,1.40296408,0.05249254,0.22682896,0.52096101,0.00075354
-4.87743872,2.33101693,0.40957654,1.35980759,0.05055631,0.21685135,0.49589334,0.00074110
-4.87143572,2.24430785,0.38995929,1.31463441,0.04846698,0.20653874,0.47116610,0.00072848
-4.86543272,2.15663463,0.37107602,1.26827867,0.04625831,0.19604093,0.44722951,0.00071617
-4.85942971,2.06956723,0.35330333,1.22158893,0.04396551,0.18550694,0.42451040,0.00070464
-4.85342671,1.98464576,0.33699995,1.17541184,0.04162454,0.17508292,0.40340138,0.00069434
-4.84742371,1.90335063,0.32249941,1.13057678,0.03927146,0.16491010,0.38425139,0.00068567
-4.84142071,1.82707575,0.31010349,1.08788172,0.03694179,0.15512305,0.36735799,0.00067898
-4.83541771,1.75710523,0.30007659,1.04808060,0.03466994,0.14584814,0.35296145,0.00067455
-4.82941471,1.69459370,0.29264097,1.01187213,0.03248881,0.13720214,0.34124076,0.00067259
-4.82341171,1.64055037,0.28797309,0.97989023,0.03042930,0.12929112,0.33231168,0.00067323
-4.81740870,1.59582668,0.28620074,0.95269593,0.02852003,0.12220938,0.32622656,0.00067653
-4.81140570,1.56110726,0.28740121,0.93077071,0.02678705,0.11603866,0.32297607,0.00068247
-4.80540270,1.53690412,0.29160023,0.91451119,0.02525362,0.11084740,0.32249242,0.00069096
-4.79939970,1.52355358,0.29877179,0.90422510,0.02394008,0.10669012,0.32465402,0.00070182
-4.79339670,1.52121571,0.30883875,0.90012831,0.02286365,0.10360695,0.32929125,0.00071483
-4.78739370,1.52987616,0.32167412,0.90234309,0.02203839,0.10162322,0.33619317,0.00072970
-4.78139070,1.54934998,0.33710312,0.91089727,0.02147505,0.10074918,0.34511475,0.00074608
-4.77538769,1.57928743,0.35490596,0.92572466,0.02118101,0.10097982,0.35578460,0.00076362
-4.76938469,1.61918160,0.37482127,0.94666639,0.02116017,0.10229486,0.36791269,0.00078190
-4.76338169,1.66837795,0.39655030,0.97347358,0.02141286,0.10465889,0.38119805,0.00080052
-4.75737869,1.72608558,0.41976173,1.00581108,0.02193577,0.10802167,0.39533608,0.00081906
-4.75137569,1.79139038,0.44409730,1.04326256,0.02272185,0.11231869,0.41002548,0.00083710
-4.74537269,1.86326990,0.46917792,1.08533688,0.02376025,0.11747191,0.42497440,0.00085425
-4.73936968,1.94061003,0.49461052,1.13147573,0.02503630,0.12339082,0.43990589,0.00087014
-4.73336668,2.02222319,0.51999530,1.18106248,0.02653154,0.12997372,0.45456253,0.00088445
-4.72736368,2.10686794,0.54493334,1.23343208,0.02822376,0.13710924,0.46871008,0.00089689
-4.72136068,2.19326954,0.56903451,1.28788197,0.03008718,0.14467815,0.48214019,0.00090722
-4.71535768,2.28014127,0.59192524,1.34368345,0.03209268,0.15255537,0.49467216,0.00091526
-4.70935468,2.36620577,0.61325622,1.40009360,0.03420819,0.16061215,0.50615379,0.00092088
-4.70335168,2.45021601,0.63270960,1.45636704,0.03639904,0.16871839,0.51646130,0.00092401
-4.69734867,2.53097536,0.65000547,1.51176748,0.03862859,0.17674496,0.52549847,0.00092465
-4.69134567,2.60735599,0.66490757,1.56557855,0.04085885,0.18456612,0.53319513,0.00092283
-4.68534267,2.67831532,0.67722776,1.61711366,0.04305115,0.19206176,0.53950492,0.00091863
-4.67933967,2.74290986,0.68682931,1.66572471,0.04516700,0.19911952,0.54440280,0.00091219
-4.67333667,2.80030634,0.69362883,1.71080936,0.04716889,0.20563671,0.54788208,0.00090365
-4.66733367,2.84978972,0.69759669,1.75181688,0.04902108,0.21152191,0.54995144,0.00089320
-4.66133067,2.89076823,0.69875602,1.78825257,0.05069049,0.21669632,0.55063189,0.00088103
-4.65532766,2.92277547,0.69718040,1.81968081,0.05214742,0.22109468,0.54995390,0.00086735
-4.64932466,2.94546986,0.69299018,1.84572703,0.05336624,0.22466588,0.54795490,0.00085235
-4.64332166,2.95863183,0.68634782,1.86607871,0.05432597,0.22737321,0.54467705,0.00083623
-4.63731866,2.96215924,0.67745223,1.88048580,0.05501075,0.22919424,0.54016565,0.00081914
-4.63131566,2.95606150,0.66653255,1.88876082,0.05541010,0.23012046,0.53446795,0.00080125
-4.62531266,2.94045300,0.65384149,1.89077883,0.05551908,0.23015658,0.52763265,0.00078266
-4.61930965,2.91554623,0.63964848,1.88647767,0.05533829,0.22931969,0.51970980,0.00076348
-4.61330665,2.88164509,0.62423300,1.87585834,0.05487362,0.22763824,0.51075127,0.00074377
-4.60730365,2.83913856,0.60787805,1.85898589,0.05413601,0.22515088,0.50081155,0.00072357
-4.60130065,2.78849508,0.59086415,1.83599046,0.05314091,0.22190530,0.48994887,0.00070291
-4.59529765,2.73025740,0.57346402,1.80706855,0.05190778,0.21795703,0.47822642,0.00068179
-4.58929465,2.66503811,0.55593776,1.77248427,0.05045940,0.21336821,0.46571360,0.00066022
-4.58329165,2.59351541,0.53852902,1.73257022,0.04882121,0.20820650,0.45248716,0.00063818
-4.57728864,2.51642901,0.52146177,1.68772771,0.04702051,0.20254391,0.43863210,0.00061569
-4.57128564,2.43457579,0.50493804,1.63842612,0.04508582,0.19645575,0.42424226,0.00059277
-4.56528264,2.34880493,0.48913634,1.58520097,0.04304613,0.19001969,0.40942051,0.00056944
-4.55927964,2.26001232,0.47421093,1.52865064,0.04093028,0.18331471,0.39427852,0.00054578
-4.55327664,2.16913405,0.46029175,1.46943144,0.03876638,0.17642030,0.37893618,0.00052187
-4.54727364,2.07713878,0.44748509,1.40825122,0.03658129,0.16941551,0.36352060,0.00049785
-4.54127064,1.98501928,0.43587491,1.34586132,0.03440027,0.16237818,0.34816482,0.00047389
-4.53526763,1.89378299,0.42552471,1.28304732,0.03224665,0.15538418,0.33300628,0.00045018
-4.52926463,1.80444195,0.41647992,1.22061858,0.03014166,0.14850668,0.31818521,0.00042695
-4.52326163,1.71800238,0.40877081,1.15939706,0.02810428,0.14181557,0.30384297,0.00040448
-4.51725863,1.63545407,0.40241563,1.10020570,0.02615127,0.13537690,0.29012032,0.00038306
-4.51125563,1.55776008,0.39742409,1.04385669,0.02429721,0.12925248,0.27715599,0.00036299
-4.50525263,1.48584674,0.39380087,0.99114005,0.02255465,0.12349959,0.26508521,0.00034461
-4.49924962,1.42059439,0.39154911,0.94281268,0.02093424,0.11817079,0.25403848,0.00032826
-4.49324662,1.36282870,0.39067365,0.89958817,0.01944503,0.11331393,0.24414042,0.00031427
-4.48724362,1.31331285,0.39118388,0.86212749,0.01809459,0.10897221,0.23550880,0.00030297
-4.48124062,1.27274023,0.39309601,0.83103063,0.01688936,0.10518442,0.22825346,0.00029468
-4.47523762,1.24172768,0.39643454,0.80682914,0.01583480,0.10198516,0.22247536,0.00028970
-4.46923462,1.22080908,0.40123291,0.78997955,0.01493561,0.09940526,0.21826537,0.00028827
-4.46323162,1.21042896,0.40753309,0.78085755,0.01419589,0.09747202,0.21570301,0.00029065
-4.45722861,1.21093615,0.41538416,0.77975287,0.01361925,0.09620953,0.21485497,0.00029700
