energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.22674385,0.08667878,0.00000000,0.00175346,1.42815225,1.41975831,0.88533383
-5.99399700,2.27146591,0.08629120,0.00000000,0.00168593,1.46398715,1.45933835,0.90455343
-5.98799400,2.32073956,0.08588749,0.00000000,0.00162560,1.50353699,1.50239082,0.92601395
-5.98199100,2.37559405,0.08549239,0.00000000,0.00157241,1.54773919,1.54946883,0.95041385
-5.97598799,2.43718071,0.08513241,0.00000000,0.00152617,1.59762346,1.60120531,0.97851616
-5.96998499,2.50676078,0.08483511,0.00000000,0.00148661,1.65429729,1.65831165,1.01113710
-5.96398199,2.58568729,0.08462835,0.00000000,0.00145333,1.71892727,1.72157273,1.04913157
-5.95797899,2.67538119,0.08453951,0.00000000,0.00142590,1.79271633,1.79183800,1.09337574
-5.95197599,2.77730131,0.08459476,0.00000000,0.00140381,1.87687690,1.87000805,1.14474677
-5.94597299,2.89290849,0.08481830,0.00000000,0.00138650,1.97260018,1.95701640,1.20409984
-5.93996998,3.02362410,0.08523179,0.00000000,0.00137339,2.08102187,2.05380640,1.27224291
-5.93396698,3.17078341,0.08585373,0.00000000,0.00136386,2.20318471,2.16130310,1.34990944
-5.92796398,3.33558448,0.08669897,0.00000000,0.00135730,2.33999829,2.28038026,1.43772955
-5.92196098,3.51903357,0.08777833,0.00000000,0.00135309,2.49219709,2.41182306,1.53620020
-5.91595798,3.72188840,0.08909823,0.00000000,0.00135063,2.66029739,2.55628704,1.64565517
-5.90995498,3.94460066,0.09066048,0.00000000,0.00134935,2.84455444,2.71425446,1.76623548
-5.90395198,4.18725985,0.09246212,0.00000000,0.00134874,3.04492111,2.88598933,1.89786144
-5.89794897,4.44954057,0.09449529,0.00000000,0.00134832,3.26100966,3.07149276,2.04020731
-5.89194597,4.73065563,0.09674726,0.00000000,0.00134770,3.49205840,3.27046072,2.19267986
-5.88594297,5.02931771,0.09920045,0.00000000,0.00134658,3.73690512,3.48224607,2.35440203
-5.87993997,5.34371214,0.10183265,0.00000000,0.00134472,3.99396916,3.70582748,2.52420317
-5.87393697,5.67148334,0.10461718,0.00000000,0.00134202,4.26124420,3.93978728,2.70061697
-5.86793397,6.00973738,0.10752328,0.00000000,0.00133847,4.53630314,4.18230047,2.88188825
-5.86193097,6.35506241,0.11051654,0.00000000,0.00133418,4.81631681,4.43113687,3.06598956
-5.85592796,6.70356837,0.11355944,0.00000000,0.00132938,5.09808726,4.68367786,3.25064814
-5.84992496,7.05094653,0.11661198,0.00000000,0.00132439,5.37809611,4.93694866,3.43338332
-5.84392196,7.39254846,0.11963249,0.00000000,0.00131966,5.65256766,5.18766643,3.61155426
-5.83791896,7.72348330,0.12257839,0.00000000,0.00131570,5.91754590,5.43230375,3.78241699
-5.83191596,8.03873082,0.12540719,0.00000000,0.00131313,6.16898344,5.66716621,3.94318950
-5.82591296,8.33326713,0.12807738,0.00000000,0.00131260,6.40284019,5.88848192,4.09112297
-5.81990995,8.60219886,0.13054946,0.00000000,0.00131481,6.61518825,6.09250021,4.22357670
-5.81390695,8.84090072,0.13278688,0.00000000,0.00132046,6.80231957,6.27559593,4.33809402
-5.80790395,9.04515132,0.13475697,0.00000000,0.00133023,6.96085214,6.43437535,4.43247624
-5.80190095,9.21126134,0.13643174,0.00000000,0.00134475,7.08783035,6.56577932,4.50485135
-5.79589795,9.33618859,0.13778858,0.00000000,0.00136458,7.18081535,6.66717934,4.55373457
-5.78989495,9.41763478,0.13881079,0.00000000,0.00139015,7.23796125,6.73646222,4.57807788
-5.78389195,9.45411935,0.13948788,0.00000000,0.00142178,7.25807391,6.77209951,4.57730612
-5.77788894,9.44502697,0.13981578,0.00000000,0.00145960,7.24064930,6.77319855,4.55133784
-5.77188594,9.39062628,0.13979663,0.00000000,0.00150358,7.18588984,6.73953260,4.50058974
-5.76588294,9.29205884,0.13943857,0.00000000,0.00155346,7.09469760,6.67154887,4.42596444
-5.75987994,9.15129864,0.13875516,0.00000000,0.00160881,6.96864493,6.57035382,4.32882173
-5.75387694,8.97108414,0.13776470,0.00000000,0.00166895,6.80992349,6.43767664,4.21093485
-5.74787394,8.75482568,0.13648940,0.00000000,0.00173302,6.62127434,6.27581254,4.07443351
-5.74187094,8.50649273,0.13495434,0.00000000,0.00179993,6.40590188,6.08754859,3.92173618
-5.73586793,8.23048590,0.13318651,0.00000000,0.00186846,6.16737587,5.87607546,3.75547483
-5.72986493,7.93149940,0.13121372,0.00000000,0.00193722,5.90952548,5.64488908,3.57841516
-5.72386193,7.61437992,0.12906355,0.00000000,0.00200472,5.63633005,5.39768652,3.39337597
-5.71785893,7.28398779,0.12676245,0.00000000,0.00206938,5.35181087,5.13826041,3.20315072
-5.71185593,6.94506575,0.12433484,0.00000000,0.00212962,5.05992827,4.87039619,3.01043453
-5.70585293,6.60212039,0.12180245,0.00000000,0.00218390,4.76448747,4.59777595,2.81775904
-5.69984992,6.25931993,0.11918378,0.00000000,0.00223071,4.46905637,4.32389224,2.62743752
-5.69384692,5.92041150,0.11649381,0.00000000,0.00226870,4.17689745,4.05197436,2.44152136
-5.68784392,5.58865966,0.11374382,0.00000000,0.00229668,3.89091516,3.78492904,2.26176910
