energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.92588489,-4.92588485,0.63725263,-0.63725261,3.75714636,-3.75714641,0.00918374,-0.00918373,0.09220814,-0.09220813,0.35737768,-0.35737766,0.28500130,-0.28500127,0.00653283,-0.00653283,0.67396780,-0.67396776
-5.99399700,4.93575739,-4.93575735,0.63386351,-0.63386350,3.78977164,-3.78977168,0.00902994,-0.00902993,0.08908356,-0.08908354,0.35187420,-0.35187418,0.27962764,-0.27962762,0.00648844,-0.00648844,0.66385532,-0.66385528
-5.98799400,4.93930281,-4.93930276,0.63002295,-0.63002294,3.81550862,-3.81550865,0.00891125,-0.00891125,0.08620076,-0.08620075,0.34622852,-0.34622850,0.27475707,-0.27475705,0.00642614,-0.00642614,0.65366678,-0.65366674
-5.98199100,4.93559517,-4.93559511,0.62581057,-0.62581056,3.83327144,-3.83327146,0.00882620,-0.00882620,0.08354805,-0.08354804,0.34050773,-0.34050771,0.27036828,-0.27036827,0.00634669,-0.00634669,0.64350667,-0.64350663
-5.97598799,4.92382929,-4.92382922,0.62130083,-0.62130082,3.84209661,-3.84209661,0.00877267,-0.00877267,0.08111534,-0.08111533,0.33477835,-0.33477833,0.26644481,-0.26644480,0.00625106,-0.00625106,0.63347730,-0.63347727
-5.96998499,4.90334993,-4.90334986,0.61656169,-0.61656168,3.84117649,-3.84117647,0.00874798,-0.00874798,0.07889468,-0.07889467,0.32910402,-0.32910400,0.26297519,-0.26297518,0.00614042,-0.00614042,0.62367584,-0.62367581
-5.96398199,4.87367537,-4.87367528,0.61165344,-0.61165342,3.82988792,-3.82988788,0.00874900,-0.00874900,0.07688063,-0.07688063,0.32354310,-0.32354308,0.25995258,-0.25995258,0.00601610,-0.00601610,0.61419114,-0.61419112
-5.95797899,4.83451431,-4.83451421,0.60662754,-0.60662752,3.80781454,-3.80781448,0.00877220,-0.00877220,0.07507032,-0.07507032,0.31814630,-0.31814628,0.25737389,-0.25737389,0.00587963,-0.00587963,0.60510058,-0.60510056
-5.95197599,4.78577566,-4.78577555,0.60152574,-0.60152573,3.77476205,-3.77476197,0.00881370,-0.00881370,0.07346335,-0.07346334,0.31295445,-0.31295443,0.25523849,-0.25523849,0.00573268,-0.00573268,0.59646703,-0.59646701
-5.94597299,4.72757095,-4.72757082,0.59637938,-0.59637936,3.73076579,-3.73076569,0.00886940,-0.00886940,0.07206150,-0.07206149,0.30799661,-0.30799660,0.25354668,-0.25354669,0.00557704,-0.00557704,0.58833613,-0.58833612
-5.93996998,4.66020950,-4.66020937,0.59120900,-0.59120899,3.67609034,-3.67609022,0.00893498,-0.00893498,0.07086834,-0.07086833,0.30328863,-0.30328862,0.25229807,-0.25229808,0.00541462,-0.00541462,0.58073414,-0.58073413
-5.93396698,4.58418715,-4.58418701,0.58602440,-0.58602439,3.61122154,-3.61122140,0.00900599,-0.00900599,0.06988866,-0.06988866,0.29883218,-0.29883217,0.25148992,-0.25148994,0.00524743,-0.00524743,0.57366645,-0.57366645
-5.92796398,4.50016912,-4.50016898,0.58082502,-0.58082501,3.53685129,-3.53685114,0.00907794,-0.00907794,0.06912792,-0.06912792,0.29461458,-0.29461458,0.25111574,-0.25111576,0.00507749,-0.00507749,0.56711695,-0.56711694
-5.92196098,4.40896844,-4.40896828,0.57560091,-0.57560091,3.45385620,-3.45385604,0.00914635,-0.00914635,0.06859163,-0.06859163,0.29060922,-0.29060921,0.25116407,-0.25116409,0.00490687,-0.00490687,0.56104837,-0.56104837
-5.91595798,4.31152104,-4.31152088,0.57033412,-0.57033411,3.36327109,-3.36327092,0.00920683,-0.00920683,0.06828475,-0.06828476,0.28677673,-0.28677672,0.25161772,-0.25161774,0.00473761,-0.00473761,0.55540373,-0.55540373
-5.90995498,4.20885897,-4.20885881,0.56500051,-0.56500051,3.26625873,-3.26625854,0.00925519,-0.00925519,0.06821120,-0.06821120,0.28306694,-0.28306693,0.25245345,-0.25245347,0.00457174,-0.00457174,0.55010874,-0.55010874
-5.90395198,4.10208297,-4.10208281,0.55957208,-0.55957207,3.16407720,-3.16407701,0.00928750,-0.00928750,0.06837333,-0.06837334,0.27942140,-0.27942139,0.25364209,-0.25364211,0.00441120,-0.00441120,0.54507530,-0.54507530
-5.89794897,3.99233570,-3.99233554,0.55401945,-0.55401944,3.05804630,-3.05804610,0.00930022,-0.00930022,0.06877163,-0.06877164,0.27577647,-0.27577646,0.25514913,-0.25514916,0.00425789,-0.00425789,0.54020584,-0.54020585
-5.89194597,3.88077653,-3.88077637,0.54831465,-0.54831464,2.94951426,-2.94951406,0.00929027,-0.00929027,0.06940442,-0.06940443,0.27206683,-0.27206682,0.25693579,-0.25693582,0.00411362,-0.00411362,0.53539836,-0.53539836
-5.88594297,3.76855877,-3.76855861,0.54243390,-0.54243390,2.83982600,-2.83982580,0.00925513,-0.00925513,0.07026775,-0.07026776,0.26822924,-0.26822923,0.25896036,-0.25896039,0.00398011,-0.00398011,0.53055194,-0.53055195
-5.87993997,3.65680978,-3.65680963,0.53636030,-0.53636030,2.73029385,-2.73029366,0.00919291,-0.00919291,0.07135535,-0.07135536,0.26420633,-0.26420633,0.26117981,-0.26117984,0.00385904,-0.00385904,0.52557247,-0.52557248
-5.87393697,3.54661424,-3.54661409,0.53008624,-0.53008623,2.62217155,-2.62217136,0.00910242,-0.00910242,0.07265875,-0.07265876,0.25995031,-0.25995030,0.26355159,-0.26355162,0.00375203,-0.00375203,0.52037822,-0.52037822
-5.86793397,3.43900058,-3.43900044,0.52361541,-0.52361541,2.51663189,-2.51663172,0.00898321,-0.00898321,0.07416746,-0.07416747,0.25542633,-0.25542633,0.26603532,-0.26603535,0.00366070,-0.00366070,0.51490499,-0.51490499
-5.86193097,3.33493037,-3.33493024,0.51696437,-0.51696436,2.41474851,-2.41474835,0.00883560,-0.00883560,0.07586925,-0.07586926,0.25061542,-0.25061542,0.26859450,-0.26859453,0.00358667,-0.00358667,0.50911062,-0.50911062
-5.85592796,3.23529031,-3.23529019,0.51016340,-0.51016339,2.31748162,-2.31748146,0.00866066,-0.00866066,0.07775055,-0.07775056,0.24551677,-0.24551676,0.27119788,-0.27119791,0.00353167,-0.00353167,0.50297835,-0.50297835
-5.84992496,3.14088643,-3.14088632,0.50325679,-0.50325678,2.22566775,-2.22566761,0.00846018,-0.00846018,0.07979688,-0.07979689,0.24014929,-0.24014928,0.27382058,-0.27382061,0.00349753,-0.00349753,0.49651917,-0.49651917
-5.84392196,3.05244000,-3.05243990,0.49630248,-0.49630247,2.14001328,-2.14001315,0.00823663,-0.00823663,0.08199334,-0.08199335,0.23455243,-0.23455242,0.27644482,-0.27644485,0.00348626,-0.00348626,0.48977265,-0.48977264
-5.83791896,2.97058477,-2.97058468,0.48937107,-0.48937107,2.06109127,-2.06109115,0.00799301,-0.00799301,0.08432515,-0.08432516,0.22878610,-0.22878609,0.27906025,-0.27906028,0.00350011,-0.00350011,0.48280641,-0.48280640
-5.83191596,2.89586518,-2.89586511,0.48254437,-0.48254436,1.98934140,-1.98934131,0.00773284,-0.00773284,0.08677828,-0.08677829,0.22292985,-0.22292984,0.28166386,-0.28166389,0.00354160,-0.00354160,0.47571418,-0.47571417
-5.82591296,2.82873530,-2.82873524,0.47591349,-0.47591348,1.92507261,-1.92507253,0.00745994,-0.00745994,0.08933996,-0.08933997,0.21708120,-0.21708118,0.28425950,-0.28425953,0.00361358,-0.00361358,0.46861245,-0.46861244
-5.81990995,2.76955841,-2.76955836,0.46957674,-0.46957674,1.86846798,-1.86846791,0.00717835,-0.00717835,0.09199935,-0.09199936,0.21135336,-0.21135335,0.28685714,-0.28685716,0.00371925,-0.00371925,0.46163596,-0.46163594
-5.81390695,2.71860719,-2.71860716,0.46363742,-0.46363742,1.81959167,-1.81959162,0.00689214,-0.00689214,0.09474808,-0.09474809,0.20587241,-0.20587240,0.28947178,-0.28947180,0.00386218,-0.00386218,0.45493223,-0.45493222
-5.80790395,2.67606467,-2.67606465,0.45820162,-0.45820162,1.77839762,-1.77839758,0.00660533,-0.00660533,0.09758083,-0.09758084,0.20077393,-0.20077392,0.29212232,-0.29212234,0.00404634,-0.00404634,0.44865538,-0.44865537
-5.80190095,2.64202597,-2.64202596,0.45337624,-0.45337623,1.74473964,-1.74473962,0.00632170,-0.00632170,0.10049580,-0.10049581,0.19619942,-0.19619941,0.29483030,-0.29483033,0.00427602,-0.00427603,0.44295955,-0.44295953
-5.79589795,2.61650115,-2.61650116,0.44926727,-0.44926727,1.71838282,-1.71838281,0.00604471,-0.00604471,0.10349516,-0.10349517,0.19229259,-0.19229258,0.29761866,-0.29761868,0.00455588,-0.00455588,0.43799225,-0.43799223
-5.78989495,2.59941917,-2.59941919,0.44597848,-0.44597848,1.69901587,-1.69901588,0.00577735,-0.00577735,0.10658532,-0.10658533,0.18919557,-0.18919556,0.30051060,-0.30051061,0.00489082,-0.00489082,0.43388798,-0.43388796
-5.78389195,2.59063314,-2.59063317,0.44361043,-0.44361043,1.68626430,-1.68626432,0.00552214,-0.00552214,0.10977715,-0.10977715,0.18704526,-0.18704526,0.30352863,-0.30352865,0.00528593,-0.00528593,0.43076237,-0.43076236
-5.77788894,2.58992672,-2.58992677,0.44225993,-0.44225993,1.67970404,-1.67970407,0.00528102,-0.00528102,0.11308596,-0.11308597,0.18596995,-0.18596995,0.30669380,-0.30669381,0.00574640,-0.00574640,0.42870715,-0.42870714
-5.77188594,2.59702174,-2.59702180,0.44201973,-0.44201974,1.67887523,-1.67887526,0.00505534,-0.00505534,0.11653133,-0.11653134,0.18608615,-0.18608615,0.31002504,-0.31002506,0.00627739,-0.00627740,0.42778607,-0.42778606
-5.76588294,2.61158652,-2.61158659,0.44297854,-0.44297855,1.68329579,-1.68329584,0.00484589,-0.00484588,0.12013674,-0.12013675,0.18749590,-0.18749591,0.31353884,-0.31353886,0.00688393,-0.00688393,0.42803205,-0.42803204
-5.75987994,2.63324485,-2.63324493,0.44522104,-0.44522105,1.69247454,-1.69247459,0.00465289,-0.00465289,0.12392890,-0.12392891,0.19028442,-0.19028442,0.31724893,-0.31724894,0.00757073,-0.00757073,0.42944555,-0.42944554
-5.75387694,2.66158489,-2.66158498,0.44882796,-0.44882797,1.70592313,-1.70592319,0.00447607,-0.00447607,0.12793692,-0.12793693,0.19451819,-0.19451820,0.32116612,-0.32116614,0.00834209,-0.00834209,0.43199421,-0.43199421
-5.74787394,2.69616782,-2.69616792,0.45387590,-0.45387592,1.72316677,-1.72316683,0.00431474,-0.00431474,0.13219125,-0.13219126,0.20024356,-0.20024357,0.32529826,-0.32529828,0.00920174,-0.00920174,0.43561376,-0.43561376
-5.74187094,2.73653547,-2.73653558,0.46043691,-0.46043693,1.74375308,-1.74375314,0.00416782,-0.00416782,0.13672235,-0.13672236,0.20748562,-0.20748564,0.32965007,-0.32965009,0.01015270,-0.01015270,0.44021005,-0.44021005
-5.73586793,2.78221679,-2.78221691,0.46857754,-0.46857756,1.76725884,-1.76725891,0.00403401,-0.00403401,0.14155923,-0.14155924,0.21624766,-0.21624768,0.33422300,-0.33422302,0.01119717,-0.01119718,0.44566212,-0.44566212
-5.72986493,2.83273254,-2.83273266,0.47835751,-0.47835753,1.79329451,-1.79329458,0.00391180,-0.00391180,0.14672790,-0.14672791,0.22651082,-0.22651084,0.33901499,-0.33901501,0.01233643,-0.01233643,0.45182611,-0.45182611
