energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.95881817,0.12360587,0.00016558,1.29238005,0.00000000,1.04638303,0.40785528
-5.99399700,1.97359181,0.12693017,0.00015167,1.30019440,0.00000000,1.05836631,0.41248270
-5.98799400,1.99410047,0.13058405,0.00014020,1.31170609,0.00000000,1.07254920,0.41802998
-5.98199100,2.01741982,0.13438829,0.00013079,1.32499343,0.00000000,1.08745232,0.42390994
-5.97598799,2.04077070,0.13816708,0.00012307,1.33823497,0.00000000,1.10166779,0.42956561
-5.96998499,2.06158524,0.14175241,0.00011672,1.34975314,0.00000000,1.11389482,0.43448396
-5.96398199,2.07756494,0.14498807,0.00011142,1.35805243,0.00000000,1.12297117,0.43820784
-5.95797899,2.08672918,0.14773322,0.00010691,1.36185107,0.00000000,1.12789980,0.44034611
-5.95197599,2.08745303,0.14986559,0.00010295,1.36010532,0.00000000,1.12786968,0.44058140
-5.94597299,2.07849336,0.15128398,0.00009935,1.35202592,0.00000000,1.12227033,0.43867552
-5.93996998,2.05900282,0.15191020,0.00009595,1.33708628,0.00000000,1.11069964,0.43447230
-5.93396698,2.02853170,0.15169034,0.00009262,1.31502261,0.00000000,1.09296487,0.42789789
-5.92796398,1.98701781,0.15059526,0.00008928,1.28582598,0.00000000,1.06907702,0.41895850
-5.92196098,1.93476554,0.14862048,0.00008589,1.24972721,0.00000000,1.03923905,0.40773598
-5.91595798,1.87241502,0.14578534,0.00008241,1.20717531,0.00000000,1.00382844,0.39438118
-5.90995498,1.80090319,0.14213159,0.00007886,1.15881060,0.00000000,0.96337527,0.37910579
-5.90395198,1.72141850,0.13772137,0.00007527,1.10543379,0.00000000,0.91853658,0.36217268
-5.89794897,1.63535135,0.13263484,0.00007169,1.04797239,0.00000000,0.87006847,0.34388550
-5.89194597,1.54424231,0.12696742,0.00006820,0.98744597,0.00000000,0.81879685,0.32457774
-5.88594297,1.44973027,0.12082685,0.00006488,0.92493151,0.00000000,0.76558833,0.30460185
-5.87993997,1.35350238,0.11433014,0.00006184,0.86153022,0.00000000,0.71132218,0.28431869
-5.87393697,1.25724737,0.10760059,0.00005919,0.79833688,0.00000000,0.65686445,0.26408774
-5.86793397,1.16261389,0.10076488,0.00005705,0.73641271,0.00000000,0.60304498,0.24425828
-5.86193097,1.07117446,0.09395048,0.00005556,0.67676209,0.00000000,0.55063803,0.22516183
-5.85592796,0.98439598,0.08728332,0.00005484,0.62031390,0.00000000,0.50034677,0.20710588
-5.84992496,0.90361676,0.08088576,0.00005504,0.56790724,0.00000000,0.45279186,0.19036898
-5.84392196,0.83002999,0.07487506,0.00005630,0.52028148,0.00000000,0.40850406,0.17519710
-5.83791896,0.76467312,0.06936205,0.00005876,0.47807032,0.00000000,0.36792063,0.16180130
