energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.31815848,1.40921075,4.16605271,0.03331468,0.53637048,0.05747326,1.67154124,0.98992456,0.42494437
-5.99399700,7.36258535,1.42007478,4.19901226,0.03324742,0.54176561,0.05860140,1.67036919,0.99475345,0.42644679
-5.98799400,7.41602108,1.43369706,4.23617509,0.03321506,0.54800876,0.05988914,1.67107515,1.00084720,0.42806297
-5.98199100,7.47761371,1.45001547,4.27697026,0.03321744,0.55504093,0.06132093,1.67352853,1.00804694,0.42974754
-5.97598799,7.54636134,1.46890550,4.32076901,0.03325329,0.56278359,0.06287783,1.67757383,1.01617934,0.43145651
-5.96998499,7.62114808,1.49018432,4.36690858,0.03332025,0.57114170,0.06453805,1.68303668,1.02506150,0.43314812
-5.96398199,7.70078266,1.51361652,4.41471674,0.03341479,0.58000711,0.06627755,1.68973020,1.03450589,0.43478367
-5.95797899,7.78403815,1.53892145,4.46353597,0.03353226,0.58926242,0.06807078,1.69746121,1.04432523,0.43632812
-5.95197599,7.86969100,1.56578174,4.51274603,0.03366697,0.59878486,0.06989148,1.70603614,1.05433720,0.43775071
-5.94597299,7.95655801,1.59385276,4.56178402,0.03381230,0.60845025,0.07171346,1.71526643,1.06436868,0.43902546
-5.93996998,8.04352989,1.62277255,4.61016124,0.03396084,0.61813670,0.07351149,1.72497331,1.07425968,0.44013161
-5.93396698,8.12960046,1.65217207,4.65747619,0.03410461,0.62772803,0.07526202,1.73499182,1.08386664,0.44105402
-5.92796398,8.21389063,1.68168533,4.70342332,0.03423534,0.63711683,0.07694397,1.74517413,1.09306531,0.44178353
-5.92196098,8.29566667,1.71095907,4.74779745,0.03434469,0.64620695,0.07853934,1.75539205,1.10175289,0.44231734
-5.91595798,8.37435242,1.73966171,4.79049371,0.03442461,0.65491540,0.08003370,1.76553878,1.10984964,0.44265929
-5.90995498,8.44953529,1.76749131,4.83150344,0.03446764,0.66317377,0.08141657,1.77552995,1.11729984,0.44282017
-5.90395198,8.52096617,1.79418219,4.87090614,0.03446726,0.67092891,0.08268164,1.78530387,1.12407206,0.44281787
-5.89794897,8.58855329,1.81951010,4.90885801,0.03441816,0.67814312,0.08382677,1.79482117,1.13015878,0.44267742
-5.89194597,8.65235046,1.84329562,4.94557762,0.03431650,0.68479363,0.08485388,1.80406364,1.13557527,0.44243091
-5.88594297,8.71254011,1.86540580,4.98132932,0.03416018,0.69087171,0.08576865,1.81303245,1.14035791,0.44211712
-5.87993997,8.76941169,1.88575379,5.01640491,0.03394895,0.69638113,0.08658001,1.82174571,1.14456169,0.44178093
-5.87393697,8.82333609,1.90429670,5.05110448,0.03368449,0.70133633,0.08729956,1.83023540,1.14825719,0.44147248
