energy_ev,total_up,Ru_p_up,Ru_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
0.87943972,0.91378090,0.64834472,0.27294000,0.08342492,0.00000000,0.70060623,0.00000000
0.88544272,0.91029433,0.67032688,0.27785395,0.08598604,0.00000000,0.68516669,0.00000000
0.89144572,0.90721551,0.69406952,0.28291877,0.08876614,0.00000000,0.67001935,0.00000000
0.89744872,0.90518206,0.71984361,0.28828246,0.09180257,0.00000000,0.65577048,0.00000000
0.90345173,0.90481059,0.74788071,0.29409275,0.09512679,0.00000000,0.64300267,0.00000000
0.90945473,0.90667293,0.77835627,0.30049022,0.09876219,0.00000000,0.63225595,0.00000000
0.91545773,0.91127434,0.81137452,0.30760151,0.10272221,0.00000000,0.62401099,0.00000000
0.92146073,0.91903438,0.84695585,0.31553304,0.10700871,0.00000000,0.61867502,0.00000000
0.92746373,0.93027128,0.88502729,0.32436533,0.11161085,0.00000000,0.61657078,0.00000000
0.93346673,0.94519026,0.92541662,0.33414834,0.11650446,0.00000000,0.61792892,0.00000000
0.93946973,0.96387619,0.96785062,0.34489784,0.12165193,0.00000000,0.62288370,0.00000000
0.94547274,0.98629072,1.01195750,0.35659315,0.12700271,0.00000000,0.63147216,0.00000000
0.95147574,1.01227376,1.05727359,0.36917614,0.13249429,0.00000000,0.64363636,0.00000000
0.95747874,1.04154921,1.10325397,0.38255170,0.13805377,0.00000000,0.65922856,0.00000000
0.96348174,1.07373440,1.14928676,0.39658940,0.14359982,0.00000000,0.67801879,0.00000000
0.96948474,1.10835284,1.19471029,0.41112658,0.14904505,0.00000000,0.69970443,0.00000000
0.97548774,1.14484939,1.23883242,0.42597232,0.15429861,0.00000000,0.72392122,0.00000000
0.98149075,1.18260752,1.28095130,0.44091248,0.15926893,0.00000000,0.75025529,0.00000000
0.98749375,1.22096752,1.32037643,0.45571532,0.16386654,0.00000000,0.77825562,0.00000000
0.99349675,1.25924522,1.35644921,0.47013765,0.16800671,0.00000000,0.80744653,0.00000000
0.99949975,1.29675036,1.38856216,0.48393112,0.17161195,0.00000000,0.83733976,0.00000000
1.00550275,1.33280416,1.41617585,0.49684865,0.17461418,0.00000000,0.86744586,0.00000000
1.01150575,1.36675539,1.43883309,0.50865050,0.17695653,0.00000000,0.89728454,0.00000000
1.01750875,1.39799474,1.45616975,0.51911010,0.17859467,0.00000000,0.92639387,0.00000000
1.02351176,1.42596700,1.46792201,0.52801927,0.17949773,0.00000000,0.95433819,0.00000000
1.02951476,1.45018109,1.47392985,0.53519286,0.17964864,0.00000000,0.98071468,0.00000000
1.03551776,1.47021774,1.47413703,0.54047266,0.17904414,0.00000000,1.00515859,0.00000000
1.04152076,1.48573493,1.46858756,0.54373054,0.17769422,0.00000000,1.02734727,0.00000000
1.04752376,1.49647125,1.45741938,0.54487084,0.17562132,0.00000000,1.04700302,0.00000000
1.05352676,1.50224731,1.44085548,0.54383193,0.17285912,0.00000000,1.06389498,0.00000000
1.05952976,1.50296548,1.41919326,0.54058713,0.16945118,0.00000000,1.07784020,0.00000000
1.06553277,1.49860821,1.39279264,0.53514473,0.16544935,0.00000000,1.08870401,0.00000000
1.07153577,1.48923523,1.36206366,0.52754753,0.16091221,0.00000000,1.09639996,0.00000000
1.07753877,1.47497981,1.32745397,0.51787157,0.15590335,0.00000000,1.10088939,0.00000000
1.08354177,1.45604440,1.28943699,0.50622438,0.15048990,0.00000000,1.10218084,0.00000000
1.08954477,1.43269580,1.24850089,0.49274268,0.14474098,0.00000000,1.10032933,0.00000000
1.09554777,1.40526001,1.20513892,0.47758957,0.13872642,0.00000000,1.09543565,0.00000000
1.10155078,1.37411693,1.15984122,0.46095136,0.13251559,0.00000000,1.08764568,0.00000000
1.10755378,1.33969485,1.11308818,0.44303401,0.12617642,0.00000000,1.07714968,0.00000000
1.11355678,1.30246503,1.06534535,0.42405932,0.11977461,0.00000000,1.06418151,0.00000000
1.11955978,1.26293596,1.01705989,0.40426091,0.11337302,0.00000000,1.04901765,0.00000000
1.12556278,1.22164766,0.96865818,0.38388006,0.10703118,0.00000000,1.03197596,0.00000000
1.13156578,1.17916571,0.92054460,0.36316157,0.10080494,0.00000000,1.01341382,0.00000000
1.13756878,1.13607493,0.87310100,0.34234960,0.09474628,0.00000000,0.99372561,0.00000000
1.14357179,1.09297270,0.82668667,0.32168367,0.08890313,0.00000000,0.97333914,0.00000000
1.14957479,1.05046186,0.78163857,0.30139490,0.08331928,0.00000000,0.95271097,0.00000000
1.15557779,1.00914288,0.73827143,0.28170249,0.07803432,0.00000000,0.93232031,0.00000000
1.16158079,0.96960556,0.69687770,0.26281059,0.07308356,0.00000000,0.91266143,0.00000000
1.16758379,0.93242001,0.65772694,0.24490552,0.06849798,0.00000000,0.89423446,0.00000000
1.17358679,0.89812701,0.62106479,0.22815344,0.06430413,0.00000000,0.87753464,0.00000000
1.17958979,0.86722798,0.58711133,0.21269851,0.06052400,0.00000000,0.86304014,0.00000000
1.18559280,0.84017448,0.55605886,0.19866145,0.05717493,0.00000000,0.85119866,0.00000000
1.19159580,0.81735768,0.52806926,0.18613858,0.05426935,0.00000000,0.84241321,0.00000000
1.19759880,0.79909811,0.50327102,0.17520134,0.05181469,0.00000000,0.83702751,0.00000000
1.20360180,0.78563580,0.48175615,0.16589620,0.04981314,0.00000000,0.83531164,0.00000000
