energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,S_s_up,S_p_up
-6.00000000,3.39287727,0.13966212,0.03948517,0.62186728,0.34891991,0.70203912,0.70452034,0.06355068,1.62304676
-5.99399700,3.26818003,0.12985251,0.03605982,0.58392405,0.31788384,0.64868385,0.71389931,0.06403011,1.57555290
-5.98799400,3.15456410,0.12057576,0.03284221,0.54798866,0.28897940,0.59844892,0.72377507,0.06490191,1.53279036
-5.98199100,3.05251664,0.11188374,0.02985746,0.51427051,0.26241736,0.55156882,0.73390071,0.06617576,1.49488886
-5.97598799,2.96222160,0.10380714,0.02712526,0.48289968,0.23835596,0.50818615,0.74400234,0.06786108,1.46184901
-5.96998499,2.88359504,0.09635701,0.02465986,0.45393251,0.21690335,0.46835899,0.75378951,0.06996771,1.43356005
-5.96398199,2.81632869,0.08952695,0.02247032,0.42735945,0.19812118,0.43207041,0.76296673,0.07250656,1.40982118
-5.95797899,2.75993848,0.08329560,0.02056086,0.40311452,0.18202904,0.39923971,0.77124562,0.07548999,1.39036501
-5.95197599,2.71381488,0.07762952,0.01893118,0.38108596,0.16860940,0.36973446,0.77835683,0.07893202,1.37488143
-5.94597299,2.67727173,0.07248600,0.01757695,0.36112734,0.15781267,0.34338291,0.78406128,0.08284822,1.36304065
-5.93996998,2.64959093,0.06781604,0.01649027,0.34306858,0.14956219,0.31998593,0.78816007,0.08725519,1.35451377
-5.93396698,2.63006024,0.06356703,0.01566011,0.32672640,0.14375878,0.29932815,0.79050235,0.09216975,1.34898991
-5.92796398,2.61800262,0.05968530,0.01507276,0.31191380,0.14028473,0.28118778,0.79099100,0.09760769,1.34618892
-5.92196098,2.61279563,0.05611830,0.01471220,0.29844816,0.13900718,0.26534478,0.78958561,0.10358219,1.34586910
-5.91595798,2.61388057,0.05281644,0.01456050,0.28615780,0.13978064,0.25158736,0.78630263,0.11010199,1.34782976
-5.90995498,2.62076140,0.04973451,0.01459809,0.27488680,0.14244895,0.23971644,0.78121284,0.11716931,1.35190865
-5.90395198,2.63299431,0.04683271,0.01480410,0.26449820,0.14684643,0.22954855,0.77443608,0.12477759,1.35797478
-5.89794897,2.65016943,0.04407730,0.01515655,0.25487542,0.15279867,0.22091682,0.76613374,0.13290938,1.36591728
-5.89194597,2.67188662,0.04144088,0.01563262,0.24592236,0.16012279,0.21367071,0.75649929,0.14153425,1.37563140
-5.88594297,2.69772748,0.03890230,0.01620886,0.23756205,0.16862765,0.20767441,0.74574755,0.15060699,1.38700268
-5.87993997,2.72722635,0.03644641,0.01686146,0.22973445,0.17811394,0.20280454,0.73410304,0.16006620,1.39989073
