energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.54423369,0.00565859,0.20999909,0.76245417,0.47063695,0.01294443,0.76582795,0.20431212,0.10339260
-5.99399700,1.61133110,0.00581577,0.21414821,0.79289925,0.48544615,0.01363594,0.80567844,0.21258417,0.10899034
-5.98799400,1.67824041,0.00599926,0.21798573,0.82277089,0.49996471,0.01432442,0.84581706,0.22150404,0.11461864
-5.98199100,1.74403014,0.00619946,0.22151101,0.85176896,0.51405217,0.01499953,0.88561230,0.23087403,0.12018383
-5.97598799,1.80773133,0.00640686,0.22472100,0.87958255,0.52755850,0.01565020,0.92441132,0.24048601,0.12558963
-5.96998499,1.86836257,0.00661228,0.22760904,0.90589382,0.54032628,0.01626487,0.96155924,0.25012826,0.13074007
-5.96398199,1.92495773,0.00680708,0.23016406,0.93038331,0.55219386,0.01683185,0.99641958,0.25959253,0.13554252
-5.95797899,1.97659538,0.00698337,0.23237020,0.95273658,0.56299940,0.01733963,1.02839519,0.26868103,0.13991079
-5.95197599,2.02242867,0.00713420,0.23420700,0.97265200,0.57258553,0.01777726,1.05694857,0.27721309,0.14376809
-5.94597299,2.06171447,0.00725370,0.23565003,0.98984939,0.58080461,0.01813470,1.08162089,0.28503123,0.14704978
-5.93996998,2.09384007,0.00733718,0.23667203,1.00407919,0.58752420,0.01840317,1.10204848,0.29200628,0.14970573
-5.93396698,2.11834637,0.00738129,0.23724443,1.01513149,0.59263249,0.01857548,1.11797624,0.29804137,0.15170216
-5.92796398,2.13494601,0.00738397,0.23733915,1.02284458,0.59604334,0.01864628,1.12926695,0.30307469,0.15302294
-5.92196098,2.14353541,0.00734452,0.23693057,1.02711233,0.59770067,0.01861231,1.13590616,0.30708068,0.15367011
-5.91595798,2.14420000,0.00726356,0.23599747,1.02788999,0.59758181,0.01847251,1.13800211,0.31006981,0.15366377
-5.90995498,2.13721200,0.00714292,0.23452486,1.02519788,0.59569962,0.01822812,1.13578080,0.31208681,0.15304118
-5.90395198,2.12302079,0.00698557,0.23250560,1.01912269,0.59210321,0.01788264,1.12957625,0.31320757,0.15185522
-5.89794897,2.10223625,0.00679547,0.22994150,1.00981629,0.58687707,0.01744173,1.11981644,0.31353476,0.15017216
-5.89194597,2.07560576,0.00657741,0.22684402,0.99749188,0.58013880,0.01691310,1.10700568,0.31319253,0.14806902
-5.88594297,2.04398607,0.00633685,0.22323448,0.98241766,0.57203531,0.01630620,1.09170429,0.31232048,0.14563049
-5.87993997,2.00831145,0.00607972,0.21914360,0.96490848,0.56273783,0.01563198,1.07450667,0.31106734,0.14294567
-5.87393697,1.96955998,0.00581229,0.21461064,0.94531565,0.55243600,0.01490252,1.05601886,0.30958458,0.14010478
-5.86793397,1.92871951,0.00554096,0.20968199,0.92401574,0.54133136,0.01413070,1.03683697,0.30802043,0.13719601
-5.86193097,1.88675541,0.00527214,0.20440952,0.90139879,0.52963054,0.01332980,1.01752734,0.30651460,0.13430271
-5.85592796,1.84458153,0.00501216,0.19884854,0.87785669,0.51753867,0.01251316,0.99860965,0.30519386,0.13150097
-5.84992496,1.80303603,0.00476713,0.19305580,0.85377234,0.50525336,0.01169384,0.98054370,0.30416890,0.12885783
-5.84392196,1.76286297,0.00454296,0.18708743,0.82951017,0.49295941,0.01088428,0.96372037,0.30353240,0.12643005
-5.83791896,1.72470061,0.00434528,0.18099714,0.80540845,0.48082479,0.01009608,0.94845712,0.30335851,0.12426366
-5.83191596,1.68907638,0.00417949,0.17483460,0.78177370,0.46899780,0.00933974,0.93499799,0.30370352,0.12239408
-5.82591296,1.65640852,0.00405078,0.16864427,0.75887744,0.45760559,0.00862454,0.92351765,0.30460778,0.12084691
-5.81990995,1.62701357,0.00396423,0.16246462,0.73695507,0.44675404,0.00795843,0.91412909,0.30609843,0.11963917
-5.81390695,1.60111863,0.00392483,0.15632783,0.71620696,0.43652877,0.00734795,0.90689395,0.30819282,0.11878102
-5.80790395,1.57887705,0.00393763,0.15025988,0.69680113,0.42699715,0.00679824,0.90183460,0.31090219,0.11827761
-5.80190095,1.56038595,0.00400774,0.14428109,0.67887733,0.41821089,0.00631309,0.89894687,0.31423526,0.11813113
-5.79589795,1.54570379,0.00414048,0.13840688,0.66255173,0.41020909,0.00589494,0.89821224,0.31820143,0.11834261
-5.78989495,1.53486650,0.00434134,0.13264889,0.64792190,0.40302116,0.00554507,0.89960859,0.32281318,0.11891364
-5.78389195,1.52790059,0.00461603,0.12701609,0.63507134,0.39666948,0.00526357,0.90311846,0.32808755,0.11984758
-5.77788894,1.52483217,0.00497044,0.12151597,0.62407313,0.39117142,0.00504953,0.90873434,0.33404631,0.12115031
-5.77188594,1.52569093,0.00541058,0.11615560,0.61499232,0.38654054,0.00490112,0.91646028,0.34071504,0.12283045
-5.76588294,1.53050891,0.00594239,0.11094256,0.60788678,0.38278679,0.00481564,0.92631001,0.34812078,0.12489895
-5.75987994,1.53931404,0.00657163,0.10588554,0.60280637,0.37991580,0.00478967,0.93830151,0.35628870,0.12736813
-5.75387694,1.55211904,0.00730364,0.10099473,0.59979049,0.37792717,0.00481908,0.95244860,0.36523787,0.13025019
-5.74787394,1.56890672,0.00814304,0.09628186,0.59886433,0.37681205,0.00489914,0.96875026,0.37497640,0.13355533
-5.74187094,1.58961295,0.00909351,0.09175991,0.60003392,0.37655024,0.00502456,0.98717863,0.38549655,0.13728959
-5.73586793,1.61410896,0.01015738,0.08744262,0.60328075,0.37710703,0.00518955,1.00766670,0.39676993,0.14145254
-5.72986493,1.64218453,0.01133542,0.08334374,0.60855622,0.37843021,0.00538790,1.03009692,0.40874353,0.14603504
-5.72386193,1.67353401,0.01262641,0.07947614,0.61577673,0.38044759,0.00561301,1.05429177,0.42133677,0.15101724
-5.71785893,1.70774636,0.01402696,0.07585089,0.62481971,0.38306527,0.00585798,1.08000726,0.43444003,0.15636697
-5.71185593,1.74430088,0.01553123,0.07247631,0.63552141,0.38616708,0.00611572,1.10693019,0.44791483,0.16203859
-5.70585293,1.78256927,0.01713074,0.06935715,0.64767643,0.38961522,0.00637904,1.13467978,0.46159593,0.16797261
-5.69984992,1.82182456,0.01881431,0.06649392,0.66103972,0.39325233,0.00664078,1.16281378,0.47529526,0.17409591
-5.69384692,1.86125701,0.02056806,0.06388239,0.67533065,0.39690494,0.00689391,1.19083906,0.48880762,0.18032279
