energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.76197751,0.36049885,0.31225383,0.01081517,0.96725583,0.70882524,0.00000000,1.67119575,0.77240761
-5.99399700,2.77795605,0.35381895,0.31462046,0.01060538,0.98080141,0.70636178,0.00000000,1.71235013,0.76806194
-5.98799400,2.79659106,0.34784810,0.31738154,0.01036412,0.99492917,0.70530634,0.00000000,1.75776923,0.76328179
-5.98199100,2.81846333,0.34268813,0.32051652,0.01009871,1.00989961,0.70573616,0.00000000,1.80783288,0.75830276
-5.97598799,2.84410921,0.33842803,0.32400397,0.00981674,1.02595579,0.70771008,0.00000000,1.86280587,0.75337811
-5.96998499,2.87397490,0.33514001,0.32781991,0.00952589,1.04330263,0.71126164,0.00000000,1.92280381,0.74876417
-5.96398199,2.90837362,0.33287630,0.33193638,0.00923371,1.06208730,0.71639330,0.00000000,1.98776297,0.74470553
-5.95797899,2.94744827,0.33166672,0.33632035,0.00894747,1.08238174,0.72307184,0.00000000,2.05741627,0.74142091
-5.95197599,2.99114211,0.33151729,0.34093303,0.00867396,1.10416869,0.73122544,0.00000000,2.13127734,0.73909061
-5.94597299,3.03917929,0.33240972,0.34572969,0.00841944,1.12733223,0.74074249,0.00000000,2.20863401,0.73784612
-5.93996998,3.09105679,0.33430197,0.35065998,0.00818945,1.15165339,0.75147234,0.00000000,2.28855240,0.73776258
-5.93396698,3.14604819,0.33712963,0.35566866,0.00798880,1.17681148,0.76322767,0.00000000,2.36989198,0.73885437
-5.92796398,3.20321934,0.34080811,0.36069677,0.00782147,1.20239117,0.77578863,0.00000000,2.45133136,0.74107416
-5.92196098,3.26145505,0.34523549,0.36568297,0.00769059,1.22789488,0.78890828,0.00000000,2.53140402,0.74431518
-5.91595798,3.31949538,0.35029575,0.37056506,0.00759842,1.25276017,0.80231904,0.00000000,2.60854255,0.74841668
-5.90995498,3.37597942,0.35586230,0.37528145,0.00754634,1.27638096,0.81573983,0.00000000,2.68112932,0.75317205
-5.90395198,3.42949421,0.36180157,0.37977247,0.00753481,1.29813152,0.82888357,0.00000000,2.74755129,0.75833899
-5.89794897,3.47862596,0.36797652,0.38398141,0.00756346,1.31739194,0.84146442,0.00000000,2.80625619,0.76365123
-5.89194597,3.52201096,0.37424982,0.38785517,0.00763102,1.33357351,0.85320484,0.00000000,2.85580736,0.76883083
