energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,0.48040123,0.00000009,0.00065934,0.02580895,0.45371627,0.08151781,0.00000000
-5.99399700,0.47498761,0.00000006,0.00062667,0.02411614,0.45119936,0.07461238,0.00000000
-5.98799400,0.47397140,0.00000004,0.00061589,0.02274988,0.45279261,0.06830656,0.00000000
-5.98199100,0.47728411,0.00000003,0.00062657,0.02170321,0.45843497,0.06258610,0.00000000
-5.97598799,0.48484029,0.00000002,0.00065836,0.02097046,0.46804671,0.05743832,0.00000000
-5.96998499,0.49653362,0.00000001,0.00071096,0.02054697,0.48152576,0.05285172,0.00000000
-5.96398199,0.51223239,0.00000001,0.00078415,0.02042854,0.49874351,0.04881534,0.00000000
-5.95797899,0.53177462,0.00000001,0.00087768,0.02061088,0.51954037,0.04531803,0.00000000
-5.95197599,0.55496307,0.00000000,0.00099125,0.02108892,0.54372145,0.04234759,0.00000000
-5.94597299,0.58156061,0.00000000,0.00112449,0.02185606,0.57105245,0.03988999,0.00000000
-5.93996998,0.61128602,0.00000000,0.00127683,0.02290345,0.60125613,0.03792850,0.00000000
-5.93396698,0.64381064,0.00000000,0.00144751,0.02421930,0.63400952,0.03644306,0.00000000
-5.92796398,0.67875599,0.00000000,0.00163546,0.02578825,0.66894214,0.03540970,0.00000000
-5.92196098,0.71569270,0.00000000,0.00183931,0.02759085,0.70563533,0.03480011,0.00000000
-5.91595798,0.75414086,0.00000000,0.00205731,0.02960315,0.74362304,0.03458146,0.00000000
-5.90995498,0.79357209,0.00000000,0.00228733,0.03179654,0.78239403,0.03471639,0.00000000
-5.90395198,0.83341337,0.00000000,0.00252680,0.03413772,0.82139586,0.03516316,0.00000000
-5.89794897,0.87305285,0.00000000,0.00277280,0.03658882,0.86004058,0.03587606,0.00000000
-5.89194597,0.91184766,0.00000000,0.00302200,0.03910793,0.89771230,0.03680599,0.00000000
-5.88594297,0.94913368,0.00000000,0.00327077,0.04164960,0.93377662,0.03790119,0.00000000
-5.87993997,0.98423727,0.00000000,0.00351522,0.04416577,0.96759175,0.03910814,0.00000000
-5.87393697,1.01648858,0.00000000,0.00375129,0.04660671,0.99852124,0.04037261,0.00000000
-5.86793397,1.04523641,0.00000000,0.00397483,0.04892224,1.02594795,0.04164075,0.00000000
-5.86193097,1.06986382,0.00000001,0.00418174,0.05106301,1.04928898,0.04286028,0.00000000
-5.85592796,1.08980439,0.00000001,0.00436809,0.05298181,1.06801087,0.04398168,0.00000000
-5.84992496,1.10455821,0.00000002,0.00453021,0.05463499,1.08164478,0.04495931,0.00000000
-5.84392196,1.11370702,0.00000002,0.00466484,0.05598371,1.08980075,0.04575254,0.00000000
-5.83791896,1.11692796,0.00000004,0.00476920,0.05699519,1.09218060,0.04632670,0.00000000
-5.83191596,1.11400506,0.00000005,0.00484115,0.05764374,1.08858873,0.04665390,0.00000000
-5.82591296,1.10483793,0.00000008,0.00487922,0.05791162,1.07894023,0.04671365,0.00000000
-5.81990995,1.08944727,0.00000012,0.00488267,0.05778958,1.06326589,0.04649334,0.00000000
-5.81390695,1.06797664,0.00000017,0.00485156,0.05727725,1.04171369,0.04598841,0.00000000
-5.80790395,1.04069033,0.00000025,0.00478673,0.05638308,1.01454656,0.04520232,0.00000000
-5.80190095,1.00796755,0.00000037,0.00468979,0.05512417,0.98213645,0.04414639,0.00000000
-5.79589795,0.97029269,0.00000053,0.00456311,0.05352569,0.94495488,0.04283931,0.00000000
-5.78989495,0.92824255,0.00000075,0.00440977,0.05162013,0.90356027,0.04130659,0.00000000
-5.78389195,0.88247062,0.00000107,0.00423346,0.04944632,0.85858261,0.03957984,0.00000000
-5.77788894,0.83368945,0.00000150,0.00403843,0.04704837,0.81070612,0.03769595,0.00000000
-5.77188594,0.78265178,0.00000210,0.00382943,0.04447447,0.76065070,0.03569636,0.00000000
-5.76588294,0.73013116,0.00000292,0.00361162,0.04177565,0.70915289,0.03362617,0.00000000
-5.75987994,0.67690326,0.00000403,0.00339049,0.03900469,0.65694726,0.03153353,0.00000000
-5.75387694,0.62372828,0.00000552,0.00317189,0.03621500,0.60474893,0.02946900,0.00000000
-5.74787394,0.57133550,0.00000752,0.00296193,0.03345976,0.55323797,0.02748517,0.00000000
-5.74187094,0.52041040,0.00001016,0.00276703,0.03079117,0.50304623,0.02563646,0.00000000
-5.73586793,0.47158477,0.00001363,0.00259393,0.02825998,0.45474694,0.02397911,0.00000000
-5.72986493,0.42543021,0.00001817,0.00244978,0.02591523,0.40884753,0.02257139,0.00000000
-5.72386193,0.38245488,0.00002405,0.00234220,0.02380420,0.36578549,0.02147407,0.00000000
