energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.48894757,0.01477610,0.30149838,1.46700251,0.90946121,0.59370883,0.21942116,1.12379906,0.00000000
-5.99399700,2.43107348,0.01436288,0.29413855,1.41971915,0.88773432,0.58209417,0.21826553,1.10163240,0.00000000
-5.98799400,2.36953403,0.01388492,0.28574057,1.37027702,0.86506286,0.56998999,0.21675654,1.07857678,0.00000000
-5.98199100,2.30558003,0.01334920,0.27643327,1.31971431,0.84184242,0.55770970,0.21497896,1.05523700,0.00000000
-5.97598799,2.24038320,0.01276348,0.26635359,1.26902430,0.81843368,0.54553388,0.21300945,1.03215508,0.00000000
-5.96998499,2.17500122,0.01213610,0.25564337,1.21912948,0.79515125,0.53370213,0.21091321,1.00979280,0.00000000
-5.96398199,2.11034987,0.01147575,0.24444628,1.17085955,0.77225543,0.52240698,0.20874144,0.98851858,0.00000000
-5.95797899,2.04718332,0.01079129,0.23290484,1.12493363,0.74994725,0.51178999,0.20652958,0.96859903,0.00000000
-5.95197599,1.98608310,0.01009153,0.22115771,1.08194722,0.72836693,0.50194019,0.20429657,0.95019559,0.00000000
-5.94597299,1.92745570,0.00938505,0.20933729,1.04236398,0.70759565,0.49289476,0.20204506,0.93336610,0.00000000
-5.93996998,1.87153868,0.00868000,0.19756770,1.00651217,0.68766048,0.48464187,0.19976261,0.91807106,0.00000000
-5.93396698,1.81841434,0.00798397,0.18596316,0.97458562,0.66854211,0.47712537,0.19742369,0.90418398,0.00000000
-5.92796398,1.76803009,0.00730387,0.17462689,0.94664871,0.65018488,0.47025109,0.19499249,0.89150537,0.00000000
-5.92196098,1.72022405,0.00664581,0.16365041,0.92264492,0.63250862,0.46389428,0.19242624,0.87977926,0.00000000
-5.91595798,1.67475447,0.00601504,0.15311333,0.90240837,0.61542161,0.45790791,0.18967896,0.86871148,0.00000000
-5.90995498,1.63133140,0.00541594,0.14308359,0.88567756,0.59883402,0.45213128,0.18670528,0.85798888,0.00000000
-5.90395198,1.58964893,0.00485197,0.13361806,0.87211098,0.58267128,0.44639861,0.18346426,0.84729825,0.00000000
-5.89794897,1.54941662,0.00432576,0.12476351,0.86130367,0.56688656,0.44054728,0.17992296,0.83634438,0.00000000
-5.89194597,1.51038858,0.00383910,0.11655784,0.85280441,0.55147212,0.43442532,0.17605953,0.82486645,0.00000000
-5.88594297,1.47238926,0.00339305,0.10903146,0.84613292,0.53646875,0.42789787,0.17186572,0.81265199,0.00000000
-5.87993997,1.43533480,0.00298802,0.10220885,0.84079673,0.52197320,0.42085258,0.16734874,0.79954823,0.00000000
-5.87393697,1.39924948,0.00262387,0.09611007,0.83630728,0.50814313,0.41320370,0.16253227,0.78547035,0.00000000
-5.86793397,1.36427675,0.00230002,0.09075231,0.83219496,0.49519966,0.40489484,0.15745682,0.77040661,0.00000000
-5.86193097,1.33068484,0.00201559,0.08615122,0.82802294,0.48342722,0.39590052,0.15217922,0.75442046,0.00000000
-5.85592796,1.29886686,0.00176949,0.08232213,0.82339944,0.47317099,0.38622648,0.14677146,0.73764971,0.00000000
-5.84992496,1.26933588,0.00156053,0.07928101,0.81798839,0.46483189,0.37590895,0.14131896,0.72030303,0.00000000
-5.84392196,1.24271537,0.00138755,0.07704511,0.81151824,0.45885943,0.36501299,0.13591830,0.70265425,0.00000000
-5.83791896,1.21972547,0.00124949,0.07563341,0.80378888,0.45574256,0.35363017,0.13067462,0.68503470,0.00000000
-5.83191596,1.20116592,0.00114548,0.07506665,0.79467650,0.45599896,0.34187553,0.12569880,0.66782409,0.00000000
-5.82591296,1.18789606,0.00107492,0.07536717,0.78413628,0.46016291,0.32988435,0.12110453,0.65144030,0.00000000
-5.81990995,1.18081286,0.00103752,0.07655836,0.77220304,0.46877213,0.31780849,0.11700547,0.63632843,0.00000000
-5.81390695,1.18082743,0.00103333,0.07866394,0.75898959,0.48235405,0.30581272,0.11351244,0.62294949,0.00000000
-5.80790395,1.18884073,0.00106281,0.08170699,0.74468299,0.50141158,0.29407099,0.11073096,0.61176892,0.00000000
-5.80190095,1.20571912,0.00112677,0.08570885,0.72953873,0.52640897,0.28276277,0.10875896,0.60324537,0.00000000
-5.79589795,1.23227023,0.00122641,0.09068782,0.71387302,0.55775795,0.27206953,0.10768488,0.59781969,0.00000000
-5.78989495,1.26921982,0.00136329,0.09665787,0.69805339,0.59580460,0.26217129,0.10758610,0.59590451,0.00000000
-5.78389195,1.31719006,0.00153927,0.10362731,0.68248782,0.64081718,0.25324344,0.10852769,0.59787449,0.00000000
-5.77788894,1.37667971,0.00175649,0.11159746,0.66761283,0.69297541,0.24545366,0.11056149,0.60405729,0.00000000
-5.77188594,1.44804675,0.00201730,0.12056144,0.65388077,0.75236135,0.23895908,0.11372546,0.61472555,0.00000000
-5.76588294,1.53149380,0.00232416,0.13050303,0.64174680,0.81895248,0.23390356,0.11804330,0.63008978,0.00000000
-5.75987994,1.62705681,0.00267963,0.14139571,0.63165593,0.89261691,0.23041522,0.12352425,0.65029251,0.00000000
-5.75387694,1.73459726,0.00308620,0.15320185,0.62403046,0.97311138,0.22860417,0.13016312,0.67540359,0.00000000
-5.74787394,1.85379819,0.00354628,0.16587207,0.61925832,1.06008180,0.22856034,0.13794030,0.70541695,0.00000000
-5.74187094,1.98416426,0.00406206,0.17934483,0.61768249,1.15306688,0.23035176,0.14682207,0.74024872,0.00000000
-5.73586793,2.12502577,0.00463547,0.19354617,0.61959191,1.25150445,0.23402292,0.15676079,0.77973695,0.00000000
-5.72986493,2.27554685,0.00526808,0.20838973,0.62521398,1.35474075,0.23959351,0.16769536,0.82364288,0.00000000
-5.72386193,2.43473739,0.00596104,0.22377694,0.63470894,1.46204214,0.24705760,0.17955157,0.87165382,0.00000000
-5.71785893,2.60146858,0.00671504,0.23959738,0.64816608,1.57260921,0.25638306,0.19224271,0.92338764,0.00000000
