energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,35.36699076,0.46851230,0.00000000,0.02140538,0.55282575,0.08157831,1.11793866,0.68465568,34.17799866
-5.99399700,35.29195709,0.46572856,0.00000000,0.02187099,0.52933219,0.08109544,1.11787834,0.68277098,34.10155686
-5.98799400,35.25208499,0.46328286,0.00000000,0.02235730,0.50696112,0.08062936,1.11876277,0.68151317,34.05852917
-5.98199100,35.25244875,0.46124496,0.00000000,0.02286562,0.48575985,0.08017860,1.12065191,0.68103285,34.05394188
-5.97598799,35.29693412,0.45967326,0.00000000,0.02339712,0.46575435,0.07974079,1.12358256,0.68145583,34.09166032
-5.96998499,35.38805741,0.45861263,0.00000000,0.02395272,0.44695130,0.07931260,1.12756327,0.68287753,34.17421340
-5.96398199,35.52681478,0.45809266,0.00000000,0.02453297,0.42934005,0.07888968,1.13256992,0.68535835,34.30264708
-5.95797899,35.71257112,0.45812663,0.00000000,0.02513788,0.41289459,0.07846668,1.13854240,0.68892014,34.47641627
-5.95197599,35.94299716,0.45871112,0.00000000,0.02576683,0.39757533,0.07803740,1.14538270,0.69354398,34.69332317
-5.94597299,36.21406198,0.45982640,0.00000000,0.02641851,0.38333079,0.07759497,1.15295446,0.69916951,34.94950919
-5.93996998,36.52008575,0.46143761,0.00000000,0.02709085,0.37009924,0.07713218,1.16108429,0.70569580,35.23950520
-5.93396698,36.85385518,0.46349663,0.00000000,0.02778099,0.35781030,0.07664191,1.16956492,0.71298384,35.55634229
-5.92796398,37.20680104,0.46594467,0.00000000,0.02848532,0.34638646,0.07611762,1.17816007,0.72086058,35.89172277
-5.92196098,37.56923409,0.46871541,0.00000000,0.02919957,0.33574472,0.07555389,1.18661101,0.72912431,36.23624778
-5.91595798,37.93063292,0.47173849,0.00000000,0.02991888,0.32579819,0.07494708,1.19464453,0.73755132,36.57969520
-5.90995498,38.27997398,0.47494331,0.00000000,0.03063795,0.31645784,0.07429592,1.20198203,0.74590341,36.91133884
-5.90395198,38.60609219,0.47826279,0.00000000,0.03135122,0.30763424,0.07360207,1.20834935,0.75393602,37.22029743
-5.89794897,38.89805833,0.48163693,0.00000000,0.03205307,0.29923934,0.07287073,1.21348684,0.76140653,37.49590049
-5.89194597,39.14555858,0.48501598,0.00000000,0.03273797,0.29118827,0.07211102,1.21715919,0.76808254,37.72805673
-5.88594297,39.33926092,0.48836299,0.00000000,0.03340071,0.28340102,0.07133632,1.21916460,0.77374948,37.90761066
-5.87993997,39.47115404,0.49165557,0.00000000,0.03403658,0.27580407,0.07056442,1.21934273,0.77821749,38.02667316
-5.87393697,39.53484502,0.49488673,0.00000000,0.03464147,0.26833181,0.06981750,1.21758108,0.78132703,38.07891308
-5.86793397,39.52580436,0.49806476,0.00000000,0.03521204,0.26092766,0.06912190,1.21381947,0.78295327,38.05979867
-5.86193097,39.44154908,0.50121212,0.00000000,0.03574578,0.25354501,0.06850772,1.20805237,0.78300877,37.96677984
-5.85592796,39.28175752,0.50436328,0.00000000,0.03624104,0.24614771,0.06800824,1.20032897,0.78144469,37.79940481
-5.84992496,39.04831227,0.50756179,0.00000000,0.03669700,0.23871031,0.06765910,1.19075097,0.77825041,37.55936779
-5.84392196,38.74527078,0.51085658,0.00000000,0.03711365,0.23121789,0.06749736,1.17946836,0.77345159,37.25048673
-5.83791896,38.37876594,0.51429775,0.00000000,0.03749172,0.22366554,0.06756052,1.16667315,0.76710700,36.87861327
-5.83191596,37.95684141,0.51793212,0.00000000,0.03783252,0.21605757,0.06788530,1.15259166,0.75930429,36.45147913
-5.82591296,37.48922863,0.52179874,0.00000000,0.03813786,0.20840646,0.06850651,1.13747558,0.75015486,35.97848537
-5.81990995,36.98707403,0.52592460,0.00000000,0.03840993,0.20073157,0.06945584,1.12159230,0.73978835,35.47044241
-5.81390695,36.46262596,0.53032087,0.00000000,0.03865118,0.19305775,0.07076080,1.10521502,0.72834687,34.93926978
-5.80790395,35.92889158,0.53497982,0.00000000,0.03886422,0.18541386,0.07244362,1.08861296,0.71597933,34.39766535
-5.80190095,35.39927404,0.53987265,0.00000000,0.03905181,0.17783135,0.07452037,1.07204226,0.70283612,33.85875377
-5.79589795,34.88720001,0.54494830,0.00000000,0.03921677,0.17034280,0.07700021,1.05573779,0.68906436,33.33572387
-5.78989495,34.40574724,0.55013338,0.00000000,0.03936206,0.16298065,0.07988482,1.03990626,0.67480388,32.84146433
-5.78389195,33.96728106,0.55533316,0.00000000,0.03949083,0.15577609,0.08316805,1.02472072,0.66018403,32.38820646
-5.77788894,33.58310814,0.56043368,0.00000000,0.03960652,0.14875805,0.08683572,1.01031676,0.64532136,31.98718214
-5.77188594,33.26315501,0.56530472,0.00000000,0.03971299,0.14195248,0.09086566,0.99679024,0.63031814,31.64830465
-5.76588294,33.01567820,0.56980362,0.00000000,0.03981474,0.13538179,0.09522801,0.98419671,0.61526177,31.37987925
-5.75987994,32.84701247,0.57377969,0.00000000,0.03991702,0.12906441,0.09988552,0.97255220,0.60022485,31.18835008
-5.75387694,32.76136278,0.57707899,0.00000000,0.04002610,0.12301466,0.10479422,0.96183541,0.58526588,31.07808943
-5.74787394,32.76064545,0.57954925,0.00000000,0.04014939,0.11724268,0.10990409,0.95199101,0.57043040,31.05123495
-5.74187094,32.84438348,0.58104479,0.00000000,0.04029568,0.11175448,0.11515987,0.94293377,0.55575255,31.10757984
-5.73586793,33.00966007,0.58143109,0.00000000,0.04047523,0.10655216,0.12050200,0.93455337,0.54125674,31.24452060
-5.72986493,33.25113396,0.58058895,0.00000000,0.04069992,0.10163414,0.12586759,0.92671963,0.52695948,31.45706593
-5.72386193,33.56111894,0.57841803,0.00000000,0.04098329,0.09699548,0.13119141,0.91928792,0.51287114,31.73790920
-5.71785893,33.92972849,0.57483968,0.00000000,0.04134057,0.09262826,0.13640699,0.91210452,0.49899769,32.07756587
-5.71185593,34.34508500,0.56979894,0.00000000,0.04178860,0.08852194,0.14144765,0.90501192,0.48534227,32.46457499
-5.70585293,34.79359075,0.56326587,0.00000000,0.04234575,0.08466374,0.14624754,0.89785364,0.47190652,32.88576239
-5.69984992,35.26025570,0.55523592,0.00000000,0.04303173,0.08103910,0.15074274,0.89047875,0.45869179,33.32656060
-5.69384692,35.72907490,0.54572966,0.00000000,0.04386729,0.07763204,0.15487221,0.88274578,0.44570011,33.77137815
-5.68784392,36.18344545,0.53479187,0.00000000,0.04487395,0.07442561,0.15857884,0.87452610,0.43293491,34.20400874
-5.68184092,36.60661117,0.52248994,0.00000000,0.04607352,0.07140225,0.16181036,0.86570665,0.42040161,34.60806815
-5.67583792,36.98212083,0.50891187,0.00000000,0.04748765,0.06854426,0.16452024,0.85619200,0.40810793,34.96744523
