energy_ev,total_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.83498872,0.47017839,0.90526881,0.03384939,0.70634926,0.23776272,0.00000000
-5.99399700,1.83845792,0.46987670,0.90777413,0.03546368,0.70641179,0.24249281,0.00000000
-5.98799400,1.84163375,0.46963858,0.91092026,0.03705162,0.70550278,0.24707142,0.00000000
-5.98199100,1.84462618,0.46955191,0.91472755,0.03859485,0.70368778,0.25150089,0.00000000
-5.97598799,1.84754376,0.46969713,0.91921349,0.04007502,0.70103644,0.25580241,0.00000000
-5.96998499,1.85049525,0.47014537,0.92439586,0.04147409,0.69762090,0.26001630,0.00000000
-5.96398199,1.85359331,0.47095775,0.93029675,0.04277483,0.69351508,0.26420206,0.00000000
-5.95797899,1.85696029,0.47218582,0.93694721,0.04396116,0.68879473,0.26843816,0.00000000
-5.95197599,1.86073552,0.47387311,0.94439236,0.04501864,0.68353836,0.27282167,0.00000000
-5.94597299,1.86508372,0.47605761,0.95269646,0.04593485,0.67782869,0.27746751,0.00000000
-5.93996998,1.87020372,0.47877498,0.96194786,0.04669987,0.67175469,0.28250745,0.00000000
-5.93396698,1.87633700,0.48206228,0.97226331,0.04730659,0.66541378,0.28808876,0.00000000
-5.92796398,1.88377504,0.48596190,0.98379138,0.04775103,0.65891399,0.29437245,0.00000000
-5.92196098,1.89286500,0.49052542,0.99671465,0.04803262,0.65237578,0.30153110,0.00000000
-5.91595798,1.90401283,0.49581700,1.01125053,0.04815431,0.64593323,0.30974631,0.00000000
-5.90995498,1.91768326,0.50191620,1.02765031,0.04812261,0.63973436,0.31920573,0.00000000
-5.90395198,1.93439633,0.50891981,1.04619645,0.04794756,0.63394034,0.33009977,0.00000000
-5.89794897,1.95472001,0.51694254,1.06719797,0.04764249,0.62872341,0.34261790,0.00000000
-5.89194597,1.97925897,0.52611653,1.09098408,0.04722374,0.62426354,0.35694478,0.00000000
-5.88594297,2.00863958,0.53658944,1.11789607,0.04671022,0.62074369,0.37325617,0.00000000
-5.87993997,2.04349159,0.54852131,1.14827769,0.04612290,0.61834394,0.39171487,0.00000000
-5.87393697,2.08442698,0.56208017,1.18246451,0.04548415,0.61723457,0.41246657,0.00000000
-5.86793397,2.13201696,0.57743655,1.22077231,0.04481705,0.61756850,0.43563601,0.00000000
-5.86193097,2.18676794,0.59475722,1.26348529,0.04414468,0.61947327,0.46132331,0.00000000
