energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.93137214,0.00812590,0.29627657,0.20237913,0.20097285,0.44213970,0.43421869,0.08363886,0.71194089
-5.99399700,1.80674520,0.00744673,0.28678236,0.17994879,0.18215148,0.43222921,0.41748099,0.07745365,0.64739996
-5.98799400,1.69586721,0.00684121,0.27943289,0.15937205,0.16513975,0.42479009,0.40398726,0.07177035,0.58796834
-5.98199100,1.59845721,0.00630738,0.27407817,0.14065037,0.14991249,0.41964803,0.39353739,0.06660277,0.53374816
-5.97598799,1.51391475,0.00584182,0.27051801,0.12375593,0.13640979,0.41655726,0.38585763,0.06195062,0.48472612
-5.96998499,1.44136650,0.00543993,0.26851249,0.10863485,0.12454244,0.41521248,0.38061577,0.05780096,0.44078532
-5.96398199,1.37971992,0.00509623,0.26779344,0.09521115,0.11419777,0.41526275,0.37743782,0.05413001,0.40171991
-5.95797899,1.32772199,0.00480458,0.26807664,0.08339124,0.10524575,0.41632697,0.37592567,0.05090525,0.36725164
-5.95197599,1.28402027,0.00455851,0.26907422,0.07306851,0.09754502,0.41801019,0.37567490,0.04808768,0.33704762
-5.94597299,1.24722415,0.00435146,0.27050677,0.06412799,0.09094875,0.41992018,0.37629239,0.04563414,0.31073837
-5.93996998,1.21596381,0.00417704,0.27211496,0.05645081,0.08531007,0.42168359,0.37741285,0.04349968,0.28793562
-5.93396698,1.18894501,0.00402922,0.27366999,0.04991829,0.08048699,0.42296104,0.37871396,0.04163972,0.26824907
-5.92796398,1.16499785,0.00390254,0.27498274,0.04441568,0.07634664,0.42346069,0.37992941,0.04001214,0.25130171
-5.92196098,1.14311790,0.00379229,0.27591119,0.03983526,0.07276885,0.42294954,0.38085950,0.03857907,0.23674312
-5.91595798,1.12249867,0.00369457,0.27636585,0.03607889,0.06964883,0.42126225,0.38137897,0.03730836,0.22426063
-5.90995498,1.10255457,0.00360643,0.27631312,0.03306004,0.06689920,0.41830710,0.38144169,0.03617477,0.21358788
-5.90395198,1.08293378,0.00352588,0.27577630,0.03070505,0.06445115,0.41406884,0.38108215,0.03516080,0.20451089
-5.89794897,1.06352112,0.00345193,0.27483438,0.02895390,0.06225478,0.40860835,0.38041361,0.03425705,0.19687148
-5.89194597,1.04443115,0.00338452,0.27361845,0.02776041,0.06027888,0.40205930,0.37962305,0.03346235,0.19056813
-5.88594297,1.02599194,0.00332450,0.27230616,0.02709185,0.05850992,0.39462187,0.37896305,0.03278343,0.18555453
-5.87993997,1.00872070,0.00327356,0.27111407,0.02692813,0.05695052,0.38655380,0.37874086,0.03223429,0.18183575
-5.87393697,0.99329209,0.00323405,0.27028843,0.02726051,0.05561749,0.37815929,0.37930506,0.03183532,0.17946262
-5.86793397,0.98050090,0.00320892,0.27009464,0.02808998,0.05453938,0.36977619,0.38103039,0.03161203,0.17852431
-5.86193097,0.97122035,0.00320155,0.27080579,0.02942532,0.05375379,0.36176194,0.38430106,0.03159373,0.17913957
-5.85592796,0.96635778,0.00321556,0.27269066,0.03128092,0.05330453,0.35447894,0.38949346,0.03181190,0.18144694
-5.84992496,0.96680953,0.00325471,0.27600176,0.03367440,0.05323861,0.34827995,0.39695870,0.03229856,0.18559426
-5.84392196,0.97341642,0.00332266,0.28096377,0.03662415,0.05360327,0.34349405,0.40700578,0.03308451,0.19172783
-5.83791896,0.98692181,0.00342289,0.28776290,0.04014688,0.05444313,0.34041376,0.41988603,0.03419761,0.19998169
-5.83191596,1.00793361,0.00355847,0.29653763,0.04425521,0.05579747,0.33928382,0.43577951,0.03566112,0.21046720
-5.82591296,1.03689175,0.00373199,0.30737117,0.04895537,0.05769784,0.34029206,0.45478388,0.03749217,0.22326346
-5.81990995,1.07404238,0.00394539,0.32028604,0.05424520,0.06016598,0.34356278,0.47690644,0.03970037,0.23840887
-5.81390695,1.11941975,0.00419991,0.33524106,0.06011254,0.06321214,0.34915274,0.50205954,0.04228669,0.25589410
-5.80790395,1.17283666,0.00449600,0.35213086,0.06653389,0.06683393,0.35705002,0.53005981,0.04524259,0.27565692
-5.80190095,1.23388378,0.00483326,0.37078804,0.07347379,0.07101561,0.36717579,0.56063127,0.04854950,0.29757901
-5.79589795,1.30193822,0.00521049,0.39098793,0.08088461,0.07572796,0.37938884,0.59341233,0.05217861,0.32148508
-5.78989495,1.37618086,0.00562565,0.41245584,0.08870709,0.08092872,0.39349260,0.62796643,0.05609106,0.34714436
-5.78389195,1.45562212,0.00607596,0.43487650,0.09687155,0.08656353,0.40924450,0.66379606,0.06023852,0.37427460
-5.77788894,1.53913505,0.00655798,0.45790530,0.10529976,0.09256744,0.42636713,0.70035944,0.06456413,0.40254847
-5.77188594,1.62549458,0.00706770,0.48118094,0.11390744,0.09886686,0.44456069,0.73708932,0.06900377,0.43160228
-5.76588294,1.71342140,0.00760069,0.50433882,0.12260746,0.10538197,0.46351622,0.77341304,0.07348773,0.46104677
-5.75987994,1.80162839,0.00815225,0.52702466,0.13131339,0.11202934,0.48292898,0.80877290,0.07794254,0.49047956
-5.75387694,1.88886797,0.00871757,0.54890768,0.13994360,0.11872489,0.50251129,0.84264590,0.08229309,0.51949884
-5.74787394,1.97397793,0.00929188,0.56969272,0.14842539,0.12538682,0.52200433,0.87456200,0.08646475,0.54771774
-5.74187094,2.05592385,0.00987061,0.58913066,0.15669926,0.13193852,0.54118825,0.90411989,0.09038565,0.57477885
-5.73586793,2.13383607,0.01044951,0.60702666,0.16472295,0.13831138,0.55989008,0.93099957,0.09398878,0.60036805
-5.72986493,2.20703953,0.01102481,0.62324587,0.17247503,0.14444714,0.57798921,0.95497112,0.09721397,0.62422721
-5.72386193,2.27507491,0.01159325,0.63771627,0.17995800,0.15029992,0.59541990,0.97589921,0.10000961,0.64616500
-5.71785893,2.33771026,0.01215215,0.65042842,0.18720041,0.15583768,0.61217106,0.99374329,0.10233406,0.66606528
-5.71185593,2.39494247,0.01269947,0.66143242,0.19425815,0.16104303,0.62828299,1.00855331,0.10415665,0.68389265
-5.70585293,2.44698854,0.01323371,0.67083202,0.20121450,0.16591342,0.64384155,1.02046150,0.10545827,0.69969478
-5.69984992,2.49426729,0.01375393,0.67877637,0.20817905,0.17046070,0.65896993,1.02967061,0.10623149,0.71360132
-5.69384692,2.53737238,0.01425960,0.68544987,0.21528536,0.17470991,0.67381852,1.03643937,0.10648026,0.72581946
-5.68784392,2.57703811,0.01475052,0.69106067,0.22268736,0.17869761,0.68855352,1.04106599,0.10621921,0.73662616
-5.68184092,2.61409981,0.01522670,0.69582851,0.23055464,0.18246961,0.70334477,1.04387083,0.10547257,0.74635742
-5.67583792,2.64945076,0.01568816,0.69997257,0.23906674,0.18607840,0.71835360,1.04517896,0.10427284,0.75539514
-5.66983492,2.68399794,0.01613486,0.70369986,0.24840659,0.18958026,0.73372127,1.04530377,0.10265921,0.76415187
-5.66383192,2.71861842,0.01656651,0.70719496,0.25875339,0.19303230,0.74955858,1.04453242,0.10067591,0.77305441
-5.65782891,2.75411875,0.01698247,0.71061137,0.27027512,0.19648956,0.76593719,1.04311376,0.09837050,0.78252675
-5.65182591,2.79119873,0.01738170,0.71406496,0.28312110,0.20000227,0.78288304,1.04124927,0.09579233,0.79297322
-5.64582291,2.83042123,0.01776264,0.71762975,0.29741470,0.20361345,0.80037208,1.03908740,0.09299098,0.80476240
-5.63981991,2.87218892,0.01812321,0.72133598,0.31324671,0.20735695,0.81832857,1.03672112,0.09001510,0.81821257
-5.63381691,2.91672854,0.01846086,0.72517052,0.33066946,0.21125597,0.83662568,1.03418882,0.08691139,0.83357924
-5.62781391,2.96408289,0.01877255,0.72907943,0.34969206,0.21532219,0.85508849,1.03147801,0.08372386,0.85104504
