energy_ev,total_up,Ir_p_up,Ir_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,3.09901758,1.51065038,2.09520898,0.73026286,0.01969570,0.00483190,0.20157518
-5.99399700,3.21217942,1.57732899,2.16254620,0.76300034,0.02013512,0.00504761,0.21208190
-5.98799400,3.31630080,1.63986057,2.22322608,0.79399361,0.02050812,0.00524635,0.22227182
-5.98199100,3.40870026,1.69687118,2.27555303,0.82252790,0.02080001,0.00542374,0.23190924
-5.97598799,3.48692581,1.74706588,2.31801035,0.84793046,0.02099820,0.00557585,0.24076661
-5.96998499,3.54882138,1.78926511,2.34930117,0.86958781,0.02109254,0.00569928,0.24863041
-5.96398199,3.59258678,1.82243900,2.36838424,0.88696233,0.02107562,0.00579123,0.25530695
-5.95797899,3.61682898,1.84573797,2.37450284,0.89960739,0.02094299,0.00584958,0.26062769
-5.95197599,3.62060229,1.85851867,2.36720579,0.90718058,0.02069332,0.00587301,0.26445408
-5.94597299,3.60343597,1.86036389,2.34635970,0.90945441,0.02032844,0.00586094,0.26668145
-5.93996998,3.56534804,1.85109573,2.31215174,0.90632398,0.01985324,0.00581362,0.26724206
-5.93396698,3.50684465,1.83078149,2.26508313,0.89781140,0.01927557,0.00573209,0.26610696
-5.92796398,3.42890528,1.79973193,2.20595352,0.88406651,0.01860601,0.00561818,0.26328665
-5.92196098,3.33295435,1.75849215,2.13583714,0.86536415,0.01785755,0.00547443,0.25883054
-5.91595798,3.22082056,1.70782534,2.05605170,0.84209775,0.01704523,0.00530405,0.25282522
-5.90995498,3.09468591,1.64869039,1.96812155,0.81476982,0.01618577,0.00511084,0.24539155
-5.90395198,2.95702636,1.58221405,1.87373653,0.78397943,0.01529716,0.00489911,0.23668081
-5.89794897,2.81054682,1.50965908,1.77470835,0.75040742,0.01439817,0.00467358,0.22687002
-5.89194597,2.65811279,1.43238962,1.67292596,0.71479980,0.01350802,0.00443930,0.21615664
-5.88594297,2.50268133,1.35183508,1.57031169,0.67794999,0.01264592,0.00420152,0.20475288
-5.87993997,2.34723355,1.26945408,1.46877928,0.64068054,0.01183074,0.00396568,0.19287989
-5.87393697,2.19471077,1.18669946,1.37019523,0.60382493,0.01108065,0.00373724,0.18076196
-5.86793397,2.04795584,1.10498576,1.27634409,0.56820999,0.01041289,0.00352169,0.16862108
-5.86193097,1.90966102,1.02565987,1.18889833,0.53463942,0.00984346,0.00332443,0.15667186
-5.85592796,1.78232306,0.94997569,1.10939304,0.50387870,0.00938694,0.00315074,0.14511721
-5.84992496,1.66820586,0.87907314,1.03920544,0.47664171,0.00905631,0.00300574,0.13414457
-5.84392196,1.56931061,0.81396195,0.97953889,0.45357913,0.00886281,0.00289437,0.12392310
-5.83791896,1.48735306,0.75550999,0.93141100,0.43526877,0.00881576,0.00282130,0.11460153
-5.83191596,1.42374734,0.70443623,0.89564530,0.42220763,0.00892249,0.00279095,0.10630691
-5.82591296,1.37959551,0.66130774,0.87286599,0.41480576,0.00918818,0.00280746,0.09914409
-5.81990995,1.35568205,0.62654056,0.86349503,0.41338171,0.00961578,0.00287462,0.09319588
-5.81390695,1.35247268,0.60040366,0.86775132,0.41815945,0.01020588,0.00299587,0.08852379
-5.80790395,1.37011675,0.58302565,0.88565156,0.42926669,0.01095663,0.00317425,0.08516926
