energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-5.80790395,3.57669101,0.03502516,0.38621917,1.46328503,0.75484003,0.13406338,1.52908210,0.20292141,0.34458380
-5.80190095,3.66126088,0.03609574,0.39498727,1.49631362,0.77537783,0.13727397,1.57178391,0.20727589,0.34700774
-5.79589795,3.74790182,0.03726064,0.40442277,1.53028204,0.79763491,0.14036032,1.61481178,0.21187648,0.34948766
-5.78989495,3.83471149,0.03850922,0.41424659,1.56448750,0.82107249,0.14327292,1.65738083,0.21661760,0.35187311
-5.78389195,3.91974466,0.03982885,0.42418081,1.59820571,0.84513991,0.14596316,1.69868408,0.22138648,0.35401234
-5.77788894,4.00106303,0.04120513,0.43395512,1.63070947,0.86928671,0.14838456,1.73791348,0.22606623,0.35575728
-5.77188594,4.07678531,0.04262221,0.44331316,1.66128782,0.89297482,0.15049408,1.77428155,0.23053909,0.35696821
-5.76588294,4.14513627,0.04406314,0.45201844,1.68926556,0.91569062,0.15225321,1.80704298,0.23468980,0.35751805
-5.75987994,4.20449353,0.04551029,0.45985990,1.71402252,0.93695668,0.15362893,1.83551558,0.23840892,0.35729614
-5.75387694,4.25343082,0.04694572,0.46665685,1.73501208,0.95634287,0.15459462,1.85909994,0.24159611,0.35621138
-5.74787394,4.29075676,0.04835172,0.47226329,1.75177842,0.97347664,0.15513068,1.87729744,0.24416309,0.35419468
-5.74187094,4.31554805,0.04971122,0.47657136,1.76397198,0.98805221,0.15522502,1.88972591,0.24603647,0.35120070
-5.73586793,4.32717636,0.05100835,0.47951406,1.77136264,0.99983849,0.15487340,1.89613261,0.24716001,0.34720888
-5.72986493,4.32532818,0.05222889,0.48106696,1.77385006,1.00868538,0.15407961,1.89640404,0.24749651,0.34222370
-5.72386193,4.31001703,0.05336074,0.48124895,1.77147079,1.01452846,0.15285544,1.89057229,0.24702913,0.33627442
-5.71785893,4.28158768,0.05439442,0.48012204,1.76440172,1.01739164,0.15122057,1.87881767,0.24576211,0.32941405
-5.71185593,4.24071206,0.05532340,0.47779001,1.75295956,1.01738776,0.14920224,1.86146732,0.24372087,0.32171792
-5.70585293,4.18837673,0.05614447,0.47439611,1.73759626,1.01471699,0.14683491,1.83898990,0.24095140,0.31328166
-5.69984992,4.12586208,0.05685794,0.47011971,1.71889008,1.00966292,0.14415963,1.81198618,0.23751910,0.30421887
-5.69384692,4.05471345,0.05746787,0.46517189,1.69753268,1.00258625,0.14122345,1.78117582,0.23350688,0.29465837
-5.68784392,3.97670487,0.05798198,0.45979019,1.67431221,0.99391634,0.13807855,1.74738048,0.22901281,0.28474124
-5.68184092,3.89379591,0.05841169,0.45423246,1.65009288,0.98414042,0.13478138,1.71150385,0.22414723,0.27461756
-5.67583792,3.80808295,0.05877180,0.44877002,1.62579166,0.97379094,0.13139159,1.67450882,0.21902943,0.26444310
-5.66983492,3.72174585,0.05908022,0.44368021,1.60235262,0.96343124,0.12797089,1.63739276,0.21378412,0.25437582
-5.66383192,3.63699161,0.05935749,0.43923867,1.58071992,0.95363989,0.12458180,1.60116143,0.20853769,0.24457241
-5.65782891,3.55599661,0.05962623,0.43571133,1.56181014,0.94499417,0.12128630,1.56680239,0.20341450,0.23518483
-5.65182591,3.48084921,0.05991044,0.43334660,1.54648520,0.93805321,0.11814449,1.53525883,0.19853323,0.22635699
-5.64582291,3.41349453,0.06023485,0.43236780,1.53552658,0.93334146,0.11521317,1.50740469,0.19400351,0.21822154
-5.63981991,3.35568314,0.06062412,0.43296628,1.52961195,0.93133278,0.11254445,1.48402177,0.18992289,0.21089697
-5.63381691,3.30892559,0.06110203,0.43529532,1.52929504,0.93243613,0.11018453,1.46577988,0.18637427,0.20448502
-5.62781391,3.27445416,0.06169079,0.43946522,1.53498952,0.93698303,0.10817241,1.45322042,0.18342388,0.19906842
-5.62181091,3.25319317,0.06241025,0.44553962,1.54695742,0.94521751,0.10653903,1.44674421,0.18111981,0.19470919
