energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.20311863,0.03608227,0.00000000,0.68372777,0.00000000,0.53699557,0.34825716
-5.99399700,1.20626648,0.03668255,0.00000000,0.68414624,0.00000000,0.53172995,0.34957752
-5.98799400,1.21142852,0.03741314,0.00000000,0.68605659,0.00000000,0.52913140,0.35105874
-5.98199100,1.21842257,0.03826642,0.00000000,0.68939304,0.00000000,0.52912614,0.35268235
-5.97598799,1.22711895,0.03923597,0.00000000,0.69411070,0.00000000,0.53164754,0.35444834
-5.96998499,1.23744475,0.04031664,0.00000000,0.70018734,0.00000000,0.53663789,0.35637562
-5.96398199,1.24938392,0.04150461,0.00000000,0.70762321,0.00000000,0.54404809,0.35850126
-5.95797899,1.26297281,0.04279718,0.00000000,0.71643857,0.00000000,0.55383521,0.36087850
-5.95197599,1.27829134,0.04419251,0.00000000,0.72666904,0.00000000,0.56595814,0.36357364
-5.94597299,1.29544998,0.04568914,0.00000000,0.73835877,0.00000000,0.58037129,0.36666181
-5.93996998,1.31457320,0.04728543,0.00000000,0.75155190,0.00000000,0.59701688,0.37022186
-5.93396698,1.33578028,0.04897892,0.00000000,0.76628252,0.00000000,0.61581611,0.37433056
-5.92796398,1.35916446,0.05076555,0.00000000,0.78256386,0.00000000,0.63665996,0.37905656
-5.92196098,1.38477175,0.05263894,0.00000000,0.80037737,0.00000000,0.65940003,0.38445415
-5.91595798,1.41258083,0.05458968,0.00000000,0.81966233,0.00000000,0.68384038,0.39055762
-5.90995498,1.44248527,0.05660470,0.00000000,0.84030685,0.00000000,0.70973084,0.39737613
-5.90395198,1.47427964,0.05866683,0.00000000,0.86214108,0.00000000,0.73676271,0.40488981
-5.89794897,1.50765038,0.06075449,0.00000000,0.88493300,0.00000000,0.76456712,0.41304719
-5.89194597,1.54217266,0.06284167,0.00000000,0.90838771,0.00000000,0.79271683,0.42176419
-5.88594297,1.57731353,0.06489817,0.00000000,0.93215018,0.00000000,0.82073141,0.43092491
-5.87993997,1.61244172,0.06689010,0.00000000,0.95581178,0.00000000,0.84808607,0.44038412
-5.87393697,1.64684382,0.06878067,0.00000000,0.97892043,0.00000000,0.87422386,0.44997147
-5.86793397,1.67974622,0.07053117,0.00000000,1.00099391,0.00000000,0.89857082,0.45949719
-5.86193097,1.71034170,0.07210226,0.00000000,1.02153588,0.00000000,0.92055353,0.46875898
-5.85592796,1.73781941,0.07345534,0.00000000,1.04005367,0.00000000,0.93961818,0.47754971
-5.84992496,1.76139660,0.07455398,0.00000000,1.05607691,0.00000000,0.95525021,0.48566561
-5.84392196,1.78035032,0.07536542,0.00000000,1.06917617,0.00000000,0.96699362,0.49291430
-5.83791896,1.79404728,0.07586197,0.00000000,1.07898024,0.00000000,0.97446874,0.49912239
-5.83191596,1.80197033,0.07602221,0.00000000,1.08519135,0.00000000,0.97738766,0.50414210
-5.82591296,1.80373989,0.07583205,0.00000000,1.08759729,0.00000000,0.97556630,0.50785659
-5.81990995,1.79912927,0.07528543,0.00000000,1.08607986,0.00000000,0.96893258,0.51018372
-5.81390695,1.78807309,0.07438474,0.00000000,1.08061905,0.00000000,0.95753011,0.51107798
-5.80790395,1.77066837,0.07314091,0.00000000,1.07129297,0.00000000,0.94151734,0.51053072
-5.80190095,1.74716845,0.07157308,0.00000000,1.05827334,0.00000000,0.92116204,0.50856847
-5.79589795,1.71797020,0.06970800,0.00000000,1.04181711,0.00000000,0.89683159,0.50524983
-5.78989495,1.68359549,0.06757915,0.00000000,1.02225467,0.00000000,0.86897959,0.50066082
-5.78389195,1.64466811,0.06522555,0.00000000,0.99997536,0.00000000,0.83812941,0.49490948
-5.77788894,1.60188760,0.06269043,0.00000000,0.97541132,0.00000000,0.80485580,0.48811963
-5.77188594,1.55600154,0.06001983,0.00000000,0.94902049,0.00000000,0.76976525,0.48042461
-5.76588294,1.50777792,0.05726111,0.00000000,0.92126974,0.00000000,0.73347628,0.47196111
-5.75987994,1.45797891,0.05446154,0.00000000,0.89261914,0.00000000,0.69660049,0.46286363
-5.75387694,1.40733748,0.05166697,0.00000000,0.86350794,0.00000000,0.65972521,0.45325972
-5.74787394,1.35653775,0.04892071,0.00000000,0.83434302,0.00000000,0.62339843,0.44326639
-5.74187094,1.30619978,0.04626257,0.00000000,0.80549006,0.00000000,0.58811651,0.43298760
-5.73586793,1.25686904,0.04372817,0.00000000,0.77726778,0.00000000,0.55431490,0.42251303
-5.72986493,1.20901075,0.04134842,0.00000000,0.74994499,0.00000000,0.52236210,0.41191799
-5.72386193,1.16300850,0.03914935,0.00000000,0.72374047,0.00000000,0.49255657,0.40126433
