energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,4.32366885,2.72983502,1.50430616,0.83227171,0.00846888,0.02642355,2.19613165
-5.99399700,4.37786811,2.77841006,1.51442511,0.84649341,0.00859877,0.02692246,2.21860767
-5.98799400,4.41989129,2.81598905,1.52272719,0.85664564,0.00870944,0.02740150,2.23664642
-5.98199100,4.44887432,2.84204788,1.52883675,0.86263190,0.00879935,0.02785347,2.24972265
-5.97598799,4.46434870,2.85636491,1.53247219,0.86445573,0.00886772,0.02827311,2.25748414
-5.96998499,4.46626436,2.85903544,1.53345661,0.86222252,0.00891450,0.02865723,2.25976678
-5.96398199,4.45499590,2.85047451,1.53172361,0.85613770,0.00894042,0.02900468,2.25660156
-5.95797899,4.43133242,2.83140782,1.52731830,0.84650156,0.00894693,0.02931632,2.24821371
-5.95197599,4.39645198,2.80285156,1.52039389,0.83370093,0.00893616,0.02959480,2.23501429
-5.94597299,4.35188243,2.76608212,1.51120419,0.81819816,0.00891084,0.02984435,2.21758493
-5.93996998,4.29945100,2.72259724,1.50009289,0.80051787,0.00887416,0.03007047,2.19665706
-5.93396698,4.24122528,2.67407037,1.48748036,0.78123207,0.00882973,0.03027962,2.17308669
-5.92796398,4.17944891,2.62230048,1.47384880,0.76094433,0.00878140,0.03047886,2.14782632
-5.92196098,4.11647457,2.56915923,1.45972671,0.74027353,0.00873318,0.03067551,2.12189540
-5.91595798,4.05469761,2.51653783,1.44567347,0.71983790,0.00868911,0.03087681,2.09635086
-5.90995498,3.99649247,2.46629543,1.43226466,0.70023972,0.00865318,0.03108964,2.07225870
-5.90395198,3.94415427,2.42021068,1.42007874,0.68205127,0.00862919,0.03132027,2.05066795
-5.89794897,3.89984706,2.37993806,1.40968548,0.66580229,0.00862073,0.03157411,2.03258757
-5.89194597,3.86555969,2.34696986,1.40163618,0.65196908,0.00863107,0.03185560,2.01896686
-5.88594297,3.84306992,2.32260462,1.39645593,0.64096562,0.00866315,0.03216809,2.01067952
-5.87993997,3.83391658,2.30792243,1.39463748,0.63313649,0.00871951,0.03251374,2.00851135
-5.87393697,3.83937951,2.30376714,1.39663667,0.62875170,0.00880228,0.03289356,2.01315124
-5.86793397,3.86046639,2.31073537,1.40286889,0.62800333,0.00891316,0.03330739,2.02518501
-5.86193097,3.89790577,2.32917203,1.41370628,0.63100394,0.00905339,0.03375394,2.04509160
-5.85592796,3.95214507,2.35917193,1.42947518,0.63778649,0.00922378,0.03423088,2.07324098
-5.84992496,4.02335295,2.40058692,1.45045348,0.64830586,0.00942466,0.03473487,2.10989315
-5.84392196,4.11142491,2.45303813,1.47686763,0.66244176,0.00965590,0.03526168,2.15519790
-5.83791896,4.21599197,2.51593277,1.50888907,0.68000308,0.00991689,0.03580628,2.20919476
-5.83191596,4.33643156,2.58848490,1.54663005,0.70073349,0.01020657,0.03636289,2.27181310
-5.82591296,4.47188089,2.66973986,1.59013889,0.72431847,0.01052341,0.03692511,2.34287212
-5.81990995,4.62125252,2.75860165,1.63939484,0.75039348,0.01086542,0.03748603,2.42208092
-5.81390695,4.78325228,2.85386279,1.69430287,0.77855343,0.01123018,0.03803827,2.50903874
