energy_ev,total_up,As_p_up,As_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,1.23031351,0.34115957,0.00000000,0.66397805,0.37801396,0.29186527,0.00000000
-5.99399700,1.25086028,0.34540672,0.00000000,0.67070956,0.38541991,0.29737732,0.00000000
-5.98799400,1.26429346,0.34764515,0.00000000,0.67378264,0.39065371,0.30123497,0.00000000
-5.98199100,1.27027509,0.34778308,0.00000000,0.67311579,0.39358994,0.30337186,0.00000000
-5.97598799,1.26865237,0.34578272,0.00000000,0.66872174,0.39416104,0.30376216,0.00000000
-5.96998499,1.25945685,0.34165971,0.00000000,0.66070300,0.39235796,0.30242027,0.00000000
-5.96398199,1.24289779,0.33548082,0.00000000,0.64924468,0.38822885,0.29939917,0.00000000
-5.95797899,1.21935001,0.32736022,0.00000000,0.63460476,0.38187605,0.29478750,0.00000000
-5.95197599,1.18933672,0.31745432,0.00000000,0.61710237,0.37345147,0.28870544,0.00000000
-5.94597299,1.15350851,0.30595559,0.00000000,0.59710461,0.36315065,0.28129985,0.00000000
-5.93996998,1.11261909,0.29308556,0.00000000,0.57501261,0.35120580,0.27273857,0.00000000
-5.93396698,1.06749934,0.27908726,0.00000000,0.55124732,0.33787807,0.26320450,0.00000000
-5.92796398,1.01903063,0.26421758,0.00000000,0.52623575,0.32344970,0.25288953,0.00000000
-5.92196098,0.96811868,0.24873970,0.00000000,0.50039828,0.30821605,0.24198867,0.00000000
-5.91595798,0.91566919,0.23291606,0.00000000,0.47413743,0.29247830,0.23069466,0.00000000
-5.90995498,0.86256602,0.21700197,0.00000000,0.44782861,0.27653672,0.21919330,0.00000000
-5.90395198,0.80965291,0.20124021,0.00000000,0.42181299,0.26068514,0.20765964,0.00000000
-5.89794897,0.75771909,0.18585670,0.00000000,0.39639279,0.24520645,0.19625506,0.00000000
-5.89194597,0.70748916,0.17105733,0.00000000,0.37182887,0.23036948,0.18512557,0.00000000
-5.88594297,0.65961727,0.15702595,0.00000000,0.34834054,0.21642715,0.17440091,0.00000000
-5.87993997,0.61468523,0.14392348,0.00000000,0.32610737,0.20361576,0.16419476,0.00000000
-5.87393697,0.57320416,0.13188805,0.00000000,0.30527270,0.19215529,0.15460567,0.00000000
-5.86793397,0.53561903,0.12103597,0.00000000,0.28594828,0.18225050,0.14571869,0.00000000
-5.86193097,0.50231522,0.11146331,0.00000000,0.26821987,0.17409243,0.13760735,0.00000000
-5.85592796,0.47362624,0.10324794,0.00000000,0.25215312,0.16786014,0.13033603,0.00000000
-5.84992496,0.44984174,0.09645177,0.00000000,0.23779933,0.16372217,0.12396215,0.00000000
-5.84392196,0.43121493,0.09112289,0.00000000,0.22520084,0.16183761,0.11853830,0.00000000
-5.83791896,0.41796860,0.08729756,0.00000000,0.21439545,0.16235634,0.11411399,0.00000000
