energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,9.84839261,0.76825906,3.86864176,0.04323964,0.99568998,2.51057727,2.52911187,0.04605053,2.02180525
-5.99399700,9.89205848,0.76982971,3.91697899,0.04324267,1.00651694,2.53408424,2.51831542,0.04689744,2.01305254
-5.98799400,9.93106326,0.77114310,3.96338923,0.04321977,1.01635532,2.55543724,2.50722428,0.04779867,2.00435349
-5.98199100,9.96521977,0.77218720,4.00773116,0.04317309,1.02510264,2.57445612,2.49586216,0.04874940,1.99573539
-5.97598799,9.99441695,0.77296198,4.04988670,0.04310493,1.03268228,2.59100714,2.48426034,0.04974394,1.98722148
-5.96998499,10.01863004,0.77348084,4.08976291,0.04301787,1.03904501,2.60500708,2.47246117,0.05077585,1.97883592
-5.96398199,10.03792382,0.77377109,4.12729152,0.04291472,1.04416932,2.61642510,2.46051976,0.05183797,1.97060754
-5.95797899,10.05244854,0.77387355,4.16242624,0.04279854,1.04806039,2.62528255,2.44850365,0.05292251,1.96257222
-5.95197599,10.06242901,0.77384121,4.19513782,0.04267261,1.05074798,2.63165055,2.43649065,0.05402108,1.95477365
-5.94597299,10.06814761,0.77373700,4.22540760,0.04254031,1.05228327,2.63564561,2.42456506,0.05512468,1.94726252
-5.93996998,10.06992262,0.77363081,4.25321999,0.04240507,1.05273494,2.63742352,2.41281248,0.05622377,1.94009422
-5.93396698,10.06808370,0.77359586,4.27855462,0.04227021,1.05218468,2.63717193,2.40131384,0.05730826,1.93332520
-5.92796398,10.06294629,0.77370469,4.30137903,0.04213878,1.05072253,2.63510213,2.39013898,0.05836759,1.92700847
-5.92196098,10.05478726,0.77402497,4.32164263,0.04201340,1.04844225,2.63144033,2.37934049,0.05939078,1.92118841
-5.91595798,10.04382359,0.77461539,4.33927260,0.04189610,1.04543702,2.62641916,2.36894824,0.06036659,1.91589551
-5.90995498,10.03019600,0.77552189,4.35417247,0.04178812,1.04179583,2.62026968,2.35896504,0.06128362,1.91114129
-5.90395198,10.01395887,0.77677439,4.36622357,0.04168981,1.03760058,2.61321440,2.34936399,0.06213055,1.90691396
-5.89794897,9.99507741,0.77838427,4.37528962,0.04160052,1.03292422,2.60546151,2.34008760,0.06289638,1.90317505
-5.89194597,9.97343248,0.78034284,4.38122449,0.04151851,1.02782982,2.59720063,2.33104900,0.06357068,1.89985744
-5.88594297,9.94883293,0.78262069,4.38388247,0.04144095,1.02237079,2.58860006,2.32213507,0.06414396,1.89686478
-5.87993997,9.92103469,0.78516812,4.38313088,0.04136398,1.01659189,2.57980559,2.31321154,0.06460792,1.89407264
-5.87393697,9.88976544,0.78791666,4.37886399,0.04128276,1.01053116,2.57094058,2.30412971,0.06495582,1.89133117
-5.86793397,9.85475326,0.79078145,4.37101743,0.04119171,1.00422239,2.56210733,2.29473436,0.06518277,1.88846927
-5.86193097,9.81575729,0.79366450,4.35958223,0.04108462,0.99769800,2.55338920,2.28487252,0.06528598,1.88530009
-5.85592796,9.77259854,0.79645859,4.34461735,0.04095496,0.99099198,2.54485332,2.27440253,0.06526498,1.88162744
-5.84992496,9.72518859,0.79905161,4.32625996,0.04079614,0.98414279,2.53655360,2.26320289,0.06512178,1.87725303
-5.84392196,9.67355449,0.80133119,4.30473256,0.04060179,0.97719576,2.52853357,2.25118029,0.06486090,1.87198391
-5.83791896,9.61785819,0.80318925,4.28034652,0.04036602,0.97020499,2.52082906,2.23827659,0.06448937,1.86563994
-5.83191596,9.55840913,0.80452645,4.25350150,0.04008377,0.96323448,2.51347029,2.22447404,0.06401658,1.85806082
-5.82591296,9.49566939,0.80525616,4.22468072,0.03975097,0.95635839,2.50648347,2.20979873,0.06345410,1.84911238
-5.81990995,9.43025071,0.80530790,4.19444222,0.03936477,0.94966045,2.49989179,2.19432189,0.06281532,1.83869192
-5.81390695,9.36290386,0.80463000,4.16340636,0.03892368,0.94323239,2.49371575,2.17815906,0.06211513,1.82673225
-5.80790395,9.29450052,0.80319159,4.13224012,0.03842767,0.93717173,2.48797316,2.16146702,0.06136943,1.81320439
-5.80190095,9.22600873,0.80098356,4.10163899,0.03787813,0.93157874,2.48267862,2.14443884,0.06059467,1.79811876
-5.79589795,9.15846310,0.79801880,4.07230695,0.03727790,0.92655295,2.47784295,2.12729705,0.05980731,1.78152490
-5.78989495,9.09293101,0.79433152,4.04493571,0.03663108,0.92218939,2.47347236,2.11028541,0.05902330,1.76350978
-5.78389195,9.03047640,0.78997573,4.02018374,0.03594292,0.91857463,2.46956774,2.09365949,0.05825762,1.74419471
-5.77788894,8.97212259,0.78502309,3.99865604,0.03521960,0.91578300,2.46612399,2.07767660,0.05752376,1.72373108
-5.77188594,8.91881556,0.77956010,3.98088527,0.03446796,0.91387303,2.46312945,2.06258545,0.05683334,1.70229511
-5.76588294,8.87138910,0.77368478,3.96731490,0.03369529,0.91288440,2.46056541,2.04861590,0.05619580,1.68008176
-5.75987994,8.83053306,0.76750302,3.95828485,0.03290900,0.91283550,2.45840562,2.03596924,0.05561813,1.65729813
-5.75387694,8.79676572,0.76112463,3.95402004,0.03211642,0.91372172,2.45661575,2.02480950,0.05510470,1.63415647
-5.74787394,8.77041112,0.75465935,3.95462215,0.03132450,0.91551448,2.45515273,2.01525584,0.05465726,1.61086721
-5.74187094,8.75158232,0.74821288,3.96006479,0.03053962,0.91816115,2.45396379,2.00737663,0.05427495,1.58763210
-5.73586793,8.74017094,0.74188305,3.97019225,0.02976743,0.92158576,2.45298541,2.00118521,0.05395445,1.56463782
-5.72986493,8.73584352,0.73575635,3.98472190,0.02901266,0.92569056,2.45214183,1.99663759,0.05369018,1.54205020
-5.72386193,8.73804510,0.72990489,4.00325025,0.02827911,0.93035827,2.45134359,1.99363218,0.05347468,1.52000939
-5.71785893,8.74601001,0.72438385,4.02526261,0.02756950,0.93545505,2.45048595,1.99201164,0.05329888,1.49862605
-5.71185593,8.75877998,0.71922972,4.05014632,0.02688559,0.94083398,2.44944749,1.99156670,0.05315257,1.47797878
-5.70585293,8.77522928,0.71445917,4.07720729,0.02622813,0.94633909,2.44808913,1.99204201,0.05302484,1.45811293
-5.69984992,8.79409651,0.71006879,4.10568947,0.02559700,0.95180962,2.44625387,1.99314367,0.05290449,1.43904081
-5.69384692,8.81402236,0.70603571,4.13479706,0.02499130,0.95708458,2.44376736,1.99454843,0.05278055,1.42074339
-5.68784392,8.83359231,0.70231904,4.16371872,0.02440950,0.96200734,2.44043971,1.99591406,0.05264263,1.40317341
-5.68184092,8.85138320,0.69886211,4.19165313,0.02384959,0.96643010,2.43606860,1.99689070,0.05248138,1.38625977
-5.67583792,8.86601190,0.69559551,4.21783518,0.02330926,0.97021828,2.43044382,1.99713273,0.05228881,1.36991316
-5.66983492,8.87618466,0.69244074,4.24156177,0.02278606,0.97325441,2.42335318,1.99631069,0.05205856,1.35403244
-5.66383192,8.88074495,0.68931431,4.26221626,0.02227755,0.97544162,2.41458973,1.99412290,0.05178615,1.33851184
-5.65782891,8.87871787,0.68613218,4.27929049,0.02178146,0.97670648,2.40396003,1.99030626,0.05146910,1.32324832
-5.65182591,8.86934918,0.68281422,4.29240340,0.02129582,0.97700117,2.39129307,1.98464576,0.05110698,1.30814892
-5.64582291,8.85213692,0.67928864,4.30131528,0.02081907,0.97630473,2.37644952,1.97698247,0.05070142,1.29313764
-5.63981991,8.82685398,0.67549591,4.30593684,0.02035014,0.97462355,2.35933061,1.96721937,0.05025598,1.27816163
-5.63381691,8.79356035,0.67139223,4.30633256,0.01988847,0.97199087,2.33988643,1.95532516,0.04977596,1.26319611
-5.62781391,8.75260412,0.66695217,4.30271798,0.01943409,0.96846538,2.31812269,1.94133546,0.04926818,1.24824804
