energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,5.06791268,0.02286657,0.66852042,0.04146034,2.27285522,2.23452003,1.40864863
-5.99399700,5.04585330,0.02404217,0.66039810,0.04261081,2.26658781,2.21125408,1.40160278
-5.98799400,5.00740088,0.02522564,0.65103872,0.04354762,2.25255125,2.18311664,1.38915034
-5.98199100,4.95300068,0.02640768,0.64053921,0.04425267,2.23099163,2.15035612,1.37141187
-5.97598799,4.88338574,0.02757901,0.62902089,0.04471166,2.20228295,2.11332164,1.34860355
-5.96998499,4.79953486,0.02873044,0.61662129,0.04491465,2.16690781,2.07244229,1.32102580
-5.96398199,4.70262434,0.02985289,0.60348552,0.04485638,2.12543537,2.02820372,1.28904989
-5.95797899,4.59397627,0.03093741,0.58975799,0.04453660,2.07849781,1.98112335,1.25310322
-5.95197599,4.47500622,0.03197517,0.57557469,0.04396015,2.02676651,1.93172582,1.21365412
-5.94597299,4.34717330,0.03295741,0.56105672,0.04313697,1.97092934,1.88052001,1.17119695
-5.93996998,4.21193452,0.03387543,0.54630520,0.04208194,1.91166988,1.82797884,1.12623798
-5.93396698,4.07070570,0.03472056,0.53139798,0.04081456,1.84964970,1.77452287,1.07928285
-5.92796398,3.92483002,0.03548413,0.51638801,0.03935855,1.78549404,1.72050835,1.03082575
-5.92196098,3.77555495,0.03615754,0.50130361,0.03774121,1.71978144,1.66622016,0.98134060
-5.91595798,3.62401791,0.03673230,0.48615032,0.03599287,1.65303737,1.61186969,0.93127446
-5.90995498,3.47123998,0.03720013,0.47091419,0.03414606,1.58573158,1.55759743,0.88104286
-5.90395198,3.31812708,0.03755315,0.45556621,0.03223479,1.51827897,1.50347983,0.83102708
-5.89794897,3.16547719,0.03778402,0.44006749,0.03029371,1.45104330,1.44953962,0.78157308
-5.89194597,3.01399226,0.03788624,0.42437489,0.02835733,1.38434306,1.39575884,0.73299169
-5.88594297,2.86429314,0.03785437,0.40844662,0.02645921,1.31845881,1.34209340,0.68555976
-5.87993997,2.71693586,0.03768433,0.39224753,0.02463124,1.25364117,1.28848839,0.63952200
-5.87393697,2.57242783,0.03737367,0.37575388,0.02290300,1.19011863,1.23489289,0.59509306
-5.86793397,2.43124242,0.03692181,0.35895709,0.02130113,1.12810478,1.18127354,0.55245968
-5.86193097,2.29383107,0.03633026,0.34186655,0.01984888,1.06780404,1.12762603,0.51178270
-5.85592796,2.16063191,0.03560277,0.32451132,0.01856566,1.00941593,1.07398391,0.47319870
