energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.80190095,0.87032676,0.35014914,0.18932038,0.00095773,0.01618590,0.18253348,0.06402045,0.01761605,0.58428562
-5.79589795,0.85108301,0.33836373,0.19267084,0.00088092,0.01628938,0.17782765,0.06099565,0.01736316,0.56816380
-5.78989495,0.83860318,0.32891158,0.19781322,0.00081031,0.01656663,0.17456695,0.05840171,0.01722466,0.55639503
-5.78389195,0.83295413,0.32186520,0.20470766,0.00074656,0.01701791,0.17271634,0.05625557,0.01720052,0.54905460
-5.77788894,0.83411172,0.31726649,0.21329222,0.00069030,0.01764149,0.17222377,0.05456775,0.01728775,0.54615922
-5.77188594,0.84196239,0.31512642,0.22348356,0.00064215,0.01843376,0.17302125,0.05334235,0.01748054,0.54766774
-5.76588294,0.85630790,0.31542589,0.23517840,0.00060272,0.01938945,0.17502641,0.05257723,0.01777031,0.55348373
-5.75987994,0.87687272,0.31811751,0.24825591,0.00057259,0.02050183,0.17814462,0.05226442,0.01814602,0.56345999
-5.75387694,0.90331380,0.32312828,0.26258065,0.00055234,0.02176292,0.18227149,0.05239065,0.01859452,0.57740438
-5.74787394,0.93523199,0.33036278,0.27800622,0.00054252,0.02316370,0.18729565,0.05293793,0.01910094,0.59508686
-5.74187094,0.97218432,0.33970660,0.29437906,0.00054367,0.02469432,0.19310162,0.05388433,0.01964920,0.61624686
-5.73586793,1.01369627,0.35102978,0.31154252,0.00055628,0.02634424,0.19957270,0.05520457,0.02022253,0.64060083
-5.72986493,1.05927336,0.36418981,0.32934064,0.00058083,0.02810239,0.20659356,0.05687072,0.02080400,0.66784909
-5.72386193,1.10841091,0.37903415,0.34762153,0.00061774,0.02995716,0.21405251,0.05885276,0.02137708,0.69768173
-5.71785893,1.16060170,0.39540181,0.36624014,0.00066737,0.03189646,0.22184321,0.06111894,0.02192616,0.72978290
-5.71185593,1.21534073,0.41312411,0.38506001,0.00073000,0.03390762,0.22986579,0.06363618,0.02243698,0.76383356
-5.70585293,1.27212701,0.43202450,0.40395418,0.00080581,0.03597725,0.23802731,0.06637010,0.02289703,0.79951215
-5.69984992,1.33046233,0.45191750,0.42280486,0.00089484,0.03809106,0.24624154,0.06928510,0.02329584,0.83649358
-5.69384692,1.38984732,0.47260701,0.44150214,0.00099699,0.04023367,0.25442816,0.07234422,0.02362516,0.87444656
-5.68784392,1.44977537,0.49388426,0.45994174,0.00111194,0.04238836,0.26251141,0.07550897,0.02387907,0.91302980
-5.68184092,1.50972520,0.51552566,0.47802197,0.00123917,0.04453687,0.27041846,0.07873906,0.02405396,0.95188744
-5.67583792,1.56915312,0.53729102,0.49564027,0.00137790,0.04665920,0.27807760,0.08199231,0.02414838,0.99064462
-5.66983492,1.62748599,0.55892255,0.51268958,0.00152710,0.04873360,0.28541648,0.08522444,0.02416286,1.02890365
-5.66383192,1.68411613,0.58014490,0.52905495,0.00168544,0.05073647,0.29236065,0.08838919,0.02409960,1.06624167
-5.65782891,1.73839912,0.60066674,0.54461076,0.00185130,0.05264261,0.29883255,0.09143850,0.02396220,1.10221036
-5.65182591,1.78965550,0.62018389,0.55921889,0.00202278,0.05442540,0.30475114,0.09432298,0.02375522,1.13633830
-5.64582291,1.83717695,0.63838441,0.57272819,0.00219773,0.05605729,0.31003237,0.09699260,0.02348387,1.16813629
-5.63981991,1.88023732,0.65495528,0.58497539,0.00237373,0.05751035,0.31459039,0.09939765,0.02315364,1.19710584
-5.63381691,1.91810854,0.66959092,0.59578765,0.00254819,0.05875695,0.31833972,0.10148986,0.02277000,1.22275080
-5.62781391,1.95008090,0.68200286,0.60498676,0.00271838,0.05977060,0.32119811,0.10322377,0.02233810,1.24459164
-5.62181091,1.97548705,0.69193047,0.61239471,0.00288149,0.06052682,0.32309009,0.10455824,0.02186266,1.26218203
-5.61580790,1.99372847,0.69915199,0.61784070,0.00303471,0.06100403,0.32395099,0.10545791,0.02134777,1.27512672
-5.60980490,2.00430306,0.70349543,0.62116885,0.00317535,0.06118447,0.32373112,0.10589477,0.02079685,1.28309996
-5.60380190,2.00683224,0.70484850,0.62224658,0.00330085,0.06105501,0.32239989,0.10584951,0.02021273,1.28586323
-5.59779890,2.00108586,0.70316719,0.62097275,0.00340891,0.06060784,0.31994963,0.10531270,0.01959768,1.28328127
-5.59179590,1.98700323,0.69848211,0.61728539,0.00349760,0.05984106,0.31639871,0.10428564,0.01895352,1.27533531
-5.58579290,1.96470881,0.69090236,0.61116828,0.00356535,0.05875899,0.31179375,0.10278098,0.01828187,1.26213241
-5.57978989,1.93452110,0.68061630,0.60265593,0.00361106,0.05737228,0.30621076,0.10082275,0.01758423,1.24391034
-5.57378689,1.89695398,0.66788919,0.59183668,0.00363415,0.05569785,0.29975495,0.09844608,0.01686225,1.22103709
-5.56778389,1.85270979,0.65305749,0.57885345,0.00363455,0.05375850,0.29255921,0.09569641,0.01611784,1.19400502
-5.56178089,1.80266410,0.63651989,0.56390217,0.00361272,0.05158230,0.28478119,0.09262833,0.01535332,1.16341941
-5.55577789,1.74784256,0.61872549,0.54722763,0.00356965,0.04920187,0.27659906,0.08930396,0.01457154,1.12998177
-5.54977489,1.68939058,0.60015946,0.52911711,0.00350680,0.04665338,0.26820616,0.08579103,0.01377592,1.09446853
-5.54377189,1.62853700,0.58132670,0.50989183,0.00342605,0.04397546,0.25980459,0.08216075,0.01297047,1.05770584
-5.53776888,1.56655347,0.56273431,0.48989675,0.00332965,0.04120813,0.25159821,0.07848546,0.01215972,1.02054166
-5.53176588,1.50471114,0.54487344,0.46948910,0.00322012,0.03839153,0.24378520,0.07483625,0.01134868,0.98381628
-5.52576288,1.44423665,0.52820146,0.44902618,0.00310016,0.03556488,0.23655059,0.07128065,0.01054268,0.94833250
-5.51975988,1.38626947,0.51312517,0.42885305,0.00297257,0.03276536,0.23005910,0.06788045,0.00974724,0.91482699
-5.51375688,1.33182249,0.49998567,0.40929069,0.00284013,0.03002720,0.22444859,0.06468973,0.00896790,0.88394397
-5.50775388,1.28174747,0.48904575,0.39062516,0.00270553,0.02738089,0.21982448,0.06175326,0.00821007,0.85621232
-5.50175088,1.23670716,0.48048019,0.37309826,0.00257127,0.02485261,0.21625531,0.05910523,0.00747883,0.83202739
-5.49574787,1.19715499,0.47436948,0.35690013,0.00243959,0.02246379,0.21376979,0.05676844,0.00677878,0.81163803
-5.48974487,1.16332332,0.47069715,0.34216412,0.00231240,0.02023090,0.21235535,0.05475396,0.00611394,0.79513952
-5.48374187,1.13522067,0.46935092,0.32896399,0.00219128,0.01816547,0.21195839,0.05306114,0.00548763,0.78247270
-5.47773887,1.11263787,0.47012760,0.31731376,0.00207739,0.01627419,0.21248610,0.05167824,0.00490237,0.77342924
-5.47173587,1.09516284,0.47274143,0.30716990,0.00197150,0.01455925,0.21380993,0.05058330,0.00435992,0.76766281
-5.46573287,1.08220309,0.47683570,0.29843590,0.00187402,0.01301877,0.21577040,0.04974547,0.00386119,0.76470561
-5.45972986,1.07301502,0.48199700,0.29096879,0.00178496,0.01164732,0.21818326,0.04912662,0.00340632,0.76398949
-5.45372686,1.06673853,0.48777157,0.28458737,0.00170402,0.01043653,0.22084652,0.04868316,0.00299473,0.76487080
-5.44772386,1.06243543,0.49368311,0.27908170,0.00163062,0.00937572,0.22354824,0.04836803,0.00262518,0.76665775
-5.44172086,1.05912995,0.49925124,0.27422334,0.00156395,0.00845253,0.22607459,0.04813277,0.00229590,0.76863920
-5.43571786,1.05584964,0.50400998,0.26977591,0.00150304,0.00765357,0.22821804,0.04792955,0.00200466,0.77011367
-5.42971486,1.05166494,0.50752535,0.26550551,0.00144683,0.00696500,0.22978515,0.04771315,0.00174889,0.77041735
-5.42371186,1.04572589,0.50941156,0.26119054,0.00139420,0.00637302,0.23060376,0.04744273,0.00152581,0.76894997
-5.41770885,1.03729455,0.50934514,0.25663046,0.00134407,0.00586439,0.23052928,0.04708347,0.00133254,0.76519761
-5.41170585,1.02577203,0.50707638,0.25165332,0.00129541,0.00542679,0.22944983,0.04660783,0.00116617,0.75875163
-5.40570285,1.01071922,0.50243794,0.24612164,0.00124730,0.00504910,0.22729010,0.04599663,0.00102388,0.74932304
-5.39969985,0.99187071,0.49535009,0.23993663,0.00119898,0.00472171,0.22401366,0.04523971,0.00090299,0.73675194
-5.39369685,0.96914163,0.48582281,0.23304056,0.00114984,0.00443657,0.21962398,0.04433634,0.00080105,0.72101190
-5.38769385,0.94262764,0.47395450,0.22541738,0.00109945,0.00418737,0.21416378,0.04329520,0.00071586,0.70220934
-5.38169085,0.91259820,0.45992772,0.21709163,0.00104757,0.00396950,0.20771318,0.04213418,0.00064552,0.68057812
-5.37568784,0.87948412,0.44400212,0.20812582,0.00099413,0.00378007,0.20038650,0.04087981,0.00058845,0.65646986
-5.36968484,0.84385983,0.42650509,0.19861658,0.00093923,0.00361782,0.19232807,0.03956645,0.00054339,0.63034066
-5.36368184,0.80642186,0.40782051,0.18868971,0.00088310,0.00348301,0.18370718,0.03823534,0.00050939,0.60273484
-5.35767884,0.76796412,0.38837616,0.17849451,0.00082611,0.00337734,0.17471247,0.03693340,0.00048584,0.57426653
-5.35167584,0.72935153,0.36863042,0.16819769,0.00076870,0.00330377,0.16554596,0.03571197,0.00047239,0.54560000
-5.34567284,0.69149279,0.34905863,0.15797707,0.00071138,0.00326640,0.15641695,0.03462550,0.00046900,0.51742941
-5.33966983,0.65531350,0.33013974,0.14801549,0.00065470,0.00327034,0.14753613,0.03373012,0.00047584,0.49045883
-5.33366683,0.62173035,0.31234356,0.13849494,0.00059921,0.00332155,0.13910995,0.03308233,0.00049334,0.46538306
-5.32766383,0.59162728,0.29611906,0.12959132,0.00054546,0.00342672,0.13133544,0.03273761,0.00052208,0.44286988
-5.32166083,0.56583400,0.28188397,0.12146986,0.00049393,0.00359318,0.12439570,0.03274916,0.00056282,0.42354410
-5.31565783,0.54510751,0.27001579,0.11428129,0.00044507,0.00382877,0.11845607,0.03316677,0.00061647,0.40797379
-5.30965483,0.53011657,0.26084444,0.10815890,0.00039927,0.00414178,0.11366099,0.03403563,0.00068400,0.39665866
-5.30365183,0.52142957,0.25464656,0.10321643,0.00035680,0.00454087,0.11013164,0.03539545,0.00076648,0.39002104
-5.29764882,0.51950549,0.25164132,0.09954676,0.00031790,0.00503502,0.10796434,0.03727958,0.00086502,0.38839900
-5.29164582,0.52468806,0.25198790,0.09722143,0.00028271,0.00563349,0.10722957,0.03971432,0.00098076,0.39204203
-5.28564282,0.53720290,0.25578433,0.09629078,0.00025127,0.00634576,0.10797171,0.04271837,0.00111480,0.40110872
-5.27963982,0.55715735,0.26306773,0.09678485,0.00022357,0.00718154,0.11020929,0.04630247,0.00126826,0.41566664
-5.27363682,0.58454294,0.27381573,0.09871464,0.00019953,0.00815070,0.11393583,0.05046917,0.00144215,0.43569406
-5.26763382,0.61924010,0.28794902,0.10207390,0.00017902,0.00926325,0.11912098,0.05521279,0.00163746,0.46108343
-5.26163082,0.66102496,0.30533479,0.10684126,0.00016185,0.01052927,0.12571221,0.06051961,0.00185502,0.49164645
-5.25562781,0.70957792,0.32579108,0.11298251,0.00014778,0.01195887,0.13363663,0.06636815,0.00209557,0.52712048
-5.24962481,0.76449382,0.34909179,0.12045318,0.00013658,0.01356205,0.14280313,0.07272967,0.00235969,0.56717625
-5.24362181,0.82529326,0.37497229,0.12920104,0.00012797,0.01534858,0.15310473,0.07956888,0.00264775,0.61142645
-5.23761881,0.89143502,0.40313544,0.13916874,0.00012167,0.01732785,0.16442092,0.08684467,0.00295992,0.65943530
-5.23161581,0.96232900,0.43325800,0.15029630,0.00011741,0.01950861,0.17662022,0.09451107,0.00329613,0.71072853
-5.22561281,1.03734957,0.46499708,0.16252356,0.00011491,0.02189870,0.18956260,0.10251822,0.00365600,0.76480380
-5.21960980,1.11584879,0.49799671,0.17579233,0.00011392,0.02450479,0.20310196,0.11081337,0.00403881,0.82114114
-5.21360680,1.19716935,0.53189427,0.19004849,0.00011418,0.02733194,0.21708842,0.11934195,0.00444351,0.87921323
-5.20760380,1.28065676,0.56632656,0.20524364,0.00011549,0.03038327,0.23137061,0.12804855,0.00486860,0.93849524
-5.20160080,1.36567059,0.60093561,0.22133664,0.00011763,0.03365953,0.24579761,0.13687783,0.00531216,0.99847405
-5.19559780,1.45159450,0.63537394,0.23829467,0.00012044,0.03715864,0.26022093,0.14577534,0.00577175,1.05865652
-5.18959480,1.53784493,0.66930925,0.25609409,0.00012377,0.04087532,0.27449608,0.15468823,0.00624446,1.11857694
-5.18359180,1.62387842,0.70242858,0.27472093,0.00012751,0.04480069,0.28848412,0.16356581,0.00672685,1.17780324
-5.17758879,1.70919741,0.73444182,0.29417109,0.00013157,0.04892199,0.30205300,0.17235995,0.00721494,1.23594228
-5.17158579,1.79335491,0.76508475,0.31445021,0.00013589,0.05322230,0.31507870,0.18102543,0.00770429,1.29264399
-5.16558279,1.87595783,0.79412147,0.33557332,0.00014044,0.05768050,0.32744644,0.18952015,0.00818999,1.34760458
-5.15957979,1.95666950,0.82134659,0.35756423,0.00014521,0.06227123,0.33905163,0.19780522,0.00866672,1.40056892
