energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,9.42479054,-4.70989025,0.11085672,-0.04984528,1.33148769,-0.85785938,3.16258007,-1.77050178,2.79746989,-0.88487523,0.54745693,-0.23004351,0.16802075,-0.05109444,3.60367659,-1.82094039
-5.99399700,9.72479639,-4.71162889,0.11338489,-0.05137767,1.36774342,-0.84313274,3.29599930,-1.79225269,2.86997096,-0.87659129,0.57303418,-0.23976388,0.17538519,-0.05170343,3.73096688,-1.84633472
-5.98799400,9.99443390,-4.73575910,0.11538734,-0.05349767,1.39906605,-0.83134961,3.42417500,-1.82298706,2.93013758,-0.87262995,0.59714641,-0.25234727,0.18225484,-0.05280326,3.84845371,-1.88196298
-5.98199100,10.23105011,-4.78394711,0.11683183,-0.05619623,1.42503056,-0.82288167,3.54601322,-1.86344124,2.97720537,-0.87321312,0.61954367,-0.26782768,0.18859015,-0.05444669,3.95521830,-1.92839157
-5.97598799,10.43280390,-4.85732888,0.11770002,-0.05945153,1.44534079,-0.81800928,3.66057355,-1.91417887,3.01071675,-0.87843714,0.64002039,-0.28617739,0.19436718,-0.05667762,4.05061046,-1.98598142
-5.96998499,10.59868866,-4.95646791,0.11798746,-0.06322889,1.45983486,-0.81691632,3.76708448,-1.97556737,3.03052926,-0.88827113,0.65841889,-0.30730417,0.19957765,-0.05952983,4.13425295,-2.05486696
-5.96398199,10.72852410,-5.08132545,0.11770316,-0.06748111,1.46848580,-0.81968763,3.86495309,-2.04775731,3.03681243,-0.90255888,0.67463102,-0.33105005,0.20422820,-0.06302587,4.20603531,-2.13493920
-5.95797899,10.82291781,-5.23124484,0.11686865,-0.07214908,1.47139744,-0.82630888,3.95376899,-2.13066596,3.03003352,-0.92102420,0.68859768,-0.35719176,0.20833894,-0.06717615,4.26609784,-2.22583400
-5.95197599,10.88319936,-5.40495148,0.11551655,-0.07716277,1.46879584,-0.83666923,4.03330272,-2.22396581,3.01093269,-0.94327965,0.70030648,-0.38544299,0.21194142,-0.07197841,4.31480672,-2.32692668
-5.94597299,10.91133044,-5.60056992,0.11368890,-0.08244246,1.46101686,-0.85056629,4.10349893,-2.32707939,2.98048915,-0.96883853,0.70978759,-0.41545847,0.21507596,-0.07741743,4.35272161,-2.43733396
