energy_ev,total_up,Rh_p_up,Rh_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,4.88780857,1.63600183,2.90270216,1.32808136,0.01527235,0.05214497,1.12681948
-5.99399700,4.98561815,1.64405213,2.97736073,1.36011773,0.01538871,0.05393326,1.14017600
-5.98799400,5.09160348,1.65612570,3.05609912,1.39214550,0.01555561,0.05584225,1.15669268
-5.98199100,5.20484902,1.67210549,3.13829224,1.42398571,0.01577062,0.05785048,1.17615241
-5.97598799,5.32411802,1.69175690,3.22312641,1.45539318,0.01602983,0.05993170,1.19826349
-5.96998499,5.44787174,1.71473892,3.30960796,1.48605616,0.01632809,0.06205524,1.22266728
-5.96398199,5.57430183,1.74061901,3.39658006,1.51559977,0.01665920,0.06418661,1.24894796
-5.95797899,5.70137567,1.76889137,3.48274810,1.54359341,0.01701617,0.06628835,1.27664448
-5.95197599,5.82689382,1.79899767,3.56671308,1.56956215,0.01739156,0.06832105,1.30526422
-5.94597299,5.94855811,1.83034980,3.64701245,1.59300163,0.01777772,0.07024462,1.33429815
-5.93996998,6.06404809,1.86235333,3.72216711,1.61339611,0.01816718,0.07201957,1.36323703
-5.93396698,6.17110314,1.89443113,3.79073289,1.63023878,0.01855289,0.07360847,1.39158806
-5.92796398,6.26760687,1.92604570,3.85135450,1.64305354,0.01892854,0.07497728,1.41889144
-5.92196098,6.35167022,1.95671951,3.90281971,1.65141719,0.01928881,0.07609672,1.44473606
-5.91595798,6.42170950,1.98605232,3.94411120,1.65498090,0.01962955,0.07694350,1.46877375
-5.90995498,6.47651567,2.01373456,3.97445373,1.65348993,0.01994794,0.07750127,1.49073136
-5.90395198,6.51531146,2.03955642,3.99335426,1.64680045,0.02024264,0.07776147,1.51042009
-5.89794897,6.53779354,2.06341200,4.00063302,1.63489280,0.02051374,0.07772378,1.52774168
-5.89194597,6.54415749,2.08529868,3.99644375,1.61788012,0.02076281,0.07739635,1.54269104
-5.88594297,6.53510444,2.10531176,3.98128229,1.59601225,0.02099281,0.07679567,1.55535535
-5.87993997,6.51182887,2.12363491,3.95598261,1.56967433,0.02120797,0.07594617,1.56590949
-5.87393697,6.47598826,2.14052726,3.92170066,1.53938037,0.02141359,0.07487950,1.57460826
-5.86793397,6.42965619,2.15630795,3.87988656,1.50576195,0.02161592,0.07363357,1.58177569
-5.86193097,6.37526106,2.17133944,3.83224637,1.46955265,0.02182191,0.07225139,1.58779213
-5.85592796,6.31551362,2.18601066,3.78069517,1.43156888,0.02203899,0.07077972,1.59307976
-5.84992496,6.25332657,2.20072124,3.72730352,1.39268806,0.02227488,0.06926770,1.59808731
