energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.14113108,0.01369152,0.02895615,0.81672405,0.48716784,0.02418375,1.34276094,0.65532690,0.20250118
-5.99399700,2.07002722,0.01281097,0.02883378,0.78844748,0.46540492,0.02376746,1.29864214,0.63830222,0.19619239
-5.98799400,1.99747289,0.01193002,0.02870375,0.75902612,0.44298960,0.02339546,1.25349818,0.62015204,0.18991653
-5.98199100,1.92432193,0.01105771,0.02856249,0.72874880,0.42022565,0.02307911,1.20786076,0.60103633,0.18375134
-5.97598799,1.85141273,0.01020235,0.02840643,0.69792133,0.39740553,0.02282787,1.16225667,0.58112954,0.17777244
-5.96998499,1.77954444,0.00937141,0.02823199,0.66685803,0.37480328,0.02264893,1.11719287,0.56061537,0.17205093
-5.96398199,1.70945476,0.00857136,0.02803549,0.63587309,0.35266826,0.02254697,1.07314235,0.53968122,0.16665115
-5.95797899,1.64180048,0.00780760,0.02781316,0.60527197,0.33122021,0.02252399,1.03053158,0.51851283,0.16162865
-5.95197599,1.57714150,0.00708443,0.02756109,0.57534341,0.31064559,0.02257926,0.98972990,0.49728916,0.15702846
-5.94597299,1.51592892,0.00640499,0.02727530,0.54635221,0.29109540,0.02270933,0.95104141,0.47617803,0.15288374
-5.93996998,1.45849769,0.00577136,0.02695172,0.51853329,0.27268427,0.02290818,0.91469956,0.45533242,0.14921481
-5.93396698,1.40506369,0.00518459,0.02658637,0.49208697,0.25549098,0.02316740,0.88086451,0.43488787,0.14602876
-5.92796398,1.35572543,0.00464478,0.02617542,0.46717581,0.23956015,0.02347649,0.84962331,0.41496072,0.14331937
-5.92196098,1.31046976,0.00415121,0.02571539,0.44392288,0.22490486,0.02382317,0.82099261,0.39564747,0.14106758
-5.91595798,1.26918127,0.00370244,0.02520328,0.42241160,0.21151017,0.02419377,0.79492382,0.37702505,0.13924238
-5.90995498,1.23165472,0.00329650,0.02463677,0.40268688,0.19933716,0.02457365,0.77131011,0.35915183,0.13780201
-5.90395198,1.19760971,0.00293094,0.02401441,0.38475748,0.18832734,0.02494762,0.74999503,0.34206942,0.13669557
-5.89794897,1.16670684,0.00260301,0.02333570,0.36859939,0.17840721,0.02530035,0.73078220,0.32580486,0.13586479
-5.89194597,1.13856466,0.00230979,0.02260128,0.35415996,0.16949268,0.02561681,0.71344548,0.31037311,0.13524599
-5.88594297,1.11277656,0.00204827,0.02181299,0.34136254,0.16149332,0.02588264,0.69773941,0.29577961,0.13477224
-5.87993997,1.08892696,0.00181543,0.02097388,0.33011137,0.15431617,0.02608454,0.68340927,0.28202275,0.13437541
-5.87393697,1.06660625,0.00160837,0.02008822,0.32029648,0.14786903,0.02621058,0.67020040,0.26909604,0.13398824
-5.86793397,1.04542386,0.00142431,0.01916141,0.31179836,0.14206321,0.02625046,0.65786658,0.25698990,0.13354634
-5.86193097,1.02501926,0.00126070,0.01819988,0.30449218,0.13681563,0.02619575,0.64617709,0.24569297,0.13298991
-5.85592796,1.00507051,0.00111517,0.01721091,0.29825153,0.13205033,0.02604010,0.63492230,0.23519283,0.13226531
