energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,6.85285672,-6.85286172,1.13993459,-1.13993532,2.22472049,-2.22472280,0.07131461,-0.07131474,0.29802106,-0.29802151,1.52367011,-1.52367155,0.64091813,-0.64091756,0.13546189,-0.13546204,2.61612852,-2.61613028
-5.99399700,6.77856536,-6.77857172,1.13539453,-1.13539542,2.18989835,-2.18990119,0.06979177,-0.06979191,0.29894843,-0.29894892,1.53149938,-1.53150096,0.63225383,-0.63225343,0.13364976,-0.13364994,2.59054188,-2.59054413
-5.98799400,6.67793518,-6.67794271,1.12741161,-1.12741262,2.14611449,-2.14611777,0.06796939,-0.06796955,0.29869378,-0.29869428,1.53399610,-1.53399779,0.62077691,-0.62077667,0.13110915,-0.13110936,2.55538138,-2.55538405
-5.98199100,6.55507900,-6.55508749,1.11656097,-1.11656208,2.09498185,-2.09498551,0.06590340,-0.06590357,0.29734599,-0.29734650,1.53161639,-1.53161816,0.60690756,-0.60690745,0.12791162,-0.12791186,2.51215185,-2.51215487
-5.97598799,6.41474567,-6.41475489,1.10350189,-1.10350307,2.03834722,-2.03835116,0.06365784,-0.06365801,0.29502363,-0.29502414,1.52495179,-1.52495359,0.59112995,-0.59112996,0.12414316,-0.12414341,2.46257884,-2.46258212
-5.96998499,6.26217693,-6.26218663,1.08895791,-1.08895912,1.97823745,-1.97824158,0.06130351,-0.06130368,0.29187095,-0.29187146,1.51470718,-1.51470897,0.57397806,-0.57397816,0.11990147,-0.11990174,2.40855521,-2.40855867
-5.96398199,6.10294791,-6.10295784,1.07369417,-1.07369537,1.91680007,-1.91680429,0.05891656,-0.05891674,0.28805304,-0.28805353,1.50167432,-1.50167606,0.55602001,-0.55602018,0.11529300,-0.11529328,2.35208184,-2.35208539
-5.95797899,5.94279731,-5.94280720,1.05849287,-1.05849404,1.85624041,-1.85624463,0.05657688,-0.05657706,0.28375037,-0.28375082,1.48670206,-1.48670372,0.53784161,-0.53784183,0.11042969,-0.11042997,2.29520455,-2.29520809
-5.95197599,5.78745359,-5.78746318,1.04412787,-1.04412897,1.79875752,-1.79876164,0.05436641,-0.05436657,0.27915295,-0.27915337,1.47066441,-1.47066595,0.52002966,-0.52002989,0.10542572,-0.10542600,2.23994979,-2.23995323
-5.94597299,5.64246345,-5.64247250,1.03133921,-1.03134020,1.74648106,-1.74648499,0.05236738,-0.05236753,0.27445436,-0.27445472,1.45442781,-1.45442920,0.50315561,-0.50315581,0.10039427,-0.10039455,2.18826140,-2.18826465
-5.93996998,5.51302875,-5.51303702,1.02080873,-1.02080958,1.70141134,-1.70141499,0.05066055,-0.05066069,0.26984571,-0.26984602,1.43881909,-1.43882030,0.48776019,-0.48776035,0.09544452,-0.09544479,2.14194081,-2.14194378
-5.93396698,5.40385737,-5.40386465,1.01313765,-1.01313833,1.66536427,-1.66536756,0.04932349,-0.04932360,0.26551002,-0.26551028,1.42459526,-1.42459626,0.47433951,-0.47433959,0.09067882,-0.09067907,2.10259280,-2.10259543
-5.92796398,5.31903288,-5.31903898,1.00882706,-1.00882756,1.63992303,-1.63992591,0.04842878,-0.04842887,0.26161691,-0.26161710,1.41241665,-1.41241744,0.46333289,-0.46333286,0.08619032,-0.08619055,2.07157880,-2.07158103
-5.92196098,5.26190686,-5.26191163,1.00826208,-1.00826236,1.62639766,-1.62640006,0.04804239,-0.04804245,0.25831791,-0.25831803,1.40282431,-1.40282486,0.45511282,-0.45511267,0.08206096,-0.08206116,2.04997911,-2.04998088
-5.91595798,5.23501688,-5.23502019,1.01170015,-1.01170021,1.62579353,-1.62579540,0.04822205,-0.04822208,0.25574258,-0.25574262,1.39622258,-1.39622289,0.44997731,-0.44997700,0.07835993,-0.07836011,2.03856527,-2.03856654
-5.90995498,5.24003185,-5.24003362,1.01926411,-1.01926394,1.63878950,-1.63879082,0.04901573,-0.04901574,0.25399527,-0.25399523,1.39286764,-1.39286770,0.44814443,-0.44814394,0.07514266,-0.07514281,2.03778327,-2.03778402
-5.90395198,5.27772564,-5.27772580,1.03094002,-1.03093961,1.66572604,-1.66572679,0.05046026,-0.05046023,0.25315287,-0.25315275,1.39286210,-1.39286193,0.44974937,-0.44974870,0.07245015,-0.07245026,2.04774783,-2.04774802
-5.89794897,5.34797850,-5.34797703,1.04657990,-1.04657925,1.70660321,-1.70660337,0.05257998,-0.05257992,0.25326332,-0.25326313,1.39615602,-1.39615562,0.45484369,-0.45484281,0.07030887,-0.07030895,2.06824753,-2.06824718
-5.89194597,5.44980535,-5.44980225,1.06590900,-1.06590811,1.76108845,-1.76108803,0.05538571,-0.05538561,0.25434500,-0.25434474,1.40255377,-1.40255315,0.46339667,-0.46339557,0.06873101,-0.06873106,2.09876036,-2.09875947
-5.88594297,5.58140854,-5.58140386,1.08853737,-1.08853626,1.82853353,-1.82853255,0.05887374,-0.05887361,0.25638682,-0.25638649,1.41172654,-1.41172573,0.47529853,-0.47529722,0.06771507,-0.06771509,2.13847848,-2.13847707
-5.87993997,5.74025273,-5.74024654,1.11397505,-1.11397372,1.90799999,-1.90799848,0.06302516,-0.06302500,0.25934914,-0.25934873,1.42322956,-1.42322856,0.49036543,-0.49036389,0.06724680,-0.06724679,2.18634123,-2.18633932
-5.87393697,5.92315830,-5.92315068,1.14165009,-1.14164856,1.99829213,-1.99829012,0.06780542,-0.06780522,0.26316520,-0.26316473,1.43652307,-1.43652193,0.50834567,-0.50834391,0.06730035,-0.06730031,2.24107463,-2.24107227
-5.86793397,6.12640986,-6.12640094,1.17092880,-1.17092709,2.09799644,-2.09799398,0.07316420,-0.07316397,0.26774326,-0.26774272,1.45099622,-1.45099494,0.52892724,-0.52892526,0.06783958,-0.06783951,2.30123600,-2.30123322
-5.86193097,6.34587590,-6.34586580,1.20113718,-1.20113532,2.20552644,-2.20552356,0.07903565,-0.07903540,0.27296906,-0.27296847,1.46599238,-1.46599100,0.55174616,-0.55174398,0.06881958,-0.06881949,2.36526163,-2.36525849
-5.85592796,6.57713559,-6.57712448,1.23158275,-1.23158075,2.31917137,-2.31916814,0.08533904,-0.08533877,0.27870883,-0.27870820,1.48083508,-1.48083362,0.57639557,-0.57639319,0.07018819,-0.07018807,2.43151614,-2.43151270
-5.84992496,6.81560890,-6.81559693,1.26157589,-1.26157379,2.43714765,-2.43714411,0.09197982,-0.09197952,0.28481258,-0.28481191,1.49485319,-1.49485169,0.60243524,-0.60243269,0.07188756,-0.07188742,2.49834145,-2.49833776
-5.84392196,7.05668615,-7.05667350,1.29045003,-1.29044786,2.55765145,-2.55764767,0.09885109,-0.09885078,0.29111764,-0.29111695,1.50740456,-1.50740304,0.62940146,-0.62939875,0.07385579,-0.07385563,2.56410404,-2.56410018
-5.83791896,7.29585357,-7.29584041,1.31757986,-1.31757764,2.67891118,-2.67890722,0.10583564,-0.10583532,0.29745256,-0.29745185,1.51789709,-1.51789557,0.65681703,-0.65681419,0.07602841,-0.07602824,2.62723903,-2.62723505
-5.83191596,7.52881156,-7.52879808,1.34239719,-1.34239494,2.79923823,-2.79923414,0.11280827,-0.11280795,0.30364105,-0.30364034,1.52580670,-1.52580523,0.68420118,-0.68419823,0.07833989,-0.07833971,2.68628976,-2.68628572
-5.82591296,7.75158287,-7.75156924,1.36440395,-1.36440171,2.91707482,-2.91707065,0.11963860,-0.11963828,0.30950618,-0.30950548,1.53069170,-1.53069029,0.71107943,-0.71107638,0.08072506,-0.08072487,2.73994210,-2.73993808
-5.81990995,7.96060820,-7.96059460,1.38318216,-1.38317996,3.03103743,-3.03103324,0.12619420,-0.12619388,0.31487455,-0.31487387,1.53220317,-1.53220185,0.73699302,-0.73698992,0.08312037,-0.08312018,2.78705266,-2.78704870
-5.81390695,8.15282726,-8.15281386,1.39840078,-1.39839864,3.13995481,-3.13995063,0.13234386,-0.13234357,0.31958054,-0.31957989,1.53009156,-1.53009034,0.76150800,-0.76150488,0.08546511,-0.08546492,2.82667041,-2.82666658
-5.80790395,8.32574368,-8.32573063,1.40981938,-1.40981733,3.24289920,-3.24289509,0.13796117,-0.13796089,0.32347046,-0.32346985,1.52420934,-1.52420825,0.78422364,-0.78422051,0.08770248,-0.08770230,2.85805174,-2.85804809
-5.80190095,8.47747257,-8.47746002,1.41728901,-1.41728707,3.33921010,-3.33920608,0.14292789,-0.14292764,0.32640654,-0.32640598,1.51451025,-1.51450932,0.80478005,-0.80477695,0.08978052,-0.08978034,2.88066873,-2.88066531
-5.79589795,8.60677014,-8.60675820,1.42075030,-1.42074850,3.42850955,-3.42850565,0.14713740,-0.14713718,0.32827062,-0.32827013,1.50104535,-1.50104458,0.82286500,-0.82286196,0.09165291,-0.09165274,2.89421110,-2.89420795
-5.78989495,8.71304491,-8.71303370,1.42022934,-1.42022768,3.51070857,-3.51070482,0.15049777,-0.15049758,0.32896751,-0.32896710,1.48395647,-1.48395587,0.83821954,-0.83821659,0.09327961,-0.09327945,2.89858213,-2.89857928
-5.78389195,8.79635070,-8.79634030,1.41583153,-1.41583005,3.58600427,-3.58600068,0.15293445,-0.15293430,0.32842780,-0.32842746,1.46346756,-1.46346715,0.85064248,-0.85063963,0.09462737,-0.09462723,2.89388921,-2.89388670
-5.77788894,8.85736184,-8.85735233,1.40773404,-1.40773273,3.65486756,-3.65486412,0.15439251,-0.15439240,0.32661000,-0.32660976,1.43987454,-1.43987432,0.85999345,-0.85999074,0.09567008,-0.09566995,2.88042967,-2.88042751
