energy_ev,total_up,As_p_up,As_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,5.96808551,1.01068288,0.00000000,1.41765520,2.87376198,0.08125453,2.13744596
-5.99399700,6.06455449,1.01147027,0.00000000,1.44078785,2.91129183,0.08269545,2.18985640
-5.98799400,6.15820154,1.01093690,0.00000000,1.46514073,2.94606514,0.08411527,2.24216247
-5.98199100,6.24747651,1.00887523,0.00000000,1.49025021,2.97751057,0.08548755,2.29362819
-5.97598799,6.33098809,1.00514191,0.00000000,1.51567143,3.00515220,0.08678766,2.34355152
-5.96998499,6.40752456,0.99966046,0.00000000,1.54098440,3.02861611,0.08799349,2.39127531
-5.96398199,6.47606879,0.99242117,0.00000000,1.56579940,3.04763372,0.08908594,2.43619676
-5.95797899,6.53580728,0.98347848,0.00000000,1.58976143,3.06204176,0.09004941,2.47777556
-5.95197599,6.58613360,0.97294595,0.00000000,1.61255390,3.07177918,0.09087217,2.51554043
-5.94597299,6.62664642,0.96098925,0.00000000,1.63390148,3.07688146,0.09154651,2.54909407
-5.93996998,6.65714271,0.94781756,0.00000000,1.65357215,3.07747249,0.09206886,2.57811643
-5.93396698,6.67760654,0.93367381,0.00000000,1.67137834,3.07375463,0.09243964,2.60236631
-5.92796398,6.68819400,0.91882416,0.00000000,1.68717720,3.06599733,0.09266303,2.62168129
-5.92196098,6.68921506,0.90354724,0.00000000,1.70086996,3.05452472,0.09274653,2.63597598
-5.91595798,6.68111267,0.88812348,0.00000000,1.71240020,3.03970270,0.09270040,2.64523874
-5.90995498,6.66444011,0.87282499,0.00000000,1.72175133,3.02192587,0.09253700,2.64952693
-5.90395198,6.63983700,0.85790614,0.00000000,1.72894299,3.00160468,0.09227004,2.64896084
-5.89794897,6.60800474,0.84359539,0.00000000,1.73402667,2.97915312,0.09191379,2.64371652
-5.89194597,6.56968219,0.83008825,0.00000000,1.73708064,2.95497728,0.09148228,2.63401783
-5.88594297,6.52562218,0.81754182,0.00000000,1.73820432,2.92946511,0.09098860,2.62012784
-5.87993997,6.47656969,0.80607079,0.00000000,1.73751248,2.90297746,0.09044418,2.60234013
-5.87393697,6.42324232,0.79574518,0.00000000,1.73512933,2.87584077,0.08985835,2.58097016
-5.86793397,6.36631385,0.78658959,0.00000000,1.73118305,2.84834148,0.08923793,2.55634712
-5.86193097,6.30640128,0.77858409,0.00000000,1.72580087,2.82072234,0.08858707,2.52880672
-5.85592796,6.24405608,0.77166669,0.00000000,1.71910507,2.79318070,0.08790730,2.49868502
-5.84992496,6.17975975,0.76573709,0.00000000,1.71121006,2.76586874,0.08719775,2.46631367
-5.84392196,6.11392383,0.76066179,0.00000000,1.70222080,2.73889566,0.08645554,2.43201673
-5.83791896,6.04689447,0.75628022,0.00000000,1.69223250,2.71233177,0.08567639,2.39610905
-5.83191596,5.97896099,0.75241167,0.00000000,1.68133170,2.68621406,0.08485535,2.35889622
-5.82591296,5.91036794,0.74886288,0.00000000,1.66959854,2.66055330,0.08398754,2.32067597
-5.81990995,5.84133002,0.74543587,0.00000000,1.65710998,2.63534201,0.08306904,2.28174074
-5.81390695,5.77204871,0.74193588,0.00000000,1.64394375,2.61056313,0.08209770,2.24238103
-5.80790395,5.70272962,0.73817898,0.00000000,1.63018264,2.58619884,0.08107389,2.20288928
-5.80190095,5.63359944,0.73399914,0.00000000,1.61591865,2.56223906,0.08000117,2.16356357
-5.79589795,5.56492118,0.72925452,0.00000000,1.60125678,2.53868920,0.07888677,2.12471104
-5.78989495,5.49700676,0.72383271,0.00000000,1.58631784,2.51557676,0.07774189,2.08665021
