energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.22187581,0.00226710,0.12573632,0.12422587,0.74677131,0.44905493,0.02072413,0.40672387
-5.99399700,1.14402728,0.00210531,0.11313790,0.12480573,0.66471551,0.42249836,0.02067420,0.38838298
-5.98799400,1.07100120,0.00196060,0.10135812,0.12500115,0.58829477,0.39756192,0.02058624,0.37112365
-5.98199100,1.00285356,0.00183230,0.09043817,0.12476389,0.51781226,0.37425730,0.02045384,0.35489784
-5.97598799,0.93955841,0.00171975,0.08039679,0.12405941,0.45342076,0.35257120,0.02027243,0.33965394
-5.96998499,0.88102938,0.00162239,0.07123289,0.12286840,0.39513815,0.33247301,0.02003957,0.32534340
-5.96398199,0.82714040,0.00153969,0.06292864,0.12118775,0.34286549,0.31392214,0.01975506,0.31192633
-5.95797899,0.77774438,0.00147126,0.05545261,0.11903082,0.29640647,0.29687435,0.01942104,0.29937579
-5.95197599,0.73268892,0.00141677,0.04876298,0.11642713,0.25548736,0.28128681,0.01904192,0.28768060
-5.94597299,0.69182845,0.00137600,0.04281057,0.11342138,0.21977654,0.26712179,0.01862418,0.27684647
-5.93996998,0.65503225,0.00134881,0.03754165,0.11007189,0.18890277,0.25434867,0.01817610,0.26689555
-5.93396698,0.62218859,0.00133518,0.03290049,0.10644867,0.16247187,0.24294448,0.01770739,0.25786448
-5.92796398,0.59320504,0.00133512,0.02883145,0.10263102,0.14008130,0.23289294,0.01722872,0.24980109
-5.92196098,0.56800554,0.00134872,0.02528077,0.09870505,0.12133236,0.22418235,0.01675125,0.24276024
-5.91595798,0.54652498,0.00137612,0.02219800,0.09476103,0.10584029,0.21680250,0.01628607,0.23679884
-5.90995498,0.52870211,0.00141748,0.01953706,0.09089098,0.09324189,0.21074113,0.01584371,0.23197086
-5.90395198,0.51447171,0.00147298,0.01725696,0.08718636,0.08320133,0.20598003,0.01543366,0.22832230
-5.89794897,0.50375712,0.00154284,0.01532237,0.08373626,0.07541402,0.20249150,0.01506390,0.22588693
-5.89194597,0.49646373,0.00162729,0.01370390,0.08062598,0.06960907,0.20023522,0.01474059,0.22468281
-5.88594297,0.49247454,0.00172663,0.01237822,0.07793622,0.06555058,0.19915601,0.01446775,0.22471014
-5.87993997,0.49164816,0.00184122,0.01132819,0.07574285,0.06303804,0.19918272,0.01424714,0.22595053
-5.87393697,0.49381979,0.00197151,0.01054280,0.07411722,0.06190619,0.20022830,0.01407822,0.22836784
-5.86793397,0.49880528,0.00211813,0.01001715,0.07312710,0.06202442,0.20219123,0.01395816,0.23191063
-5.86193097,0.50640834,0.00228190,0.00975238,0.07283802,0.06329605,0.20495834,0.01388207,0.23651619
-5.85592796,0.51643045,0.00246387,0.00975565,0.07331496,0.06565748,0.20840876,0.01384324,0.24211583
-5.84992496,0.52868311,0.00266543,0.01004005,0.07462426,0.06907725,0.21241893,0.01383349,0.24864133
-5.84392196,0.54300166,0.00288827,0.01062448,0.07683554,0.07355507,0.21686849,0.01384359,0.25603211
-5.83791896,0.55925985,0.00313448,0.01153356,0.08002344,0.07912069,0.22164653,0.01386372,0.26424266
-5.83191596,0.57738426,0.00340653,0.01279737,0.08426901,0.08583251,0.22665801,0.01388394,0.27324985
-5.82591296,0.59736749,0.00370724,0.01445115,0.08966057,0.09377588,0.23182996,0.01389466,0.28305969
-5.81990995,0.61927924,0.00403981,0.01653482,0.09629377,0.10306077,0.23711707,0.01388707,0.29371292
-5.81390695,0.64327436,0.00440767,0.01909231,0.10427089,0.11381894,0.24250625,0.01385355,0.30528918
-5.80790395,0.66959703,0.00481442,0.02217076,0.11369908,0.12620020,0.24801998,0.01378800,0.31790924
-5.80190095,0.69858053,0.00526371,0.02581941,0.12468766,0.14036794,0.25371817,0.01368609,0.33173517
-5.79589795,0.73064227,0.00575903,0.03008831,0.13734433,0.15649370,0.25969829,0.01354539,0.34696812
-5.78989495,0.76627378,0.00630354,0.03502683,0.15177055,0.17475093,0.26609373,0.01336549,0.36384379
-5.78389195,0.80602595,0.00689988,0.04068190,0.16805598,0.19530796,0.27307043,0.01314795,0.38262555
-5.77788894,0.85048988,0.00754987,0.04709617,0.18627247,0.21832032,0.28082180,0.01289616,0.40359544
-5.77188594,0.90027399,0.00825437,0.05430602,0.20646763,0.24392269,0.28956218,0.01261520,0.42704338
-5.76588294,0.95597824,0.00901301,0.06233947,0.22865840,0.27222065,0.29951903,0.01231155,0.45325502
-5.75987994,1.01816662,0.00982401,0.07121425,0.25282501,0.30328263,0.31092428,0.01199280,0.48249871
-5.75387694,1.08733911,0.01068404,0.08093588,0.27890557,0.33713235,0.32400510,0.01166727,0.51501209
-5.74787394,1.16390427,0.01158809,0.09149599,0.30679182,0.37374212,0.33897457,0.01134370,0.55098915
-5.74187094,1.24815397,0.01252948,0.10287103,0.33632622,0.41302732,0.35602266,0.01103084,0.59056802
-5.73586793,1.34024125,0.01349982,0.11502123,0.36730086,0.45484247,0.37530784,0.01073712,0.63382037
-5.72986493,1.44016257,0.01448915,0.12789016,0.39945825,0.49897902,0.39694983,0.01047036,0.68074280
-5.72386193,1.54774525,0.01548613,0.14140475,0.43249423,0.54516518,0.42102362,0.01023747,0.73125058
-5.71785893,1.66264069,0.01647826,0.15547586,0.46606304,0.59306789,0.44755514,0.01004423,0.78517423
