energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,0.23590619,0.11986095,0.00000000,0.00232301,0.02485987,0.07138855,0.10847809
-5.99399700,0.23411855,0.12125205,0.00000000,0.00214785,0.02387559,0.07295429,0.11196437
-5.98799400,0.23604319,0.12459286,0.00000000,0.00199610,0.02328383,0.07593574,0.11715772
-5.98199100,0.24170241,0.12991322,0.00000000,0.00187132,0.02307263,0.08036195,0.12408253
-5.97598799,0.25107196,0.13722110,0.00000000,0.00177718,0.02322357,0.08625362,0.13273886
-5.96998499,0.26408142,0.14650189,0.00000000,0.00171743,0.02371223,0.09362235,0.14310141
-5.96398199,0.28061521,0.15771822,0.00000000,0.00169595,0.02450864,0.10246993,0.15511915
-5.95797899,0.30051459,0.17081018,0.00000000,0.00171674,0.02557784,0.11278755,0.16871541
-5.95197599,0.32358023,0.18569599,0.00000000,0.00178390,0.02688050,0.12455520,0.18378869
-5.94597299,0.34957572,0.20227316,0.00000000,0.00190166,0.02837354,0.13774086,0.20021415
-5.93996998,0.37823157,0.22041997,0.00000000,0.00207434,0.03001096,0.15229979,0.21784569
-5.93396698,0.40925006,0.23999740,0.00000000,0.00230633,0.03174460,0.16817376,0.23651872
-5.92796398,0.44231050,0.26085135,0.00000000,0.00260206,0.03352508,0.18529028,0.25605343
-5.92196098,0.47707494,0.28281516,0.00000000,0.00296588,0.03530275,0.20356191,0.27625854
-5.91595798,0.51319417,0.30571215,0.00000000,0.00340200,0.03702873,0.22288550,0.29693543
-5.90995498,0.55031374,0.32935843,0.00000000,0.00391432,0.03865596,0.24314168,0.31788241
-5.90395198,0.58807977,0.35356543,0.00000000,0.00450634,0.04014026,0.26419433,0.33889889
-5.89794897,0.62614442,0.37814240,0.00000000,0.00518093,0.04144134,0.28589038,0.35978955
-5.89194597,0.66417068,0.40289858,0.00000000,0.00594020,0.04252378,0.30805977,0.38036790
-5.88594297,0.70183635,0.42764501,0.00000000,0.00678526,0.04335785,0.33051589,0.40045944
