energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up
-6.00000000,8.86905380,1.62112263,6.01234509,0.02242644,0.41959182,0.03808503,0.00000000,0.13663337,1.93708309
-5.99399700,9.13405476,1.66155324,6.19767987,0.02306945,0.42191221,0.03948499,0.00000000,0.14131359,2.00169691
-5.98799400,9.38271713,1.69907007,6.37279330,0.02360687,0.42389552,0.04082869,0.00000000,0.14558594,2.06141775
-5.98199100,9.60963231,1.73273867,6.53384312,0.02403044,0.42533258,0.04209870,0.00000000,0.14940719,2.11512712
-5.97598799,9.80984810,1.76173810,6.67727290,0.02433439,0.42603002,0.04327909,0.00000000,0.15274097,2.16181465
-5.96998499,9.97899778,1.78538066,6.79990670,0.02451554,0.42581647,0.04435566,0.00000000,0.15555846,2.20060316
-5.96398199,10.11341479,1.80312725,6.89903468,0.02457341,0.42454778,0.04531629,0.00000000,0.15783905,2.23077088
-5.95797899,10.21022844,1.81459785,6.97248596,0.02451020,0.42211120,0.04615115,0.00000000,0.15957087,2.25177007
-5.95197599,10.26743741,1.81957706,7.01868623,0.02433067,0.41842833,0.04685291,0.00000000,0.16075135,2.26324135
-5.94597299,10.28395826,1.81801476,7.03669770,0.02404206,0.41345668,0.04741704,0.00000000,0.16138752,2.26502331
-5.93996998,10.25964759,1.81002216,7.02624007,0.02365376,0.40719006,0.04784188,0.00000000,0.16149636,2.25715701
-5.93396698,10.19529746,1.79586375,6.98769217,0.02317715,0.39965764,0.04812882,0.00000000,0.16110488,2.23988518
-5.92796398,10.09260479,1.77594573,6.92207428,0.02262517,0.39092197,0.04828239,0.00000000,0.16025010,2.21364637
-5.92196098,9.95411667,1.75080182,6.83101262,0.02201204,0.38107607,0.04831027,0.00000000,0.15897890,2.17906400
-5.91595798,9.78315428,1.72107698,6.71668766,0.02135290,0.37023979,0.04822327,0.00000000,0.15734755,2.13693107
-5.90995498,9.58371892,1.68751013,6.58176886,0.02066339,0.35855576,0.04803522,0.00000000,0.15542116,2.08819082
-5.90395198,9.36038416,1.65091638,6.42933875,0.01995936,0.34618489,0.04776283,0.00000000,0.15327287,2.03391427
-5.89794897,9.11817845,1.61216961,6.26280951,0.01925648,0.33330204,0.04742548,0.00000000,0.15098280,1.97527533
-5.89194597,8.86246254,1.57218571,6.08583534,0.01856999,0.32009156,0.04704489,0.00000000,0.14863684,1.91352436
-5.88594297,8.59880567,1.53190697,5.90222383,0.01791436,0.30674329,0.04664480,0.00000000,0.14632521,1.84996094
-5.87993997,8.33286457,1.49228783,5.71584921,0.01730314,0.29344876,0.04625054,0.00000000,0.14414086,1.78590675
-5.87393697,8.07026831,1.45428183,5.53056999,0.01674869,0.28039787,0.04588860,0.00000000,0.14217773,1.72267924
-5.86793397,7.81651149,1.41882983,5.35015311,0.01626209,0.26777599,0.04558610,0.00000000,0.14052891,1.66156663
-5.86193097,7.57685794,1.38684916,5.17820606,0.01585298,0.25576148,0.04537028,0.00000000,0.13928473,1.60380490
-5.85592796,7.35625568,1.35922341,5.01811800,0.01552952,0.24452352,0.04526790,0.00000000,0.13853080,1.55055691
-5.84992496,7.15926402,1.33679247,4.87301026,0.01529832,0.23422027,0.04530473,0.00000000,0.13834616,1.50289416
-5.84392196,6.98999251,1.32034253,4.74569629,0.01516445,0.22499725,0.04550490,0.00000000,0.13880143,1.46178101
-5.83791896,6.85205128,1.31059562,4.63865053,0.01513143,0.21698579,0.04589043,0.00000000,0.13995714,1.42806164
-5.83191596,6.74851198,1.30819867,4.55398568,0.01520130,0.21030160,0.04648063,0.00000000,0.14186216,1.40244950
-5.82591296,6.68187825,1.31371180,4.49343730,0.01537462,0.20504330,0.04729160,0.00000000,0.14455247,1.38551916
-5.81990995,6.65406473,1.32759595,4.45835481,0.01565059,0.20129092,0.04833584,0.00000000,0.14805001,1.37770044
-5.81390695,6.66638351,1.35020002,4.44969808,0.01602708,0.19910442,0.04962178,0.00000000,0.15236194,1.37927463
-5.80790395,6.71953736,1.38174792,4.46803846,0.01650077,0.19852207,0.05115350,0.00000000,0.15748007,1.39037259
-5.80190095,6.81361909,1.42232587,4.51356379,0.01706724,0.19955901,0.05293046,0.00000000,0.16338068,1.41097468
-5.79589795,6.94811668,1.47187052,4.58608665,0.01772106,0.20220578,0.05494732,0.00000000,0.17002456,1.44091242
-5.78989495,7.12192419,1.53015869,4.68505558,0.01845591,0.20642711,0.05719385,0.00000000,0.17735739,1.47987175
-5.78389195,7.33335869,1.59679926,4.80956916,0.01926471,0.21216098,0.05965494,0.00000000,0.18531036,1.52739806
-5.77788894,7.58018347,1.67122805,4.95839279,0.02013975,0.21931809,0.06231068,0.00000000,0.19380110,1.58290293
-5.77188594,7.85963806,1.75270627,5.12997845,0.02107278,0.22778182,0.06513655,0.00000000,0.20273478,1.64567271
-5.76588294,8.16847573,1.84032320,5.32248761,0.02205516,0.23740884,0.06810369,0.00000000,0.21200553,1.71487894
-5.75987994,8.50300861,1.93300364,5.53381738,0.02307798,0.24803027,0.07117926,0.00000000,0.22149799,1.78959087
-5.75387694,8.85916107,2.02952036,5.76163026,0.02413216,0.25945375,0.07432690,0.00000000,0.23108908,1.86878994
-5.74787394,9.23253115,2.12851185,6.00338745,0.02520864,0.27146613,0.07750727,0.00000000,0.24064990,1.95138634
-5.74187094,9.61846004,2.22850522,6.25638571,0.02629844,0.28383697,0.08067868,0.00000000,0.25004780,2.03623751
-5.73586793,10.01210892,2.32794410,6.51779766,0.02739285,0.29632274,0.08379778,0.00000000,0.25914861,2.12216855
-5.72986493,10.40854219,2.42522093,6.78471507,0.02848356,0.30867166,0.08682032,0.00000000,0.26781888,2.20799404
-5.72386193,10.80281588,2.51871302,7.05419464,0.02956284,0.32062904,0.08970203,0.00000000,0.27592832,2.29254128
-5.71785893,11.19006948,2.60682145,7.32330553,0.03062369,0.33194301,0.09239944,0.00000000,0.28335222,2.37467408
-5.71185593,11.56561916,2.68801161,7.58917787,0.03166010,0.34237049,0.09487085,0.00000000,0.28997394,2.45331686
-5.70585293,11.92505013,2.76085417,7.84905101,0.03266718,0.35168312,0.09707722,0.00000000,0.29568738,2.52747829
