energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,6.92476587,1.11281345,4.16171348,0.02288354,0.46078846,0.04052319,1.47342689,0.68746595,0.46502057
-5.99399700,6.95159807,1.13499533,4.15935015,0.02254840,0.46570290,0.04006029,1.48501864,0.70066810,0.47255393
-5.98799400,6.98038251,1.15948960,4.15735097,0.02221153,0.47185794,0.03961390,1.49595578,0.71475993,0.47963492
-5.98199100,7.01061556,1.18621335,4.15543100,0.02187438,0.47920843,0.03918819,1.50619370,0.72972776,0.48619273
-5.97598799,7.04167825,1.21503069,4.15325392,0.02153790,0.48768112,0.03878623,1.51568055,0.74553032,0.49215830
-5.96998499,7.07285615,1.24575409,4.15044594,0.02120252,0.49717653,0.03841009,1.52435733,0.76209643,0.49746631
-5.96398199,7.10336375,1.27814739,4.14661156,0.02086829,0.50757148,0.03806084,1.53215904,0.77932398,0.50205726
-5.95797899,7.13237228,1.31193026,4.14135069,0.02053492,0.51872228,0.03773873,1.53901662,0.79708012,0.50587969
-5.95197599,7.15903991,1.34678399,4.13427622,0.02020194,0.53046848,0.03744329,1.54485984,0.81520293,0.50889229
-5.94597299,7.18254304,1.38235839,4.12503161,0.01986879,0.54263691,0.03717352,1.54962080,0.83350431,0.51106590
-5.93996998,7.20210764,1.41827968,4.11330763,0.01953497,0.55504608,0.03692803,1.55323801,0.85177423,0.51238514
-5.93396698,7.21703935,1.45415891,4.09885775,0.01920012,0.56751051,0.03670524,1.55566061,0.86978612,0.51284985
-5.92796398,7.22675129,1.48960086,4.08151163,0.01886417,0.57984522,0.03650357,1.55685282,0.88730317,0.51247593
-5.92196098,7.23078852,1.52421301,4.06118626,0.01852741,0.59186986,0.03632152,1.55679802,0.90408535,0.51129576
-5.91595798,7.22884831,1.55761438,4.03789424,0.01819053,0.60341274,0.03615792,1.55550238,0.91989687,0.50935807
-5.90995498,7.22079528,1.58944391,4.01174906,0.01785473,0.61431432,0.03601196,1.55299777,0.93451363,0.50672717
-5.90395198,7.20667106,1.61936822,3.98296706,0.01752166,0.62443044,0.03588332,1.54934368,0.94773057,0.50348171
-5.89794897,7.18669780,1.64708853,3.95186595,0.01719349,0.63363484,0.03577218,1.54462796,0.95936829,0.49971277
-5.89194597,7.16127545,1.67234645,3.91885995,0.01687284,0.64182134,0.03567930,1.53896628,0.96927885,0.49552160
