energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,3.78552957,0.01447985,0.39595601,1.45894605,0.49500794,1.34844907,1.16775103,1.71627994,0.00000000
-5.99399700,3.80685720,0.01364084,0.39978039,1.46313654,0.49225430,1.35918829,1.19050398,1.70884519,0.00000000
-5.98799400,3.82470482,0.01287651,0.40267296,1.46355548,0.49029319,1.36707902,1.21261100,1.69881740,0.00000000
-5.98199100,3.83892527,0.01218637,0.40463275,1.46018093,0.48915075,1.37197623,1.23388736,1.68629485,0.00000000
-5.97598799,3.84934628,0.01156834,0.40566838,1.45302781,0.48883147,1.37376689,1.25413080,1.67138061,0.00000000
-5.96998499,3.85578332,0.01101899,0.40579776,1.44215088,0.48931917,1.37237622,1.27312811,1.65418545,0.00000000
-5.96398199,3.85805211,0.01053382,0.40504750,1.42764652,0.49057801,1.36777242,1.29066216,1.63483026,0.00000000
-5.95797899,3.85597991,0.01010755,0.40345193,1.40965317,0.49255328,1.35996958,1.30651892,1.61344755,0.00000000
-5.95197599,3.84941497,0.00973434,0.40105193,1.38835018,0.49517218,1.34902874,1.32049422,1.59018178,0.00000000
-5.94597299,3.83823382,0.00940799,0.39789361,1.36395521,0.49834457,1.33505672,1.33240001,1.56518858,0.00000000
-5.93996998,3.82234615,0.00912220,0.39402676,1.33672016,0.50196372,1.31820303,1.34206974,1.53863274,0.00000000
-5.93396698,3.80169747,0.00887070,0.38950343,1.30692589,0.50590725,1.29865495,1.34936297,1.51068518,0.00000000
-5.92796398,3.77626964,0.00864736,0.38437649,1.27487603,0.51003837,1.27663104,1.35416887,1.48151918,0.00000000
-5.92196098,3.74607999,0.00844635,0.37869845,1.24089013,0.51420746,1.25237371,1.35640871,1.45130616,0.00000000
-5.91595798,3.71117930,0.00826221,0.37252046,1.20529671,0.51825419,1.22614106,1.35603737,1.42021145,0.00000000
-5.90995498,3.67164944,0.00808989,0.36589166,1.16842641,0.52201024,1.19819873,1.35304392,1.38839044,0.00000000
-5.90395198,3.62760116,0.00792482,0.35885883,1.13060576,0.52530255,1.16881217,1.34745139,1.35598539,0.00000000
-5.89794897,3.57917258,0.00776294,0.35146647,1.09215171,0.52795725,1.13823971,1.33931590,1.32312332,0.00000000
-5.89194597,3.52652869,0.00760075,0.34375711,1.05336731,0.52980405,1.10672691,1.32872531,1.28991511,0.00000000
-5.88594297,3.46986213,0.00743529,0.33577194,1.01453855,0.53068103,1.07450241,1.31579750,1.25645593,0.00000000
-5.87993997,3.40939527,0.00726418,0.32755170,0.97593237,0.53043967,1.04177534,1.30067839,1.22282697,0.00000000
