energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
3.03451726,1.90357887,0.73497122,0.00000000,1.56943380,0.01271290,0.07159989,0.75122721
3.04052026,1.90555227,0.73938036,0.00000000,1.56747708,0.01260133,0.07156840,0.74534740
3.04652326,1.91049724,0.74621732,0.00000000,1.57005564,0.01251407,0.07160747,0.73799205
3.05252626,1.91790344,0.75525771,0.00000000,1.57671543,0.01244689,0.07170383,0.72912351
3.05852926,1.92724206,0.76623709,0.00000000,1.58693786,0.01239551,0.07184241,0.71874522
3.06453227,1.93796575,0.77885132,0.00000000,1.60013989,0.01235564,0.07200647,0.70689997
3.07053527,1.94950990,0.79275804,0.00000000,1.61567701,0.01232301,0.07217779,0.69366685
3.07653827,1.96129576,0.80757999,0.00000000,1.63284955,0.01229341,0.07233699,0.67915700
3.08254127,1.97273604,0.82291018,0.00000000,1.65091274,0.01226279,0.07246390,0.66350861
3.08854427,1.98324322,0.83831912,0.00000000,1.66909044,0.01222726,0.07253800,0.64688144
3.09454727,1.99224079,0.85336413,0.00000000,1.68659248,0.01218320,0.07253903,0.62945115
3.10055028,1.99917705,0.86760051,0.00000000,1.70263501,0.01212737,0.07244755,0.61140379
3.10655328,2.00354116,0.88059428,0.00000000,1.71646327,0.01205695,0.07224565,0.59293068
3.11255628,2.00488070,0.89193601,0.00000000,1.72737564,0.01196964,0.07191763,0.57422379
3.11855928,2.00281977,0.90125514,0.00000000,1.73474810,0.01186378,0.07145067,0.55547183
3.12456228,1.99707654,0.90823410,0.00000000,1.73805745,0.01173840,0.07083551,0.53685707
3.13056528,1.98747906,0.91262154,0.00000000,1.73690241,0.01159328,0.07006696,0.51855277
3.13656828,1.97397823,0.91424378,0.00000000,1.73102103,0.01142899,0.06914438,0.50072127
3.14257129,1.95665669,0.91301392,0.00000000,1.72030341,0.01124690,0.06807195,0.48351252
3.14857429,1.93573277,0.90893789,0.00000000,1.70479887,0.01104917,0.06685879,0.46706296
3.15457729,1.91155874,0.90211697,0.00000000,1.68471672,0.01083869,0.06551886,0.45149463
3.16058029,1.88461312,0.89274640,0.00000000,1.66042054,0.01061900,0.06407067,0.43691430
3.16658329,1.85548671,0.88111002,0.00000000,1.63241573,0.01039415,0.06253680,0.42341255
3.17258629,1.82486293,0.86757100,0.00000000,1.60133096,0.01016861,0.06094321,0.41106285
3.17858929,1.79349294,0.85255878,0.00000000,1.56789398,0.00994703,0.05931833,0.39992040
3.18459230,1.76216659,0.83655300,0.00000000,1.53290297,0.00973412,0.05769216,0.39002103
3.19059530,1.73168037,0.82006477,0.00000000,1.49719464,0.00953442,0.05609510,0.38137995
3.19659830,1.70280399,0.80361631,0.00000000,1.46161052,0.00935214,0.05455686,0.37399073
