energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,10.41683242,0.00447237,3.50027770,0.91537981,0.20442389,0.08349846,2.18123094,4.83161168,3.86894855
-5.99399700,10.54551985,0.00446351,3.56387976,0.91373904,0.20779242,0.08251738,2.17853771,4.89513095,3.94380887
-5.98799400,10.64455545,0.00449394,3.61430365,0.90922274,0.21102381,0.08185851,2.17307636,4.94549068,4.00326717
-5.98199100,10.71196116,0.00456736,3.65039873,0.90209337,0.21411809,0.08152223,2.16507761,4.98197700,4.04602175
-5.97598799,10.74666320,0.00468709,3.67138683,0.89267601,0.21708759,0.08150611,2.15487609,5.00425220,4.07120496
-5.96998499,10.74853231,0.00485591,3.67688555,0.88135037,0.21995645,0.08180513,2.14290478,5.01238006,4.07840841
-5.96398199,10.71838997,0.00507607,3.66691721,0.86854151,0.22275982,0.08241180,2.12968580,5.00683710,4.06769176
-5.95797899,10.65797958,0.00534922,3.64190312,0.85470956,0.22554253,0.08331631,2.11581776,4.98850849,4.03957461
-5.95197599,10.56990322,0.00567636,3.60264332,0.84033862,0.22835741,0.08450657,2.10195979,4.95866777,3.99501193
-5.94597299,10.45752602,0.00605781,3.55028267,0.82592493,0.23126327,0.08596826,2.08881257,4.91894066,3.93535430
-5.93996998,10.32485180,0.00649319,3.48626470,0.81196477,0.23432257,0.08768468,2.07709694,4.87125351,3.86229446
-5.93396698,10.17637488,0.00698133,3.41227531,0.79894211,0.23759881,0.08963673,2.06753075,4.81776826,3.77780289
-5.92796398,10.01691405,0.00752036,3.33017871,0.78731647,0.24115392,0.09180272,2.06080466,4.76080602,3.68405499
-5.92196098,9.85143561,0.00810758,3.24194842,0.77751118,0.24504550,0.09415818,2.05755786,4.70276238,3.58335318
-5.91595798,9.68487276,0.00873957,3.14959614,0.76990246,0.24932417,0.09667575,2.05835466,4.64601781,3.47804706
-5.90995498,9.52194877,0.00941211,3.05510170,0.76480950,0.25403105,0.09932503,2.06366280,4.59284696,3.37045511
-5.90395198,9.36701138,0.01012028,2.96034665,0.76248603,0.25919557,0.10207255,2.07383461,4.54533083,3.26279083
-5.89794897,9.22388481,0.01085847,2.86705434,0.76311353,0.26483356,0.10488179,2.08909166,4.50527568,3.15709625
-5.89194597,9.09574551,0.01162043,2.77673855,0.76679648,0.27094586,0.10771339,2.10951395,4.47414233,3.05518510
-5.88594297,8.98502612,0.01239936,2.69066250,0.77355983,0.27751739,0.11052540,2.13503390,4.45298904,2.95859745
-5.87993997,8.89335116,0.01318800,2.60980953,0.78334874,0.28451682,0.11327373,2.16543591,4.44243075,2.86856708
-5.87393697,8.82150636,0.01397875,2.53486596,0.79603099,0.29189683,0.11591278,2.20036138,4.44261635,2.78600215
-5.86793397,8.76944206,0.01476374,2.46621645,0.81140163,0.29959504,0.11839610,2.23931939,4.45322533,2.71147925
-5.86193097,8.73630966,0.01553505,2.40395124,0.82919018,0.30753554,0.12067730,2.28170263,4.47348379,2.64525017
-5.85592796,8.72052876,0.01628479,2.34788449,0.84906995,0.31563094,0.12271095,2.32680811,4.50219927,2.58726039
-5.84992496,8.71988123,0.01700532,2.29758225,0.87066923,0.32378506,0.12445361,2.37386192,4.53781280,2.53717774
-5.84392196,8.73162769,0.01768936,2.25239846,0.89358404,0.33189602,0.12586485,2.42204708,4.57846583,2.49442947
-5.83791896,8.75264063,0.01833018,2.21151702,0.91739190,0.33985958,0.12690834,2.47053343,4.62207910,2.45824560
-5.83191596,8.77954837,0.01892177,2.17399784,0.94166616,0.34757289,0.12755275,2.51850832,4.66643984,2.42770633
-5.82591296,8.80888341,0.01945897,2.13882486,0.96599034,0.35493811,0.12777272,2.56520678,4.70929364,2.40179154
-5.81990995,8.83722889,0.01993763,2.10495379,0.98997189,0.36186607,0.12754955,2.60994005,4.74843676,2.37942989
-5.81390695,8.86135719,0.02035468,2.07135788,1.01325485,0.36827970,0.12687186,2.65212115,4.78180513,2.35954600
-5.80790395,8.87835526,0.02070826,2.03706989,1.03553091,0.37411706,0.12573594,2.69128640,4.80755622,2.34110354
-5.80190095,8.88573206,0.02099775,2.00121881,1.05654845,0.37933379,0.12414598,2.72711205,4.82414059,2.32314319
-5.79589795,8.88150433,0.02122377,1.96306030,1.07611927,0.38390506,0.12211402,2.75942536,4.83036030,2.30481415
-5.78989495,8.86425828,0.02138823,1.92200003,1.09412275,0.38782670,0.11965968,2.78820960,4.82541221,2.28539849
-5.78389195,8.83318566,0.02149419,1.87760956,1.11050727,0.39111554,0.11680971,2.81360290,4.80891489,2.26432804
-5.77788894,8.78809414,0.02154586,1.82963456,1.12528917,0.39380898,0.11359728,2.83589111,4.78091869,2.24119371
-5.77188594,8.72939285,0.02154842,1.77799585,1.13854907,0.39596369,0.11006113,2.85549505,4.74189926,2.21574765
-5.76588294,8.65805509,0.02150792,1.72278362,1.15042606,0.39765368,0.10624455,2.87295280,4.69273553,2.18789862
-5.75987994,8.57556109,0.02143107,1.66424565,1.16110993,0.39896750,0.10219426,2.88889785,4.63467377,2.15770171
-5.75387694,8.48382431,0.02132511,1.60277067,1.17083202,0.40000511,0.09795923,2.90403417,4.56928002,2.12534310
-5.74787394,8.38510535,0.02119758,1.53886772,1.17985484,0.40087411,0.09358947,2.91910922,4.49838312,2.09112113
-5.74187094,8.28191757,0.02105615,1.47314289,1.18846123,0.40168588,0.08913480,2.93488603,4.42401122,2.05542487
-5.73586793,8.17692873,0.02090843,1.40627441,1.19694322,0.40255148,0.08464376,2.95211530,4.34832432,2.01871113
-5.72986493,8.07286248,0.02076176,1.33898740,1.20559111,0.40357765,0.08016254,2.97150858,4.27354541,1.98148125
-5.72386193,7.97240334,0.02062306,1.27202904,1.21468304,0.40486303,0.07573410,2.99371333,4.20189254,1.94425834
-5.71785893,7.87810812,0.02049868,1.20614523,1.22447532,0.40649462,0.07139737,3.01929040,4.13551377,1.90756604
-5.71185593,7.79232618,0.02039423,1.14205925,1.23519367,0.40854478,0.06718670,3.04869460,4.07642653,1.87190915
-5.70585293,7.71713028,0.02031448,1.08045300,1.24702564,0.41106867,0.06313144,3.08225856,4.02646279,1.83775680
-5.69984992,7.65425910,0.02026324,1.02195106,1.26011403,0.41410232,0.05925571,3.12018005,3.98722052,1.80552829
-5.69384692,7.60507202,0.02024326,0.96710779,1.27455158,0.41766131,0.05557833,3.16251297,3.96002236,1.77558183
-5.68784392,7.57051634,0.02025616,0.91639740,1.29037694,0.42174008,0.05211293,3.20916192,3.94588138,1.74820606
-5.68184092,7.55110678,0.02030238,0.87020693,1.30757172,0.42631190,0.04886818,3.25988033,3.94547436,1.72361438
-5.67583792,7.54691683,0.02038114,0.82883181,1.32605893,0.43132948,0.04584816,3.31427218,3.95912250,1.70194186
-5.66983492,7.55758157,0.02049043,0.79247388,1.34570270,0.43672611,0.04305275,3.37179727,3.98677954,1.68324460
-5.66383192,7.58231156,0.02062699,0.76124164,1.36630940,0.44241745,0.04047819,3.43178012,4.02802760,1.66750132
-5.65782891,7.61991741,0.02078640,0.73515229,1.38763028,0.44830385,0.03811760,3.49342252,4.08208084,1.65461711
-5.65182591,7.66884462,0.02096311,0.71413552,1.40936569,0.45427314,0.03596157,3.55581986,4.14779719,1.64442913
-5.64582291,7.72721862,0.02115059,0.69803883,1.43117097,0.46020392,0.03399866,3.61798122,4.22369852,1.63671416
-5.63981991,7.79289948,0.02134142,0.68663425,1.45266416,0.46596923,0.03221605,3.67885329,4.30799956,1.63119803
-5.63381691,7.86354581,0.02152753,0.67962630,1.47343542,0.47144069,0.03059992,3.73734794,4.39864577,1.62756662
-5.62781391,7.93668722,0.02170039,0.67666125,1.49305810,0.47649281,0.02913605,3.79237315,4.49336007,1.62547847
-5.62181091,8.00980414,0.02185129,0.67733747,1.51110145,0.48100763,0.02781016,3.84286670,4.58969814,1.62457872
-5.61580790,8.08041329,0.02197163,0.68121687,1.52714440,0.48487942,0.02660832,3.88783213,4.68511163,1.62451410
-5.60980490,8.14615687,0.02205322,0.68783719,1.54079031,0.48801937,0.02551727,3.92637557,4.77701800,1.62494868
-5.60380190,8.20489269,0.02208859,0.69672503,1.55168201,0.49036020,0.02452470,3.95774265,4.86287538,1.62557968
-5.59779890,8.25478206,0.02207135,0.70740924,1.55951663,0.49186033,0.02361945,3.98135364,4.94026035,1.62615311
-5.59179590,8.29437187,0.02199644,0.71943447,1.56405954,0.49250767,0.02279172,3.99683550,5.00694602,1.62647813
-5.58579290,8.32266720,0.02186043,0.73237421,1.56515665,0.49232262,0.02203314,4.00404904,5.06097754,1.62643985
-5.57978989,8.33919031,0.02166173,0.74584307,1.56274456,0.49136029,0.02133691,4.00310956,5.10074200,1.62600938
-5.57378689,8.34402262,0.02140076,0.75950768,1.55685777,0.48971158,0.02069780,3.99439955,5.12502958,1.62525084
-5.56778389,8.33782632,0.02108003,0.77309575,1.54763248,0.48750312,0.02011210,3.97857191,5.13308305,1.62432432
-5.56178089,8.32184307,0.02070417,0.78640273,1.53530664,0.48489592,0.01957762,3.95654315,5.12463286,1.62348453
-5.55577789,8.29786836,0.02027986,0.79929582,1.52021594,0.48208254,0.01909352,3.92947561,5.09991594,1.62307472
-5.54977489,8.26820085,0.01981566,0.81171496,1.50278579,0.47928306,0.01866020,3.89874904,5.05967662,1.62351580
-5.54377189,8.23556766,0.01932180,0.82367064,1.48351940,0.47673952,0.01827906,3.86592194,5.00514909,1.62529082
-5.53776888,8.20302766,0.01880988,0.83523867,1.46298246,0.47470937,0.01795232,3.83268372,4.93802159,1.62892523
-5.53176588,8.17385610,0.01829252,0.84655191,1.44178485,0.47345772,0.01768272,3.80079935,4.86038358,1.63496368
-5.52576288,8.15141520,0.01778293,0.85778957,1.42056037,0.47324901,0.01747326,3.77204867,4.77465756,1.64394418
-5.51975988,8.13901618,0.01729451,0.86916433,1.39994517,0.47433807,0.01732688,3.74816271,4.68351863,1.65637086
-5.51375688,8.13977890,0.01684039,0.88090815,1.38055600,0.47696121,0.01724623,3.73075985,4.58980473,1.67268664
