energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.58742810,0.01532479,0.03338125,0.66828315,0.00000000,0.16778087,0.46950723
-5.99399700,1.57668701,0.01526027,0.03517291,0.66055471,0.00000000,0.17191011,0.46407681
-5.98799400,1.56333193,0.01512249,0.03698153,0.65189004,0.00000000,0.17612616,0.45749241
-5.98199100,1.54751075,0.01491838,0.03879637,0.64236746,0.00000000,0.18038880,0.44982471
-5.97598799,1.52939433,0.01465731,0.04060567,0.63207015,0.00000000,0.18465192,0.44116055
-5.96998499,1.50917837,0.01435099,0.04239680,0.62108756,0.00000000,0.18886552,0.43160216
-5.96398199,1.48708411,0.01401329,0.04415643,0.60951635,0.00000000,0.19297791,0.42126572
-5.95797899,1.46335765,0.01365996,0.04587078,0.59746093,0.00000000,0.19693826,0.41027923
-5.95197599,1.43826802,0.01330829,0.04752591,0.58503327,0.00000000,0.20069909,0.39877988
-5.94597299,1.41210416,0.01297672,0.04910807,0.57235233,0.00000000,0.20421888,0.38691096
-5.93996998,1.38517093,0.01268440,0.05060414,0.55954286,0.00000000,0.20746456,0.37481856
-5.93396698,1.35778446,0.01245069,0.05200206,0.54673382,0.00000000,0.21041382,0.36264808
-5.92796398,1.33026714,0.01229465,0.05329135,0.53405649,0.00000000,0.21305705,0.35054087
-5.92196098,1.30294230,0.01223452,0.05446366,0.52164222,0.00000000,0.21539900,0.33863109
-5.91595798,1.27612915,0.01228717,0.05551328,0.50962015,0.00000000,0.21745992,0.32704286
-5.90995498,1.25013769,0.01246761,0.05643765,0.49811474,0.00000000,0.21927613,0.31588795
-5.90395198,1.22526413,0.01278841,0.05723791,0.48724332,0.00000000,0.22089999,0.30526392
-5.89794897,1.20178656,0.01325933,0.05791926,0.47711371,0.00000000,0.22239931,0.29525280
-5.89194597,1.17996100,0.01388681,0.05849128,0.46782190,0.00000000,0.22385603,0.28592037
-5.88594297,1.16001783,0.01467365,0.05896816,0.45944990,0.00000000,0.22536428,0.27731590
-5.87993997,1.14215840,0.01561873,0.05936873,0.45206372,0.00000000,0.22702786,0.26947233
-5.87393697,1.12655188,0.01671680,0.05971629,0.44571159,0.00000000,0.22895717,0.26240690
-5.86793397,1.11333225,0.01795837,0.06003829,0.44042237,0.00000000,0.23126560,0.25612196
-5.86193097,1.10259537,0.01932976,0.06036575,0.43620433,0.00000000,0.23406564,0.25060607
-5.85592796,1.09439616,0.02081318,0.06073251,0.43304410,0.00000000,0.23746464,0.24583520
-5.84992496,1.08874592,0.02238707,0.06117423,0.43090614,0.00000000,0.24156045,0.24177399
-5.84392196,1.08560985,0.02402642,0.06172716,0.42973255,0.00000000,0.24643708,0.23837703
-5.83791896,1.08490498,0.02570330,0.06242684,0.42944330,0.00000000,0.25216048,0.23559009
-5.83191596,1.08649856,0.02738752,0.06330655,0.42993707,0.00000000,0.25877458,0.23335131
-5.82591296,1.09020713,0.02904731,0.06439580,0.43109250,0.00000000,0.26629778,0.23159238
-5.81990995,1.09579656,0.03065017,0.06571869,0.43277009,0.00000000,0.27472007,0.23023960
-5.81390695,1.10298302,0.03216373,0.06729247,0.43481455,0.00000000,0.28400080,0.22921498
-5.80790395,1.11143541,0.03355662,0.06912610,0.43705768,0.00000000,0.29406730,0.22843728
-5.80190095,1.12077897,0.03479939,0.07121911,0.43932183,0.00000000,0.30481451,0.22782318
-5.79589795,1.13060061,0.03586535,0.07356073,0.44142355,0.00000000,0.31610560,0.22728835
-5.78989495,1.14045565,0.03673136,0.07612937,0.44317780,0.00000000,0.32777370,0.22674877
-5.78389195,1.14987619,0.03737849,0.07889252,0.44440217,0.00000000,0.33962476,0.22612199
-5.77788894,1.15838092,0.03779258,0.08180715,0.44492134,0.00000000,0.35144153,0.22532858
-5.77188594,1.16548627,0.03796464,0.08482050,0.44457147,0.00000000,0.36298857,0.22429370
