energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.90658075,0.21755074,0.14856396,0.00587696,0.00859197,0.02025225,0.50763282,0.24729450,0.05289756
-5.99399700,0.92643286,0.22509429,0.15214389,0.00586934,0.00903750,0.02025096,0.52024006,0.26039252,0.05371567
-5.98799400,0.94701770,0.23283356,0.15577083,0.00588259,0.00947896,0.02027853,0.53330916,0.27333919,0.05475548
-5.98199100,0.96842754,0.24078475,0.15945815,0.00591756,0.00991480,0.02034205,0.54687660,0.28602604,0.05604054
-5.97598799,0.99071140,0.24896444,0.16321517,0.00597415,0.01034418,0.02044612,0.56095458,0.29834772,0.05758723
-5.96998499,1.01387632,0.25739116,0.16704743,0.00605122,0.01076710,0.02059258,0.57553199,0.31020601,0.05940428
-5.96398199,1.03789093,0.26608713,0.17095707,0.00614670,0.01118454,0.02078044,0.59057678,0.32151399,0.06149256
-5.95797899,1.06269106,0.27507998,0.17494357,0.00625767,0.01159859,0.02100595,0.60603933,0.33219982,0.06384529
-5.95197599,1.08818695,0.28440439,0.17900443,0.00638047,0.01201254,0.02126273,0.62185683,0.34221034,0.06644844
-5.94597299,1.11427172,0.29410344,0.18313609,0.00651082,0.01243086,0.02154212,0.63795821,0.35151392,0.06928158
-5.93996998,1.14083040,0.30422954,0.18733476,0.00664405,0.01285920,0.02183354,0.65426949,0.36010270,0.07231883
-5.93396698,1.16774924,0.31484493,0.19159728,0.00677525,0.01330432,0.02212499,0.67071916,0.36799397,0.07553020
-5.92796398,1.19492470,0.32602155,0.19592190,0.00689948,0.01377390,0.02240362,0.68724340,0.37523070,0.07888294
-5.92196098,1.22227171,0.33784032,0.20030893,0.00701192,0.01427637,0.02265629,0.70379084,0.38188112,0.08234310
-5.91595798,1.24973089,0.35038993,0.20476134,0.00710813,0.01482069,0.02287015,0.72032670,0.38803752,0.08587704
-5.90995498,1.27727450,0.36376493,0.20928524,0.00718414,0.01541601,0.02303325,0.73683619,0.39381418,0.08945297
-5.90395198,1.30491075,0.37806346,0.21389023,0.00723663,0.01607138,0.02313501,0.75332697,0.39934474,0.09304236
-5.89794897,1.33268666,0.39338462,0.21858971,0.00726306,0.01679542,0.02316671,0.76983071,0.40477893,0.09662117
-5.89194597,1.36068919,0.40982556,0.22340109,0.00726171,0.01759597,0.02312181,0.78640364,0.41027897,0.10017094
-5.88594297,1.38904476,0.42747851,0.22834593,0.00723173,0.01847977,0.02299618,0.80312617,0.41601579,0.10367956
-5.87993997,1.41791722,0.44642778,0.23345008,0.00717318,0.01945214,0.02278827,0.82010162,0.42216503,0.10714175
-5.87393697,1.44750447,0.46674699,0.23874367,0.00708695,0.02051675,0.02249907,0.83745406,0.42890320,0.11055930
-5.86793397,1.47803362,0.48849646,0.24426109,0.00697472,0.02167534,0.02213203,0.85532538,0.43640392,0.11394092
-5.86193097,1.50975498,0.51172096,0.25004078,0.00683885,0.02292760,0.02169280,0.87387159,0.44483428,0.11730188
-5.85592796,1.54293501,0.53644778,0.25612492,0.00668224,0.02427103,0.02118895,0.89325853,0.45435150,0.12066323
-5.84992496,1.57784812,0.56268511,0.26255891,0.00650823,0.02570090,0.02062958,0.91365693,0.46509975,0.12405092
-5.84392196,1.61476767,0.59042078,0.26939055,0.00632039,0.02721030,0.02002487,0.93523689,0.47720713,0.12749454
-5.83791896,1.65395614,0.61962119,0.27666898,0.00612240,0.02879015,0.01938563,0.95816199,0.49078286,0.13102594
-5.83191596,1.69565450,0.65023046,0.28444327,0.00591786,0.03042938,0.01872285,0.98258289,0.50591445,0.13467776
-5.82591296,1.74007120,0.68216967,0.29276067,0.00571020,0.03211507,0.01804725,1.00863066,0.52266502,0.13848176
-5.81990995,1.78737059,0.71533605,0.30166454,0.00550249,0.03383269,0.01736888,1.03640988,0.54107057,0.14246718
-5.81390695,1.83766137,0.74960224,0.31119198,0.00529740,0.03556633,0.01669685,1.06599170,0.56113733,0.14665906
-5.80790395,1.89098510,0.78481539,0.32137126,0.00509709,0.03729893,0.01603900,1.09740697,0.58283914,0.15107666
-5.80190095,1.94730531,0.82079631,0.33221907,0.00490318,0.03901262,0.01540180,1.13063977,0.60611501,0.15573195
-5.79589795,2.00649751,0.85733852,0.34373781,0.00471673,0.04068892,0.01479021,1.16562141,0.63086696,0.16062827
-5.78989495,2.06834074,0.89420757,0.35591299,0.00453826,0.04230908,0.01420775,1.20222543,0.65695822,0.16575916
-5.78389195,2.13251096,0.93114046,0.36871090,0.00436781,0.04385430,0.01365651,1.24026366,0.68421211,0.17110747
-5.77788894,2.19857701,0.96784567,0.38207677,0.00420496,0.04530603,0.01313735,1.27948381,0.71241169,0.17664472
-5.77188594,2.26599954,1.00400381,0.39593346,0.00404895,0.04664622,0.01265006,1.31956879,0.74130037,0.18233082
-5.76588294,2.33413326,1.03926908,0.41018089,0.00389876,0.04785754,0.01219362,1.36013803,0.77058374,0.18811409
