energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,6.93738093,0.02016781,0.82914942,2.32141135,4.12035037,2.34163139,0.00000000
-5.99399700,6.95046502,0.01942615,0.83472552,2.36356011,4.11355320,2.35661996,0.00000000
-5.98799400,6.94166792,0.01865941,0.83823246,2.40169509,4.09233431,2.36437457,0.00000000
-5.98199100,6.91116739,0.01787716,0.83947586,2.43499253,4.05722444,2.36472102,0.00000000
-5.97598799,6.85950561,0.01708810,0.83829038,2.46265384,4.00901973,2.35759102,0.00000000
-5.96998499,6.78757303,0.01629991,0.83454795,2.48393305,3.94875583,2.34302360,0.00000000
-5.96398199,6.69658272,0.01551920,0.82816462,2.49816440,3.87767465,2.32116452,0.00000000
-5.95797899,6.58803617,0.01475152,0.81910587,2.50478864,3.79718509,2.29226326,0.00000000
-5.95197599,6.46368147,0.01400139,0.80738994,2.50337665,3.70881927,2.25666803,0.00000000
-5.94597299,6.32546575,0.01327241,0.79308899,2.49364923,3.61418610,2.21481855,0.00000000
-5.93996998,6.17548337,0.01256742,0.77632829,2.47549210,3.51492411,2.16723706,0.00000000
-5.93396698,6.01592218,0.01188866,0.75728313,2.44896522,3.41265540,2.11451761,0.00000000
-5.92796398,5.84900969,0.01123797,0.73617407,2.41430614,3.30894271,2.05731412,0.00000000
-5.92196098,5.67696156,0.01061701,0.71326038,2.37192725,3.20525122,1.99632751,0.00000000
-5.91595798,5.50193426,0.01002744,0.68883244,2.32240716,3.10291666,1.93229238,0.00000000
-5.90995498,5.32598396,0.00947113,0.66320320,2.26647686,3.00312090,1.86596373,0.00000000
-5.90395198,5.15103321,0.00895031,0.63669941,2.20500132,2.90687587,1.79810419,0.00000000
-5.89794897,4.97884658,0.00846774,0.60965277,2.13895783,2.81501635,1.72947221,0.00000000
-5.89194597,4.81101630,0.00802682,0.58239175,2.06941208,2.72820163,1.66081172,0.00000000
-5.88594297,4.64895796,0.00763162,0.55523418,1.99749318,2.64692560,1.59284352,0.00000000
-5.87993997,4.49391626,0.00728695,0.52848096,1.92436896,2.57153470,1.52625868,0.00000000
-5.87393697,4.34697985,0.00699830,0.50241119,1.85122244,2.50225232,1.46171417,0.00000000
-5.86793397,4.20910407,0.00677183,0.47727866,1.77923032,2.43920831,1.39983051,0.00000000
-5.86193097,4.08113960,0.00661420,0.45330980,1.70954417,2.38247169,1.34119143,0.00000000
-5.85592796,3.96386487,0.00653249,0.43070293,1.64327452,2.33208464,1.28634522,0.00000000
-5.84992496,3.85801949,0.00653396,0.40962870,1.58147796,2.28809560,1.23580711,0.00000000
-5.84392196,3.76433605,0.00662585,0.39023134,1.52514689,2.25058946,1.19006244,0.00000000
-5.83791896,3.68356743,0.00681513,0.37263064,1.47520155,2.21971265,1.14956960,0.00000000
-5.83191596,3.61650702,0.00710824,0.35692410,1.43248367,2.19569165,1.11476243,0.00000000
-5.82591296,3.56399955,0.00751076,0.34318913,1.39775090,2.17884309,1.08605114,0.00000000
-5.81990995,3.52694070,0.00802719,0.33148493,1.37167147,2.16957481,1.06382137,0.00000000
-5.81390695,3.50626451,0.00866057,0.32185386,1.35481825,2.16837704,1.04843085,0.00000000
-5.80790395,3.50291808,0.00941226,0.31432211,1.34766188,2.17580391,1.04020340,0.00000000
-5.80190095,3.51782420,0.01028165,0.30889961,1.35056245,2.19244588,1.03942032,0.00000000
-5.79589795,3.55183319,0.01126596,0.30557909,1.36375990,2.21889430,1.04630907,0.00000000
-5.78989495,3.60566615,0.01236003,0.30433456,1.38736318,2.25569980,1.06102999,0.00000000
-5.78389195,3.67985256,0.01355621,0.30511913,1.42133874,2.30332665,1.08366140,0.00000000
-5.77788894,3.77466564,0.01484432,0.30786257,1.46549902,2.36210570,1.11418399,0.00000000
-5.77188594,3.89005944,0.01621163,0.31246879,1.51949190,2.43218854,1.15246548,0.00000000
-5.76588294,4.02561162,0.01764299,0.31881356,1.58279199,2.51350568,1.19824662,0.00000000
-5.75987994,4.18047585,0.01912098,0.32674281,1.65469488,2.60573135,1.25112951,0.00000000
-5.75387694,4.35334747,0.02062623,0.33607164,1.73431543,2.70825740,1.31056934,0.00000000
-5.74787394,4.54244542,0.02213770,0.34658453,1.82059076,2.82017816,1.37587052,0.00000000
-5.74187094,4.74551274,0.02363318,0.35803670,1.91228892,2.94028775,1.44618783,0.00000000
-5.73586793,4.95983682,0.02508969,0.37015686,2.00802332,3.06709057,1.52053313,0.00000000
-5.72986493,5.18228992,0.02648409,0.38265130,2.10627333,3.19882504,1.59778799,0.00000000
-5.72386193,5.40938885,0.02779359,0.39520938,2.20541060,3.33350007,1.67672188,0.00000000
-5.71785893,5.63737222,0.02899637,0.40751015,2.30373072,3.46894269,1.75601585,0.00000000
-5.71185593,5.86229227,0.03007211,0.41922987,2.39948919,3.60285518,1.83429078,0.00000000
-5.70585293,6.08011762,0.03100253,0.43005030,2.49094074,3.73287906,1.91013939,0.00000000
-5.69984992,6.28684285,0.03177188,0.43966720,2.57638051,3.85666319,1.98216078,0.00000000
-5.69384692,6.47859999,0.03236735,0.44779883,2.65418561,3.97193297,2.04899613,0.00000000
-5.68784392,6.65176754,0.03277941,0.45419400,2.72285557,4.07655760,2.10936424,0.00000000
-5.68184092,6.80307204,0.03300197,0.45863930,2.78105006,4.16861247,2.16209543,0.00000000
-5.67583792,6.92967839,0.03303258,0.46096525,2.82762246,4.24643406,2.20616236,0.00000000
-5.66983492,7.02926508,0.03287237,0.46105095,2.86164801,4.30866532,2.24070672,0.00000000
-5.66383192,7.10008173,0.03252599,0.45882718,2.88244549,4.35428974,2.26506056,0.00000000
-5.65782891,7.14098720,0.03200137,0.45427776,2.88959173,4.38265330,2.27876166,0.00000000
-5.65182591,7.15146726,0.03130945,0.44743904,2.88292845,4.39347382,2.28156235,0.00000000
-5.64582291,7.13163222,0.03046381,0.43839777,2.86256135,4.38683814,2.27343165,0.00000000
-5.63981991,7.08219550,0.02948020,0.42728724,2.82885177,4.36318786,2.25455088,0.00000000
-5.63381691,7.00443506,0.02837610,0.41428208,2.78240130,4.32329500,2.22530303,0.00000000
-5.62781391,6.90014036,0.02717019,0.39959188,2.72403022,4.26822944,2.18625678,0.00000000
-5.62181091,6.77154764,0.02588188,0.38345398,2.65475086,4.19931979,2.13814576,0.00000000
-5.61580790,6.62126705,0.02453079,0.36612567,2.57573681,4.11810993,2.08184435,0.00000000
