energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.65135209,0.59183301,0.00460286,0.14162985,1.37885663,0.83881497,0.42424074
-5.99399700,3.53191676,0.56072662,0.00447231,0.13885224,1.34754914,0.81084175,0.40890766
-5.98799400,3.41686623,0.52852483,0.00435455,0.13606698,1.31952767,0.78434132,0.39452350
-5.98199100,3.30740465,0.49560705,0.00424981,0.13331661,1.29510785,0.75964652,0.38124722
-5.97598799,3.20445913,0.46234790,0.00415783,0.13063721,1.27446339,0.73701404,0.36919746
-5.96998499,3.10866501,0.42910901,0.00407795,0.12805735,1.25762322,0.71661925,0.35845002
-5.96398199,3.02036011,0.39623150,0.00400912,0.12559725,1.24447308,0.69855339,0.34903665
-5.95797899,2.93958805,0.36402928,0.00394997,0.12326825,1.23476123,0.68282330,0.34094513
-5.95197599,2.86611070,0.33278357,0.00389886,0.12107266,1.22810847,0.66935361,0.33412067
-5.94597299,2.79942909,0.30273860,0.00385396,0.11900395,1.22402178,0.65799149,0.32846858
-5.93996998,2.73881222,0.27409887,0.00381331,0.11704726,1.22191155,0.64851368,0.32385816
-5.93396698,2.68333275,0.24702764,0.00377490,0.11518023,1.22111170,0.64063586,0.32012765
-5.92796398,2.63190833,0.22164701,0.00373670,0.11337421,1.22090209,0.63402377,0.31709022
-5.92196098,2.58334733,0.19803917,0.00369678,0.11159560,1.22053258,0.62830604,0.31454066
-5.91595798,2.53639711,0.17624888,0.00365331,0.10980744,1.21924805,0.62308816,0.31226263
-5.90995498,2.48979348,0.15628689,0.00360465,0.10797119,1.21631337,0.61796715,0.31003617
-5.90395198,2.44230931,0.13813419,0.00354939,0.10604846,1.21103767,0.61254643,0.30764532
-5.89794897,2.39280091,0.12174674,0.00348638,0.10400282,1.20279700,0.60645039,0.30488542
-5.89194597,2.34025026,0.10706058,0.00341475,0.10180148,1.19105457,0.59933809,0.30156994
-5.88594297,2.28380180,0.09399709,0.00333397,0.09941682,1.17537793,0.59091570,0.29753651
-5.87993997,2.22279260,0.08246812,0.00324380,0.09682776,1.15545243,0.58094703,0.29265202
-5.87393697,2.15677475,0.07238095,0.00314435,0.09402080,1.13109045,0.56926203,0.28681649
-5.86793397,2.08552960,0.06364287,0.00303607,0.09099082,1.10223624,0.55576284,0.27996572
-5.86193097,2.00907340,0.05616531,0.00291968,0.08774148,1.06896610,0.54042713,0.27207250
-5.85592796,1.92765449,0.04986746,0.00279623,0.08428536,1.03148418,0.52330897,0.26314647
-5.84992496,1.84174258,0.04467928,0.00266700,0.08064373,0.99011391,0.50453691,0.25323268
-5.84392196,1.75201064,0.04054393,0.00253352,0.07684602,0.94528581,0.48430972,0.24240890
-5.83791896,1.65931083,0.03741963,0.00239751,0.07292896,0.89752204,0.46288992,0.23078182
-5.83191596,1.56464530,0.03528085,0.00226082,0.06893556,0.84741867,0.44059548,0.21848251
-5.82591296,1.46913357,0.03411901,0.00212543,0.06491383,0.79562617,0.41779002,0.20566113
-5.81990995,1.37397777,0.03394249,0.00199337,0.06091543,0.74282936,0.39487202,0.19248136
-5.81390695,1.28042722,0.03477617,0.00186669,0.05699413,0.68972731,0.37226341,0.17911467
-5.80790395,1.18974366,0.03666036,0.00174740,0.05320438,0.63701417,0.35039797,0.16573468
-5.80190095,1.10316828,0.03964921,0.00163745,0.04959979,0.58536169,0.32970991,0.15251194
-5.79589795,1.02189153,0.04380849,0.00153868,0.04623176,0.53540373,0.31062292,0.13960916
-5.78989495,0.94702637,0.04921292,0.00145279,0.04314818,0.48772347,0.29354002,0.12717716
-5.78389195,0.87958546,0.05594294,0.00138129,0.04039225,0.44284347,0.27883425,0.11535159
-5.77788894,0.82046249,0.06408086,0.00132549,0.03800147,0.40121857,0.26684051,0.10425043
-5.77188594,0.77041760,0.07370672,0.00128644,0.03600686,0.36323175,0.25784844,0.09397240
-5.76588294,0.73006666,0.08489359,0.00126497,0.03443221,0.32919265,0.25209639,0.08459606
-5.75987994,0.69987423,0.09770265,0.00126160,0.03329364,0.29933843,0.24976656,0.07617976
