energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.07583792,-1.31826088,0.01555248,-0.02536984,0.19758802,-0.25815831,0.14802948,-0.15018141,0.13051528,-0.17203977,0.29130143,-0.35429088,0.02132066,-0.02624235,0.28800577,-0.33453055
-5.99399700,1.02523900,-1.33097210,0.01447826,-0.02514783,0.18767704,-0.25966147,0.14298802,-0.15440664,0.12412262,-0.17269546,0.27676326,-0.35696596,0.02030049,-0.02659600,0.27557025,-0.33935391
-5.98799400,0.97202666,-1.33636578,0.01340098,-0.02479195,0.17742049,-0.25975380,0.13726023,-0.15773776,0.11762033,-0.17242797,0.26155026,-0.35768074,0.01921328,-0.02679986,0.26224836,-0.34228775
-5.98199100,0.91710183,-1.33429099,0.01233245,-0.02430757,0.16698950,-0.25842515,0.13096252,-0.16010592,0.11113615,-0.17124075,0.24589756,-0.35640668,0.01807573,-0.02684869,0.24827746,-0.34326367
-5.97598799,0.86139061,-1.32473232,0.01128372,-0.02370196,0.15655763,-0.25569096,0.12422135,-0.16146070,0.10480021,-0.16915484,0.23004427,-0.35314989,0.01690493,-0.02674000,0.23390555,-0.34224943
-5.96998499,0.80582423,-1.30781423,0.01026487,-0.02298416,0.14629745,-0.25159269,0.11716975,-0.16177206,0.09874271,-0.16620900,0.21422847,-0.34795188,0.01571792,-0.02647421,0.21938551,-0.33925090
-5.96398199,0.75131942,-1.28380187,0.00928495,-0.02216469,0.13637710,-0.24619747,0.10994374,-0.16103182,0.09309165,-0.16245948,0.19868236,-0.34088937,0.01453136,-0.02605466,0.20496942,-0.33431300
-5.95797899,0.69875984,-1.25309804,0.00835190,-0.02125540,0.12695716,-0.23959722,0.10267888,-0.15925423,0.08797053,-0.15797935,0.18362782,-0.33207322,0.01336111,-0.02548759,0.19090313,-0.32751954
-5.95197599,0.64897911,-1.21623644,0.00747249,-0.02026914,0.11818775,-0.23190707,0.09550699,-0.15647597,0.08349624,-0.15285748,0.16927249,-0.32164633,0.01222192,-0.02478201,0.17742118,-0.31899186
-5.94597299,0.60274594,-1.17387106,0.00665235,-0.01921950,0.11020597,-0.22326314,0.08855313,-0.15275531,0.07977703,-0.14719708,0.15580644,-0.30978073,0.01112719,-0.02394948,0.16474245,-0.30888645
-5.93996998,0.56075163,-1.12676215,0.00589601,-0.01812052,0.10313373,-0.21381980,0.08193312,-0.14817058,0.07691061,-0.14111392,0.14339965,-0.29667369,0.01008879,-0.02300384,0.15306638,-0.29739136
-5.93396698,0.52360017,-1.07575918,0.00520699,-0.01698639,0.09707598,-0.20374642,0.07575145,-0.14281796,0.07498247,-0.13473420,0.13220010,-0.28254330,0.00911686,-0.02196084,0.14257000,-0.28472181
-5.92796398,0.49180098,-1.02178124,0.00458796,-0.01583116,0.09211941,-0.19322368,0.07009967,-0.13680871,0.07406432,-0.12819217,0.12233274,-0.26762332,0.00821984,-0.02083771,0.13340579,-0.27111489
-5.92196098,0.46576436,-0.96579570,0.00404081,-0.01466847,0.08833143,-0.18243965,0.06505541,-0.13026598,0.07421282,-0.12162755,0.11389908,-0.25215776,0.00740436,-0.01965275,0.12570033,-0.25682377
-5.91595798,0.44579939,-0.90879572,0.00356690,-0.01351128,0.08575974,-0.17158570,0.06068183,-0.12332130,0.07546837,-0.11518272,0.10697747,-0.23639520,0.00667538,-0.01842480,0.11955370,-0.24211144
-5.90995498,0.43211421,-0.85177751,0.00316718,-0.01237168,0.08443206,-0.16085233,0.05702757,-0.11611086,0.07785430,-0.10899996,0.10162399,-0.22058317,0.00603627,-0.01717285,0.11503965,-0.22724436
-5.90395198,0.42481835,-0.79571794,0.00284237,-0.01126066,0.08435639,-0.15042513,0.05412714,-0.10877186,0.08137615,-0.10321852,0.09787374,-0.20496267,0.00548894,-0.01591550,0.11220630,-0.21248620
-5.89794897,0.42392690,-0.74155331,0.00259317,-0.01018800,0.08552145,-0.14048094,0.05200167,-0.10143895,0.08602134,-0.09797186,0.09574255,-0.18976314,0.00503401,-0.01467059,0.11107752,-0.19809181
-5.89194597,0.42936620,-0.69015988,0.00242037,-0.00916212,0.08789747,-0.13118423,0.05065995,-0.09424089,0.09175903,-0.09338484,0.09522893,-0.17519787,0.00467101,-0.01345482,0.11165462,-0.18430173
-5.88594297,0.44098073,-0.64233658,0.00232500,-0.00819007,0.09143729,-0.12268399,0.05009964,-0.08729760,0.09854042,-0.08957122,0.09631615,-0.16146018,0.00439860,-0.01228343,0.11391841,-0.17133729
-5.87993997,0.45854104,-0.59879049,0.00230841,-0.00727746,0.09607757,-0.11511092,0.05030869,-0.08071769,0.10629931,-0.08663120,0.09897432,-0.14872025,0.00421472,-0.01116996,0.11783153,-0.15939652
-5.87393697,0.48175229,-0.56012511,0.00237234,-0.00642856,0.10174040,-0.10857521,0.05126678,-0.07459646,0.11495306,-0.08464922,0.10316245,-0.13712280,0.00411682,-0.01012608,0.12334079,-0.14865088
-5.86793397,0.51026326,-0.52683185,0.00251893,-0.00564630,0.10833495,-0.10316481,0.05294670,-0.06901444,0.12440397,-0.08369214,0.10883029,-0.12678563,0.00410199,-0.00916149,0.13037965,-0.13924291
-5.86193097,0.54367551,-0.49928454,0.00275066,-0.00493243,0.11575937,-0.09894421,0.05531577,-0.06403650,0.13454097,-0.08380753,0.11591995,-0.11779896,0.00416713,-0.00828390,0.13887055,-0.13128479
-5.85592796,0.58155250,-0.47773711,0.00307028,-0.00428766,0.12390284,-0.09595380,0.05833704,-0.05971149,0.14524175,-0.08502248,0.12436721,-0.11022551,0.00430900,-0.00749909,0.14872707,-0.12485775
-5.84992496,0.62342838,-0.46232419,0.00348067,-0.00371179,0.13264763,-0.09420972,0.06197034,-0.05607241,0.15637512,-0.08734269,0.13410242,-0.10410139,0.00452437,-0.00681094,0.15985594,-0.12001242
-5.84392196,0.66881625,-0.45306450,0.00398466,-0.00320392,0.14187134,-0.09370422,0.06617316,-0.05313701,0.16780372,-0.09075200,0.14505114,-0.09943759,0.00480999,-0.00622169,0.17215862,-0.11676989
-5.83791896,0.71721563,-0.44986682,0.00458480,-0.00276268,0.15144902,-0.09440654,0.07090124,-0.05090880,0.17938680,-0.09521241,0.15713421,-0.09622199,0.00516260,-0.00573201,0.18553268,-0.11512349
-5.83191596,0.76811906,-0.45253828,0.00528310,-0.00238637,0.16125527,-0.09626429,0.07610900,-0.04937841,0.19098322,-0.10066460,0.17026756,-0.09442197,0.00557892,-0.00534130,0.19987267,-0.11504122
-5.82591296,0.82101755,-0.46079464,0.00608077,-0.00207322,0.17116624,-0.09920515,0.08174971,-0.04852527,0.20245427,-0.10702892,0.18436160,-0.09398718,0.00605555,-0.00504784,0.21507063,-0.11646864
-5.81990995,0.87540479,-0.47427232,0.00697793,-0.00182154,0.18106145,-0.10313916,0.08777538,-0.04831934,0.21366655,-0.11420701,0.19932037,-0.09485275,0.00658891,-0.00484908,0.23101623,-0.11933224
-5.81390695,0.93078026,-0.49254194,0.00797332,-0.00162996,0.19082531,-0.10796121,0.09413661,-0.04872315,0.22449444,-0.12208398,0.21504043,-0.09694253,0.00717508,-0.00474182,0.24759652,-0.12354299
-5.80790395,0.98665106,-0.51512279,0.00906408,-0.00149750,0.20034853,-0.11355401,0.10078214,-0.04969378,0.23482241,-0.13053102,0.23140970,-0.10017244,0.00780971,-0.00472238,0.26469538,-0.12900023
