energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.06557657,-2.31161371,0.04273631,-0.01508694,0.58462016,-0.46710184,0.11951574,-0.02047301,0.59327120,-0.39655802,0.93826125,-0.31079390,0.07150216,-0.03955359,0.66380286,-0.70724769
-5.99399700,2.98426757,-2.52792432,0.04272230,-0.01649094,0.57597406,-0.51121110,0.10906890,-0.02193201,0.58574531,-0.43437805,0.91762493,-0.33988611,0.07063569,-0.04327933,0.63705916,-0.77319507
-5.98799400,2.90416254,-2.74990970,0.04259449,-0.01791770,0.56696236,-0.55641947,0.09916403,-0.02380651,0.57751375,-0.47294873,0.89705726,-0.36982323,0.06971567,-0.04711665,0.61136718,-0.84096710
-5.98199100,2.82488680,-2.97540615,0.04234349,-0.01935223,0.55744922,-0.60228193,0.08986481,-0.02612230,0.56844933,-0.51188018,0.87646030,-0.40032432,0.06872392,-0.05103162,0.58672572,-0.90991627
-5.97598799,2.74610415,-3.20212286,0.04196239,-0.02077870,0.54731966,-0.64832545,0.08121830,-0.02890898,0.55845175,-0.55075853,0.85575164,-0.43109205,0.06764526,-0.05498826,0.56312494,-0.97935879
-5.96998499,2.66755396,-3.42770015,0.04144736,-0.02218097,0.53648691,-0.69406069,0.07325643,-0.03220001,0.54745460,-0.58915608,0.83487626,-0.46182040,0.06646840,-0.05894947,0.54055397,-1.04859248
-5.96398199,2.58908552,-3.64977172,0.04079800,-0.02354290,0.52489898,-0.73899448,0.06599774,-0.03603257,0.53543134,-0.62664239,0.81381734,-0.49220286,0.06518670,-0.06287796,0.51900830,-1.11691565
-5.95797899,2.51068733,-3.86602806,0.04001771,-0.02484892,0.51254387,-0.78264276,0.05944941,-0.04044698,0.52240003,-0.66279567,0.79260539,-0.52194071,0.06379874,-0.06673719,0.49849667,-1.18364632
-5.95197599,2.43250931,-4.07427833,0.03911390,-0.02608436,0.49945322,-0.82454332,0.05360941,-0.04548584,0.50842637,-0.69721422,0.77132479,-0.55075111,0.06230865,-0.07049227,0.47904668,-1.24814070
-5.94597299,2.35487624,-4.27250771,0.03809798,-0.02723597,0.48570391,-0.86426771,0.04846856,-0.05119276,0.49362484,-0.72952718,0.75011748,-0.57837449,0.06072617,-0.07411081,0.46070896,-1.30981017
-5.93996998,2.27829130,-4.45892766,0.03698523,-0.02829222,0.47141770,-0.90143202,0.04401258,-0.05761072,0.47815782,-0.75940418,0.72918326,-0.60458102,0.05906646,-0.07756361,0.44355951,-1.36813588
-5.93396698,2.20342941,-4.63201646,0.03579457,-0.02924369,0.45675862,-0.93570569,0.04022383,-0.06478011,0.46223272,-0.78656361,0.70877662,-0.62917569,0.05734958,-0.08082517,0.42770003,-1.42268015
-5.92796398,2.13112028,-4.79054834,0.03454806,-0.03008326,0.44192836,-0.96681827,0.03708285,-0.07273637,0.44609710,-0.81077885,0.68920021,-0.65200193,0.05559974,-0.08387412,0.41325633,-1.47309432
-5.92196098,2.06232236,-4.93360983,0.03327031,-0.03080634,0.42715975,-0.99456373,0.03456959,-0.08150749,0.43003222,-0.83188246,0.67079518,-0.67294347,0.05384437,-0.08669336,0.40037478,-1.51912240
-5.91595798,1.99808870,-5.06060275,0.03198783,-0.03141091,0.41270879,-1.01880215,0.03266431,-0.09111123,0.41434510,-0.84976810,0.65392879,-0.69192445,0.05211288,-0.08927002,0.38921720,-1.56060065
-5.90995498,1.93952704,-5.17123421,0.03072822,-0.03189755,0.39884542,-1.03945887,0.03134816,-0.10155234,0.39935968,-0.86439010,0.63898014,-0.70890779,0.05043546,-0.09159531,0.37995451,-1.59745301
-5.90395198,1.88775605,-5.26549429,0.02951933,-0.03226931,0.38584367,-1.05652119,0.03060346,-0.11281980,0.38540746,-0.87576088,0.62632457,-0.72389198,0.04884172,-0.09366415,0.37275950,-1.62968279
-5.89794897,1.84386056,-5.34362343,0.02838845,-0.03253163,0.37397168,-1.07003304,0.03041379,-0.12488423,0.37281819,-0.88394641,0.61631766,-0.73690649,0.04735935,-0.09547463,0.36779934,-1.65736122
-5.89194597,1.80884808,-5.40607147,0.02736146,-0.03269204,0.36348196,-1.08008775,0.03076381,-0.13769569,0.36191094,-0.88906005,0.60927982,-0.74800615,0.04601288,-0.09702749,0.36522832,-1.68061363
-5.88594297,1.78360941,-5.45345114,0.02646211,-0.03275990,0.35460261,-1.08681974,0.03163897,-0.15118189,0.35298618,-0.89125508,0.60548214,-0.75726485,0.04482259,-0.09832543,0.36518130,-1.69960407
-5.87993997,1.76888542,-5.48648897,0.02571133,-0.03274608,0.34752975,-1.09039537,0.03302518,-0.16524709,0.34631920,-0.89071654,0.60513449,-0.76476891,0.04380360,-0.09937254,0.36776840,-1.71451945
-5.87393697,1.76524198,-5.50597643,0.02512672,-0.03266260,0.34242159,-1.09100362,0.03490839,-0.17977173,0.34215513,-0.88765264,0.60837635,-0.77061058,0.04296520,-0.10017363,0.37307128,-1.72555408
