energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.11763227,0.00532544,0.30251237,1.17925631,0.57182623,0.08557867,0.52839153,0.36795317,0.17697677
-5.99399700,2.14010620,0.00520503,0.30753998,1.21342657,0.57825562,0.08467195,0.53436468,0.36925008,0.17708356
-5.98799400,2.16039171,0.00510515,0.31204291,1.24589949,0.58400870,0.08357532,0.54047175,0.37015854,0.17712038
-5.98199100,2.17771009,0.00502361,0.31592097,1.27614925,0.58887784,0.08227518,0.54647533,0.37056814,0.17702575
-5.97598799,2.19128394,0.00495760,0.31908462,1.30366946,0.59266619,0.08076110,0.55211043,0.37036487,0.17673530
-5.96998499,2.20037017,0.00490378,0.32145919,1.32799384,0.59519637,0.07902646,0.55709519,0.36943652,0.17618443
-5.96398199,2.20429347,0.00485848,0.32298885,1.34871730,0.59631910,0.07706894,0.56114273,0.36767833,0.17531100
-5.95797899,2.20247885,0.00481784,0.32364020,1.36551656,0.59592100,0.07489085,0.56397358,0.36499840,0.17405810
-5.95197599,2.19448157,0.00477799,0.32340526,1.37816922,0.59393164,0.07249930,0.56532806,0.36132266,0.17237662
-5.94597299,2.18001312,0.00473518,0.32230362,1.38657048,0.59032906,0.06990616,0.56497821,0.35659930,0.17022757
-5.93996998,2.15896185,0.00468597,0.32038369,1.39074632,0.58514371,0.06712784,0.56273839,0.35080232,0.16758404
-5.93396698,2.13140703,0.00462733,0.31772293,1.39086235,0.57846048,0.06418495,0.55847439,0.34393396,0.16443276
-5.92796398,2.09762567,0.00455674,0.31442688,1.38722758,0.57041856,0.06110173,0.55211028,0.33602617,0.16077502
-5.92196098,2.05809131,0.00447233,0.31062707,1.38029246,0.56120913,0.05790543,0.54363293,0.32714074,0.15662710
-5.91595798,2.01346479,0.00437283,0.30647775,1.37064090,0.55107087,0.05462556,0.53309386,0.31736823,0.15202009
-5.90995498,1.96457707,0.00425770,0.30215150,1.35897622,0.54028331,0.05129306,0.52060829,0.30682572,0.14699907
-5.90395198,1.91240481,0.00412705,0.29783394,1.34610123,0.52915830,0.04793954,0.50635170,0.29565352,0.14162183
-5.89794897,1.85803950,0.00398162,0.29371761,1.33289298,0.51802991,0.04459641,0.49055374,0.28401087,0.13595701
-5.89194597,1.80265155,0.00382273,0.28999523,1.32027312,0.50724304,0.04129415,0.47349020,0.27207091,0.13008190
-5.88594297,1.74745082,0.00365221,0.28685272,1.30917478,0.49714128,0.03806157,0.45547313,0.26001518,0.12407992
-5.87993997,1.69364529,0.00347226,0.28446215,1.30050763,0.48805458,0.03492525,0.43683986,0.24802780,0.11803791
-5.87393697,1.64239988,0.00328540,0.28297498,1.29512235,0.48028702,0.03190899,0.41794130,0.23628967,0.11204342
-5.86793397,1.59479707,0.00309429,0.28251587,1.29377627,0.47410558,0.02903344,0.39913022,0.22497289,0.10618202
-5.86193097,1.55180129,0.00290169,0.28317738,1.29710188,0.46973012,0.02631589,0.38075000,0.21423576,0.10053478
-5.85592796,1.51422864,0.00271030,0.28501582,1.30557970,0.46732517,0.02377005,0.36312436,0.20421839,0.09517616
-5.84992496,1.48272328,0.00252269,0.28804849,1.31951688,0.46699405,0.02140612,0.34654854,0.19503936,0.09017211
-5.84392196,1.45774166,0.00234118,0.29225240,1.33903296,0.46877530,0.01923081,0.33128227,0.18679329,0.08557879
-5.83791896,1.43954505,0.00216785,0.29756469,1.36405342,0.47264208,0.01724762,0.31754477,0.17954964,0.08144164
-5.83191596,1.42820080,0.00200440,0.30388467,1.39431165,0.47850412,0.01545702,0.30551188,0.17335262,0.07779502
-5.82591296,1.42359209,0.00185219,0.31107753,1.42935952,0.48621260,0.01385685,0.29531534,0.16822227,0.07466232
-5.81990995,1.42543541,0.00171217,0.31897951,1.46858608,0.49556743,0.01244268,0.28704412,0.16415657,0.07205650
-5.81390695,1.43330492,0.00158494,0.32740429,1.51124381,0.50632682,0.01120818,0.28074749,0.16113449,0.06998102
-5.80790395,1.44666227,0.00147074,0.33615043,1.55648107,0.51821861,0.01014559,0.27643963,0.15911978,0.06843107
-5.80190095,1.46489010,0.00136948,0.34500947,1.60337948,0.53095280,0.00924609,0.27410532,0.15806526,0.06739499
-5.79589795,1.48732761,0.00128081,0.35377431,1.65099420,0.54423481,0.00850016,0.27370627,0.15791742,0.06685585
-5.78989495,1.51330609,0.00120414,0.36224741,1.69839526,0.55777859,0.00789795,0.27518772,0.15862107,0.06679295
-5.78389195,1.54218252,0.00113872,0.37024862,1.74470782,0.57131923,0.00742955,0.27848478,0.16012371,0.06718333
-5.77788894,1.57336960,0.00108368,0.37762200,1.78914921,0.58462409,0.00708521,0.28352820,0.16237956,0.06800301
-5.77188594,1.60636047,0.00103810,0.38424147,1.83106091,0.59750225,0.00685557,0.29024910,0.16535279,0.06922802
-5.76588294,1.64074693,0.00100105,0.39001500,1.86993367,0.60981152,0.00673174,0.29858257,0.16902000,0.07083516
-5.75987994,1.67623035,0.00097164,0.39488710,1.90542449,0.62146280,0.00670538,0.30846973,0.17337167,0.07280238
-5.75387694,1.71262479,0.00094906,0.39883944,1.93736448,0.63242159,0.00676869,0.31985848,0.17841264,0.07510886
-5.74787394,1.74985238,0.00093261,0.40188979,1.96575715,0.64270657,0.00691445,0.33270263,0.18416145,0.07773477
-5.74187094,1.78793152,0.00092170,0.40408915,1.99076731,0.65238540,0.00713588,0.34695986,0.19064871,0.08066075
-5.73586793,1.82695877,0.00091591,0.40551734,2.01270115,0.66156794,0.00742662,0.36258858,0.19791457,0.08386723
-5.72986493,1.86708587,0.00091493,0.40627736,2.03197854,0.67039743,0.00778063,0.37954401,0.20600541,0.08733351
-5.72386193,1.90849343,0.00091864,0.40648874,2.04909929,0.67904009,0.00819208,0.39777389,0.21497010,0.09103695
-5.71785893,1.95136318,0.00092700,0.40628030,2.06460522,0.68767376,0.00865533,0.41721431,0.22485581,0.09495210
-5.71185593,1.99585064,0.00094014,0.40578281,2.07904015,0.69647627,0.00916483,0.43778582,0.23570398,0.09905000
-5.70585293,2.04206022,0.00095827,0.40512174,2.09291020,0.70561425,0.00971515,0.45939055,0.24754636,0.10329771
-5.69984992,2.09002424,0.00098169,0.40441076,2.10664668,0.71523294,0.01030097,0.48191040,0.26040170,0.10765815
-5.69384692,2.13968756,0.00101078,0.40374605,2.12057365,0.72544769,0.01091718,0.50520674,0.27427310,0.11209020
-5.68784392,2.19089869,0.00104598,0.40320187,2.13488202,0.73633749,0.01155892,0.52912162,0.28914625,0.11654928
-5.68184092,2.24340806,0.00108774,0.40282757,2.14961169,0.74794093,0.01222179,0.55348079,0.30498875,0.12098814
-5.67583792,2.29687366,0.00113659,0.40264607,2.16464270,0.76025470,0.01290192,0.57809815,0.32175052,0.12535813
-5.66983492,2.35087356,0.00119304,0.40265384,2.17969583,0.77323468,0.01359621,0.60278169,0.33936523,0.12961059
-5.66383192,2.40492445,0.00125764,0.40282240,2.19434264,0.78679942,0.01430247,0.62734049,0.35775274,0.13369852
-5.65782891,2.45850508,0.00133095,0.40310106,2.20802419,0.80083560,0.01501959,0.65159236,0.37682232,0.13757834
