energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.03614154,0.02559388,0.25033029,0.95513282,0.43434914,0.01102315,0.95030860,0.41485504,0.22634530
-5.99399700,2.06986953,0.02628320,0.24614001,0.95776100,0.43755412,0.01036940,0.98042082,0.43204285,0.23482532
-5.98799400,2.10832241,0.02684252,0.24208617,0.96131240,0.44242388,0.00974621,1.01338853,0.45042628,0.24368762
-5.98199100,2.15173777,0.02726377,0.23828251,0.96612940,0.44907321,0.00915475,1.04921466,0.47006000,0.25285956
-5.97598799,2.20019559,0.02754142,0.23483141,0.97250972,0.45756274,0.00859578,1.08782224,0.49096762,0.26225338
-5.96998499,2.25361272,0.02767266,0.23182182,0.98070028,0.46789610,0.00806979,1.12905306,0.51313797,0.27176816
-5.96398199,2.31174202,0.02765747,0.22932759,0.99089284,0.48001882,0.00757710,1.17266861,0.53652221,0.28129218
-5.95797899,2.37417623,0.02749859,0.22740616,1.00322119,0.49381901,0.00711802,1.21835319,0.56103214,0.29070562
-5.95197599,2.44035648,0.02720148,0.22609764,1.01775993,0.50912991,0.00669289,1.26571938,0.58653962,0.29988351
-5.94597299,2.50958514,0.02677406,0.22542438,1.03452450,0.52573409,0.00630214,1.31431541,0.61287732,0.30869877
-5.93996998,2.58104255,0.02622652,0.22539092,1.05347240,0.54336933,0.00594631,1.36363452,0.63984068,0.31702533
-5.93396698,2.65380724,0.02557093,0.22598434,1.07450529,0.56173599,0.00562603,1.41312580,0.66719113,0.32474114
-5.92796398,2.72687884,0.02482091,0.22717512,1.09747182,0.58050551,0.00534205,1.46220624,0.69466043,0.33173105
-5.92196098,2.79920306,0.02399116,0.22891833,1.12217105,0.59932999,0.00509513,1.51027370,0.72195592,0.33788946
-5.91595798,2.86969780,0.02309707,0.23115525,1.14835620,0.61785222,0.00488605,1.55672012,0.74876663,0.34312263
-5.90995498,2.93727974,0.02215421,0.23381534,1.17573881,0.63571614,0.00471553,1.60094485,0.77476985,0.34735062
-5.90395198,3.00089031,0.02117794,0.23681849,1.20399306,0.65257709,0.00458417,1.64236740,0.79963813,0.35050887
-5.89794897,3.05952053,0.02018298,0.24007760,1.23276046,0.66811164,0.00449240,1.68043935,0.82304630,0.35254928
-5.89194597,3.11223374,0.01918304,0.24350132,1.26165469,0.68202664,0.00444046,1.71465506,0.84467833,0.35344082
-5.88594297,3.15818581,0.01819052,0.24699697,1.29026699,0.69406708,0.00442833,1.74456087,0.86423391,0.35316976
-5.87993997,3.19664219,0.01721628,0.25047347,1.31817182,0.70402269,0.00445571,1.76976264,0.88143447,0.35173939
-5.87393697,3.22699161,0.01626941,0.25384435,1.34493323,0.71173285,0.00452197,1.78993144,0.89602859,0.34916941
-5.86793397,3.24875618,0.01535719,0.25703055,1.37011178,0.71708990,0.00462618,1.80480753,0.90779664,0.34549485
-5.86193097,3.26159784,0.01448502,0.25996320,1.39327217,0.72004061,0.00476706,1.81420246,0.91655467,0.34076485
-5.85592796,3.26532138,0.01365650,0.26258595,1.41399152,0.72058596,0.00494299,1.81799968,0.92215748,0.33504102
