energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-0.69934967,2.49999730,0.02260538,0.02788531,0.32085962,1.01718998,0.03078735,0.23818807,0.67960343,1.24746118
-0.69334667,2.50101983,0.02194494,0.02866598,0.32222820,1.00186952,0.02944684,0.24110691,0.68942360,1.26213205
-0.68734367,2.49736271,0.02131243,0.02941522,0.32325634,0.98457875,0.02815644,0.24299783,0.69837147,1.27459699
-0.68134067,2.48862972,0.02069696,0.03013493,0.32391041,0.96517212,0.02691808,0.24379830,0.70634243,1.28461577
-0.67533767,2.47464693,0.02008908,0.03083029,0.32418455,0.94359445,0.02573510,0.24347674,0.71328454,1.29205271
-0.66933467,2.45546737,0.01948100,0.03150991,0.32410150,0.91988632,0.02461262,0.24203371,0.71919691,1.29687546
-0.66333167,2.43136747,0.01886692,0.03218574,0.32371232,0.89418550,0.02355787,0.23950209,0.72412640,1.29915074
-0.65732866,2.40283564,0.01824308,0.03287296,0.32309504,0.86672426,0.02258038,0.23594597,0.72816267,1.29903736
-0.65132566,2.37055363,0.01760785,0.03358970,0.32235237,0.83782295,0.02169200,0.23145862,0.73143218,1.29677700
-0.64532266,2.33537171,0.01696168,0.03435658,0.32160840,0.80787998,0.02090687,0.22615937,0.73409111,1.29268324
-0.63931966,2.29827861,0.01630700,0.03519626,0.32100458,0.77735884,0.02024122,0.22018971,0.73631775,1.28712918
-0.63331666,2.26036769,0.01564801,0.03613276,0.32069497,0.74677274,0.01971300,0.21370870,0.73830457,1.28053425
-0.62731366,2.22280049,0.01499044,0.03719078,0.32084102,0.71666759,0.01934153,0.20688792,0.74025032,1.27335063
-0.62131066,2.18676923,0.01434125,0.03839491,0.32160605,0.68760398,0.01914693,0.19990616,0.74235228,1.26604964
-0.61530765,2.15345927,0.01370830,0.03976879,0.32314963,0.66013899,0.01914954,0.19294406,0.74479913,1.25910841
-0.60930465,2.12401296,0.01309995,0.04133429,0.32562193,0.63480838,0.01936923,0.18617883,0.74776443,1.25299726
-0.60330165,2.09949593,0.01252474,0.04311062,0.32915842,0.61210997,0.01982476,0.17977940,0.75140099,1.24816786
