energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,7.31258513,0.52000687,0.37107786,0.21394254,0.11070507,2.88310017,2.23549297,0.02718878,4.46905827
-5.99399700,7.24835721,0.52869349,0.36977579,0.21111143,0.11664427,2.85501697,2.20994278,0.02658832,4.41837893
-5.98799400,7.16921394,0.53573572,0.36853413,0.20770660,0.12353310,2.81694245,2.18079511,0.02594393,4.35507358
-5.98199100,7.07659362,0.54105018,0.36748504,0.20380592,0.13150212,2.76925262,2.14843140,0.02526787,4.27972699
-5.97598799,6.97209883,0.54456892,0.36674934,0.19948481,0.14068034,2.71248772,2.11330104,0.02457159,4.19307162
-5.96998499,6.85745831,0.54624153,0.36643301,0.19481395,0.15119249,2.64734456,2.07590998,0.02386542,4.09597122
-5.96398199,6.73448850,0.54603714,0.36662434,0.18985757,0.16315616,2.57466477,2.03680782,0.02315839,3.98940288
-5.95797899,6.60505518,0.54394620,0.36739206,0.18467225,0.17667867,2.49541874,1.99657364,0.02245814,3.87443781
-5.95197599,6.47103584,0.53998181,0.36878405,0.17930625,0.19185373,2.41068563,1.95580110,0.02177084,3.75222129
-5.94597299,6.33428311,0.53418067,0.37082702,0.17379959,0.20875782,2.32162955,1.91508298,0.02110118,3.62395217
-5.93996998,6.19658973,0.52660344,0.37352668,0.16818448,0.22744635,2.22947261,1.87499583,0.02045247,3.49086232
-5.93396698,6.05965523,0.51733457,0.37686856,0.16248641,0.24794960,2.13546546,1.83608487,0.01982669,3.35419635
-5.92796398,5.92505455,0.50648148,0.38081915,0.15672551,0.27026852,2.04085617,1.79884969,0.01922466,3.21519199
-5.92196098,5.79420907,0.49417317,0.38532749,0.15091823,0.29437052,1.94685856,1.76373089,0.01864620,3.07506134
-5.91595798,5.66836017,0.48055821,0.39032679,0.14507916,0.32018543,1.85462100,1.73109826,0.01809029,2.93497345
-5.90995498,5.54854587,0.46580233,0.39573620,0.13922284,0.34760167,1.76519682,1.70124048,0.01755527,2.79603835
-5.90395198,5.43558101,0.45008543,0.40146255,0.13336550,0.37646310,1.67951749,1.67435691,0.01703899,2.65929277
-5.89794897,5.33004150,0.43359836,0.40740208,0.12752650,0.40656662,1.59836967,1.65055150,0.01653901,2.52568784
-5.89194597,5.23225337,0.41653937,0.41344207,0.12172954,0.43766083,1.52237693,1.62982914,0.01605272,2.39607881
-5.88594297,5.14228710,0.39911047,0.41946239,0.11600334,0.46944607,1.45198702,1.61209464,0.01557749,2.27121692
-5.87993997,5.05995797,0.38151362,0.42533709,0.11038203,0.50157606,1.38746512,1.59715445,0.01511078,2.15174351
-5.87393697,4.98483285,0.36394715,0.43093599,0.10490489,0.53366125,1.32889343,1.58472113,0.01465021,2.03818632
-5.86793397,4.91624375,0.34660207,0.43612636,0.09961578,0.56527418,1.27617707,1.57442075,0.01419367,1.93095798
-5.86193097,4.85330826,0.32965873,0.44077474,0.09456203,0.59595673,1.22905596,1.56580293,0.01373928,1.83035653
-5.85592796,4.79495675,0.31328370,0.44474904,0.08979302,0.62522929,1.18712222,1.55835345,0.01328553,1.73656794
-5.84992496,4.73996568,0.29762689,0.44792073,0.08535846,0.65260166,1.14984234,1.55150913,0.01283120,1.64967029
-5.84392196,4.68699636,0.28281911,0.45016733,0.08130639,0.67758540,1.11658304,1.54467454,0.01237540,1.56963960
-5.83791896,4.63463785,0.26896997,0.45137509,0.07768116,0.69970720,1.08663970,1.53724010,0.01191756,1.49635685
-5.83191596,4.58145263,0.25616619,0.45144167,0.07452137,0.71852287,1.05926628,1.52860084,0.01145741,1.42961619
