energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,0.85364844,0.00077971,0.15847429,0.98249801,0.39218819,0.20671565,0.00000000
-5.99399700,0.82614299,0.00082136,0.15281936,0.92716683,0.39106897,0.19086356,0.00000000
-5.98799400,0.81085208,0.00087796,0.14937942,0.88532213,0.39547785,0.17819812,0.00000000
-5.98199100,0.80710187,0.00094951,0.14800026,0.85611666,0.40508534,0.16861039,0.00000000
-5.97598799,0.81408148,0.00103590,0.14850154,0.83855624,0.41949083,0.16196302,0.00000000
-5.96998499,0.83086587,0.00113691,0.15068112,0.83153360,0.43823000,0.15809802,0.00000000
-5.96398199,0.85643860,0.00125216,0.15431946,0.83386137,0.46078293,0.15684385,0.00000000
-5.95797899,0.88971429,0.00138116,0.15918396,0.84430341,0.48658290,0.15802177,0.00000000
-5.95197599,0.92956062,0.00152327,0.16503338,0.86160410,0.51502605,0.16145121,0.00000000
-5.94597299,0.97481999,0.00167770,0.17162232,0.88451551,0.54548184,0.16695410,0.00000000
-5.93996998,1.02433050,0.00184350,0.17870565,0.91182214,0.57730444,0.17435827,0.00000000
-5.93396698,1.07694660,0.00201959,0.18604301,0.94236324,0.60984484,0.18349977,0.00000000
-5.92796398,1.13155902,0.00220473,0.19340342,0.97505279,0.64246373,0.19422424,0.00000000
-5.92196098,1.18711397,0.00239754,0.20056967,1.00889698,0.67454480,0.20638745,0.00000000
-5.91595798,1.24263142,0.00259652,0.20734282,1.04300939,0.70550824,0.21985504,0.00000000
-5.90995498,1.29722209,0.00280001,0.21354642,1.07662368,0.73482411,0.23450170,0.00000000
-5.90395198,1.35010288,0.00300626,0.21903051,1.10910394,0.76202517,0.25020970,0.00000000
-5.89794897,1.40061034,0.00321342,0.22367523,1.13995251,0.78671870,0.26686719,0.00000000
-5.89194597,1.44821178,0.00341953,0.22739392,1.16881533,0.80859689,0.28436618,0.00000000
-5.88594297,1.49251369,0.00362260,0.23013560,1.19548459,0.82744544,0.30260043,0.00000000
-5.87993997,1.53326713,0.00382054,0.23188675,1.21989888,0.84314995,0.32146338,0.00000000
-5.87393697,1.57036984,0.00401129,0.23267222,1.24214055,0.85569973,0.34084629,0.00000000
-5.86793397,1.60386501,0.00419275,0.23255516,1.26243043,0.86518898,0.36063657,0.00000000
-5.86193097,1.63393656,0.00436287,0.23163614,1.28111989,0.87181513,0.38071661,0.00000000
-5.85592796,1.66090111,0.00451966,0.23005108,1.29868021,0.87587430,0.40096304,0.00000000
-5.84992496,1.68519684,0.00466122,0.22796836,1.31568947,0.87775404,0.42124653,0.00000000
-5.84392196,1.70736936,0.00478579,0.22558485,1.33281690,0.87792358,0.44143221,0.00000000
-5.83791896,1.72805516,0.00489176,0.22312107,1.35080499,0.87692179,0.46138064,0.00000000
-5.83191596,1.74796286,0.00497776,0.22081563,1.37044928,0.87534317,0.48094941,0.00000000
-5.82591296,1.76785283,0.00504264,0.21891885,1.39257626,0.87382241,0.49999522,0.00000000
-5.81990995,1.78851546,0.00508554,0.21768593,1.41801937,0.87301776,0.51837636,0.00000000
-5.81390695,1.81074870,0.00510593,0.21736960,1.44759350,0.87359375,0.53595553,0.00000000
-5.80790395,1.83533510,0.00510358,0.21821263,1.48206832,0.87620368,0.55260282,0.00000000
-5.80190095,1.86301898,0.00507868,0.22044019,1.52214082,0.88147216,0.56819867,0.00000000
-5.79589795,1.89448396,0.00503174,0.22425232,1.56840761,0.88997835,0.58263674,0.00000000
-5.78989495,1.93033139,0.00496368,0.22981679,1.62133775,0.90223999,0.59582639,0.00000000
-5.78389195,1.97106013,0.00487577,0.23726236,1.68124676,0.91869885,0.60769479,0.00000000
-5.77788894,2.01704808,0.00476965,0.24667288,1.74827287,0.93970776,0.61818844,0.00000000
-5.77188594,2.06853615,0.00464726,0.25808226,1.82235642,0.96551963,0.62727406,0.00000000
-5.76588294,2.12561508,0.00451084,0.27147064,1.90322368,0.99627890,0.63493881,0.00000000
-5.75987994,2.18821594,0.00436284,0.28676196,1.99037605,1.03201555,0.64118986,0.00000000
-5.75387694,2.25610458,0.00420591,0.30382298,2.08308584,1.07264209,0.64605326,0.00000000
-5.74787394,2.32888108,0.00404282,0.32246417,2.18039948,1.11795383,0.64957241,0.00000000
-5.74187094,2.40598424,0.00387637,0.34244230,2.28114908,1.16763246,0.65180597,0.00000000
-5.73586793,2.48670185,0.00370938,0.36346500,2.38397258,1.22125328,0.65282561,0.00000000
-5.72986493,2.57018671,0.00354459,0.38519714,2.48734277,1.27829591,0.65271360,0.00000000
-5.72386193,2.65547853,0.00338463,0.40726908,2.58960474,1.33815842,0.65156044,0.00000000
-5.71785893,2.74153120,0.00323194,0.42928646,2.68902105,1.40017469,0.64946274,0.00000000
-5.71185593,2.82724497,0.00308877,0.45084137,2.78382328,1.46363440,0.64652135,0.00000000
-5.70585293,2.91150254,0.00295716,0.47152459,2.87226827,1.52780524,0.64284000,0.00000000
-5.69984992,2.99320775,0.00283889,0.49093835,2.95269705,1.59195641,0.63852434,0.00000000
-5.69384692,3.07132545,0.00273549,0.50870921,3.02359389,1.65538270,0.63368151,0.00000000
-5.68784392,3.14492082,0.00264828,0.52450061,3.08364298,1.71742796,0.62842018,0.00000000
-5.68184092,3.21319622,0.00257839,0.53802434,3.13178011,1.77750713,0.62285093,0.00000000
-5.67583792,3.27552393,0.00252675,0.54905069,3.16723675,1.83512561,0.61708692,0.00000000
-5.66983492,3.33147269,0.00249419,0.55741654,3.18957428,1.88989511,0.61124470,0.00000000
-5.66383192,3.38082687,0.00248145,0.56303116,3.19870639,1.94154506,0.60544498,0.00000000
-5.65782891,3.42359665,0.00248928,0.56587933,3.19490836,1.98992888,0.59981310,0.00000000
-5.65182591,3.46001857,0.00251841,0.56602160,3.17881233,2.03502474,0.59447928,0.00000000
-5.64582291,3.49054588,0.00256967,0.56359165,3.15138849,2.07693051,0.58957815,0.00000000
-5.63981991,3.51582899,0.00264399,0.55879081,3.11391270,2.11585301,0.58524778,0.00000000
-5.63381691,3.53668634,0.00274246,0.55187996,3.06792174,2.15209212,0.58162788,0.00000000
-5.62781391,3.55406712,0.00286630,0.54316916,3.01515814,2.18602016,0.57885722,0.00000000
-5.62181091,3.56900708,0.00301688,0.53300546,2.95750666,2.21805766,0.57707026,0.00000000
-5.61580790,3.58257970,0.00319571,0.52175947,2.89692537,2.24864666,0.57639315,0.00000000
-5.60980490,3.59584465,0.00340436,0.50981116,2.83537407,2.27822273,0.57693904,0.00000000
-5.60380190,3.60979611,0.00364442,0.49753574,2.77474322,2.30718723,0.57880305,0.00000000
-5.59779890,3.62531338,0.00391741,0.48529000,2.71678627,2.33588107,0.58205702,0.00000000
-5.59179590,3.64311592,0.00422468,0.47339982,2.66305813,2.36456142,0.58674430,0.00000000
-5.58579290,3.66372524,0.00456726,0.46214934,2.61486231,2.39338250,0.59287488,0.00000000
