energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,3.00863990,2.41620042,0.58677145,0.82072810,0.00407126,0.23698710,0.80158660
-5.99399700,3.12575640,2.50923523,0.60924641,0.85381904,0.00423742,0.24675558,0.83222243
-5.98799400,3.22634680,2.58803801,0.62855627,0.88218080,0.00438492,0.25551282,0.85836695
-5.98199100,3.30900162,2.65124972,0.64445439,0.90532992,0.00451261,0.26320799,0.87963778
-5.97598799,3.37274581,2.69784929,0.65678002,0.92289735,0.00461999,0.26982704,0.89576672
-5.96998499,3.41708157,2.72719379,0.66546558,0.93464368,0.00470726,0.27539463,0.90661063
-5.96398199,3.44201375,2.73904541,0.67054041,0.94047016,0.00477528,0.27997436,0.91215766
-5.95797899,3.44805611,2.73358386,0.67213068,0.94042477,0.00482563,0.28366726,0.91252837
-5.95197599,3.43621767,2.71140331,0.67045537,0.93470303,0.00486052,0.28660855,0.90797151
-5.94597299,3.40796941,2.67349389,0.66581835,0.92364354,0.00488275,0.28896267,0.89885479
-5.93996998,3.36519259,2.62120836,0.65859701,0.90771823,0.00489562,0.29091679,0.88565059
-5.93396698,3.31011079,2.55621551,0.64922771,0.88751792,0.00490276,0.29267310,0.86891773
-5.92796398,3.24520874,2.48044230,0.63818890,0.86373360,0.00490808,0.29444003,0.84927961
-5.92196098,3.17314154,2.39600743,0.62598255,0.83713437,0.00491555,0.29642298,0.82740021
-5.91595798,3.09663851,2.30514916,0.61311477,0.80854299,0.00492910,0.29881489,0.80395863
-5.90995498,3.01840576,2.21015082,0.60007664,0.77881000,0.00495244,0.30178702,0.77962378
-5.90395198,2.94103209,2.11326699,0.58732589,0.74878751,0.00498893,0.30548058,0.75502996
-5.89794897,2.86690203,2.01665349,0.57527051,0.71930364,0.00504145,0.30999934,0.73075476
-5.89194597,2.79811967,1.92230404,0.56425479,0.69113866,0.00511232,0.31540381,0.70730008
-5.88594297,2.73644632,1.83199566,0.55454855,0.66500347,0.00520318,0.32170723,0.68507704
-5.87993997,2.68325397,1.74724485,0.54633984,0.64152128,0.00531493,0.32887340,0.66439542
-5.87393697,2.63949595,1.66927561,0.53973133,0.62121280,0.00544775,0.33681675,0.64545791
-5.86793397,2.60569521,1.59899983,0.53474054,0.60448532,0.00560106,0.34540441,0.62835918
-5.86193097,2.58194966,1.53701013,0.53130354,0.59162581,0.00577357,0.35446031,0.61308975
-5.85592796,2.56795336,1.48358449,0.52928202,0.58279794,0.00596330,0.36377111,0.59954410
-5.84992496,2.56303164,1.43870163,0.52847306,0.57804281,0.00616772,0.37309370,0.58753252
-5.84392196,2.56618768,1.40206563,0.52862113,0.57728316,0.00638374,0.38216385,0.57679600
-5.83791896,2.57615774,1.37313815,0.52943153,0.58033056,0.00660793,0.39070576,0.56702317
-5.83191596,2.59147201,1.35117628,0.53058470,0.58689510,0.00683651,0.39844199,0.55786854
-5.82591296,2.61051822,1.33527407,0.53175058,0.59659730,0.00706554,0.40510330,0.54897101
-5.81990995,2.63160494,1.32440583,0.53260248,0.60898141,0.00729101,0.41043821,0.53997188
-5.81390695,2.65302229,1.31746947,0.53282970,0.62352999,0.00750888,0.41422156,0.53053149
-5.80790395,2.67309769,1.31332818,0.53214860,0.63967904,0.00771526,0.41626206,0.52034383
-5.80190095,2.69024514,1.31084923,0.53031166,0.65683351,0.00790641,0.41640833,0.50914865
-5.79589795,2.70300675,1.30893876,0.52711424,0.67438264,0.00807884,0.41455338,0.49674065
-5.78989495,2.71008595,1.30657183,0.52239917,0.69171503,0.00822934,0.41063734,0.48297553
-5.78389195,2.71037217,1.30281722,0.51605885,0.70823300,0.00835506,0.40464848,0.46777299
-5.77788894,2.70295721,1.29685679,0.50803536,0.72336609,0.00845348,0.39662242,0.45111659
-5.77188594,2.68714403,1.28799944,0.49831856,0.73658353,0.00852249,0.38663986,0.43305095
-5.76588294,2.66244862,1.27568988,0.48694263,0.74740538,0.00856036,0.37482285,0.41367650
-5.75987994,2.62859612,1.25951253,0.47398131,0.75541233,0.00856577,0.36132987,0.39314230
-5.75387694,2.58551227,1.23919117,0.45954235,0.76025384,0.00853785,0.34635001,0.37163744
-5.74787394,2.53331115,1.21458477,0.44376137,0.76165465,0.00847613,0.33009648,0.34938146
-5.74187094,2.47228039,1.18568029,0.42679562,0.75941941,0.00838058,0.31279982,0.32661446
-5.73586793,2.40286453,1.15258283,0.40881788,0.75343547,0.00825164,0.29470095,0.30358724
-5.72986493,2.32564750,1.11550393,0.39001075,0.74367369,0.00809015,0.27604453,0.28055194
-5.72386193,2.24133447,1.07474850,0.37056152,0.73018725,0.00789746,0.25707256,0.25775365
-5.71785893,2.15073380,1.03070084,0.35065772,0.71310865,0.00767531,0.23801877,0.23542309
-5.71185593,2.05473910,0.98381033,0.33048351,0.69264478,0.00742591,0.21910357,0.21377070
-5.70585293,1.95431168,0.93457708,0.31021672,0.66907034,0.00715189,0.20053002,0.19298220
-5.69984992,1.85046343,0.88353793,0.29002676,0.64271988,0.00685626,0.18248062,0.17321557
-5.69384692,1.74424026,0.83125312,0.27007301,0.61397847,0.00654242,0.16511503,0.15459964
-5.68784392,1.63670598,0.77829378,0.25050397,0.58327160,0.00621405,0.14856878,0.13723381
-5.68184092,1.52892691,0.72523061,0.23145673,0.55105443,0.00587512,0.13295278,0.12118918
-5.67583792,1.42195707,0.67262370,0.21305679,0.51780076,0.00552980,0.11835361,0.10651049
-5.66983492,1.31682429,0.62101378,0.19541829,0.48399221,0.00518237,0.10483453,0.09321898
-5.66383192,1.21451726,0.57091487,0.17864420,0.45010772,0.00483719,0.09243706,0.08131575
-5.65782891,1.11597375,0.52280838,0.16282677,0.41661388,0.00449856,0.08118294,0.07078553
-5.65182591,1.02207012,0.47713868,0.14804796,0.38395618,0.00417073,0.07107646,0.06160050
-5.64582291,0.93361244,0.43431009,0.13437986,0.35255145,0.00385773,0.06210697,0.05372420
-5.63981991,0.85132898,0.39468506,0.12188514,0.32278164,0.00356335,0.05425142,0.04711511
-5.63381691,0.77586450,0.35858355,0.11061741,0.29498891,0.00329108,0.04747687,0.04172994
-5.62781391,0.70777602,0.32628331,0.10062148,0.26947216,0.00304402,0.04174293,0.03752646
-5.62181091,0.64753007,0.29802088,0.09193365,0.24648471,0.00282485,0.03700383,0.03446577
-5.61580790,0.59550123,0.27399307,0.08458181,0.22623330,0.00263580,0.03321040,0.03251392
-5.60980490,0.55197178,0.25435861,0.07858547,0.20887802,0.00247859,0.03031152,0.03164297
-5.60380190,0.51713209,0.23923978,0.07395570,0.19453303,0.00235441,0.02825543,0.03183132
-5.59779890,0.49108155,0.22872381,0.07069494,0.18326802,0.00226396,0.02699052,0.03306340
-5.59179590,0.47382986,0.22286384,0.06879665,0.17511000,0.00220736,0.02646584,0.03532884
-5.58579290,0.46529838,0.22167928,0.06824488,0.17004553,0.00218423,0.02663131,0.03862098
-5.57978989,0.46532149,0.22515566,0.06901378,0.16802297,0.00219364,0.02743762,0.04293496
-5.57378689,0.47364804,0.23324387,0.07106691,0.16895498,0.00223418,0.02883591,0.04826551
-5.56778389,0.48994287,0.24585903,0.07435668,0.17272098,0.00230392,0.03077732,0.05460433
-5.56178089,0.51378865,0.26287906,0.07882371,0.17916977,0.00240053,0.03321239,0.06193756
-5.55577789,0.54468844,0.28414342,0.08439635,0.18812225,0.00252122,0.03609047,0.07024309
-5.54977489,0.58206924,0.30945218,0.09099036,0.19937444,0.00266286,0.03935922,0.07948822
-5.54377189,0.62528701,0.33856594,0.09850888,0.21270079,0.00282201,0.04296410,0.08962757
-5.53776888,0.67363351,0.37120688,0.10684276,0.22785798,0.00299498,0.04684818,0.10060154
-5.53176588,0.72634546,0.40706131,0.11587131,0.24458928,0.00317790,0.05095206,0.11233540
-5.52576288,0.78261609,0.44578404,0.12546356,0.26262956,0.00336683,0.05521410,0.12473916
-5.51975988,0.84160938,0.48700470,0.13548002,0.28171089,0.00355779,0.05957089,0.13770825
-5.51375688,0.90247674,0.53033607,0.14577509,0.30156878,0.00374692,0.06395801,0.15112506
-5.50775388,0.96437606,0.57538435,0.15619981,0.32194890,0.00393052,0.06831105,0.16486143
-5.50175088,1.02649244,0.62176092,0.16660523,0.34261407,0.00410515,0.07256684,0.17878186
-5.49574787,1.08805991,0.66909538,0.17684601,0.36335127,0.00426776,0.07666482,0.19274745
-5.48974487,1.14838340,0.71704901,0.18678427,0.38397838,0.00441571,0.08054860,0.20662034
-5.48374187,1.20685954,0.76532792,0.19629348,0.40435024,0.00454690,0.08416739,0.22026844
-5.47773887,1.26299546,0.81369517,0.20526219,0.42436359,0.00465979,0.08747754,0.23357023
-5.47173587,1.31642406,0.86198062,0.21359732,0.44396055,0.00475345,0.09044375,0.24641922
-5.46573287,1.36691489,0.91008799,0.22122705,0.46313031,0.00482755,0.09304022,0.25872799
-5.45972986,1.41437930,0.95799787,0.22810273,0.48190853,0.00488243,0.09525131,0.27043129
-5.45372686,1.45886932,1.00576642,0.23420010,0.50037442,0.00491897,0.09707198,0.28148818
-5.44772386,1.50056966,1.05351894,0.23951927,0.51864535,0.00493863,0.09850770,0.29188283
-5.44172086,1.53978269,1.10143846,0.24408378,0.53686889,0.00494330,0.09957398,0.30162398
-5.43571786,1.57690671,1.14974924,0.24793842,0.55521267,0.00493527,0.10029541,0.31074294
-5.42971486,1.61240831,1.19869593,0.25114611,0.57385222,0.00491708,0.10070439,0.31929028
-5.42371186,1.64678975,1.24851909,0.25378381,0.59295744,0.00489142,0.10083939,0.32733118
-5.41770885,1.68055312,1.29942828,0.25593773,0.61267814,0.00486098,0.10074303,0.33493988
-5.41170585,1.71416299,1.35157435,0.25769811,0.63312964,0.00482837,0.10045993,0.34219341
-5.40570285,1.74800953,1.40502235,0.25915373,0.65437896,0.00479593,0.10003450,0.34916505
-5.39969985,1.78237447,1.45972702,0.26038663,0.67643263,0.00476569,0.09950883,0.35591783
-5.39369685,1.81740182,1.51551259,0.26146720,0.69922681,0.00473923,0.09892069,0.36249875
-5.38769385,1.85307532,1.57205838,0.26245000,0.72262055,0.00471765,0.09830184,0.36893380
-5.38169085,1.88920442,1.62889183,0.26337063,0.74639261,0.00470149,0.09767672,0.37522446
-5.37568784,1.92541987,1.68538975,0.26424372,0.77024241,0.00469073,0.09706159,0.38134578
-5.36968484,1.96117959,1.74078848,0.26506227,0.79379530,0.00468480,0.09646418,0.38724640
-5.36368184,1.99578514,1.79420301,0.26579846,0.81661194,0.00468262,0.09588385,0.39285040
-5.35767884,2.02840800,1.84465460,0.26640572,0.83820179,0.00468268,0.09531226,0.39806121
-5.35167584,2.05812484,1.89110574,0.26682215,0.85803993,0.00468311,0.09473458,0.40276711
-5.34567284,2.08395982,1.93250112,0.26697494,0.87558664,0.00468179,0.09413098,0.40684833
-5.33966983,2.10493200,1.96781246,0.26678568,0.89030877,0.00467650,0.09347854,0.41018513
-5.33366683,2.12010516,1.99608504,0.26617608,0.90170178,0.00466499,0.09275332,0.41266653
-5.32766383,2.12863752,2.01648341,0.26507393,0.90931154,0.00464517,0.09193245,0.41419908
-5.32166083,2.12982840,2.02833374,0.26341877,0.91275446,0.00461516,0.09099621,0.41471511
-5.31565783,2.12315937,2.03116058,0.26116710,0.91173528,0.00457347,0.08992994,0.41418003
-5.30965483,2.10832739,2.02471566,0.25829659,0.90606119,0.00451902,0.08872556,0.41259803
-5.30365183,2.08526815,2.00899716,0.25480925,0.89565192,0.00445124,0.08738277,0.41001583
-5.29764882,2.05416813,1.98425825,0.25073320,0.88054499,0.00437008,0.08590974,0.40652425
-5.29164582,2.01546466,1.95100415,0.24612293,0.86089601,0.00427606,0.08432326,0.40225723
-5.28564282,1.96983389,1.90997768,0.24105818,0.83697408,0.00417021,0.08264841,0.39738844
-5.27963982,1.91816728,1.86213411,0.23564115,0.80915241,0.00405403,0.08091763,0.39212547
-5.27363682,1.86153772,1.80860618,0.22999260,0.77789486,0.00392946,0.07916939,0.38670183
-5.26763382,1.80115706,1.75066131,0.22424665,0.74373896,0.00379875,0.07744642,0.38136717
-5.26163082,1.73832732,1.68965287,0.21854481,0.70727648,0.00366436,0.07579360,0.37637623
-5.25562781,1.67438793,1.62696805,0.21302952,0.66913236,0.00352887,0.07425574,0.37197688
-5.24962481,1.61066178,1.56397478,0.20783735,0.62994310,0.00339484,0.07287520,0.36839815
-5.24362181,1.54840264,1.50197037,0.20309252,0.59033566,0.00326473,0.07168964,0.36583858
-5.23761881,1.48874656,1.44213410,0.19890083,0.55090780,0.00314075,0.07072987,0.36445571
-5.23161581,1.43266952,1.38548611,0.19534444,0.51221054,0.00302480,0.07001803,0.36435718
-5.22561281,1.38095317,1.33285421,0.19247769,0.47473366,0.00291840,0.06956616,0.36559394
-5.21960980,1.33416012,1.28485007,0.19032429,0.43889441,0.00282259,0.06937526,0.36815594
-5.21360680,1.29261969,1.24185554,0.18887583,0.40502996,0.00273796,0.06943474,0.37197060
-5.20760380,1.25642449,1.20401949,0.18809188,0.37339354,0.00266458,0.06972259,0.37690417
-5.20160080,1.22543762,1.17126486,0.18790155,0.34415415,0.00260206,0.07020591,0.38276590
