energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.95942908,0.01418834,0.15349573,0.84248007,0.78651138,0.00580341,0.83564574,0.74914975,0.25175244
-5.99399700,1.94881556,0.01382704,0.15127508,0.83580388,0.78198237,0.00565711,0.82887392,0.74871200,0.25120420
-5.98799400,1.94225339,0.01341806,0.14956070,0.83124069,0.77962366,0.00552901,0.82335257,0.74970091,0.25074498
-5.98199100,1.93937477,0.01296816,0.14833050,0.82878063,0.77917445,0.00541806,0.81899783,0.75206586,0.25035573
-5.97598799,1.93973481,0.01248471,0.14755378,0.82834183,0.78036269,0.00532269,0.81568660,0.75569814,0.25000931
-5.96998499,1.94281208,0.01197542,0.14719052,0.82976906,0.78290711,0.00524087,0.81325634,0.76043018,0.24966991
-5.96398199,1.94801243,0.01144805,0.14719093,0.83283462,0.78651984,0.00517020,0.81150622,0.76603681,0.24929298
-5.95797899,1.95467620,0.01091014,0.14749553,0.83724186,0.79090980,0.00510796,0.81019996,0.77223899,0.24882564
-5.95197599,1.96208923,0.01036876,0.14803567,0.84263128,0.79578678,0.00505127,0.80907022,0.77870972,0.24820752
-5.94597299,1.96949731,0.00983030,0.14873454,0.84858929,0.80086618,0.00499715,0.80782480,0.78508242,0.24737225
-5.93996998,1.97612394,0.00930032,0.14950868,0.85465942,0.80587423,0.00494261,0.80615425,0.79096126,0.24624936
-5.93396698,1.98119067,0.00878344,0.15026991,0.86035567,0.81055356,0.00488480,0.80374098,0.79593332,0.24476661
-5.92796398,1.98393915,0.00828328,0.15092759,0.86517750,0.81466867,0.00482105,0.80026931,0.79958205,0.24285263
-5.92196098,1.98365404,0.00780245,0.15139125,0.86862606,0.81801111,0.00474898,0.79543606,0.80150144,0.24043980
-5.91595798,1.97968541,0.00734260,0.15157325,0.87022080,0.82040399,0.00466656,0.78896142,0.80131034,0.23746715
-5.90995498,1.97146981,0.00690453,0.15139160,0.86951598,0.82170549,0.00457218,0.78059931,0.79866635,0.23388312
-5.90395198,1.95854861,0.00648824,0.15077261,0.86611614,0.82181113,0.00446469,0.77014690,0.79327844,0.22964815
