energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.14423250,0.01253992,0.01660028,0.90927460,0.51295369,0.02451084,1.40478883,0.68469824,0.14605312
-5.99399700,2.06101650,0.01151713,0.01592079,0.87354334,0.48917680,0.02406476,1.35220905,0.65986369,0.14094157
-5.98799400,1.98182958,0.01056475,0.01534266,0.83923727,0.46570341,0.02374124,1.30218066,0.63576104,0.13618634
-5.98199100,1.90777333,0.00968480,0.01486919,0.80682642,0.44283452,0.02354975,1.25542895,0.61274150,0.13186619
-5.97598799,1.83977405,0.00887770,0.01450163,0.77670921,0.42084387,0.02349605,1.21256385,0.59111008,0.12804626
-5.96998499,1.77855673,0.00814236,0.01423905,0.74920233,0.39997074,0.02358195,1.17406276,0.57111621,0.12477613
-5.96398199,1.72462571,0.00747644,0.01407830,0.72453332,0.38041390,0.02380519,1.14025783,0.55294669,0.12208832
-5.95797899,1.67825271,0.00687647,0.01401395,0.70283623,0.36232714,0.02415939,1.11132797,0.53672103,0.11999737
-5.95197599,1.63947249,0.00633813,0.01403842,0.68415027,0.34581630,0.02463414,1.08729605,0.52248939,0.11849939
-5.94597299,1.60808626,0.00585641,0.01414213,0.66842153,0.33093805,0.02521526,1.06803111,0.51023305,0.11757228
-5.93996998,1.58367275,0.00542586,0.01431368,0.65550775,0.31770025,0.02588508,1.05325570,0.49986741,0.11717650
-5.93396698,1.56560634,0.00504081,0.01454014,0.64518573,0.30606401,0.02662294,1.04255787,0.49124726,0.11725634
-5.92796398,1.55308178,0.00469551,0.01480739,0.63716121,0.29594727,0.02740568,1.03540745,0.48417403,0.11774178
-5.92196098,1.54514433,0.00438438,0.01510046,0.63108083,0.28722959,0.02820830,1.03117604,0.47840476,0.11855074
-5.91595798,1.54072445,0.00410208,0.01540394,0.62654573,0.27975823,0.02900468,1.02915988,0.47366241,0.11959183
-5.90995498,1.53867562,0.00384368,0.01570240,0.62312618,0.27335500,0.02976827,1.02860487,0.46964689,0.12076721
-5.90395198,1.53781403,0.00360478,0.01598079,0.62037694,0.26782369,0.03047291,1.02873277,0.46604669,0.12197585
-5.89794897,1.53695862,0.00338149,0.01622485,0.61785263,0.26295786,0.03109358,1.02876775,0.46255037,0.12311673
-5.89194597,1.53497018,0.00317056,0.01642149,0.61512269,0.25854858,0.03160711,1.02796212,0.45885769,0.12409209
-5.88594297,1.53078801,0.00296935,0.01655913,0.61178535,0.25439193,0.03199287,1.02562071,0.45468986,0.12481048
-5.87993997,1.52346301,0.00277581,0.01662801,0.60748032,0.25029589,0.03223336,1.02112271,0.44979869,0.12518965
-5.87393697,1.51218607,0.00258846,0.01662036,0.60189959,0.24608653,0.03231471,1.01394043,0.44397423,0.12515900
-5.86793397,1.49631078,0.00240635,0.01653064,0.59479618,0.24161316,0.03222703,1.00365443,0.43705084,0.12466164
-5.86193097,1.47536991,0.00222898,0.01635557,0.58599059,0.23675243,0.03196466,0.98996441,0.42891130,0.12365596
-5.85592796,1.44908517,0.00205622,0.01609418,0.57537465,0.23141115,0.03152625,0.97269566,0.41948925,0.12211661
-5.84992496,1.41737010,0.00188827,0.01574774,0.56291287,0.22552788,0.03091474,0.95180103,0.40876953,0.12003493
-5.84392196,1.38032621,0.00172552,0.01531964,0.54864120,0.21907326,0.03013713,0.92735833,0.39678682,0.11741878
-5.83791896,1.33823272,0.00156853,0.01481518,0.53266343,0.21204911,0.02920420,0.89956350,0.38362260,0.11429181
-5.83191596,1.29153050,0.00141795,0.01424137,0.51514522,0.20448641,0.02813008,0.86871990,0.36940048,0.11069220
-5.82591296,1.24080099,0.00127443,0.01360661,0.49630631,0.19644238,0.02693170,0.83522422,0.35428038,0.10667094
-5.81990995,1.18674108,0.00113858,0.01292040,0.47641094,0.18799658,0.02562822,0.79954968,0.33845157,0.10228974
