energy_ev,total_up,Bi_p_up,Bi_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.80591264,0.36509770,0.00744879,2.28195412,1.50827895,0.00107823,2.79628862
-5.99399700,3.72105534,0.35370249,0.00740876,2.23682524,1.47217356,0.00105980,2.73768119
-5.98799400,3.62448506,0.34185895,0.00734653,2.18521763,1.43031646,0.00104201,2.66943788
-5.98199100,3.51778866,0.32977182,0.00726196,2.12794504,1.38346371,0.00102592,2.59270695
-5.97598799,3.40280177,0.31766000,0.00715556,2.06595947,1.33247214,0.00101271,2.50883001
-5.96998499,3.28155307,0.30574876,0.00702845,2.00032225,1.27827493,0.00100363,2.41930298
-5.96398199,3.15620379,0.29426214,0.00688237,1.93217330,1.22185539,0.00099997,2.32573292
-5.95797899,3.02898482,0.28341578,0.00671958,1.86269964,1.16421987,0.00100302,2.22979247
-5.95197599,2.90213357,0.27341031,0.00654285,1.79310430,1.10637081,0.00101399,2.13317349
-5.94597299,2.77783281,0.26442562,0.00635535,1.72457661,1.04928071,0.00103402,2.03754157
-5.93996998,2.65815341,0.25661586,0.00616062,1.65826471,0.99386803,0.00106409,1.94449302
-5.93396698,2.54500271,0.25010543,0.00596248,1.59525093,0.94097563,0.00110498,1.85551564
-5.92796398,2.44007995,0.24498586,0.00576494,1.53653061,0.89135248,0.00115723,1.77195461
-5.92196098,2.34483998,0.24131366,0.00557214,1.48299455,0.84563898,0.00122114,1.69498430
-5.91595798,2.26046595,0.23910899,0.00538826,1.43541554,0.80435645,0.00129667,1.62558683
-5.90995498,2.18785153,0.23835536,0.00521742,1.39443882,0.76790078,0.00138346,1.56453775
-5.90395198,2.12759280,0.23900003,0.00506363,1.36057649,0.73654045,0.00148083,1.51239907
-5.89794897,2.07998969,0.24095536,0.00493069,1.33420576,0.71041866,0.00158772,1.46951946
-5.89194597,2.04505649,0.24410090,0.00482212,1.31557083,0.68955962,0.00170276,1.43604133
-5.88594297,2.02254088,0.24828632,0.00474107,1.30478808,0.67387828,0.00182423,1.41191427
-5.87993997,2.01195035,0.25333502,0.00469027,1.30185426,0.66319351,0.00195016,1.39691404
-5.87393697,2.01258518,0.25904852,0.00467195,1.30665741,0.65724378,0.00207830,1.39066626
-5.86793397,2.02357645,0.26521143,0.00468777,1.31898994,0.65570502,0.00220622,1.39267372
-5.86193097,2.04392784,0.27159705,0.00473879,1.33856367,0.65820985,0.00233138,1.40234628
-5.85592796,2.07255968,0.27797335,0.00482543,1.36502613,0.66436751,0.00245117,1.41903211
-5.84992496,2.10835374,0.28410931,0.00494743,1.39797789,0.67378382,0.00256303,1.44204919
-5.84392196,2.15019722,0.28978138,0.00510384,1.43699017,0.68608032,0.00266447,1.47071586
-5.83791896,2.19702439,0.29477987,0.00529303,1.48162239,0.70091198,0.00275323,1.50437937
-5.83191596,2.24785458,0.29891515,0.00551272,1.53143899,0.71798288,0.00282727,1.54244143
