energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.72491837,0.00460142,1.10130418,1.57840100,1.56271010,0.07515756,0.60984715
-5.99399700,3.88985714,0.00443132,1.13967117,1.65292457,1.61724710,0.07755091,0.65238903
-5.98799400,4.06463080,0.00428310,1.17873025,1.73048194,1.67472911,0.07985664,0.70026431
-5.98199100,4.24859899,0.00415750,1.21816411,1.81063927,1.73491679,0.08204671,0.75358274
-5.97598799,4.44105081,0.00405477,1.25764804,1.89292043,1.79754456,0.08409657,0.81241467
-5.96998499,4.64122175,0.00397465,1.29685964,1.97681559,1.86232841,0.08598629,0.87678560
-5.96398199,4.84830571,0.00391639,1.33548771,2.06178865,1.92897230,0.08770169,0.94666925
-5.95797899,5.06146094,0.00387879,1.37323974,2.14728320,1.99717257,0.08923514,1.02197918
-5.95197599,5.27980932,0.00386019,1.40984774,2.23272665,2.06662011,0.09058606,1.10255928
-5.94597299,5.50242928,0.00385857,1.44507204,2.31753253,2.13700025,0.09176115,1.18817370
-5.93996998,5.72834271,0.00387157,1.47870308,2.40110119,2.20799032,0.09277418,1.27849663
-5.93396698,5.95649755,0.00389658,1.51056126,2.48281923,2.27925547,0.09364544,1.37310281
-5.92796398,6.18574763,0.00393078,1.54049500,2.56205822,2.35044311,0.09440084,1.47145943
-5.92196098,6.41483208,0.00397126,1.56837737,2.63817342,2.42117672,0.09507075,1.57292036
-5.91595798,6.64235686,0.00401508,1.59410188,2.71050327,2.49104999,0.09568846,1.67672325
-5.90995498,6.86678075,0.00405934,1.61757779,2.77837036,2.55962192,0.09628856,1.78199049
-5.90395198,7.08640820,0.00410126,1.63872546,2.84108453,2.62641385,0.09690520,1.88773429
-5.89794897,7.29939098,0.00413829,1.65747234,2.89794867,2.69090907,0.09757030,1.99286646
-5.89194597,7.50374005,0.00416809,1.67374997,2.94826747,2.75255552,0.09831181,2.09621282
-5.88594297,7.69734841,0.00418868,1.68749224,2.99135920,2.81077193,0.09915221,2.19653225
-5.87993997,7.87802488,0.00419841,1.69863520,3.02657033,2.86495744,0.10010717,2.29254000
-5.87393697,8.04353813,0.00419603,1.70711840,3.05329250,2.91450455,0.10118448,2.38293441
-5.86793397,8.19166949,0.00418067,1.71288782,3.07098119,2.95881495,0.10238338,2.46642652
-5.86193097,8.32027242,0.00415185,1.71590000,3.07917513,2.99731765,0.10369420,2.54177112
-5.85592796,8.42733605,0.00410948,1.71612728,3.07751548,3.02948848,0.10509843,2.60779843
-5.84992496,8.51104994,0.00405382,1.71356369,3.06576373,3.05487024,0.10656906,2.66344484
-5.84392196,8.56986706,0.00398542,1.70823117,3.04381727,3.07309243,0.10807138,2.70778169
-5.83791896,8.60256195,0.00390510,1.70018556,3.01172164,3.08388955,0.10956402,2.74004087
-5.83191596,8.60828145,0.00381389,1.68952223,2.96967871,3.08711723,0.11100026,2.75963608
-5.82591296,8.58658560,0.00371297,1.67638072,2.91805020,3.08276534,0.11232953,2.76617909
-5.81990995,8.53747687,0.00360361,1.66094830,2.85735623,3.07096737,0.11349914,2.75949034
-5.81390695,8.46141641,0.00348711,1.64346199,2.78826879,3.05200564,0.11445595,2.73960349
-5.80790395,8.35932665,0.00336478,1.62420898,2.71160027,3.02631200,0.11514820,2.70676390
-5.80190095,8.23258004,0.00323785,1.60352525,2.62828757,2.99446374,0.11552717,2.66142127
-5.79589795,8.08297438,0.00310750,1.58179218,2.53937222,2.95717479,0.11554884,2.60421682
-5.78989495,7.91269546,0.00297477,1.55943127,2.44597745,2.91528216,0.11517533,2.53596564
-5.78389195,7.72426831,0.00284063,1.53689674,2.34928282,2.86972792,0.11437615,2.45763516
-5.77788894,7.52049862,0.00270589,1.51466615,2.25049760,2.82153696,0.11312925,2.37032044
-5.77188594,7.30440597,0.00257126,1.49322911,2.15083355,2.77179106,0.11142173,2.27521750
-5.76588294,7.07915101,0.00243737,1.47307422,2.05147814,2.72159982,0.10925032,2.17359542
-5.75987994,6.84795852,0.00230476,1.45467447,1.95356895,2.67206904,0.10662157,2.06676848
-5.75387694,6.61403872,0.00217390,1.43847147,1.85817012,2.62426762,0.10355165,1.95606896
-5.74787394,6.38050901,0.00204526,1.42485892,1.76625137,2.57919365,0.10006597,1.84282152
-5.74187094,6.15031867,0.00191930,1.41416599,1.67867017,2.53774119,0.09619845,1.72831990
-5.73586793,5.92617868,0.00179650,1.40664113,1.59615777,2.50066863,0.09199059,1.61380630
-5.72986493,5.71049938,0.00167740,1.40243725,1.51930908,2.46857026,0.08749027,1.50045415
-5.72386193,5.50533786,0.00156260,1.40159903,1.44857705,2.44185224,0.08275050,1.38935419
-5.71785893,5.31235766,0.00145279,1.40405312,1.38427153,2.42071438,0.07782792,1.28150437
-5.71185593,5.13280228,0.00134878,1.40960226,1.32656277,2.40513909,0.07278135,1.17780339
-5.70585293,4.96748423,0.00125149,1.41792381,1.27548958,2.39488837,0.06767029,1.07904785
-5.69984992,4.81679046,0.00116196,1.42857339,1.23097184,2.38950973,0.06255346,0.98593287
-5.69384692,4.68070467,0.00108138,1.44099396,1.19282724,2.38835145,0.05748748,0.89905583
-5.68784392,4.55884592,0.00101109,1.45453034,1.16079171,2.39058708,0.05252565,0.81892293
-5.68184092,4.45052269,0.00095257,1.46844905,1.13454283,2.39524874,0.04771694,0.74595805
-5.67583792,4.35480017,0.00090747,1.48196292,1.11372562,2.40126814,0.04310520,0.68051334
-5.66983492,4.27057818,0.00087760,1.49425956,1.09797965,2.40752388,0.03872854,0.62288104
-5.66383192,4.19667638,0.00086494,1.50453263,1.08696633,2.41289303,0.03461903,0.57330575
-5.65782891,4.13192259,0.00087163,1.51201464,1.08039541,2.41630483,0.03080250,0.53199657
-5.65182591,4.07524010,0.00089997,1.51600965,1.07804930,2.41679382,0.02729871,0.49913826
-5.64582291,4.02572935,0.00095241,1.51592443,1.07980405,2.41355009,0.02412154,0.47490091
-5.63981991,3.98273976,0.00103153,1.51129654,1.08564590,2.40596388,0.02127946,0.45944727
-5.63381691,3.94592759,0.00114000,1.50181795,1.09568239,2.39366234,0.01877606,0.45293729
-5.62781391,3.91529675,0.00128057,1.48735294,1.11014719,2.37653664,0.01661067,0.45552950
-5.62181091,3.89121982,0.00145597,1.46794963,1.12939826,2.35475782,0.01477906,0.46737860
-5.61580790,3.87443811,0.00166887,1.44384431,1.15390903,2.32878068,0.01327409,0.48862953
-5.60980490,3.86604026,0.00192181,1.41545877,1.18425284,2.29933552,0.01208637,0.51940775
-5.60380190,3.86742048,0.00221707,1.38339057,1.22108111,2.26740812,0.01120488,0.55980618
-5.59779890,3.88021838,0.00255661,1.34839712,1.26509615,2.23420912,0.01061751,0.60986924
-5.59179590,3.90624350,0.00294190,1.31137430,1.31701977,2.20113450,0.01031146,0.66957476
-5.58579290,3.94738855,0.00337386,1.27333091,1.37755917,2.16971899,0.01027366,0.73881456
-5.57978989,4.00553601,0.00385270,1.23536023,1.44737178,2.14158510,0.01049095,0.81737490
-5.57378689,4.08246281,0.00437781,1.19861002,1.52703076,2.11838995,0.01095031,0.90491786
-5.56778389,4.17974840,0.00494769,1.16425238,1.61699296,2.10177254,0.01163890,1.00096503
-5.56178089,4.29869064,0.00555981,1.13345466,1.71757104,2.09330365,0.01254411,1.10488463
-5.55577789,4.44023393,0.00621062,1.10735232,1.82891115,2.09444036,0.01365347,1.21588326
-5.54977489,4.60491277,0.00689545,1.08702470,1.95097746,2.10648663,0.01495465,1.33300331
-5.54377189,4.79281337,0.00760856,1.07347393,2.08354424,2.13056102,0.01643533,1.45512679
-5.53776888,5.00355451,0.00834319,1.06760727,2.22619608,2.16757196,0.01808311,1.58098602
-5.53176588,5.23628779,0.00909161,1.07022281,2.37833604,2.21820061,0.01988548,1.70918141
-5.52576288,5.48971639,0.00984528,1.08199807,2.53920143,2.28289077,0.02182971,1.83820607
-5.51975988,5.76213039,0.01059501,1.10348118,2.70788618,2.36184499,0.02390286,1.96647667
-5.51375688,6.05145577,0.01133117,1.13508384,2.88336870,2.45502579,0.02609178,2.09236954
-5.50775388,6.35531364,0.01204390,1.17707576,3.06454364,2.56216072,0.02838315,2.21426077
-5.50175088,6.67108606,0.01272342,1.22957983,3.25025575,2.68275004,0.03076351,2.33056865
-5.49574787,6.99598446,0.01336025,1.29256781,3.43933423,2.81607608,0.03321938,2.43979677
-5.48974487,7.32711698,0.01394553,1.36585637,3.63062561,2.96121317,0.03573729,2.54057573
-5.48374187,7.66155156,0.01447122,1.44910348,3.82302363,3.11703792,0.03830387,2.63170169
-5.47773887,7.99637209,0.01493041,1.54180552,4.01549458,3.28223953,0.04090591,2.71216997
-5.47173587,8.32872574,0.01531746,1.64329562,4.20709718,3.45533038,0.04353035,2.78120191
-5.46573287,8.65586053,0.01562824,1.75274380,4.39699591,3.63465749,0.04616430,2.83826401
