energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,1.88982212,0.04349286,0.00287353,0.38495542,1.01201176,0.01339622,0.96310398
-5.99399700,1.93175495,0.04290626,0.00297533,0.38939687,1.04273307,0.01281325,0.97863339
-5.98799400,1.97771693,0.04265585,0.00309745,0.39506964,1.07494174,0.01234131,0.99412391
-5.98199100,2.02662834,0.04269485,0.00323805,0.40174230,1.10808520,0.01197673,1.00917074
-5.97598799,2.07739659,0.04297360,0.00339509,0.40918297,1.14160322,0.01171347,1.02339762
-5.96998499,2.12893498,0.04344066,0.00356636,0.41716312,1.17493705,0.01154343,1.03646313
-5.96398199,2.18018017,0.04404387,0.00374953,0.42546074,1.20753844,0.01145666,1.04806565
-5.95797899,2.23010857,0.04473135,0.00394215,0.43386305,1.23887836,0.01144179,1.05794687
-5.95197599,2.27775165,0.04545259,0.00414171,0.44216881,1.26845553,0.01148634,1.06589409
-5.94597299,2.32221003,0.04615939,0.00434568,0.45019021,1.29580473,0.01157711,1.07174140
-5.93996998,2.36266647,0.04680680,0.00455152,0.45775446,1.32050454,0.01170060,1.07536971
-5.93396698,2.39839747,0.04735400,0.00475673,0.46470505,1.34218466,0.01184335,1.07670603
-5.92796398,2.42878343,0.04776512,0.00495892,0.47090288,1.36053237,0.01199238,1.07572181
-5.92196098,2.45331692,0.04800983,0.00515575,0.47622702,1.37529805,0.01213544,1.07243066
-5.91595798,2.47160902,0.04806398,0.00534506,0.48057538,1.38629940,0.01226140,1.06688534
-5.90995498,2.48339322,0.04790993,0.00552486,0.48386504,1.39342434,0.01236048,1.05917427
-5.90395198,2.48852686,0.04753681,0.00569332,0.48603251,1.39663207,0.01242446,1.04941743
-5.89794897,2.48698967,0.04694057,0.00584884,0.48703362,1.39595252,0.01244683,1.03776190
-5.89194597,2.47887957,0.04612389,0.00599004,0.48684320,1.39148378,0.01242293,1.02437689
-5.88594297,2.46440560,0.04509579,0.00611578,0.48545459,1.38338771,0.01234993,1.00944851
-5.87993997,2.44387816,0.04387127,0.00622513,0.48287886,1.37188381,0.01222686,0.99317429
-5.87393697,2.41769685,0.04247057,0.00631742,0.47914373,1.35724149,0.01205448,0.97575758
-5.86793397,2.38633638,0.04091849,0.00639222,0.47429245,1.33977095,0.01183521,0.95740197
-5.86193097,2.35033086,0.03924343,0.00644929,0.46838232,1.31981323,0.01157292,0.93830587
-5.85592796,2.31025737,0.03747651,0.00648865,0.46148319,1.29772961,0.01127272,0.91865751
-5.84992496,2.26671909,0.03565051,0.00651049,0.45367577,1.27389087,0.01094073,0.89863037
-5.84392196,2.22032885,0.03379889,0.00651519,0.44504990,1.24866689,0.01058383,0.87837937
-5.83791896,2.17169359,0.03195476,0.00650333,0.43570274,1.22241688,0.01020936,0.85803788
-5.83191596,2.12140026,0.03014995,0.00647562,0.42573700,1.19548070,0.00982489,0.83771571
-5.82591296,2.07000357,0.02841416,0.00643292,0.41525910,1.16817150,0.00943790,0.81749805
-5.81990995,2.01801585,0.02677414,0.00637622,0.40437739,1.14076986,0.00905561,0.79744557
-5.81390695,1.96589917,0.02525310,0.00630660,0.39320043,1.11351955,0.00868466,0.77759541
-5.80790395,1.91405985,0.02387017,0.00622524,0.38183524,1.08662496,0.00833100,0.75796320
-5.80190095,1.86284503,0.02264001,0.00613334,0.37038567,1.06025006,0.00799965,0.73854578
-5.79589795,1.81254136,0.02157264,0.00603219,0.35895073,1.03451874,0.00769463,0.71932458
-5.78989495,1.76337537,0.02067330,0.00592305,0.34762313,1.00951643,0.00741883,0.70026936
-5.78389195,1.71551527,0.01994254,0.00580718,0.33648774,0.98529260,0.00717399,0.68134214
-5.77788894,1.66907394,0.01937644,0.00568578,0.32562028,0.96186402,0.00696068,0.66250112
-5.77188594,1.62411263,0.01896683,0.00556002,0.31508612,0.93921849,0.00677833,0.64370426
-5.76588294,1.58064536,0.01870182,0.00543093,0.30493926,0.91731877,0.00662530,0.62491255
-5.75987994,1.53864366,0.01856622,0.00529947,0.29522158,0.89610669,0.00649898,0.60609268
