energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-2.53626813,2.54670078,0.54259695,0.00000000,0.42910770,1.07567072,0.72345181,0.00919591
-2.53026513,2.54019737,0.53326291,0.00000000,0.42592654,1.06781727,0.73848937,0.00902359
-2.52426213,2.54884420,0.52927920,0.00000000,0.42201520,1.06346293,0.76124064,0.00893220
-2.51825913,2.57197161,0.53043959,0.00000000,0.41740592,1.06252503,0.79146549,0.00891769
-2.51225613,2.60852699,0.53642277,0.00000000,0.41211847,1.06481173,0.82874739,0.00897431
-2.50625313,2.65710033,0.54680198,0.00000000,0.40616038,1.07002619,0.87249820,0.00909481
-2.50025013,2.71595907,0.56105696,0.00000000,0.39952821,1.07777376,0.92196675,0.00927063
-2.49424712,2.78309133,0.57858780,0.00000000,0.39220979,1.08757196,0.97625139,0.00949208
-2.48824412,2.85625662,0.59873049,0.00000000,0.38418718,1.09886324,1.03431636,0.00974866
-2.48224112,2.93304295,0.62077372,0.00000000,0.37544028,1.11103004,1.09501198,0.01002927
-2.47623812,3.01092875,0.64397666,0.00000000,0.36595067,1.12341184,1.15709839,0.01032251
-2.47023512,3.08734828,0.66758728,0.00000000,0.35570556,1.13532370,1.21927254,0.01061694
-2.46423212,3.15975856,0.69086084,0.00000000,0.34470151,1.14607567,1.28019789,0.01090137
-2.45822911,3.22570603,0.71307805,0.00000000,0.33294768,1.15499267,1.33853614,0.01116513
-2.45222611,3.28289113,0.73356260,0.00000000,0.32046837,1.16143385,1.39298011,0.01139833
-2.44622311,3.32922870,0.75169747,0.00000000,0.30730479,1.16481126,1.44228697,0.01159207
-2.44022011,3.36290247,0.76693969,0.00000000,0.29351573,1.16460682,1.48531063,0.01173865
-2.43421711,3.38241205,0.77883321,0.00000000,0.27917746,1.16038726,1.52103223,0.01183177
-2.42821411,3.38661086,0.78701936,0.00000000,0.26438246,1.15181654,1.54858763,0.01186663
-2.42221111,3.37473389,0.79124480,0.00000000,0.24923741,1.13866524,1.56729088,0.01184003
-2.41620810,3.34641455,0.79136668,0.00000000,0.23386046,1.12081671,1.57665273,0.01175040
-2.41020510,3.30169019,0.78735484,0.00000000,0.21837785,1.09826988,1.57639338,0.01159785
-2.40420210,3.24099622,0.77929112,0.00000000,0.20292028,1.07113849,1.56644903,0.01138403
-2.39819910,3.16514932,0.76736575,0.00000000,0.18761910,1.03964701,1.54697187,0.01111213
-2.39219610,3.07532042,0.75187105,0.00000000,0.17260260,1.00412336,1.51832348,0.01078669
